lemma	corpus_size	lemma_freq	category
túrázik	8570080167	49897	cvc
bújik	8570080167	143158	cvc
vacsorázik	8570080167	50661	cvc
építkezik	8570080167	78659	cvc
igazodik	8570080167	195863	cvc
focizik	8570080167	50977	cvc
ragaszkodik	8570080167	266576	cvc
veszik	8570080167	167484	cvc
búcsúzik	8570080167	154036	cvc
panaszkodik	8570080167	194071	cvc
születik	8570080167	1768256	cvc
törődik	8570080167	206232	cvc
jelenik	8570080167	1647977	cvc
gazdálkodik	8570080167	93581	cvc
gyönyörködik	8570080167	112176	cvc
kapaszkodik	8570080167	113682	cvc
nézelődik	8570080167	56891	cvc
szűnik	8570080167	168796	cvc
támaszkodik	8570080167	198608	cvc
múlik	8570080167	558108	cvc
erősödik	8570080167	216852	cvc
hibázik	8570080167	154009	cvc
engedelmeskedik	8570080167	75413	cvc
közeledik	8570080167	245136	cvc
étkezik	8570080167	56160	cvc
tiltakozik	8570080167	213776	cvc
várakozik	8570080167	96850	cvc
reménykedik	8570080167	167707	cvc
helyezkedik	8570080167	435311	cvc
biciklizik	8570080167	32166	cvc
lepődik	8570080167	85788	cvc
tevékenykedik	8570080167	159182	cvc
bajlódik	8570080167	39724	cvc
bukik	8570080167	178435	cvc
vállalkozik	8570080167	141984	cvc
szaporodik	8570080167	87868	cvc
zongorázik	8570080167	30452	cvc
barátkozik	8570080167	50745	cvc
kedveskedik	8570080167	70883	cvc
autózik	8570080167	53397	cvc
táplálkozik	8570080167	101962	cvc
folytatódik	8570080167	572068	cvc
folyik	8570080167	743029	cc
reggelizik	8570080167	37598	cvc
következik	8570080167	1151088	cvc
csúszik	8570080167	191096	cvc
öltözik	8570080167	113660	cvc
motorozik	8570080167	29136	cvc
kereskedik	8570080167	48423	cvc
kételkedik	8570080167	68084	cvc
szopik	8570080167	56825	cvc
egyezik	8570080167	230655	cvc
kanyarodik	8570080167	54424	cvc
vizsgázik	8570080167	61681	cvc
mutatkozik	8570080167	386251	cvc
adózik	8570080167	58255	cvc
napozik	8570080167	24323	cvc
hagyatkozik	8570080167	65502	cvc
elmélkedik	8570080167	48134	cvc
illeszkedik	8570080167	221161	cvc
terjeszkedik	8570080167	34705	cvc
szökik	8570080167	64890	cvc
kávézik	8570080167	24144	cvc
öltözködik	8570080167	29838	cvc
futballozik	8570080167	36728	cvc
zuhanyozik	8570080167	20011	cvc
fázik	8570080167	77143	cvc
álmodozik	8570080167	59984	cvc
birkózik	8570080167	38668	cvc
regenerálódik	8570080167	25980	cvc
ítélkezik	8570080167	42419	cvc
hízik	8570080167	63813	cvc
tornázik	8570080167	32996	cvc
kutakodik	8570080167	25692	cvc
telik	8570080167	654760	cvc
alkudik	8570080167	17918	cvc
szeretkezik	8570080167	27905	cvc
magyarázkodik	8570080167	23077	cvc
kötődik	8570080167	196259	cvc
bocsátkozik	8570080167	24331	cvc
takarékoskodik	8570080167	21081	cvc
győződik	8570080167	138711	cvc
folyamodik	8570080167	49090	cvc
házasodik	8570080167	48749	cvc
osztozik	8570080167	212384	cvc
hangolódik	8570080167	27076	cvc
sörözik	8570080167	16041	cvc
lelkesedik	8570080167	33550	cvc
munkálkodik	8570080167	66126	cvc
avatkozik	8570080167	45734	cvc
bíbelődik	8570080167	14337	cvc
férkőzik	8570080167	18255	cvc
internetezik	8570080167	18384	cvc
okoskodik	8570080167	23651	cvc
állapodik	8570080167	73318	cvc
bringázik	8570080167	17885	cvc
keveredik	8570080167	181236	cvc
kertészkedik	8570080167	14951	cvc
vágyik	8570080167	579400	cvc
körvonalazódik	8570080167	34236	cvc
randizik	8570080167	20259	cvc
alkudozik	8570080167	14494	cvc
gazdagodik	8570080167	134939	cvc
koncertezik	8570080167	42382	cvc
késik	8570080167	131308	cvc
kerekedik	8570080167	69864	cvc
vitorlázik	8570080167	19586	cvc
vágyakozik	8570080167	33026	cvc
húzódik	8570080167	188010	cvc
sakkozik	8570080167	14004	cvc
baszik	8570080167	37569	cvc
értekezik	8570080167	31517	cvc
nyílik	8570080167	769981	cvc
hajózik	8570080167	33540	cvc
rágódik	8570080167	21316	cvc
szégyenkezik	8570080167	31859	cvc
készülődik	8570080167	53599	cvc
ázik	8570080167	36090	cvc
iratkozik	8570080167	135875	cvc
informálódik	8570080167	20387	cvc
éhezik	8570080167	59636	cvc
kezdődik	8570080167	1314350	cvc
kalandozik	8570080167	24738	cvc
ütközik	8570080167	225302	cvc
búvárkodik	8570080167	10030	cvc
szerződik	8570080167	51630	cvc
különbözik	8570080167	364143	cvc
viccelődik	8570080167	25234	cvc
ereszkedik	8570080167	50960	cvc
csókolózik	8570080167	18284	cvc
oldódik	8570080167	72937	cvc
távolodik	8570080167	45390	cvc
bogarászik	8570080167	7314	cvc
teniszezik	8570080167	11338	cvc
vizsgálódik	8570080167	22746	cvc
játszadozik	8570080167	20243	cvc
idegeskedik	8570080167	17271	cvc
vetkőzik	8570080167	24148	cvc
zárkózik	8570080167	34767	cvc
vesződik	8570080167	11312	cvc
rendeződik	8570080167	54166	cvc
időzik	8570080167	35735	cvc
hisztizik	8570080167	19664	cvc
ellenkezik	8570080167	35786	cvc
kúszik	8570080167	40879	cvc
káromkodik	8570080167	23314	cvc
csajozik	8570080167	8156	cvc
integrálódik	8570080167	20468	cvc
adakozik	8570080167	17936	cvc
bonyolódik	8570080167	34776	cvc
sodródik	8570080167	50915	cvc
táborozik	8570080167	19944	cvc
egyezkedik	8570080167	9405	cvc
töltődik	8570080167	39903	cvc
vergődik	8570080167	27087	cvc
tévézik	8570080167	14352	cvc
kérdezősködik	8570080167	15795	cvc
gyülekezik	8570080167	44039	cvc
esküszik	8570080167	82803	cvc
videózik	8570080167	13191	cvc
megmártózik	8570080167	10881	cvc
szomorkodik	8570080167	22613	cvc
formálódik	8570080167	36394	cvc
száguldozik	8570080167	16139	cvc
sűrűsödik	8570080167	21560	cvc
érintkezik	8570080167	84963	cvc
háborúzik	8570080167	11765	cvc
bosszankodik	8570080167	28274	cvc
falatozik	8570080167	15786	cvc
kopik	8570080167	45804	cvc
fogyókúrázik	8570080167	8411	cvc
lobbizik	8570080167	17334	cvc
fagyizik	8570080167	6324	cvc
erőlködik	8570080167	26402	cvc
bányászik	8570080167	16534	cvc
kártyázik	8570080167	10854	cvc
győzedelmeskedik	8570080167	24170	cvc
éjszakázik	8570080167	12361	cvc
cigizik	8570080167	11452	cvc
érettségizik	8570080167	46998	cvc
dobálózik	8570080167	12200	cvc
szervezkedik	8570080167	10558	cvc
gyűlik	8570080167	173964	cvc
sötétedik	8570080167	18489	cvc
pecázik	8570080167	5981	cvc
feledkezik	8570080167	122115	cvc
kötözködik	8570080167	6981	cvc
elhatárolódik	8570080167	19819	cvc
diadalmaskodik	8570080167	35682	cvc
bohóckodik	8570080167	10687	cvc
vonatkozik	8570080167	740326	cvc
öregedik	8570080167	15686	cvc
kínlódik	8570080167	23589	cvc
szánkózik	8570080167	5609	cvc
csónakázik	8570080167	6485	cvc
teljesedik	8570080167	38091	cvc
fokozódik	8570080167	95082	cvc
elegyedik	8570080167	21613	cvc
irigykedik	8570080167	28990	cvc
taktikázik	8570080167	10243	cvc
pereskedik	8570080167	7520	cvc
ügyeskedik	8570080167	11033	cvc
siránkozik	8570080167	14018	cvc
óvakodik	8570080167	18248	cvc
játszódik	8570080167	142955	cvc
jóllakik	8570080167	27189	cvc
szállingózik	8570080167	8178	cvc
tanúskodik	8570080167	82256	cvc
beigazolódik	8570080167	26520	cvc
segédkezik	8570080167	34011	cvc
labdázik	8570080167	7296	cvc
kosarazik	8570080167	7721	cvc
bizonyosodik	8570080167	29527	cvc
büszkélkedik	8570080167	84413	cvc
teázik	8570080167	7811	cvc
szellőzik	8570080167	22012	cvc
kétségbeesik	8570080167	19352	cvc
vonzódik	8570080167	41981	cvc
személyeskedik	8570080167	6741	cvc
színészkedik	8570080167	7379	cvc
végrendelkezik	8570080167	4099	cvc
kajakozik	8570080167	4622	cvc
hadakozik	8570080167	14604	cvc
függetlenedik	8570080167	5837	cvc
tisztálkodik	8570080167	6177	cvc
hazudozik	8570080167	13233	cvc
bicajozik	8570080167	3866	cvc
hintázik	8570080167	9317	cvc
kézilabdázik	8570080167	8370	cvc
mozgolódik	8570080167	6963	cvc
végződik	8570080167	106528	cvc
részesedik	8570080167	24890	cvc
lustálkodik	8570080167	6541	cvc
tojik	8570080167	20901	cvc
levegőzik	8570080167	5286	cvc
rugózik	8570080167	7753	cvc
túlórázik	8570080167	9066	cvc
ábrándozik	8570080167	18385	cvc
fenyegetőzik	8570080167	26787	cvc
tanácskozik	8570080167	21064	cvc
párolódik	8570080167	6253	cvc
borotválkozik	8570080167	7593	cvc
keletkezik	8570080167	429200	cvc
tornászik	8570080167	6772	cvc
gúnyolódik	8570080167	12545	cvc
bizakodik	8570080167	30323	cvc
stabilizálódik	8570080167	20254	cvc
őrködik	8570080167	18581	cvc
küszködik	8570080167	65981	cvc
fáradozik	8570080167	40305	cvc
szövetkezik	8570080167	21303	cvc
kozmetikázik	8570080167	3731	cvc
bóklászik	8570080167	13080	cvc
kotorászik	8570080167	6224	cvc
szerveződik	8570080167	59340	cvc
forgolódik	8570080167	18063	cvc
példálózik	8570080167	8093	cvc
vétkezik	8570080167	32653	cvc
pofázik	8570080167	8073	cvc
áradozik	8570080167	11351	cvc
futkározik	8570080167	9294	cvc
zsugorodik	8570080167	28285	cvc
cipekedik	8570080167	4233	cvc
kocsikázik	8570080167	5753	cvc
tűnődik	8570080167	27257	cvc
csatázik	8570080167	12946	cvc
heverészik	8570080167	9293	cvc
ingázik	8570080167	17703	cvc
bámészkodik	8570080167	6070	cvc
osztozkodik	8570080167	6441	cvc
osztódik	8570080167	9844	cvc
tanakodik	8570080167	16021	cvc
származik	8570080167	596330	cvc
dulakodik	8570080167	3982	cvc
bánkódik	8570080167	14891	cvc
hálálkodik	8570080167	5921	cvc
hajlik	8570080167	62306	cc
hajókázik	8570080167	4918	cvc
rejtőzik	8570080167	58213	cvc
hangoskodik	8570080167	8641	cvc
kosárlabdázik	8570080167	5674	cvc
illik	8570080167	433674	cc
szarakodik	8570080167	5699	cvc
sikoltozik	8570080167	8245	cvc
éledezik	8570080167	4011	cvc
szívódik	8570080167	38838	cvc
poénkodik	8570080167	7916	cvc
izmosodik	8570080167	4740	cvc
bontakozik	8570080167	76347	cvc
művelődik	8570080167	4170	cvc
havazik	8570080167	16393	cvc
gyakorlatozik	8570080167	5524	cvc
sütkérezik	8570080167	7654	cvc
töltekezik	8570080167	7443	cvc
nyújtózkodik	8570080167	14864	cvc
korizik	8570080167	2844	cvc
merészkedik	8570080167	32469	cvc
sajnálkozik	8570080167	14151	cvc
jótékonykodik	8570080167	7517	cvc
szörnyülködik	8570080167	7983	cvc
sokasodik	8570080167	12473	cvc
akadozik	8570080167	26700	cvc
rejtőzködik	8570080167	13531	cvc
költekezik	8570080167	6117	cvc
tükröződik	8570080167	50822	cvc
szemlélődik	8570080167	7906	cvc
világosodik	8570080167	9640	cvc
kekeckedik	8570080167	3302	cvc
rádiózik	8570080167	5003	cvc
pingpongozik	8570080167	3522	cvc
babázik	8570080167	5288	cvc
izzik	8570080167	23399	cc
igazolódik	8570080167	20486	cvc
hülyéskedik	8570080167	8587	cvc
bűnözik	8570080167	5915	cvc
rakodik	8570080167	7911	cvc
hallgatózik	8570080167	8614	cvc
pompázik	8570080167	35198	cvc
párbajozik	8570080167	3357	cvc
érződik	8570080167	74697	cvc
ordítozik	8570080167	7808	cvc
vádaskodik	8570080167	5755	cvc
foglalatoskodik	8570080167	11387	cvc
kenuzik	8570080167	2172	cvc
zsidózik	8570080167	4452	cvc
hadonászik	8570080167	10296	cvc
garázdálkodik	8570080167	10887	cvc
sorakozik	8570080167	94911	cvc
visszakozik	8570080167	8527	cvc
tapogatózik	8570080167	14479	cvc
termelődik	8570080167	31918	cvc
gyűlölködik	8570080167	6178	cvc
kerekezik	8570080167	7868	cvc
szorítkozik	8570080167	21720	cvc
ismétlődik	8570080167	40309	cvc
ingadozik	8570080167	33254	cvc
kémkedik	8570080167	9300	cvc
kérkedik	8570080167	10714	cvc
sopánkodik	8570080167	6686	cvc
bűvészkedik	8570080167	3597	cvc
röplabdázik	8570080167	3986	cvc
nyerészkedik	8570080167	3169	cvc
rosszalkodik	8570080167	6227	cvc
elégedetlenkedik	8570080167	6274	cvc
cigarettázik	8570080167	7767	cvc
érlelődik	8570080167	17933	cvc
randevúzik	8570080167	5799	cvc
csapódik	8570080167	59286	cvc
rozsdásodik	8570080167	7072	cvc
locsolkodik	8570080167	2356	cvc
ugrándozik	8570080167	8866	cvc
legózik	8570080167	2608	cvc
specializálódik	8570080167	12027	cvc
porosodik	8570080167	15132	cvc
orientálódik	8570080167	6365	cvc
pakolászik	8570080167	4806	cvc
karatézik	8570080167	2810	cvc
biliárdozik	8570080167	2246	cvc
mókázik	8570080167	4444	cvc
mérséklődik	8570080167	54025	cvc
mérgelődik	8570080167	8595	cvc
késlekedik	8570080167	18894	cvc
élősködik	8570080167	9346	cvc
autókázik	8570080167	2943	cvc
asszimilálódik	8570080167	5757	cvc
fohászkodik	8570080167	16804	cvc
gyöngyözik	8570080167	7379	cvc
ügyködik	8570080167	11226	cvc
ráncosodik	8570080167	3780	cvc
hancúrozik	8570080167	4623	cvc
csírázik	8570080167	6977	cvc
rugaszkodik	8570080167	7279	cvc
erőszakoskodik	8570080167	6921	cvc
nyugtalankodik	8570080167	6592	cvc
ténykedik	8570080167	7581	cvc
szűkölködik	8570080167	10233	cvc
adódik	8570080167	313753	cvc
harangozik	8570080167	13662	cvc
zsonglőrködik	8570080167	3950	cvc
önállósodik	8570080167	4835	cvc
vízilabdázik	8570080167	2345	cvc
keményedik	8570080167	8028	cvc
gombászik	8570080167	1638	cvc
rázódik	8570080167	3960	cvc
sértődik	8570080167	14545	cvc
haverkodik	8570080167	3524	cvc
vélekedik	8570080167	123148	cvc
okosodik	8570080167	6651	cvc
búcsúzkodik	8570080167	3282	cvc
aggodalmaskodik	8570080167	9029	cvc
adatik	8570080167	76358	cvc
temetkezik	8570080167	8649	cvc
búslakodik	8570080167	8087	cvc
finomkodik	8570080167	5135	cvc
fiatalodik	8570080167	6846	cvc
fészkelődik	8570080167	5381	cvc
vajúdik	8570080167	5934	cvc
rángatózik	8570080167	5548	cvc
zúgolódik	8570080167	6221	cvc
közösködik	8570080167	2915	cvc
bűnhődik	8570080167	9071	cvc
képződik	8570080167	75875	cvc
szegődik	8570080167	26862	cvc
szabadkozik	8570080167	8713	cvc
realizálódik	8570080167	20943	cvc
szerelmeskedik	8570080167	3264	cvc
gokartozik	8570080167	1768	cvc
homokozik	8570080167	2536	cvc
szocializálódik	8570080167	15320	cvc
fagyoskodik	8570080167	5038	cvc
cikázik	8570080167	17022	cvc
halványodik	8570080167	5957	cvc
lázadozik	8570080167	5616	cvc
penészedik	8570080167	4601	cvc
kacérkodik	8570080167	13978	cvc
tengődik	8570080167	10351	cvc
bújócskázik	8570080167	3164	cvc
párosodik	8570080167	4817	cvc
elbizonytalanodik	8570080167	29628	cvc
puskázik	8570080167	4497	cvc
bénázik	8570080167	8505	cvc
rendezkedik	8570080167	17362	cvc
sóhajtozik	8570080167	11449	cvc
élvezkedik	8570080167	4178	cvc
nyújtózik	8570080167	10262	cvc
hugyozik	8570080167	3653	cvc
adaptálódik	8570080167	4014	cvc
töredezik	8570080167	5353	cvc
törlődik	8570080167	35110	cvc
kézimunkázik	8570080167	1991	cvc
tolódik	8570080167	33844	cvc
normalizálódik	8570080167	10836	cvc
szitkozódik	8570080167	6590	cvc
tollasozik	8570080167	1732	cvc
vigasztalódik	8570080167	7309	cvc
problémázik	8570080167	4720	cvc
gyötrődik	8570080167	7873	cvc
turistáskodik	8570080167	1689	cvc
parádézik	8570080167	8833	cvc
fésülködik	8570080167	2935	cvc
sáfárkodik	8570080167	4988	cvc
árulkodik	8570080167	62655	cvc
tobzódik	8570080167	11742	cvc
vendégeskedik	8570080167	21782	cvc
tudakozódik	8570080167	4897	cvc
akklimatizálódik	8570080167	2558	cvc
tréfálkozik	8570080167	5571	cvc
meztelenkedik	8570080167	2915	cvc
fogyatkozik	8570080167	8930	cvc
vágtázik	8570080167	4820	cvc
lakozik	8570080167	39428	cvc
leskelődik	8570080167	4977	cvc
vágyódik	8570080167	14271	cvc
pácolódik	8570080167	1769	cvc
ékeskedik	8570080167	5504	cvc
szakadozik	8570080167	6941	cvc
vetődik	8570080167	46715	cvc
élcelődik	8570080167	4503	cvc
fogócskázik	8570080167	3014	cvc
csendesedik	8570080167	6494	cvc
pedálozik	8570080167	2131	cvc
betegeskedik	8570080167	9158	cvc
nehezedik	8570080167	38547	cvc
rosszabbodik	8570080167	14933	cvc
színesedik	8570080167	5561	cvc
dumcsizik	8570080167	2150	cvc
vagdalkozik	8570080167	3657	cvc
kapálózik	8570080167	6110	cvc
mérkőzik	8570080167	32614	cvc
ölelkezik	8570080167	6267	cvc
vetélkedik	8570080167	10217	cvc
aktiválódik	8570080167	26386	cvc
rázkódik	8570080167	6310	cvc
kamerázik	8570080167	3140	cvc
háborodik	8570080167	17472	cvc
cseverészik	8570080167	1745	cvc
mosdik	8570080167	3663	cc
mulatozik	8570080167	3429	cvc
bővelkedik	8570080167	38446	cvc
telítődik	8570080167	13702	cvc
kíváncsiskodik	8570080167	4599	cvc
furikázik	8570080167	5701	cvc
nedvesedik	8570080167	3755	cvc
undorodik	8570080167	14293	cvc
kamatozik	8570080167	32078	cvc
fosik	8570080167	9133	cvc
ringatózik	8570080167	8674	cvc
zsírosodik	8570080167	5118	cvc
tangózik	8570080167	1190	cvc
packázik	8570080167	3038	cvc
lakmározik	8570080167	5103	cvc
jégkorongozik	8570080167	1416	cvc
bujdosik	8570080167	4942	cvc
fingik	8570080167	4111	cc
húzódzkodik	8570080167	1709	cvc
fulladozik	8570080167	4240	cvc
burkolózik	8570080167	13652	cvc
vetemedik	8570080167	15187	cvc
záródik	8570080167	24424	cvc
féltékenykedik	8570080167	3256	cvc
mocskolódik	8570080167	2235	cvc
lelkizik	8570080167	1747	cvc
gonoszkodik	8570080167	2552	cvc
méltatlankodik	8570080167	9608	cvc
kamuzik	8570080167	3933	cvc
kitárulkozik	8570080167	4038	cvc
rohangászik	8570080167	3976	cvc
italozik	8570080167	3410	cvc
mélázik	8570080167	4413	cvc
jeleskedik	8570080167	26740	cvc
viaskodik	8570080167	10940	cvc
uzsonnázik	8570080167	2222	cvc
lökdösődik	8570080167	3007	cvc
markolászik	8570080167	3773	cvc
kuporodik	8570080167	3941	cvc
olvadozik	8570080167	3573	cvc
ülésezik	8570080167	27682	cvc
manifesztálódik	8570080167	10142	cvc
sziesztázik	8570080167	2144	cvc
kukacoskodik	8570080167	1681	cvc
iparkodik	8570080167	13706	cvc
súlyosbodik	8570080167	18922	cvc
brillírozik	8570080167	8089	cvc
kockázik	8570080167	31690	cvc
álmélkodik	8570080167	5761	cvc
csalatkozik	8570080167	4769	cvc
vágódik	8570080167	11694	cvc
kergetőzik	8570080167	5058	cvc
kopaszodik	8570080167	3051	cvc
csiszolódik	8570080167	6459	cvc
hahotázik	8570080167	3528	cvc
akadékoskodik	8570080167	3726	cvc
türelmetlenkedik	8570080167	3453	cvc
bíráskodik	8570080167	3616	cvc
pipázik	8570080167	3608	cvc
sikítozik	8570080167	3535	cvc
szerencsétlenkedik	8570080167	4615	cvc
szikrázik	8570080167	11894	cvc
hősködik	8570080167	1727	cvc
tanyázik	8570080167	20309	cvc
átkozódik	8570080167	3739	cvc
kamaszodik	8570080167	1964	cvc
karcsúsodik	8570080167	1804	cvc
elkényelmesedik	8570080167	5281	cvc
lottózik	8570080167	2828	cvc
betegedik	8570080167	13663	cvc
madarászik	8570080167	1060	cvc
értetlenkedik	8570080167	11124	cvc
tisztázódik	8570080167	11908	cvc
hokizik	8570080167	1800	cvc
szedelőzködik	8570080167	1934	cvc
vedlik	8570080167	5893	cc
károsodik	8570080167	44575	cvc
halmozódik	8570080167	31519	cvc
tegeződik	8570080167	6254	cvc
tépelődik	8570080167	5780	cvc
íródik	8570080167	102757	cvc
korlátozódik	8570080167	62047	cvc
merevedik	8570080167	5585	cvc
ágaskodik	8570080167	5740	cvc
morgolódik	8570080167	4429	cvc
idegenkedik	8570080167	24833	cvc
rimánkodik	8570080167	4130	cvc
művészkedik	8570080167	1335	cvc
deformálódik	8570080167	11452	cvc
ökörködik	8570080167	1755	cvc
csavarodik	8570080167	9265	cvc
tétlenkedik	8570080167	15046	cvc
pirosodik	8570080167	2743	cvc
hivalkodik	8570080167	3478	cvc
költözködik	8570080167	3358	cvc
súlyzózik	8570080167	1359	cvc
erősködik	8570080167	7991	cvc
elhajlik	8570080167	5678	cc
szóródik	8570080167	15400	cvc
verejtékezik	8570080167	3711	cvc
aszalódik	8570080167	2207	cvc
kocsonyásodik	8570080167	1053	cvc
szélesedik	8570080167	14264	cvc
óvatoskodik	8570080167	2608	cvc
keresztelkedik	8570080167	5156	cvc
zavarodik	8570080167	11253	cvc
egyenesedik	8570080167	3332	cvc
oszladozik	8570080167	984	cvc
rakoncátlankodik	8570080167	2200	cvc
baszakodik	8570080167	1540	cvc
fegyverkezik	8570080167	3563	cvc
méhészkedik	8570080167	1838	cvc
dekázik	8570080167	949	cvc
karikázik	8570080167	3124	cvc
botladozik	8570080167	8796	cvc
értékelődik	8570080167	5267	cvc
esedezik	8570080167	9804	cvc
ívik	8570080167	2496	cvc
koncentrálódik	8570080167	27148	cvc
bagózik	8570080167	2647	cvc
differenciálódik	8570080167	4532	cvc
csalizik	8570080167	1630	cvc
fehéredik	8570080167	3331	cvc
rendetlenkedik	8570080167	2865	cvc
keringőzik	8570080167	2256	cvc
bálozik	8570080167	951	cvc
cseperedik	8570080167	13071	cvc
nekiveselkedik	8570080167	6567	cvc
hallatszik	8570080167	66547	cc
omladozik	8570080167	2673	cvc
citerázik	8570080167	1464	cvc
forrósodik	8570080167	4210	cvc
konszolidálódik	8570080167	3601	cvc
lábadozik	8570080167	7640	cvc
képzelődik	8570080167	5210	cvc
lármázik	8570080167	2298	cvc
fagylaltozik	8570080167	907	cvc
szőrösödik	8570080167	950	cvc
csimpaszkodik	8570080167	4352	cvc
asztaliteniszezik	8570080167	940	cvc
fejeződik	8570080167	91178	cvc
duplázódik	8570080167	5425	cvc
fonódik	8570080167	18743	cvc
huncutkodik	8570080167	1518	cvc
hánykolódik	8570080167	5657	cvc
kellemetlenkedik	8570080167	1776	cvc
szóbelizik	8570080167	942	cvc
vékonyodik	8570080167	4362	cvc
hüledezik	8570080167	4646	cvc
tempózik	8570080167	2816	cvc
marakodik	8570080167	3621	cvc
nevelkedik	8570080167	46282	cvc
ámuldozik	8570080167	3333	cvc
ásítozik	8570080167	3555	cvc
kardoskodik	8570080167	6275	cvc
gömbölyödik	8570080167	3513	cvc
állomásozik	8570080167	17398	cvc
alkonyodik	8570080167	3108	cvc
kristályosodik	8570080167	8901	cvc
oxidálódik	8570080167	6931	cvc
acsarkodik	8570080167	2934	cvc
katonáskodik	8570080167	2521	cvc
korzózik	8570080167	1595	cvc
kulturálódik	8570080167	779	cvc
keseredik	8570080167	22200	cvc
fogadkozik	8570080167	8046	cvc
morzsolódik	8570080167	3703	cvc
civakodik	8570080167	2972	cvc
alakoskodik	8570080167	1461	cvc
józanodik	8570080167	1799	cvc
vitézkedik	8570080167	4493	cvc
irtózik	8570080167	15667	cvc
zötykölődik	8570080167	3556	cvc
bölcselkedik	8570080167	1698	cvc
leselkedik	8570080167	19027	cvc
utálkozik	8570080167	2391	cvc
fukarkodik	8570080167	8454	cvc
torkollik	8570080167	43300	cc
ólálkodik	8570080167	6185	cvc
cserélődik	8570080167	17246	cvc
gyalázkodik	8570080167	1614	cvc
szabálytalankodik	8570080167	6970	cvc
vastagodik	8570080167	4356	cvc
dudorászik	8570080167	3096	cvc
kétkedik	8570080167	9459	cvc
tudatosodik	8570080167	7937	cvc
vizesedik	8570080167	3171	cvc
egerészik	8570080167	733	cvc
kárhozik	8570080167	4546	cvc
ultizik	8570080167	1092	cvc
terelődik	8570080167	17644	cvc
vigadozik	8570080167	1583	cvc
hervadozik	8570080167	992	cvc
pofozkodik	8570080167	1126	cvc
hosszabbodik	8570080167	7064	cvc
különválik	8570080167	10059	cvc
futkorászik	8570080167	1585	cvc
nyáladzik	8570080167	2158	cc
egyszerűsödik	8570080167	13942	cvc
esteledik	8570080167	5772	cvc
komolyodik	8570080167	3885	cvc
szigorodik	8570080167	10812	cvc
pironkodik	8570080167	4029	cvc
faggatózik	8570080167	1750	cvc
harmonikázik	8570080167	1234	cvc
hatódik	8570080167	3690	cvc
szorgoskodik	8570080167	8106	cvc
leáldozik	8570080167	6342	cvc
pletykálkodik	8570080167	1366	cvc
szépítkezik	8570080167	1096	cvc
finomodik	8570080167	7558	cvc
ácsingózik	8570080167	3563	cvc
mutyizik	8570080167	1087	cvc
züllik	8570080167	1993	cc
kaparászik	8570080167	2081	cvc
kacarászik	8570080167	1946	cvc
őrlődik	8570080167	6626	cvc
fontoskodik	8570080167	2612	cvc
sivalkodik	8570080167	1974	cvc
hólyagosodik	8570080167	1171	cvc
ódzkodik	8570080167	17257	cvc
laposodik	8570080167	2357	cvc
udvariaskodik	8570080167	1591	cvc
élesedik	8570080167	8529	cvc
hajladozik	8570080167	2936	cvc
feketedik	8570080167	2075	cvc
pálinkázik	8570080167	1045	cvc
nyűglődik	8570080167	2514	cvc
terebélyesedik	8570080167	5751	cvc
ruházkodik	8570080167	1397	cvc
nyalakodik	8570080167	1148	cvc
tekeredik	8570080167	8524	cvc
