onset	v1c1c2	v2c3c4	tr	word	target	keep_enough_distance	keep_no_overlap	keep_self_diff
c	eßk	égß	ceßkégßik	ceszkégszik	ceßkégß	TRUE	TRUE	TRUE
pl	ér	esl	pléreslik	pléreslik	pléresl	TRUE	TRUE	TRUE
m	aç	at	maçatik	macsatik	maçat	TRUE	FALSE	FALSE
c	o©	oz	co©ozik	cogyozik	co©oz	TRUE	TRUE	TRUE
sm	ack	at	smackatik	smackatik	smackat	TRUE	TRUE	TRUE
dΩ	ir	arz	dΩirarzik	dzsirarzik	dΩirarz	TRUE	TRUE	FALSE
p	űk	üd	pűküdik	pűküdik	pűküd	TRUE	TRUE	FALSE
b	ißt	adz	bißtadzik	bisztadzik	bißtadz	TRUE	TRUE	TRUE
n	ágt	asl	nágtaslik	nágtaslik	nágtasl	TRUE	TRUE	TRUE
h	ond	ud	hondudik	hondudik	hondud	TRUE	TRUE	TRUE
©	aßt	ajl	©aßtajlik	gyasztajlik	©aßtajl	TRUE	TRUE	TRUE
†	irk	áz	†irkázik	tyirkázik	†irkáz	TRUE	TRUE	TRUE
tr	óg	oz	trógozik	trógozik	trógoz	TRUE	TRUE	TRUE
Ω	ár†	árz	Ωár†árzik	zsártyárzik	Ωár†árz	TRUE	TRUE	TRUE
k	am	arz	kamarzik	kamarzik	kamarz	TRUE	TRUE	FALSE
fl	iΩ	áΩl	fliΩáΩlik	flizsázslik	fliΩáΩl	TRUE	TRUE	TRUE
Ω	üh	őz	Ωühőzik	zsühőzik	Ωühőz	TRUE	TRUE	TRUE
¥	u©	os	¥u©osik	nyugyosik	¥u©os	TRUE	TRUE	TRUE
p	abl	az	pablazik	pablazik	pablaz	TRUE	TRUE	TRUE
h	árh	áz	hárházik	hárházik	hárház	FALSE	TRUE	TRUE
Ω	etk	et	Ωetketik	zsetketik	Ωetket	TRUE	TRUE	TRUE
ç	ejt	en	çejtenik	csejtenik	çejten	TRUE	TRUE	TRUE
k	idr	égß	kidrégßik	kidrégszik	kidrégß	TRUE	TRUE	TRUE
©	ü©k	őz	©ü©kőzik	gyügykőzik	©ü©kőz	FALSE	TRUE	TRUE
sk	ir	éz	skirézik	skirézik	skiréz	TRUE	TRUE	TRUE
NA	erg	éz	ergézik	ergézik	ergéz	TRUE	TRUE	FALSE
bl	or†	ud	blor†udik	blortyudik	blor†ud	TRUE	TRUE	TRUE
¥	alh	atl	¥alhatlik	nyalhatlik	¥alhatl	TRUE	TRUE	FALSE
l	epr	epß	leprepßik	leprepszik	leprepß	TRUE	TRUE	FALSE
t	alm	áß	talmáßik	talmászik	talmáß	TRUE	TRUE	TRUE
g	u©	úz	gu©úzik	gugyúzik	gu©úz	TRUE	TRUE	TRUE
Ω	urh	ódz	Ωurhódzik	zsurhódzik	Ωurhódz	TRUE	TRUE	TRUE
t	id	agl	tidaglik	tidaglik	tidagl	TRUE	TRUE	FALSE
v	ing	akß	vingakßik	vingakszik	vingakß	TRUE	TRUE	TRUE
h	ét	eml	hétemlik	hétemlik	héteml	TRUE	TRUE	TRUE
z	újh	osl	zújhoslik	zújhoslik	zújhosl	TRUE	TRUE	TRUE
Ω	erm	ékz	Ωermékzik	zsermékzik	Ωermékz	TRUE	TRUE	TRUE
NA	oz	úd	ozúdik	ozúdik	ozúd	FALSE	TRUE	TRUE
br	űn	osl	brűnoslik	brűnoslik	brűnosl	TRUE	TRUE	TRUE
n	ókl	onl	nóklonlik	nóklonlik	nóklonl	TRUE	TRUE	FALSE
n	is	ek	nisekik	nisekik	nisek	TRUE	TRUE	FALSE
pl	id	égß	plidégßik	plidégszik	plidégß	TRUE	TRUE	TRUE
j	irt	aml	jirtamlik	jirtamlik	jirtaml	TRUE	TRUE	TRUE
b	ism	asl	bismaslik	bismaslik	bismasl	TRUE	TRUE	TRUE
pr	iΩ	edz	priΩedzik	prizsedzik	priΩedz	TRUE	TRUE	TRUE
sk	iç	agl	skiçaglik	skicsaglik	skiçagl	TRUE	TRUE	TRUE
s	ép	ékß	sépékßik	sépékszik	sépékß	TRUE	TRUE	TRUE
s	árk	á¬l	sárká¬lik	sárkálylik	sárká¬l	TRUE	TRUE	TRUE
NA	ig	akß	igakßik	igakszik	igakß	TRUE	TRUE	TRUE
l	ámp	ánz	lámpánzik	lámpánzik	lámpánz	TRUE	TRUE	TRUE
ß	iΩ	ajl	ßiΩajlik	szizsajlik	ßiΩajl	TRUE	TRUE	TRUE
n	ár	ágl	náráglik	náráglik	nárágl	TRUE	TRUE	FALSE
ß	iv	et	ßivetik	szivetik	ßivet	TRUE	TRUE	TRUE
t	eßk	epß	teßkepßik	teszkepszik	teßkepß	TRUE	TRUE	TRUE
d	ind	ak	dindakik	dindakik	dindak	TRUE	TRUE	TRUE
j	ép	ekß	jépekßik	jépekszik	jépekß	TRUE	TRUE	TRUE
pr	ib	áΩl	pribáΩlik	pribázslik	pribáΩl	TRUE	TRUE	TRUE
Ω	ifj	edz	Ωifjedzik	zsifjedzik	Ωifjedz	TRUE	TRUE	TRUE
d	űgl	o¥l	dűglo¥lik	dűglonylik	dűglo¥l	TRUE	TRUE	TRUE
fl	ütk	őz	flütkőzik	flütkőzik	flütkőz	TRUE	TRUE	TRUE
j	űnh	onl	jűnhonlik	jűnhonlik	jűnhonl	TRUE	TRUE	FALSE
m	á¥	adz	má¥adzik	mányadzik	má¥adz	TRUE	TRUE	TRUE
pr	iç	árz	priçárzik	pricsárzik	priçárz	TRUE	TRUE	TRUE
Ω	ojt	od	Ωojtodik	zsojtodik	Ωojtod	TRUE	TRUE	TRUE
d	éh	ékz	déhékzik	déhékzik	déhékz	TRUE	TRUE	TRUE
t	év	egß	tévegßik	tévegszik	tévegß	TRUE	TRUE	TRUE
dΩ	it	ajl	dΩitajlik	dzsitajlik	dΩitajl	TRUE	TRUE	TRUE
m	ámp	atl	mámpatlik	mámpatlik	mámpatl	TRUE	TRUE	TRUE
s	ó¬	óz	só¬ózik	sólyózik	só¬óz	TRUE	TRUE	FALSE
m	elç	én	melçénik	melcsénik	melçén	TRUE	TRUE	TRUE
n	ét	edz	nétedzik	nétedzik	nétedz	TRUE	TRUE	TRUE
sn	oç	űdz	snoçűdzik	snocsűdzik	snoçűdz	TRUE	TRUE	TRUE
s	ajt	ád	sajtádik	sajtádik	sajtád	TRUE	TRUE	TRUE
dΩ	üf	őd	dΩüfődik	dzsüfődik	dΩüfőd	TRUE	TRUE	TRUE
pl	id	egz	plidegzik	plidegzik	plidegz	TRUE	TRUE	TRUE
¥	ált	arz	¥áltarzik	nyáltarzik	¥áltarz	TRUE	TRUE	TRUE
†	a©	amz	†a©amzik	tyagyamzik	†a©amz	TRUE	TRUE	TRUE
Ω	ínl	at	Ωínlatik	zsínlatik	Ωínlat	TRUE	TRUE	TRUE
k	iΩ	az	kiΩazik	kizsazik	kiΩaz	TRUE	FALSE	TRUE
d	ánk	á¬l	dánká¬lik	dánkálylik	dánká¬l	TRUE	TRUE	FALSE
br	údb	óz	brúdbózik	brúdbózik	brúdbóz	TRUE	TRUE	TRUE
Ω	é¥k	én	Ωé¥kénik	zsénykénik	Ωé¥kén	TRUE	TRUE	TRUE
b	idr	ád	bidrádik	bidrádik	bidrád	TRUE	TRUE	TRUE
sn	ép	éz	snépézik	snépézik	snépéz	TRUE	TRUE	TRUE
l	öz	öd	lözödik	lözödik	lözöd	TRUE	TRUE	TRUE
tr	űk	os	trűkosik	trűkosik	trűkos	TRUE	TRUE	TRUE
©	űn	űdz	©űnűdzik	gyűnűdzik	©űnűdz	FALSE	TRUE	TRUE
ç	ih	ád	çihádik	csihádik	çihád	TRUE	TRUE	TRUE
b	űv	őrz	bűvőrzik	bűvőrzik	bűvőrz	TRUE	TRUE	TRUE
l	eml	én	lemlénik	lemlénik	lemlén	TRUE	FALSE	TRUE
c	í¥l	érß	cí¥lérßik	cínylérszik	cí¥lérß	TRUE	TRUE	TRUE
¥	e†	epß	¥e†epßik	nyetyepszik	¥e†epß	TRUE	TRUE	TRUE
ß	e†	edz	ße†edzik	szetyedzik	ße†edz	TRUE	TRUE	TRUE
m	el	edz	meledzik	meledzik	meledz	FALSE	TRUE	FALSE
ß	a©l	at	ßa©latik	szagylatik	ßa©lat	TRUE	TRUE	TRUE
NA	e¥	ejl	e¥ejlik	enyejlik	e¥ejl	TRUE	TRUE	TRUE
s	al	árz	salárzik	salárzik	salárz	TRUE	TRUE	TRUE
d	öz	ődz	döződzik	döződzik	döződz	TRUE	TRUE	TRUE
sn	emp	ek	snempekik	snempekik	snempek	TRUE	TRUE	TRUE
ç	őrk	örl	çőrkörlik	csőrkörlik	çőrkörl	TRUE	TRUE	TRUE
Ω	ált	akl	Ωáltaklik	zsáltaklik	Ωáltakl	TRUE	TRUE	TRUE
sn	öm	önl	snömönlik	snömönlik	snömönl	TRUE	TRUE	TRUE
c	int	ádz	cintádzik	cintádzik	cintádz	TRUE	FALSE	TRUE
tr	í©	ekß	trí©ekßik	trígyekszik	trí©ekß	TRUE	TRUE	FALSE
pl	ét	et	plétetik	plétetik	plétet	TRUE	FALSE	TRUE
b	ot	okl	botoklik	botoklik	botokl	TRUE	TRUE	TRUE
pl	ek	epß	plekepßik	plekepszik	plekepß	TRUE	TRUE	TRUE
t	org	oz	torgozik	torgozik	torgoz	TRUE	TRUE	TRUE
sp	en	et	spenetik	spenetik	spenet	TRUE	TRUE	TRUE
k	ágt	áß	kágtáßik	kágtászik	kágtáß	TRUE	TRUE	TRUE
br	ú¬z	úd	brú¬zúdik	brúlyzúdik	brú¬zúd	TRUE	TRUE	TRUE
sk	orl	od	skorlodik	skorlodik	skorlod	TRUE	TRUE	TRUE
h	ih	ékz	hihékzik	hihékzik	hihékz	TRUE	TRUE	TRUE
pr	eß	en	preßenik	preszenik	preßen	TRUE	TRUE	TRUE
sk	arj	ád	skarjádik	skarjádik	skarjád	TRUE	TRUE	TRUE
p	ótl	orz	pótlorzik	pótlorzik	pótlorz	TRUE	TRUE	TRUE
d	aj	iz	dajizik	dajizik	dajiz	TRUE	TRUE	TRUE
tr	üh	örl	trühörlik	trühörlik	trühörl	TRUE	TRUE	TRUE
d	olg	úz	dolgúzik	dolgúzik	dolgúz	FALSE	TRUE	TRUE
sp	az	ád	spazádik	spazádik	spazád	TRUE	TRUE	TRUE
ßt	és	éz	ßtésézik	sztésézik	ßtéséz	TRUE	TRUE	TRUE
pr	id	epß	pridepßik	pridepszik	pridepß	TRUE	TRUE	TRUE
v	ét	é¥l	vété¥lik	véténylik	vété¥l	TRUE	TRUE	FALSE
m	eh	edz	mehedzik	mehedzik	mehedz	TRUE	TRUE	FALSE
z	i¥	az	zi¥azik	zinyazik	zi¥az	TRUE	TRUE	TRUE
dΩ	ut	oz	dΩutozik	dzsutozik	dΩutoz	TRUE	TRUE	FALSE
v	al	amz	valamzik	valamzik	valamz	FALSE	TRUE	FALSE
h	elp	én	helpénik	helpénik	helpén	TRUE	TRUE	TRUE
Ω	id	á¥l	Ωidá¥lik	zsidánylik	Ωidá¥l	TRUE	TRUE	TRUE
br	égz	iz	brégzizik	brégzizik	brégziz	TRUE	TRUE	TRUE
b	ug	od	bugodik	bugodik	bugod	FALSE	TRUE	TRUE
©	ajç	ádz	©ajçádzik	gyajcsádzik	©ajçádz	TRUE	TRUE	TRUE
l	űk	od	lűkodik	lűkodik	lűkod	TRUE	TRUE	TRUE
l	inc	ékß	lincékßik	lincékszik	lincékß	TRUE	TRUE	TRUE
ç	uld	ud	çuldudik	csuldudik	çuldud	TRUE	TRUE	TRUE
dΩ	ök	ődz	dΩökődzik	dzsökődzik	dΩökődz	TRUE	FALSE	TRUE
Ω	id	egß	Ωidegßik	zsidegszik	Ωidegß	FALSE	TRUE	TRUE
z	árf	az	zárfazik	zárfazik	zárfaz	TRUE	FALSE	TRUE
r	ip	akß	ripakßik	ripakszik	ripakß	TRUE	TRUE	TRUE
f	irt	áΩl	firtáΩlik	firtázslik	firtáΩl	TRUE	TRUE	TRUE
†	alt	az	†altazik	tyaltazik	†altaz	TRUE	TRUE	TRUE
n	ig	en	nigenik	nigenik	nigen	TRUE	FALSE	TRUE
s	art	aml	sartamlik	sartamlik	sartaml	TRUE	TRUE	TRUE
ß	í©	éß	ßí©éßik	szígyészik	ßí©éß	TRUE	FALSE	TRUE
f	i¥	étl	fi¥étlik	finyétlik	fi¥étl	TRUE	TRUE	TRUE
d	ipr	é¥l	dipré¥lik	diprénylik	dipré¥l	TRUE	TRUE	TRUE
p	ezd	étl	pezdétlik	pezdétlik	pezdétl	TRUE	TRUE	TRUE
m	apc	arz	mapcarzik	mapcarzik	mapcarz	TRUE	TRUE	TRUE
NA	ajh	ád	ajhádik	ajhádik	ajhád	TRUE	TRUE	TRUE
NA	áßt	iz	áßtizik	ásztizik	áßtiz	TRUE	TRUE	TRUE
p	újh	úd	pújhúdik	pújhúdik	pújhúd	TRUE	TRUE	TRUE
NA	erz	ékz	erzékzik	erzékzik	erzékz	TRUE	TRUE	TRUE
sm	áts	iz	smátsizik	smátsizik	smátsiz	TRUE	TRUE	TRUE
n	int	áß	nintáßik	nintászik	nintáß	TRUE	FALSE	TRUE
c	ujd	onl	cujdonlik	cujdonlik	cujdonl	TRUE	TRUE	TRUE
n	a©	aml	na©amlik	nagyamlik	na©aml	TRUE	TRUE	TRUE
d	ág	á¬l	dágá¬lik	dágálylik	dágá¬l	TRUE	TRUE	TRUE
¥	ik	ádz	¥ikádzik	nyikádzik	¥ikádz	TRUE	TRUE	TRUE
c	ezd	epß	cezdepßik	cezdepszik	cezdepß	TRUE	TRUE	TRUE
dΩ	at	akß	dΩatakßik	dzsatakszik	dΩatakß	TRUE	TRUE	TRUE
NA	ajh	áΩl	ajháΩlik	ajházslik	ajháΩl	TRUE	TRUE	TRUE
d	ü©	önl	dü©önlik	dügyönlik	dü©önl	TRUE	TRUE	FALSE
l	ißt	ékz	lißtékzik	lisztékzik	lißtékz	TRUE	TRUE	TRUE
k	égz	eng	kégzengik	kégzengik	kégzeng	TRUE	TRUE	TRUE
dΩ	űv	okl	dΩűvoklik	dzsűvoklik	dΩűvokl	TRUE	TRUE	TRUE
ßt	ad	ajl	ßtadajlik	sztadajlik	ßtadajl	TRUE	TRUE	TRUE
m	érz	ez	mérzezik	mérzezik	mérzez	TRUE	FALSE	TRUE
g	ám	ajl	gámajlik	gámajlik	gámajl	TRUE	TRUE	TRUE
s	ek	én	sekénik	sekénik	sekén	TRUE	FALSE	TRUE
br	ig	á¬l	brigá¬lik	brigálylik	brigá¬l	TRUE	TRUE	TRUE
br	ar	á¥z	brará¥zik	brarányzik	brará¥z	TRUE	TRUE	TRUE
NA	égz	egl	égzeglik	égzeglik	égzegl	TRUE	TRUE	TRUE
sm	űr	ökl	sműröklik	sműröklik	sműrökl	TRUE	TRUE	TRUE
bl	ek	esl	blekeslik	blekeslik	blekesl	TRUE	TRUE	TRUE
b	olk	orz	bolkorzik	bolkorzik	bolkorz	TRUE	TRUE	TRUE
ç	ajç	ánz	çajçánzik	csajcsánzik	çajçánz	TRUE	TRUE	TRUE
sm	í©	árz	smí©árzik	smígyárzik	smí©árz	TRUE	TRUE	TRUE
t	aj	adz	tajadzik	tajadzik	tajadz	TRUE	FALSE	TRUE
r	ír	apß	rírapßik	rírapszik	rírapß	TRUE	TRUE	TRUE
sk	ev	ez	skevezik	skevezik	skevez	TRUE	TRUE	TRUE
ßt	emp	ez	ßtempezik	sztempezik	ßtempez	TRUE	TRUE	TRUE
©	alk	asl	©alkaslik	gyalkaslik	©alkasl	TRUE	TRUE	TRUE
sm	aç	iz	smaçizik	smacsizik	smaçiz	FALSE	TRUE	TRUE
f	ond	űz	fondűzik	fondűzik	fondűz	TRUE	FALSE	FALSE
n	ug	úd	nugúdik	nugúdik	nugúd	TRUE	TRUE	TRUE
ßt	av	akl	ßtavaklik	sztavaklik	ßtavakl	TRUE	TRUE	TRUE
sp	ond	uz	sponduzik	sponduzik	sponduz	TRUE	TRUE	TRUE
m	ért	ekß	mértekßik	mértekszik	mértekß	TRUE	TRUE	TRUE
r	ezd	esl	rezdeslik	rezdeslik	rezdesl	TRUE	TRUE	TRUE
tr	e†	egß	tre†egßik	tretyegszik	tre†egß	TRUE	TRUE	TRUE
b	irk	ajl	birkajlik	birkajlik	birkajl	TRUE	TRUE	TRUE
j	éh	étl	jéhétlik	jéhétlik	jéhétl	TRUE	TRUE	TRUE
c	iç	á¬l	ciçá¬lik	cicsálylik	ciçá¬l	TRUE	TRUE	TRUE
j	eg	eml	jegemlik	jegemlik	jegeml	TRUE	TRUE	TRUE
d	űv	ud	dűvudik	dűvudik	dűvud	TRUE	TRUE	TRUE
f	átl	adz	fátladzik	fátladzik	fátladz	TRUE	TRUE	TRUE
ßt	ürk	üd	ßtürküdik	sztürküdik	ßtürküd	TRUE	TRUE	TRUE
f	and	atl	fandatlik	fandatlik	fandatl	TRUE	TRUE	TRUE
sn	ódl	úd	snódlúdik	snódlúdik	snódlúd	TRUE	TRUE	TRUE
fl	a†	áΩl	fla†áΩlik	flatyázslik	fla†áΩl	TRUE	TRUE	TRUE
fl	év	en	flévenik	flévenik	fléven	TRUE	TRUE	TRUE
NA	e†	ed	e†edik	etyedik	e†ed	FALSE	TRUE	TRUE
z	odr	od	zodrodik	zodrodik	zodrod	TRUE	TRUE	TRUE
h	öng	őrz	höngőrzik	höngőrzik	höngőrz	TRUE	TRUE	TRUE
j	á¬	ak	já¬akik	jályakik	já¬ak	TRUE	TRUE	TRUE
pl	ih	apß	plihapßik	plihapszik	plihapß	TRUE	TRUE	TRUE
j	énh	et	jénhetik	jénhetik	jénhet	TRUE	TRUE	TRUE
p	ald	arz	paldarzik	paldarzik	paldarz	TRUE	TRUE	TRUE
s	it	á¥l	sitá¥lik	sitánylik	sitá¥l	TRUE	TRUE	TRUE
v	a¥	amz	va¥amzik	vanyamzik	va¥amz	TRUE	TRUE	FALSE
¥	alk	áΩl	¥alkáΩlik	nyalkázslik	¥alkáΩl	TRUE	TRUE	TRUE
d	iv	arz	divarzik	divarzik	divarz	FALSE	TRUE	TRUE
ç	ínl	ed	çínledik	csínledik	çínled	TRUE	FALSE	TRUE
j	as	á¥z	jasá¥zik	jasányzik	jasá¥z	TRUE	TRUE	TRUE
sp	or	ód	sporódik	sporódik	sporód	TRUE	TRUE	TRUE
ßt	i¥	é¥l	ßti¥é¥lik	sztinyénylik	ßti¥é¥l	TRUE	TRUE	TRUE
s	i©	edz	si©edzik	sigyedzik	si©edz	TRUE	TRUE	TRUE
r	ajr	agl	rajraglik	rajraglik	rajragl	TRUE	TRUE	TRUE
z	uml	os	zumlosik	zumlosik	zumlos	TRUE	TRUE	TRUE
p	e†	en	pe†enik	petyenik	pe†en	TRUE	TRUE	TRUE
br	oj	űz	brojűzik	brojűzik	brojűz	TRUE	TRUE	TRUE
tr	u†	orz	tru†orzik	trutyorzik	tru†orz	TRUE	TRUE	TRUE
ß	art	ágl	ßartáglik	szartáglik	ßartágl	TRUE	TRUE	TRUE
m	űr	ódz	műródzik	műródzik	műródz	TRUE	FALSE	TRUE
†	on	úd	†onúdik	tyonúdik	†onúd	TRUE	TRUE	TRUE
fl	áts	ád	flátsádik	flátsádik	flátsád	TRUE	TRUE	TRUE
r	iv	áΩl	riváΩlik	rivázslik	riváΩl	TRUE	TRUE	TRUE
s	érz	erß	sérzerßik	sérzerszik	sérzerß	TRUE	TRUE	TRUE
j	öz	őrz	jözőrzik	jözőrzik	jözőrz	TRUE	TRUE	TRUE
ß	iml	ak	ßimlakik	szimlakik	ßimlak	TRUE	TRUE	TRUE
dΩ	ü©k	őz	dΩü©kőzik	dzsügykőzik	dΩü©kőz	TRUE	FALSE	TRUE
ßt	í¥l	at	ßtí¥latik	sztínylatik	ßtí¥lat	TRUE	TRUE	TRUE
¥	omj	űz	¥omjűzik	nyomjűzik	¥omjűz	TRUE	FALSE	TRUE
z	o©	orz	zo©orzik	zogyorzik	zo©orz	TRUE	TRUE	TRUE
s	üf	örl	süförlik	süförlik	süförl	TRUE	TRUE	FALSE
sk	ib	éß	skibéßik	skibészik	skibéß	TRUE	TRUE	FALSE
z	akn	apß	zaknapßik	zaknapszik	zaknapß	TRUE	TRUE	TRUE
n	ir	ágl	niráglik	niráglik	nirágl	TRUE	TRUE	FALSE
j	öt	önl	jötönlik	jötönlik	jötönl	TRUE	TRUE	TRUE
dΩ	is	arz	dΩisarzik	dzsisarzik	dΩisarz	TRUE	TRUE	FALSE
bl	öv	önl	blövönlik	blövönlik	blövönl	TRUE	TRUE	TRUE
n	ih	az	nihazik	nihazik	nihaz	TRUE	FALSE	TRUE
g	otr	okl	gotroklik	gotroklik	gotrokl	TRUE	TRUE	TRUE
m	eßk	éß	meßkéßik	meszkészik	meßkéß	TRUE	TRUE	TRUE
†	ir	en	†irenik	tyirenik	†iren	TRUE	TRUE	TRUE
sn	ec	éz	snecézik	snecézik	snecéz	TRUE	TRUE	TRUE
†	ek	érß	†ekérßik	tyekérszik	†ekérß	TRUE	TRUE	TRUE
bl	uk	ódz	blukódzik	blukódzik	blukódz	TRUE	TRUE	TRUE
ß	a¥	asl	ßa¥aslik	szanyaslik	ßa¥asl	TRUE	TRUE	FALSE
f	arj	á¥z	farjá¥zik	farjányzik	farjá¥z	TRUE	TRUE	TRUE
c	ö¬k	őd	cö¬kődik	cölykődik	cö¬kőd	TRUE	TRUE	TRUE
dΩ	at	aml	dΩatamlik	dzsatamlik	dΩataml	TRUE	TRUE	TRUE
Ω	ü©	önl	Ωü©önlik	zsügyönlik	Ωü©önl	TRUE	TRUE	FALSE
l	ug	onl	lugonlik	lugonlik	lugonl	TRUE	TRUE	TRUE
s	id	ékß	sidékßik	sidékszik	sidékß	TRUE	TRUE	FALSE
©	and	az	©andazik	gyandazik	©andaz	TRUE	TRUE	TRUE
l	odr	okl	lodroklik	lodroklik	lodrokl	TRUE	TRUE	TRUE
ß	érk	én	ßérkénik	szérkénik	ßérkén	TRUE	TRUE	TRUE
k	orn	űz	kornűzik	kornűzik	kornűz	TRUE	FALSE	TRUE
tr	eng	iz	trengizik	trengizik	trengiz	TRUE	TRUE	TRUE
n	el	én	nelénik	nelénik	nelén	TRUE	FALSE	FALSE
d	edz	ekß	dedzekßik	dedzekszik	dedzekß	TRUE	TRUE	TRUE
tr	oh	úz	trohúzik	trohúzik	trohúz	TRUE	TRUE	TRUE
†	ism	epß	†ismepßik	tyismepszik	†ismepß	TRUE	TRUE	TRUE
dΩ	est	én	dΩesténik	dzsesténik	dΩestén	TRUE	FALSE	TRUE
p	ig	amz	pigamzik	pigamzik	pigamz	TRUE	TRUE	TRUE
sk	ab	aml	skabamlik	skabamlik	skabaml	TRUE	TRUE	TRUE
sm	űn	üß	sműnüßik	sműnüszik	sműnüß	TRUE	TRUE	TRUE
g	őg	őz	gőgőzik	gőgőzik	gőgőz	FALSE	FALSE	TRUE
g	ag	áΩl	gagáΩlik	gagázslik	gagáΩl	TRUE	TRUE	TRUE
f	ív	áz	fívázik	fívázik	fíváz	TRUE	TRUE	TRUE
sk	iΩg	ed	skiΩgedik	skizsgedik	skiΩged	TRUE	TRUE	TRUE
l	újt	ód	lújtódik	lújtódik	lújtód	TRUE	TRUE	FALSE
j	omj	osl	jomjoslik	jomjoslik	jomjosl	TRUE	TRUE	TRUE
v	il	éß	viléßik	vilészik	viléß	TRUE	TRUE	TRUE
¥	é¥k	égß	¥é¥kégßik	nyénykégszik	¥é¥kégß	TRUE	TRUE	TRUE
k	emp	égß	kempégßik	kempégszik	kempégß	TRUE	TRUE	FALSE
sp	ih	es	spihesik	spihesik	spihes	TRUE	TRUE	TRUE
†	ald	ágl	†aldáglik	tyaldáglik	†aldágl	TRUE	TRUE	TRUE
Ω	újh	o¥l	Ωújho¥lik	zsújhonylik	Ωújho¥l	TRUE	TRUE	TRUE
z	en	ez	zenezik	zenezik	zenez	TRUE	FALSE	TRUE
NA	úv	o¥l	úvo¥lik	úvonylik	úvo¥l	TRUE	TRUE	TRUE
tr	ét	egß	trétegßik	trétegszik	trétegß	TRUE	TRUE	TRUE
tr	á¬	ád	trá¬ádik	trályádik	trá¬ád	TRUE	TRUE	TRUE
pr	ac	á¥z	pracá¥zik	pracányzik	pracá¥z	TRUE	TRUE	TRUE
f	ót	uz	fótuzik	fótuzik	fótuz	TRUE	TRUE	TRUE
†	i¥	ek	†i¥ekik	tyinyekik	†i¥ek	TRUE	TRUE	TRUE
ß	oj	úd	ßojúdik	szojúdik	ßojúd	TRUE	TRUE	TRUE
f	esl	éß	fesléßik	feslészik	fesléß	TRUE	TRUE	TRUE
z	eg	egz	zegegzik	zegegzik	zegegz	TRUE	TRUE	TRUE
d	erz	erß	derzerßik	derzerszik	derzerß	TRUE	TRUE	TRUE
©	í¥l	ágl	©í¥láglik	gyínyláglik	©í¥lágl	TRUE	TRUE	TRUE
h	úç	orz	húçorzik	húcsorzik	húçorz	TRUE	TRUE	TRUE
s	ald	at	saldatik	saldatik	saldat	TRUE	TRUE	TRUE
p	ár	atl	páratlik	páratlik	páratl	TRUE	TRUE	TRUE
sn	ór	ód	snóródik	snóródik	snóród	TRUE	TRUE	TRUE
l	irt	erß	lirterßik	lirterszik	lirterß	TRUE	TRUE	FALSE
¥	ip	eml	¥ipemlik	nyipemlik	¥ipeml	TRUE	TRUE	TRUE
v	örl	ődz	vörlődzik	vörlődzik	vörlődz	TRUE	FALSE	FALSE
g	úv	od	gúvodik	gúvodik	gúvod	TRUE	TRUE	TRUE
sk	az	apß	skazapßik	skazapszik	skazapß	TRUE	TRUE	TRUE
