prompt	target_k	target_m
csíkszik	csíkszok	csíkszom
kísdik	kísdok	kísdom
sijzik	sijzok	sijzom
diklik	doklik	domlik
dézzik	dézzek	dézzem
falszik	falszok	falszom
vágrik	vágrok	vágrom
nyegszik	nyegszek	nyegszem
kárzik	kárzok	kárzom
zarlik	zarlok	zarlom
faszlik	faszlok	faszlom
csinylik	csinylok	csinylom
rézlik	rézlek	rézlem
dészlik	dészlek	dészlem
figzik	figzok	figzom
nyinylik	nyinylok	nyinylom
nyöbzik	nyöbzök	nyöbzöm
lézlik	lézlek	lézlem
jüdlik	jüdlök	jüdlöm
csátlik	csátlok	csátlom
csűzzik	csűzzök	csűzzöm
jezlik	jezlek	jezlem
söngik	söngök	söngöm
pitszik	pitszok	pitszom
halszik	halszok	halszom
űgzik	űgzök	űgzöm
ámlik	ámlok	ámlom
csagrik	csagrok	csagrom
vogszik	vogszok	vogszom
fötlik	fötlök	fötlöm
nyoglik	nyoglok	nyoglom
sékszik	sékszek	sékszem
délszik	délszek	délszem
dírlik	dírlok	dírlom
fízlik	fízlok	fízlom
ígszik	ígszok	ígszom
szirzik	szirzok	szirzom
dállik	dállok	dállom
sürlik	sürlök	sürlöm
filszik	filszok	filszom
kűngik	kűngök	kűngöm
lűkszik	lűkszök	lűkszöm
émlik	émlek	émlem
tíszlik	tíszlok	tíszlom
rasdik	rasdok	rasdom
sítszik	sítszok	sítszom
nyűjzik	nyűjzök	nyűjzöm
nyozzik	nyozzok	nyozzom
böklik	böklök	böklöm
mazzik	mazzok	mazzom
járzik	járzok	járzom
nyígzik	nyígzok	nyígzom
áklik	áklok	áklom
csosdik	csosdok	csosdom
mészpik	mészpek	mészpem
bujlik	bujlok	bujlom
hűjzik	hűjzök	hűjzöm
lodlik	lodlok	lodlom
megrik	megrek	megrem
rögrik	rögrök	rögröm
páglik	páglok	páglom
csilszik	csilszok	csilszom
tüngik	tüngök	tüngöm
hákszik	hákszok	hákszom
mogzik	mogzok	mogzom
szirlik	szirlok	szirlom
dusdik	dusdok	dusdom
csikszik	csokszik	csomszik
bétlik	bétlek	bétlem
dirlik	dirlok	dirlom
jeszlik	jeszlek	jeszlem
jöngik	jöngök	jöngöm
béjzik	béjzek	béjzem
hűgrik	hűgrök	hűgröm
nyingik	nyingok	nyingom
nyügszik	nyügszök	nyügszöm
légrik	légrek	légrem
bísdik	bísdok	bísdom
kígszik	kígszok	kígszom
kagzik	kagzok	kagzom
lürzik	lürzök	lürzöm
pöszpik	pöszpök	pöszpöm
mígzik	mígzok	mígzom
bűszpik	bűszpök	bűszpöm
jojlik	jojlok	jojlom
vaszpik	vaszpok	vaszpom
lüklik	lüklök	lüklöm
pesdik	pesdek	pesdem
mugrik	mugrok	mugrom
tézlik	tézlek	tézlem
dobzik	dobzok	dobzom
víslik	víslok	víslom
kűdlik	kűdlök	kűdlöm
feklik	feklek	feklem
fílszik	fílszok	fílszom
kíjlik	kíjlok	kíjlom
féglik	féglek	féglem
nyutszik	nyutszok	nyutszom
nyöglik	nyöglök	nyöglöm
szeglik	szeglek	szeglem
tanylik	tanylok	tanylom
vegszik	vegszek	vegszem
leszpik	leszpek	leszpem
vimlik	vimlok	vimlom
sotszik	sotszok	sotszom
míslik	míslok	míslom
kiglik	kiglok	kiglom
csülszik	csülszök	csülszöm
táglik	táglok	táglom
szanylik	szanylok	szanylom
jungik	jungok	jungom
liszpik	liszpok	liszpom
seszlik	seszlek	seszlem
szögrik	szögrök	szögröm
pűzzik	pűzzök	pűzzöm
bákszik	bákszok	bákszom
jétszik	jétszek	jétszem
véslik	véslek	véslem
szűrzik	szűrzök	szűrzöm
pijlik	pijlok	pijlom
fűjzik	fűjzök	fűjzöm
zikszik	zokszik	zomszik
kunylik	kunylok	kunylom
jűzzik	jűzzök	jűzzöm
jiszpik	jiszpok	jiszpom
poslik	poslok	poslom
líkszik	líkszok	líkszom
manylik	manylok	manylom
küszpik	küszpök	küszpöm
vejzik	vejzek	vejzem
pámlik	pámlok	pámlom
méjlik	méjlek	méjlem
nyubzik	nyubzok	nyubzom
ollik	ollok	ollom
fazzik	fazzok	fazzom
maszpik	maszpok	maszpom
rűklik	rűklök	rűklöm
huszlik	huszlok	huszlom
virlik	virlok	virlom
nyászlik	nyászlok	nyászlom
sugrik	sugrok	sugrom
vösdik	vösdök	vösdöm
fagszik	fagszok	fagszom
jüzzik	jüzzök	jüzzöm
bördik	bördök	bördöm
ígzik	ígzok	ígzom
fájzik	fájzok	fájzom
dömlik	dömlök	dömlöm
ébzik	ébzek	ébzem
lenylik	lenylek	lenylem
csatlik	csatlok	csatlom
nyolszik	nyolszok	nyolszom
rátlik	rátlok	rátlom
jözlik	jözlök	jözlöm
bágzik	bágzok	bágzom
rérlik	rérlek	rérlem
ríbzik	ríbzok	ríbzom
ékszik	ékszek	ékszem
fulszik	fulszok	fulszom
csugzik	csugzok	csugzom
votlik	votlok	votlom
peglik	peglek	peglem
jészlik	jészlek	jészlem
űtszik	űtszök	űtszöm
fenylik	fenylek	fenylem
jáslik	jáslok	jáslom
pürdik	pürdök	pürdöm
hétszik	hétszek	hétszem
höngik	höngök	höngöm
vűgrik	vűgrök	vűgröm
nyíslik	nyíslok	nyíslom
szojlik	szojlok	szojlom
fíllik	fíllok	fíllom
rötlik	rötlök	rötlöm
teklik	teklek	teklem
poklik	poklok	poklom
zéjzik	zéjzek	zéjzem
ülszik	ülszök	ülszöm
nyaslik	nyaslok	nyaslom
cseszpik	cseszpek	cseszpem
csogzik	csogzok	csogzom
üszpik	üszpök	üszpöm
jokszik	jokszok	jokszom
zürdik	zürdök	zürdöm
moglik	moglok	moglom
lotlik	lotlok	lotlom
ráglik	ráglok	ráglom
cságszik	cságszok	cságszom
bígrik	bígrok	bígrom
nyűbzik	nyűbzök	nyűbzöm
szímlik	szímlok	szímlom
szozlik	szozlok	szozlom
bűlszik	bűlszök	bűlszöm
loszpik	loszpok	loszpom
tözlik	tözlök	tözlöm
tüsdik	tüsdök	tüsdöm
fádlik	fádlok	fádlom
széllik	széllek	széllem
csírlik	csírlok	csírlom
szérdik	szérdek	szérdem
tigzik	tigzok	tigzom
zűszlik	zűszlök	zűszlöm
írzik	írzok	írzom
jígrik	jígrok	jígrom
pérlik	pérlek	pérlem
nyűlszik	nyűlszök	nyűlszöm
sogszik	sogszok	sogszom
ludlik	ludlok	ludlom
hübzik	hübzök	hübzöm
zogzik	zogzok	zogzom
nyosdik	nyosdok	nyosdom
logrik	logrok	logrom
hérzik	hérzek	hérzem
kírdik	kírdok	kírdom
sürdik	sürdök	sürdöm
bűzzik	bűzzök	bűzzöm
döszlik	döszlök	döszlöm
fáklik	fáklok	fáklom
putlik	putlok	putlom
jarlik	jarlok	jarlom
dörzik	dörzök	dörzöm
zelszik	zelszek	zelszem
putszik	putszok	putszom
kűjlik	kűjlök	kűjlöm
düzlik	düzlök	düzlöm
lűtszik	lűtszök	lűtszöm
csuzlik	csuzlok	csuzlom
kétszik	kétszek	kétszem
korzik	korzok	korzom
lizlik	lizlok	lizlom
fallik	fallok	fallom
szűsdik	szűsdök	szűsdöm
nyígszik	nyígszok	nyígszom
zötlik	zötlök	zötlöm
röngik	röngök	röngöm
dalszik	dalszok	dalszom
selszik	selszek	selszem
elszik	elszek	elszem
nyükszik	nyükszök	nyükszöm
ziglik	ziglok	ziglom
csonylik	csonylok	csonylom
kinylik	kinylok	kinylom
válszik	válszok	válszom
firlik	firlok	firlom
dekszik	dekszek	dekszem
müszlik	müszlök	müszlöm
löngik	löngök	löngöm
jükszik	jükszök	jükszöm
küzzik	küzzök	küzzöm
csöbzik	csöbzök	csöbzöm
cseszlik	cseszlek	cseszlem
tákszik	tákszok	tákszom
sziszlik	sziszlok	sziszlom
hötszik	hötszök	hötszöm
méglik	méglek	méglem
téllik	téllek	téllem
hönylik	hönylök	hönylöm
jügrik	jügrök	jügröm
kéglik	kéglek	kéglem
lérzik	lérzek	lérzem
lűlszik	lűlszök	lűlszöm
fédlik	fédlek	fédlem
mengik	mengek	mengem
somlik	somlok	somlom
véglik	véglek	véglem
nyoklik	nyoklok	nyoklom
jiszlik	jiszlok	jiszlom
fűngik	fűngök	fűngöm
séklik	séklek	séklem
pokszik	pokszok	pokszom
ágrik	ágrok	ágrom
csutlik	csutlok	csutlom
rárdik	rárdok	rárdom
csadlik	csadlok	csadlom
vogzik	vogzok	vogzom
zűsdik	zűsdök	zűsdöm
bérlik	bérlek	bérlem
vözlik	vözlök	vözlöm
tizlik	tizlok	tizlom
széglik	széglek	széglem
puslik	puslok	puslom
perlik	perlek	perlem
béjlik	béjlek	béjlem
jöjlik	jöjlök	jöjlöm
huglik	huglok	huglom
tíklik	tíklok	tíklom
tülszik	tülszök	tülszöm
vutszik	vutszok	vutszom
csíszlik	csíszlok	csíszlom
duszpik	duszpok	duszpom
uszpik	uszpok	uszpom
sitszik	sitszok	sitszom
bosdik	bosdok	bosdom
sördik	sördök	sördöm
rüklik	rüklök	rüklöm
pöglik	pöglök	pöglöm
kozzik	kozzok	kozzom
dakszik	dakszok	dakszom
csérlik	csérlek	csérlem
szomlik	szomlok	szomlom
pelszik	pelszek	pelszem
pöbzik	pöbzök	pöbzöm
csűllik	csűllök	csűllöm
vuszpik	vuszpok	vuszpom
csűrlik	csűrlök	csűrlöm
üsdik	üsdök	üsdöm
mirlik	mirlok	mirlom
hütszik	hütszök	hütszöm
márlik	márlok	márlom
razlik	razlok	razlom
bobzik	bobzok	bobzom
hűrzik	hűrzök	hűrzöm
jájzik	jájzok	jájzom
éngik	éngek	éngem
disdik	disdok	disdom
amlik	amlok	amlom
lázzik	lázzok	lázzom
rűngik	rűngök	rűngöm
turzik	turzok	turzom
vitszik	vitszok	vitszom
jetszik	jetszek	jetszem
szűrdik	szűrdök	szűrdöm
vördik	vördök	vördöm
zűzlik	zűzlök	zűzlöm
vurdik	vurdok	vurdom
pűlszik	pűlszök	pűlszöm
mötszik	mötszök	mötszöm
csiglik	csiglok	csiglom
soglik	soglok	soglom
süslik	süslök	süslöm
mükszik	mükszök	mükszöm
jötszik	jötszök	jötszöm
dumlik	dumlok	dumlom
hitszik	hitszok	hitszom
szusdik	szusdok	szusdom
hánylik	hánylok	hánylom
viklik	voklik	vomlik
pebzik	pebzek	pebzem
íklik	íklok	íklom
nyozlik	nyozlok	nyozlom
ságzik	ságzok	ságzom
meszlik	meszlek	meszlem
jenylik	jenylek	jenylem
csájzik	csájzok	csájzom
zínylik	zínylok	zínylom
follik	follok	follom
zűrdik	zűrdök	zűrdöm
nyekszik	nyekszek	nyekszem
tojlik	tojlok	tojlom
élszik	élszek	élszem
csaszlik	csaszlok	csaszlom
hűglik	hűglök	hűglöm
lűgrik	lűgrök	lűgröm
jogrik	jogrok	jogrom
löslik	löslök	löslöm
nyészlik	nyészlek	nyészlem
kozlik	kozlok	kozlom
pislik	pislok	pislom
pigszik	pigszok	pigszom
mizzik	mizzok	mizzom
hégzik	hégzek	hégzem
léngik	léngek	léngem
vüszpik	vüszpök	vüszpöm
nyádlik	nyádlok	nyádlom
joslik	joslok	joslom
szagrik	szagrok	szagrom
musdik	musdok	musdom
ibzik	ibzok	ibzom
zíllik	zíllok	zíllom
rogszik	rogszok	rogszom
hojlik	hojlok	hojlom
tírlik	tírlok	tírlom
tájlik	tájlok	tájlom
kujzik	kujzok	kujzom
töszpik	töszpök	töszpöm
kűtlik	kűtlök	kűtlöm
taszlik	taszlok	taszlom
tubzik	tubzok	tubzom
szákszik	szákszok	szákszom
hijzik	hijzok	hijzom
kujlik	kujlok	kujlom
műgszik	műgszök	műgszöm
vijzik	vijzok	vijzom
cserzik	cserzek	cserzem
járlik	járlok	járlom
lardik	lardok	lardom
szűszpik	szűszpök	szűszpöm
szájzik	szájzok	szájzom
jögszik	jögszök	jögszöm
lűzlik	lűzlök	lűzlöm
herlik	herlek	herlem
jeklik	jeklek	jeklem
takszik	takszok	takszom
brüfüszik	brüfüszök	brüfüszöm
simlakszik	simlakszok	simlakszom
tigekszik	tigekszek	tigekszem
kúvűdzik	kúvűdzök	kúvűdzöm
nyínylatlik	nyínylatlok	nyínylatlom
dzsúvúzik	dzsúvúzok	dzsúvúzom
votyudik	votyudok	votyudom
negyérlik	negyérlek	negyérlem
lártyadzik	lártyadzok	lártyadzom
pelemlik	pelemlek	pelemlem
nyúdbózik	nyúdbózok	nyúdbózom
ocsódzik	ocsódzok	ocsódzom
blugódik	blugódok	blugódom
flusódik	flusódok	flusódom
korzsudik	korzsudok	korzsudom
nálmajlik	nálmajlok	nálmajlom
fladázik	fladázok	fladázom
flígyazik	flígyazok	flígyazom
ceszkégszik	ceszkégszek	ceszkégszem
pléreslik	pléreslek	pléreslem
cogyozik	cogyozok	cogyozom
smackatik	smackatok	smackatom
bisztadzik	bisztadzok	bisztadzom
nágtaslik	nágtaslok	nágtaslom
hondudik	hondudok	hondudom
gyasztajlik	gyasztajlok	gyasztajlom
tyirkázik	tyirkázok	tyirkázom
trógozik	trógozok	trógozom
zsártyárzik	zsártyárzok	zsártyárzom
flizsázslik	flizsázslok	flizsázslom
zsühőzik	zsühőzök	zsühőzöm
nyugyosik	nyugyosok	nyugyosom
pablazik	pablazok	pablazom
zsetketik	zsetketek	zsetketem
csejtenik	csejtenek	csejtenem
kidrégszik	kidrégszek	kidrégszem
skirézik	skirézek	skirézem
blortyudik	blortyudok	blortyudom
talmászik	talmászok	talmászom
gugyúzik	gugyúzok	gugyúzom
zsurhódzik	zsurhódzok	zsurhódzom
vingakszik	vingakszok	vingakszom
hétemlik	hétemlek	hétemlem
zújhoslik	zújhoslok	zújhoslom
zsermékzik	zsermékzek	zsermékzem
brűnoslik	brűnoslok	brűnoslom
plidégszik	plidégszek	plidégszem
jirtamlik	jirtamlok	jirtamlom
bismaslik	bismaslok	bismaslom
prizsedzik	prizsedzek	prizsedzem
skicsaglik	skicsaglok	skicsaglom
sépékszik	sépékszek	sépékszem
sárkálylik	sárkálylok	sárkálylom
igakszik	igakszok	igakszom
lámpánzik	lámpánzok	lámpánzom
szizsajlik	szizsajlok	szizsajlom
szivetik	szivetek	szivetem
teszkepszik	teszkepszek	teszkepszem
dindakik	dindakok	dindakom
jépekszik	jépekszek	jépekszem
pribázslik	pribázslok	pribázslom
zsifjedzik	zsifjedzek	zsifjedzem
dűglonylik	dűglonylok	dűglonylom
flütkőzik	flütkőzök	flütkőzöm
mányadzik	mányadzok	mányadzom
pricsárzik	pricsárzok	pricsárzom
zsojtodik	zsojtodok	zsojtodom
déhékzik	déhékzek	déhékzem
tévegszik	tévegszek	tévegszem
dzsitajlik	dzsitajlok	dzsitajlom
mámpatlik	mámpatlok	mámpatlom
melcsénik	melcsének	melcsénem
nétedzik	nétedzek	nétedzem
snocsűdzik	snocsűdzök	snocsűdzöm
sajtádik	sajtádok	sajtádom
dzsüfődik	dzsüfődök	dzsüfődöm
plidegzik	plidegzek	plidegzem
nyáltarzik	nyáltarzok	nyáltarzom
tyagyamzik	tyagyamzok	tyagyamzom
zsínlatik	zsínlatok	zsínlatom
brúdbózik	brúdbózok	brúdbózom
zsénykénik	zsénykének	zsénykénem
bidrádik	bidrádok	bidrádom
snépézik	snépézek	snépézem
lözödik	lözödök	lözödöm
trűkosik	trűkosok	trűkosom
csihádik	csihádok	csihádom
bűvőrzik	bűvőrzök	bűvőrzöm
cínylérszik	cínylérszek	cínylérszem
nyetyepszik	nyetyepszek	nyetyepszem
szetyedzik	szetyedzek	szetyedzem
szagylatik	szagylatok	szagylatom
enyejlik	enyejlek	enyejlem
salárzik	salárzok	salárzom
döződzik	döződzök	döződzöm
snempekik	snempekek	snempekem
csőrkörlik	csőrkörlök	csőrkörlöm
zsáltaklik	zsáltaklok	zsáltaklom
snömönlik	snömönlök	snömönlöm
botoklik	botoklok	botoklom
plekepszik	plekepszek	plekepszem
torgozik	torgozok	torgozom
spenetik	spenetek	spenetem
kágtászik	kágtászok	kágtászom
brúlyzúdik	brúlyzúdok	brúlyzúdom
skorlodik	skorlodok	skorlodom
hihékzik	hihékzek	hihékzem
preszenik	preszenek	preszenem
skarjádik	skarjádok	skarjádom
pótlorzik	pótlorzok	pótlorzom
dajizik	dajizok	dajizom
trühörlik	trühörlök	trühörlöm
spazádik	spazádok	spazádom
sztésézik	sztésézek	sztésézem
pridepszik	pridepszek	pridepszem
zinyazik	zinyazok	zinyazom
helpénik	helpének	helpénem
zsidánylik	zsidánylok	zsidánylom
brégzizik	brégzizok	brégzizom
gyajcsádzik	gyajcsádzok	gyajcsádzom
lűkodik	lűkodok	lűkodom
lincékszik	lincékszek	lincékszem
csuldudik	csuldudok	csuldudom
ripakszik	ripakszok	ripakszom
firtázslik	firtázslok	firtázslom
tyaltazik	tyaltazok	tyaltazom
sartamlik	sartamlok	sartamlom
finyétlik	finyétlek	finyétlem
diprénylik	diprénylek	diprénylem
pezdétlik	pezdétlek	pezdétlem
mapcarzik	mapcarzok	mapcarzom
ajhádik	ajhádok	ajhádom
ásztizik	ásztizok	ásztizom
pújhúdik	pújhúdok	pújhúdom
erzékzik	erzékzek	erzékzem
smátsizik	smátsizok	smátsizom
cujdonlik	cujdonlok	cujdonlom
nagyamlik	nagyamlok	nagyamlom
dágálylik	dágálylok	dágálylom
nyikádzik	nyokádzik	nyomádzik
cezdepszik	cezdepszek	cezdepszem
dzsatakszik	dzsatakszok	dzsatakszom
ajházslik	ajházslok	ajházslom
lisztékzik	lisztékzek	lisztékzem
kégzengik	kégzengek	kégzengem
dzsűvoklik	dzsűvoklok	dzsűvoklom
sztadajlik	sztadajlok	sztadajlom
gámajlik	gámajlok	gámajlom
brigálylik	brigálylok	brigálylom
brarányzik	brarányzok	brarányzom
égzeglik	égzeglek	égzeglem
sműröklik	sműröklök	sműröklöm
blekeslik	blekeslek	blekeslem
bolkorzik	bolkorzok	bolkorzom
csajcsánzik	csajcsánzok	csajcsánzom
smígyárzik	smígyárzok	smígyárzom
rírapszik	rírapszok	rírapszom
skevezik	skevezek	skevezem
sztempezik	sztempezek	sztempezem
gyalkaslik	gyalkaslok	gyalkaslom
nugúdik	nugúdok	nugúdom
sztavaklik	sztavaklok	sztavaklom
sponduzik	sponduzok	sponduzom
mértekszik	mértekszek	mértekszem
rezdeslik	rezdeslek	rezdeslem
tretyegszik	tretyegszek	tretyegszem
birkajlik	birkajlok	birkajlom
jéhétlik	jéhétlek	jéhétlem
cicsálylik	cicsálylok	cicsálylom
jegemlik	jegemlek	jegemlem
dűvudik	dűvudok	dűvudom
fátladzik	fátladzok	fátladzom
sztürküdik	sztürküdök	sztürküdöm
fandatlik	fandatlok	fandatlom
snódlúdik	snódlúdok	snódlúdom
flatyázslik	flatyázslok	flatyázslom
flévenik	flévenek	flévenem
zodrodik	zodrodok	zodrodom
höngőrzik	höngőrzök	höngőrzöm
jályakik	jályakok	jályakom
plihapszik	plihapszok	plihapszom
jénhetik	jénhetek	jénhetem
paldarzik	paldarzok	paldarzom
sitánylik	sitánylok	sitánylom
nyalkázslik	nyalkázslok	nyalkázslom
jasányzik	jasányzok	jasányzom
sporódik	sporódok	sporódom
sztinyénylik	sztinyénylek	sztinyénylem
sigyedzik	sigyedzek	sigyedzem
rajraglik	rajraglok	rajraglom
zumlosik	zumlosok	zumlosom
petyenik	petyenek	petyenem
brojűzik	brojűzök	brojűzöm
trutyorzik	trutyorzok	trutyorzom
szartáglik	szartáglok	szartáglom
tyonúdik	tyonúdok	tyonúdom
flátsádik	flátsádok	flátsádom
rivázslik	rivázslok	rivázslom
sérzerszik	sérzerszek	sérzerszem
jözőrzik	jözőrzök	jözőrzöm
szimlakik	szimlakok	szimlakom
sztínylatik	sztínylatok	sztínylatom
zogyorzik	zogyorzok	zogyorzom
zaknapszik	zaknapszok	zaknapszom
jötönlik	jötönlök	jötönlöm
blövönlik	blövönlök	blövönlöm
gotroklik	gotroklok	gotroklom
meszkészik	meszkészek	meszkészem
tyirenik	tyirenek	tyirenem
snecézik	snecézek	snecézem
tyekérszik	tyekérszek	tyekérszem
blukódzik	blukódzok	blukódzom
farjányzik	farjányzok	farjányzom
cölykődik	cölykődök	cölykődöm
dzsatamlik	dzsatamlok	dzsatamlom
lugonlik	lugonlok	lugonlom
gyandazik	gyandazok	gyandazom
lodroklik	lodroklok	lodroklom
szérkénik	szérkének	szérkénem
trengizik	trengizok	trengizom
dedzekszik	dedzekszek	dedzekszem
trohúzik	trohúzok	trohúzom
tyismepszik	tyismepszek	tyismepszem
pigamzik	pigamzok	pigamzom
skabamlik	skabamlok	skabamlom
sműnüszik	sműnüszök	sműnüszöm
gagázslik	gagázslok	gagázslom
fívázik	fívázok	fívázom
skizsgedik	skizsgedek	skizsgedem
jomjoslik	jomjoslok	jomjoslom
vilészik	vilészek	vilészem
nyénykégszik	nyénykégszek	nyénykégszem
spihesik	spihesek	spihesem
tyaldáglik	tyaldáglok	tyaldáglom
zsújhonylik	zsújhonylok	zsújhonylom
úvonylik	úvonylok	úvonylom
trétegszik	trétegszek	trétegszem
trályádik	trályádok	trályádom
pracányzik	pracányzok	pracányzom
fótuzik	fótuzok	fótuzom
tyinyekik	tyinyekek	tyinyekem
szojúdik	szojúdok	szojúdom
feslészik	feslészek	feslészem
zegegzik	zegegzek	zegegzem
derzerszik	derzerszek	derzerszem
gyínyláglik	gyínyláglok	gyínyláglom
húcsorzik	húcsorzok	húcsorzom
saldatik	saldatok	saldatom
páratlik	páratlok	páratlom
snóródik	snóródok	snóródom
nyipemlik	nyipemlek	nyipemlem
gúvodik	gúvodok	gúvodom
skazapszik	skazapszok	skazapszom
tyirerszik	tyirerszek	tyirerszem
momborzik	momborzok	momborzom
bőrödik	bőrödök	bőrödöm
heskegszik	heskegszek	heskegszem
mámkánylik	mámkánylok	mámkánylom
flultozik	flultozok	flultozom
cűtúzik	cűtúzok	cűtúzom
szarjajlik	szarjajlok	szarjajlom
turjuzik	turjuzok	turjuzom
lúzoslik	lúzoslok	lúzoslom
jétkizik	jétkizok	jétkizom
hőrlöslik	hőrlöslök	hőrlöslöm
solozik	solozok	solozom
cengétlik	cengétlek	cengétlem
rapagzik	rapagzok	rapagzom
sztohorzik	sztohorzok	sztohorzom
smígyemlik	smígyemlek	smígyemlem
flilekszik	flilekszek	flilekszem
gyölödik	gyölödök	gyölödöm
kutyódik	kutyódok	kutyódom
óguzik	óguzok	óguzom
sztenyégszik	sztenyégszek	sztenyégszem
snatagszik	snatagszok	snatagszom
vodrudik	vodrudok	vodrudom
gagamzik	gagamzok	gagamzom
rofudik	rofudok	rofudom
nyivágzik	nyivágzok	nyivágzom
plumludik	plumludok	plumludom
plaragszik	plaragszok	plaragszom
trávadzik	trávadzok	trávadzom
sztipányzik	sztipányzok	sztipányzom
csarkajlik	csarkajlok	csarkajlom
gácsazik	gácsazok	gácsazom
brolyozik	brolyozok	brolyozom
profúzik	profúzok	profúzom
sigyánzik	sigyánzok	sigyánzom
rarkagzik	rarkagzok	rarkagzom
felékzik	felékzek	felékzem
bridretik	bridretek	bridretem
spánkatik	spánkatok	spánkatom
neszkerszik	neszkerszek	neszkerszem
nácsamlik	nácsamlok	nácsamlom
blásarzik	blásarzok	blásarzom
dirkágzik	dirkágzok	dirkágzom
prucskűzik	prucskűzök	prucskűzöm
suskonylik	suskonylok	suskonylom
gyimlányzik	gyimlányzok	gyimlányzom
brekérlik	brekérlek	brekérlem
fimberszik	fimberszek	fimberszem
blámkazik	blámkazok	blámkazom
gukodik	gukodok	gukodom
prámpakik	prámpakok	prámpakom
bínylajlik	bínylajlok	bínylajlom
pismánylik	pismánylok	pismánylom
dáprakik	dáprakok	dáprakom
lotronlik	lotronlok	lotronlom
sólyonylik	sólyonylok	sólyonylom
sonzosik	sonzosok	sonzosom
blotyoklik	blotyoklok	blotyoklom
juskűzik	juskűzök	juskűzöm
flajcsázik	flajcsázok	flajcsázom
csatyáglik	csatyáglok	csatyáglom
tyagádzik	tyagádzok	tyagádzom
plapaklik	plapaklok	plapaklom
paknánylik	paknánylok	paknánylom
nyűtózik	nyűtózok	nyűtózom
nyotyűdzik	nyotyűdzök	nyotyűdzöm
gyincakik	gyincakok	gyincakom
trivádik	trivádok	trivádom
handagszik	handagszok	handagszom
cikratlik	cokratlik	comratlik
jeneslik	jeneslek	jeneslem
tyicegzik	tyicegzek	tyicegzem
dácsázslik	dácsázslok	dácsázslom
sifjányzik	sifjányzok	sifjányzom
nyincekszik	nyincekszek	nyincekszem
brizsézik	brizsézek	brizsézem
góronlik	góronlok	góronlom
zétkengik	zétkengek	zétkengem
prunyorzik	prunyorzok	prunyorzom
skácsadzik	skácsadzok	skácsadzom
ziflemlik	ziflemlek	ziflemlem
caldapszik	caldapszok	caldapszom
devepszik	devepszek	devepszem
gyűnonylik	gyűnonylok	gyűnonylom
sztotúdik	sztotúdok	sztotúdom
flibánylik	flibánylok	flibánylom
zésérszik	zésérszek	zésérszem
