prompt	tr	nsyl	ending	target_k	target_m
spéslik	spéslik	1	lik	spéslek	spéslem
düjzik	düjzik	1	zik	düjzök	düjzöm
sitlik	sitlik	1	lik	sitlok	sitlom
dralszik	dralßik	1	zik	dralszok	dralszom
bükszik	bükßik	1	zik	bükszök	bükszöm
jüslik	jüslik	1	lik	jüslök	jüslöm
aglik	aglik	1	lik	aglok	aglom
szirlik	ßirlik	1	lik	szirlok	szirlom
mékszik	mékßik	1	zik	mékszek	mékszem
spűmlik	spűmlik	1	lik	spűmlök	spűmlöm
szabzik	ßabzik	1	zik	szabzok	szabzom
klubzik	klubzik	1	zik	klubzok	klubzom
plödlik	plödlik	1	lik	plödlök	plödlöm
hatlik	hatlik	1	lik	hatlok	hatlom
spröbzik	spröbzik	1	zik	spröbzök	spröbzöm
píjlik	píjlik	1	lik	píjlok	píjlom
csukszik	çukßik	1	zik	csukszok	csukszom
plajlik	plajlik	1	lik	plajlok	plajlom
urzik	urzik	1	zik	urzok	urzom
drügzik	drügzik	1	zik	drügzök	drügzöm
félszik	félßik	1	zik	félszek	félszem
taslik	taslik	1	lik	taslok	taslom
floglik	floglik	1	lik	floglok	floglom
bobzik	bobzik	1	zik	bobzok	bobzom
spüjzik	spüjzik	1	zik	spüjzök	spüjzöm
bríszlik	bríßlik	1	lik	bríszlok	bríszlom
kumlik	kumlik	1	lik	kumlok	kumlom
böjzik	böjzik	1	zik	böjzök	böjzöm
sprökszik	sprökßik	1	zik	sprökszök	sprökszöm
paszlik	paßlik	1	lik	paszlok	paszlom
drobzik	drobzik	1	zik	drobzok	drobzom
törlik	törlik	1	lik	törlök	törlöm
brubzik	brubzik	1	zik	brubzok	brubzom
sprédlik	sprédlik	1	lik	sprédlek	sprédlem
drikszik	drikßik	1	zik	drokszik	dromszik
spüszlik	spüßlik	1	lik	spüszlök	spüszlöm
klörlik	klörlik	1	lik	klörlök	klörlöm
zurlik	zurlik	1	lik	zurlok	zurlom
ímlik	ímlik	1	lik	ímlok	ímlom
csírzik	çírzik	1	zik	csírzok	csírzom
szegzik	ßegzik	1	zik	szegzek	szegzem
sztrédlik	ßtrédlik	1	lik	sztrédlek	sztrédlem
jazlik	jazlik	1	lik	jazlok	jazlom
csíszlik	çíßlik	1	lik	csíszlok	csíszlom
fligzik	fligzik	1	zik	fligzok	fligzom
flüslik	flüslik	1	lik	flüslök	flüslöm
trözlik	trözlik	1	lik	trözlök	trözlöm
pluslik	pluslik	1	lik	pluslok	pluslom
nyáslik	¥áslik	1	lik	nyáslok	nyáslom
pebzik	pebzik	1	zik	pebzek	pebzem
drászlik	dráßlik	1	lik	drászlok	drászlom
vanylik	va¥lik	1	lik	vanylok	vanylom
trilszik	trilßik	1	zik	trilszok	trilszom
féjzik	féjzik	1	zik	féjzek	féjzem
cségzik	çégzik	1	zik	cségzek	cségzem
spedlik	spedlik	1	lik	spedlek	spedlem
tűjzik	tűjzik	1	zik	tűjzök	tűjzöm
pletlik	pletlik	1	lik	pletlek	pletlem
ploklik	ploklik	1	lik	ploklok	ploklom
troklik	troklik	1	lik	troklok	troklom
plűbzik	plűbzik	1	zik	plűbzök	plűbzöm
rílszik	rílßik	1	zik	rílszok	rílszom
klátlik	klátlik	1	lik	klátlok	klátlom
jonylik	jo¥lik	1	lik	jonylok	jonylom
szüzlik	ßüzlik	1	lik	szüzlök	szüzlöm
jíjzik	jíjzik	1	zik	jíjzok	jíjzom
plugzik	plugzik	1	zik	plugzok	plugzom
sűzlik	sűzlik	1	lik	sűzlök	sűzlöm
sztrélszik	ßtrélßik	1	zik	sztrélszek	sztrélszem
mánylik	má¥lik	1	lik	mánylok	mánylom
plíjzik	plíjzik	1	zik	plíjzok	plíjzom
pálszik	pálßik	1	zik	pálszok	pálszom
juszlik	jußlik	1	lik	juszlok	juszlom
zigzik	zigzik	1	zik	zigzok	zigzom
táklik	táklik	1	lik	táklok	táklom
borlik	borlik	1	lik	borlok	borlom
zödlik	zödlik	1	lik	zödlök	zödlöm
csuzlik	çuzlik	1	lik	csuzlok	csuzlom
nyökszik	¥ökßik	1	zik	nyökszök	nyökszöm
nyeklik	¥eklik	1	lik	nyeklek	nyeklem
matszik	matßik	1	zik	matszok	matszom
plíszlik	plíßlik	1	lik	plíszlok	plíszlom
vízlik	vízlik	1	lik	vízlok	vízlom
meslik	meslik	1	lik	meslek	meslem
zűmlik	zűmlik	1	lik	zűmlök	zűmlöm
hűgzik	hűgzik	1	zik	hűgzök	hűgzöm
agzik	agzik	1	zik	agzok	agzom
friszlik	frißlik	1	lik	friszlok	friszlom
jorzik	jorzik	1	zik	jorzok	jorzom
trétlik	trétlik	1	lik	trétlek	trétlem
tulszik	tulßik	1	zik	tulszok	tulszom
sztrűkszik	ßtrűkßik	1	zik	sztrűkszök	sztrűkszöm
étlik	étlik	1	lik	étlek	étlem
szűslik	ßűslik	1	lik	szűslök	szűslöm
vűjlik	vűjlik	1	lik	vűjlök	vűjlöm
csiklik	çiklik	1	lik	csoklik	csomlik
flitlik	flitlik	1	lik	flitlok	flitlom
trurlik	trurlik	1	lik	trurlok	trurlom
sztrínylik	ßtrí¥lik	1	lik	sztrínylok	sztrínylom
kürlik	kürlik	1	lik	kürlök	kürlöm
klidlik	klidlik	1	lik	klidlok	klidlom
drozlik	drozlik	1	lik	drozlok	drozlom
huklik	huklik	1	lik	huklok	huklom
sprálszik	sprálßik	1	zik	sprálszok	sprálszom
tomlik	tomlik	1	lik	tomlok	tomlom
spírzik	spírzik	1	zik	spírzok	spírzom
prezlik	prezlik	1	lik	prezlek	prezlem
sprogzik	sprogzik	1	zik	sprogzok	sprogzom
praslik	praslik	1	lik	praslok	praslom
özlik	özlik	1	lik	özlök	özlöm
sztrijzik	ßtrijzik	1	zik	sztrijzok	sztrijzom
tragzik	tragzik	1	zik	tragzok	tragzom
spélszik	spélßik	1	zik	spélszek	spélszem
bölszik	bölßik	1	zik	bölszök	bölszöm
déjlik	déjlik	1	lik	déjlek	déjlem
fretszik	fretßik	1	zik	fretszek	fretszem
ruslik	ruslik	1	lik	ruslok	ruslom
jötlik	jötlik	1	lik	jötlök	jötlöm
treglik	treglik	1	lik	treglek	treglem
brarzik	brarzik	1	zik	brarzok	brarzom
flözlik	flözlik	1	lik	flözlök	flözlöm
brutlik	brutlik	1	lik	brutlok	brutlom
pézlik	pézlik	1	lik	pézlek	pézlem
flátszik	flátßik	1	zik	flátszok	flátszom
sádlik	sádlik	1	lik	sádlok	sádlom
frakszik	frakßik	1	zik	frakszok	frakszom
pítszik	pítßik	1	zik	pítszok	pítszom
frerzik	frerzik	1	zik	frerzek	frerzem
sprűglik	sprűglik	1	lik	sprűglök	sprűglöm
ülszik	ülßik	1	zik	ülszök	ülszöm
sztrurzik	ßtrurzik	1	zik	sztrurzok	sztrurzom
prínylik	prí¥lik	1	lik	prínylok	prínylom
nyitszik	¥itßik	1	zik	nyitszok	nyitszom
brarlik	brarlik	1	lik	brarlok	brarlom
sztrítszik	ßtrítßik	1	zik	sztrítszok	sztrítszom
trákszik	trákßik	1	zik	trákszok	trákszom
flörzik	flörzik	1	zik	flörzök	flörzöm
sztrozlik	ßtrozlik	1	lik	sztrozlok	sztrozlom
drűslik	drűslik	1	lik	drűslök	drűslöm
tínylik	tí¥lik	1	lik	tínylok	tínylom
klaráglik	klaráglik	2	lik	klaráglok	klaráglom
lágakszik	lágakßik	2	zik	lágakszok	lágakszom
gyatágzik	©atágzik	2	zik	gyatágzok	gyatágzom
lubódzik	lubódzik	2	zik	lubódzok	lubódzom
spohódzik	spohódzik	2	zik	spohódzok	spohódzom
kilaglik	kilaglik	2	lik	kilaglok	kilaglom
vilejlik	vilejlik	2	lik	vilejlek	vilejlem
delénylik	delé¥lik	2	lik	delénylek	delénylem
tréleslik	tréleslik	2	lik	tréleslek	tréleslem
felégszik	felégßik	2	zik	felégszek	felégszem
málapszik	málapßik	2	zik	málapszok	málapszom
frihágzik	frihágzik	2	zik	frihágzok	frihágzom
fralárzik	fralárzik	2	zik	fralárzok	fralárzom
bélejlik	bélejlik	2	lik	bélejlek	bélejlem
szibaglik	ßibaglik	2	lik	szibaglok	szibaglom
nyélemlik	¥élemlik	2	lik	nyélemlek	nyélemlem
driharzik	driharzik	2	zik	driharzok	driharzom
firadzik	firadzik	2	zik	firadzok	firadzom
gyihegszik	©ihegßik	2	zik	gyihegszek	gyihegszem
gyivékszik	©ivékßik	2	zik	gyivékszek	gyivékszem
nyiraklik	¥iraklik	2	lik	nyiraklok	nyiraklom
prihádzik	prihádzik	2	zik	prihádzok	prihádzom
tárapszik	tárapßik	2	zik	tárapszok	tárapszom
fliragzik	fliragzik	2	zik	fliragzok	fliragzom
riláglik	riláglik	2	lik	riláglok	riláglom
klibadzik	klibadzik	2	zik	klibadzok	klibadzom
varáglik	varáglik	2	lik	varáglok	varáglom
vilakszik	vilakßik	2	zik	vilakszok	vilakszom
klirágzik	klirágzik	2	zik	klirágzok	klirágzom
klatárzik	klatárzik	2	zik	klatárzok	klatárzom
fivepszik	fivepßik	2	zik	fivepszek	fivepszem
frivajlik	frivajlik	2	lik	frivajlok	frivajlom
mibagszik	mibagßik	2	zik	mibagszok	mibagszom
spubonylik	spubo¥lik	2	lik	spubonylok	spubonylom
drivapszik	drivapßik	2	zik	drivapszok	drivapszom
tövőrzik	tövőrzik	2	zik	tövőrzök	tövőrzöm
flehénylik	flehé¥lik	2	lik	flehénylek	flehénylem
plövőrzik	plövőrzik	2	zik	plövőrzök	plövőrzöm
pratágzik	pratágzik	2	zik	pratágzok	pratágzom
nyibejlik	¥ibejlik	2	lik	nyibejlek	nyibejlem
bihánylik	bihá¥lik	2	lik	bihánylok	bihánylom
luborzik	luborzik	2	zik	luborzok	luborzom
flűröklik	flűröklik	2	lik	flűröklök	flűröklöm
trihagzik	trihagzik	2	zik	trihagzok	trihagzom
gilegzik	gilegzik	2	zik	gilegzek	gilegzem
klubonylik	klubo¥lik	2	lik	klubonylok	klubonylom
kérepszik	kérepßik	2	zik	kérepszek	kérepszem
spibádzik	spibádzik	2	zik	spibádzok	spibádzom
klibamlik	klibamlik	2	lik	klibamlok	klibamlom
iránylik	irá¥lik	2	lik	iránylok	iránylom
pliraglik	pliraglik	2	lik	pliraglok	pliraglom
fliraklik	fliraklik	2	lik	fliraklok	fliraklom
hatánylik	hatá¥lik	2	lik	hatánylok	hatánylom
drubódzik	drubódzik	2	zik	drubódzok	drubódzom
spilágzik	spilágzik	2	zik	spilágzok	spilágzom
bivégszik	bivégßik	2	zik	bivégszek	bivégszem
tribarzik	tribarzik	2	zik	tribarzok	tribarzom
salárzik	salárzik	2	zik	salárzok	salárzom
nűröklik	nűröklik	2	lik	nűröklök	nűröklöm
klövűdzik	klövűdzik	2	zik	klövűdzök	klövűdzöm
pivegszik	pivegßik	2	zik	pivegszek	pivegszem
hurjorzik	hurjorzik	2	zik	hurjorzok	hurjorzom
flagárzik	flagárzik	2	zik	flagárzok	flagárzom
huroslik	huroslik	2	lik	huroslok	huroslom
fövűdzik	fövűdzik	2	zik	fövűdzök	fövűdzöm
tugonylik	tugo¥lik	2	lik	tugonylok	tugonylom
trihemlik	trihemlik	2	lik	trihemlek	trihemlem
sérejlik	sérejlik	2	lik	sérejlek	sérejlem
dáladzik	dáladzik	2	zik	dáladzok	dáladzom
bribaglik	bribaglik	2	lik	bribaglok	bribaglom
kibemlik	kibemlik	2	lik	kibemlek	kibemlem
dürődzik	dürődzik	2	zik	dürődzök	dürődzöm
spiramlik	spiramlik	2	lik	spiramlok	spiramlom
ivemlik	ivemlik	2	lik	ivemlek	ivemlem
plirénylik	pliré¥lik	2	lik	plirénylek	plirénylem
nirágzik	nirágzik	2	zik	nirágzok	nirágzom
marjágzik	marjágzik	2	zik	marjágzok	marjágzom
narjárzik	narjárzik	2	zik	narjárzok	narjárzom
darjánylik	darjá¥lik	2	lik	darjánylok	darjánylom
drubonylik	drubo¥lik	2	lik	drubonylok	drubonylom
dribaklik	dribaklik	2	lik	dribaklok	dribaklom
kágadzik	kágadzik	2	zik	kágadzok	kágadzom
frihapszik	frihapßik	2	zik	frihapszok	frihapszom
brobódzik	brobódzik	2	zik	brobódzok	brobódzom
spötűdzik	spötűdzik	2	zik	spötűdzök	spötűdzöm
plugoklik	plugoklik	2	lik	plugoklok	plugoklom
irégszik	irégßik	2	zik	irégszek	irégszem
brivegzik	brivegzik	2	zik	brivegzek	brivegzem
lihemlik	lihemlik	2	lik	lihemlek	lihemlem
pruboklik	pruboklik	2	lik	pruboklok	pruboklom
kléregszik	kléregßik	2	zik	kléregszek	kléregszem
dágajlik	dágajlik	2	lik	dágajlok	dágajlom
trötőrzik	trötőrzik	2	zik	trötőrzök	trötőrzöm
brivénylik	brivé¥lik	2	lik	brivénylek	brivénylem
brugódzik	brugódzik	2	zik	brugódzok	brugódzom
ihágzik	ihágzik	2	zik	ihágzok	ihágzom
pribedzik	pribedzik	2	zik	pribedzek	pribedzem
gilárzik	gilárzik	2	zik	gilárzok	gilárzom
spülöklik	spülöklik	2	lik	spülöklök	spülöklöm
narádzik	narádzik	2	zik	narádzok	narádzom
csólorzik	çólorzik	2	zik	csólorzok	csólorzom
prilegzik	prilegzik	2	zik	prilegzek	prilegzem
pribagszik	pribagßik	2	zik	pribagszok	pribagszom
fribénylik	fribé¥lik	2	lik	fribénylek	fribénylem
plihegzik	plihegzik	2	zik	plihegzek	plihegzem
csolódzik	çolódzik	2	zik	csolódzok	csolódzom
szibánylik	ßibá¥lik	2	lik	szibánylok	szibánylom
szilaklik	ßilaklik	2	lik	szilaklok	szilaklom
iragzik	iragzik	2	zik	iragzok	iragzom
drólonylik	drólo¥lik	2	lik	drólonylok	drólonylom
dihajlik	dihajlik	2	lik	dihajlok	dihajlom
ilepszik	ilepßik	2	zik	ilepszek	ilepszem
káraslik	káraslik	2	lik	káraslok	káraslom
tűrődzik	tűrődzik	2	zik	tűrődzök	tűrődzöm
spihemlik	spihemlik	2	lik	spihemlek	spihemlem
hilénylik	hilé¥lik	2	lik	hilénylek	hilénylem
válaglik	válaglik	2	lik	válaglok	válaglom
klivégszik	klivégßik	2	zik	klivégszek	klivégszem
plágadzik	plágadzik	2	zik	plágadzok	plágadzom
brágadzik	brágadzik	2	zik	brágadzok	brágadzom
herégszik	herégßik	2	zik	herégszek	herégszem
pratánylik	pratá¥lik	2	lik	pratánylok	pratánylom
nibarzik	nibarzik	2	zik	nibarzok	nibarzom
frülődzik	frülődzik	2	zik	frülődzök	frülődzöm
lorjódzik	lorjódzik	2	zik	lorjódzok	lorjódzom
luboslik	luboslik	2	lik	luboslok	luboslom
drötűdzik	drötűdzik	2	zik	drötűdzök	drötűdzöm
pribemlik	pribemlik	2	lik	pribemlek	pribemlem
prálakszik	prálakßik	2	zik	prálakszok	prálakszom
mivarzik	mivarzik	2	zik	mivarzok	mivarzom
bivárzik	bivárzik	2	zik	bivárzok	bivárzom
hilarzik	hilarzik	2	zik	hilarzok	hilarzom
prihekszik	prihekßik	2	zik	prihekszek	prihekszem
klágarzik	klágarzik	2	zik	klágarzok	klágarzom
plibánylik	plibá¥lik	2	lik	plibánylok	plibánylom
gyetékszik	©etékßik	2	zik	gyetékszek	gyetékszem
fivénylik	fivé¥lik	2	lik	fivénylek	fivénylem
prólorzik	prólorzik	2	zik	prólorzok	prólorzom
filágzik	filágzik	2	zik	filágzok	filágzom
sperénylik	speré¥lik	2	lik	sperénylek	sperénylem
kohódzik	kohódzik	2	zik	kohódzok	kohódzom
flireglik	flireglik	2	lik	flireglek	flireglem
brilekszik	brilekßik	2	zik	brilekszek	brilekszem
klivegzik	klivegzik	2	zik	klivegzek	klivegzem
gyivádzik	©ivádzik	2	zik	gyivádzok	gyivádzom
sárajlik	sárajlik	2	lik	sárajlok	sárajlom
lörűdzik	lörűdzik	2	zik	lörűdzök	lörűdzöm
csugorzik	çugorzik	2	zik	csugorzok	csugorzom
gyibakszik	©ibakßik	2	zik	gyibakszok	gyibakszom
filajlik	filajlik	2	lik	filajlok	filajlom
ötűdzik	ötűdzik	2	zik	ötűdzök	ötűdzöm
feténylik	feté¥lik	2	lik	feténylek	feténylem
bárakszik	bárakßik	2	zik	bárakszok	bárakszom
süröklik	süröklik	2	lik	süröklök	süröklöm
klárapszik	klárapßik	2	zik	klárapszok	klárapszom
trivágzik	trivágzik	2	zik	trivágzok	trivágzom
driládzik	driládzik	2	zik	driládzok	driládzom
kugódzik	kugódzik	2	zik	kugódzok	kugódzom
szálajlik	ßálajlik	2	lik	szálajlok	szálajlom
táradzik	táradzik	2	zik	táradzok	táradzom
préleglik	préleglik	2	lik	préleglek	préleglem
spibarzik	spibarzik	2	zik	spibarzok	spibarzom
hilamlik	hilamlik	2	lik	hilamlok	hilamlom
klivaslik	klivaslik	2	lik	klivaslok	klivaslom
gibapszik	gibapßik	2	zik	gibapszok	gibapszom
hilapszik	hilapßik	2	zik	hilapszok	hilapszom
spatárzik	spatárzik	2	zik	spatárzok	spatárzom
harjáglik	harjáglik	2	lik	harjáglok	harjáglom
rálagzik	rálagzik	2	zik	rálagzok	rálagzom
gatárzik	gatárzik	2	zik	gatárzok	gatárzom
téledzik	téledzik	2	zik	téledzek	téledzem
trilárzik	trilárzik	2	zik	trilárzok	trilárzom
magárzik	magárzik	2	zik	magárzok	magárzom
plihaslik	plihaslik	2	lik	plihaslok	plihaslom
fléremlik	fléremlik	2	lik	fléremlek	fléremlem
guronylik	guro¥lik	2	lik	guronylok	guronylom
direpszik	direpßik	2	zik	direpszek	direpszem
dréledzik	dréledzik	2	zik	dréledzek	dréledzem
irapszik	irapßik	2	zik	irapszok	irapszom
fibamlik	fibamlik	2	lik	fibamlok	fibamlom
livaklik	livaklik	2	lik	livaklok	livaklom
direglik	direglik	2	lik	direglek	direglem
spülőrzik	spülőrzik	2	zik	spülőrzök	spülőrzöm
flivemlik	flivemlik	2	lik	flivemlek	flivemlem
mihaklik	mihaklik	2	lik	mihaklok	mihaklom
friványlik	frivá¥lik	2	lik	friványlok	friványlom
guródzik	guródzik	2	zik	guródzok	guródzom
ilaslik	ilaslik	2	lik	ilaslok	ilaslom
lihadzik	lihadzik	2	zik	lihadzok	lihadzom
pireslik	pireslik	2	lik	pireslek	pireslem
kélegzik	kélegzik	2	zik	kélegzek	kélegzem
kivagszik	kivagßik	2	zik	kivagszok	kivagszom
driheglik	driheglik	2	lik	driheglek	driheglem
plarádzik	plarádzik	2	zik	plarádzok	plarádzom
fihaglik	fihaglik	2	lik	fihaglok	fihaglom
miveslik	miveslik	2	lik	miveslek	miveslem
pugoslik	pugoslik	2	lik	pugoslok	pugoslom
trágarzik	trágarzik	2	zik	trágarzok	trágarzom
drálajlik	drálajlik	2	lik	drálajlok	drálajlom
véreglik	véreglik	2	lik	véreglek	véreglem
bivejlik	bivejlik	2	lik	bivejlek	bivejlem
gyáramlik	©áramlik	2	lik	gyáramlok	gyáramlom
dretégszik	dretégßik	2	zik	dretégszek	dretégszem
csurjonylik	çurjo¥lik	2	lik	csurjonylok	csurjonylom
frilegszik	frilegßik	2	zik	frilegszek	frilegszem
drövőrzik	drövőrzik	2	zik	drövőrzök	drövőrzöm
vagánylik	vagá¥lik	2	lik	vagánylok	vagánylom
truborzik	truborzik	2	zik	truborzok	truborzom
frülöklik	frülöklik	2	lik	frülöklök	frülöklöm
malánylik	malá¥lik	2	lik	malánylok	malánylom
nehékszik	nehékßik	2	zik	nehékszek	nehékszem
drülöslik	drülöslik	2	lik	drülöslök	drülöslöm
flerégszik	flerégßik	2	zik	flerégszek	flerégszem
pliháglik	pliháglik	2	lik	pliháglok	pliháglom
piharzik	piharzik	2	zik	piharzok	piharzom
ribegzik	ribegzik	2	zik	ribegzek	ribegzem
trágaslik	trágaslik	2	lik	trágaslok	trágaslom
klogódzik	klogódzik	2	zik	klogódzok	klogódzom
gyibeslik	©ibeslik	2	lik	gyibeslek	gyibeslem
firemlik	firemlik	2	lik	firemlek	firemlem
drihegszik	drihegßik	2	zik	drihegszek	drihegszem
néleglik	néleglik	2	lik	néleglek	néleglem
vülöklik	vülöklik	2	lik	vülöklök	vülöklöm
turjódzik	turjódzik	2	zik	turjódzok	turjódzom
frugoklik	frugoklik	2	lik	frugoklok	frugoklom
furoklik	furoklik	2	lik	furoklok	furoklom
kihénylik	kihé¥lik	2	lik	kihénylek	kihénylem
géremlik	géremlik	2	lik	géremlek	géremlem
élegszik	élegßik	2	zik	élegszek	élegszem
spibaklik	spibaklik	2	lik	spibaklok	spibaklom
vágaslik	vágaslik	2	lik	vágaslok	vágaslom
tribepszik	tribepßik	2	zik	tribepszek	tribepszem
mötőrzik	mötőrzik	2	zik	mötőrzök	mötőrzöm
niheglik	niheglik	2	lik	niheglek	niheglem
brivarzik	brivarzik	2	zik	brivarzok	brivarzom
héredzik	héredzik	2	zik	héredzek	héredzem
vűröslik	vűröslik	2	lik	vűröslök	vűröslöm
gyihamlik	©ihamlik	2	lik	gyihamlok	gyihamlom
féregszik	féregßik	2	zik	féregszek	féregszem
sehénylik	sehé¥lik	2	lik	sehénylek	sehénylem
prugonylik	prugo¥lik	2	lik	prugonylok	prugonylom
lurjoklik	lurjoklik	2	lik	lurjoklok	lurjoklom
péleslik	péleslik	2	lik	péleslek	péleslem
móloklik	móloklik	2	lik	móloklok	móloklom
kihedzik	kihedzik	2	zik	kihedzek	kihedzem
flürődzik	flürődzik	2	zik	flürődzök	flürődzöm
drihedzik	drihedzik	2	zik	drihedzek	drihedzem
ibékszik	ibékßik	2	zik	ibékszek	ibékszem
spáraklik	spáraklik	2	lik	spáraklok	spáraklom
fléregzik	fléregzik	2	zik	fléregzek	fléregzem
sogódzik	sogódzik	2	zik	sogódzok	sogódzom
trehégszik	trehégßik	2	zik	trehégszek	trehégszem
klárajlik	klárajlik	2	lik	klárajlok	klárajlom
preténylik	preté¥lik	2	lik	preténylek	preténylem
plibégszik	plibégßik	2	zik	plibégszek	plibégszem
siladzik	siladzik	2	zik	siladzok	siladzom
flivékszik	flivékßik	2	zik	flivékszek	flivékszem
kluroslik	kluroslik	2	lik	kluroslok	kluroslom
gyilekszik	©ilekßik	2	zik	gyilekszek	gyilekszem
merékszik	merékßik	2	zik	merékszek	merékszem
fibedzik	fibedzik	2	zik	fibedzek	fibedzem
dribekszik	dribekßik	2	zik	dribekszek	dribekszem
kléreglik	kléreglik	2	lik	kléreglek	kléreglem
tibénylik	tibé¥lik	2	lik	tibénylek	tibénylem
vihepszik	vihepßik	2	zik	vihepszek	vihepszem
giványlik	givá¥lik	2	lik	giványlok	giványlom
flehékszik	flehékßik	2	zik	flehékszek	flehékszem
spűrődzik	spűrődzik	2	zik	spűrődzök	spűrődzöm
csivamlik	çivamlik	2	lik	csivamlok	csivamlom
trivagszik	trivagßik	2	zik	trivagszok	trivagszom
brálagszik	brálagßik	2	zik	brálagszok	brálagszom
brülőrzik	brülőrzik	2	zik	brülőrzök	brülőrzöm
ibáglik	ibáglik	2	lik	ibáglok	ibáglom
mihárzik	mihárzik	2	zik	mihárzok	mihárzom
lérekszik	lérekßik	2	zik	lérekszek	lérekszem
tuboklik	tuboklik	2	lik	tuboklok	tuboklom
kliremlik	kliremlik	2	lik	kliremlek	kliremlem
prilaslik	prilaslik	2	lik	prilaslok	prilaslom
csirajlik	çirajlik	2	lik	csirajlok	csirajlom
brövűdzik	brövűdzik	2	zik	brövűdzök	brövűdzöm
plibaklik	plibaklik	2	lik	plibaklok	plibaklom
flibekszik	flibekßik	2	zik	flibekszek	flibekszem
láragszik	láragßik	2	zik	láragszok	láragszom
küröslik	küröslik	2	lik	küröslök	küröslöm
déreslik	déreslik	2	lik	déreslek	déreslem
vágapszik	vágapßik	2	zik	vágapszok	vágapszom
gövődzik	gövődzik	2	zik	gövődzök	gövődzöm
dalágzik	dalágzik	2	zik	dalágzok	dalágzom
vülődzik	vülődzik	2	zik	vülődzök	vülődzöm
drilégszik	drilégßik	2	zik	drilégszek	drilégszem
bágamlik	bágamlik	2	lik	bágamlok	bágamlom
brágaklik	brágaklik	2	lik	brágaklok	brágaklom
tibádzik	tibádzik	2	zik	tibádzok	tibádzom
spülűdzik	spülűdzik	2	zik	spülűdzök	spülűdzöm
csilagzik	çilagzik	2	zik	csilagzok	csilagzom
givaglik	givaglik	2	lik	givaglok	givaglom
hóloslik	hóloslik	2	lik	hóloslok	hóloslom
spilénylik	spilé¥lik	2	lik	spilénylek	spilénylem
nyilégszik	¥ilégßik	2	zik	nyilégszek	nyilégszem
gálaklik	gálaklik	2	lik	gálaklok	gálaklom
plaránylik	plará¥lik	2	lik	plaránylok	plaránylom
mibadzik	mibadzik	2	zik	mibadzok	mibadzom
ratáglik	ratáglik	2	lik	ratáglok	ratáglom
dribejlik	dribejlik	2	lik	dribejlek	dribejlem
spibánylik	spibá¥lik	2	lik	spibánylok	spibánylom
flüröslik	flüröslik	2	lik	flüröslök	flüröslöm
spihegzik	spihegzik	2	zik	spihegzek	spihegzem
dragádzik	dragádzik	2	zik	dragádzok	dragádzom
bruboslik	bruboslik	2	lik	bruboslok	bruboslom
givágzik	givágzik	2	zik	givágzok	givágzom
sörődzik	sörődzik	2	zik	sörődzök	sörődzöm
