lemma	xpostag	corpus_size	lemma_freq	tr
hullámzik	[/V][Prs.NDef.3Sg]	8570080167	19472	hullámzik
botlik	[/V][Prs.NDef.3Sg]	8570080167	41912	botlik
elégszik	[/V][Prs.NDef.3Sg]	8570080167	184225	elégßik
habzik	[/V][Prs.NDef.3Sg]	8570080167	11630	habzik
bűzlik	[/V][Prs.NDef.3Sg]	8570080167	12877	bűzlik
fürdik	[/V][Prs.NDef.3Sg]	8570080167	88169	fürdik
hírlik	[/V][Prs.NDef.3Sg]	8570080167	8945	hírlik
hanyatlik	[/V][Prs.NDef.3Sg]	8570080167	15385	ha¥atlik
felsejlik	[/V][Prs.NDef.3Sg]	8570080167	11290	felsejlik
telepszik	[/V][Prs.NDef.3Sg]	8570080167	93057	telepßik
ismerszik	[/V][Prs.NDef.3Sg]	8570080167	7941	ismerßik
hibádzik	[/V][Prs.NDef.3Sg]	8570080167	5785	hibádzik
leledzik	[/V][Prs.NDef.3Sg]	8570080167	8370	leledzik
burjánzik	[/V][Prs.NDef.3Sg]	8570080167	7713	burjánzik
foszlik	[/V][Prs.NDef.3Sg]	8570080167	9690	foßlik
döglik	[/V][Prs.NDef.3Sg]	8570080167	21538	döglik
sejlik	[/V][Prs.NDef.3Sg]	8570080167	8848	sejlik
betegszik	[/V][Prs.NDef.3Sg]	8570080167	9223	betegßik
verekszik	[/V][Prs.NDef.3Sg]	8570080167	32024	verekßik
hallik	[/V][Prs.NDef.3Sg]	8570080167	3447	hallik
aránylik	[/V][Prs.NDef.3Sg]	8570080167	4146	ará¥lik
özönlik	[/V][Prs.NDef.3Sg]	8570080167	18470	özönlik
hámlik	[/V][Prs.NDef.3Sg]	8570080167	4793	hámlik
fuldoklik	[/V][Prs.NDef.3Sg]	8570080167	7240	fuldoklik
porzik	[/V][Prs.NDef.3Sg]	8570080167	4213	porzik
meghajlik	[/V][Prs.NDef.3Sg]	8570080167	7178	meghajlik
díszlik	[/V][Prs.NDef.3Sg]	8570080167	4946	díßlik
tolakszik	[/V][Prs.NDef.3Sg]	8570080167	10114	tolakßik
villámlik	[/V][Prs.NDef.3Sg]	8570080167	4477	villámlik
vonaglik	[/V][Prs.NDef.3Sg]	8570080167	6602	vonaglik
csuklik	[/V][Prs.NDef.3Sg]	8570080167	6520	çuklik
mállik	[/V][Prs.NDef.3Sg]	8570080167	3720	mállik
világlik	[/V][Prs.NDef.3Sg]	8570080167	2545	világlik
fehérlik	[/V][Prs.NDef.3Sg]	8570080167	3574	fehérlik
elhajlik	[/V][Prs.NDef.3Sg]	8570080167	5678	elhajlik
kotlik	[/V][Prs.NDef.3Sg]	8570080167	3286	kotlik
magaslik	[/V][Prs.NDef.3Sg]	8570080167	2375	magaslik
parázslik	[/V][Prs.NDef.3Sg]	8570080167	2744	paráΩlik
borsódzik	[/V][Prs.NDef.3Sg]	8570080167	1850	borsódzik
örvénylik	[/V][Prs.NDef.3Sg]	8570080167	4181	örvé¥lik
piroslik	[/V][Prs.NDef.3Sg]	8570080167	2621	piroslik
porlik	[/V][Prs.NDef.3Sg]	8570080167	1648	porlik
ellik	[/V][Prs.NDef.3Sg]	8570080167	172853	ellik
morajlik	[/V][Prs.NDef.3Sg]	8570080167	2232	morajlik
fogzik	[/V][Prs.NDef.3Sg]	8570080167	1239	fogzik
mosakszik	[/V][Prs.NDef.3Sg]	8570080167	11483	mosakßik
rajzik	[/V][Prs.NDef.3Sg]	8570080167	5848	rajzik
vedlik	[/V][Prs.NDef.3Sg]	8570080167	5893	vedlik
lehajlik	[/V][Prs.NDef.3Sg]	8570080167	1587	lehajlik
átsejlik	[/V][Prs.NDef.3Sg]	8570080167	1506	átsejlik
bicsaklik	[/V][Prs.NDef.3Sg]	8570080167	1642	biçaklik
nyáladzik	[/V][Prs.NDef.3Sg]	8570080167	2158	¥áladzik
züllik	[/V][Prs.NDef.3Sg]	8570080167	1993	züllik
szaglik	[/V][Prs.NDef.3Sg]	8570080167	1207	ßaglik
tajtékzik	[/V][Prs.NDef.3Sg]	8570080167	1903	tajtékzik
tündöklik	[/V][Prs.NDef.3Sg]	8570080167	3078	tündöklik
behajlik	[/V][Prs.NDef.3Sg]	8570080167	1189	behajlik
párzik	[/V][Prs.NDef.3Sg]	8570080167	2316	párzik
pattogzik	[/V][Prs.NDef.3Sg]	8570080167	1049	pattogzik
ülepszik	[/V][Prs.NDef.3Sg]	8570080167	5288	ülepßik
viharzik	[/V][Prs.NDef.3Sg]	8570080167	2411	viharzik
kéklik	[/V][Prs.NDef.3Sg]	8570080167	1449	kéklik
mosdik	[/V][Prs.NDef.3Sg]	8570080167	3663	mosdik
sötétlik	[/V][Prs.NDef.3Sg]	8570080167	2115	sötétlik
gyülemlik	[/V][Prs.NDef.3Sg]	8570080167	2336	©ülemlik
patakzik	[/V][Prs.NDef.3Sg]	8570080167	1795	patakzik
lopódzik	[/V][Prs.NDef.3Sg]	8570080167	2068	lopódzik
sárgállik	[/V][Prs.NDef.3Sg]	8570080167	553	sárgállik
furakszik	[/V][Prs.NDef.3Sg]	8570080167	4959	furakßik
iramlik	[/V][Prs.NDef.3Sg]	8570080167	847	iramlik
fölsejlik	[/V][Prs.NDef.3Sg]	8570080167	768	fölsejlik
sarjadzik	[/V][Prs.NDef.3Sg]	8570080167	867	sarjadzik
kérődzik	[/V][Prs.NDef.3Sg]	8570080167	1448	kérődzik
háramlik	[/V][Prs.NDef.3Sg]	8570080167	1006	háramlik
hallszik	[/V][Prs.NDef.3Sg]	8570080167	545	hallßik
vöröslik	[/V][Prs.NDef.3Sg]	8570080167	1594	vöröslik
sereglik	[/V][Prs.NDef.3Sg]	8570080167	4735	sereglik
ivarzik	[/V][Prs.NDef.3Sg]	8570080167	652	ivarzik
kihajlik	[/V][Prs.NDef.3Sg]	8570080167	720	kihajlik
fejlik	[/V][Prs.NDef.3Sg]	8570080167	2183	fejlik
hajnallik	[/V][Prs.NDef.3Sg]	8570080167	359	hajnallik
ráhajlik	[/V][Prs.NDef.3Sg]	8570080167	361	ráhajlik
nyilallik	[/V][Prs.NDef.3Sg]	8570080167	232	¥ilallik
tülekszik	[/V][Prs.NDef.3Sg]	8570080167	3917	tülekßik
nedvedzik	[/V][Prs.NDef.3Sg]	8570080167	381	nedvedzik
pállik	[/V][Prs.NDef.3Sg]	8570080167	230	pállik
nyaklik	[/V][Prs.NDef.3Sg]	8570080167	310	¥aklik
tarkállik	[/V][Prs.NDef.3Sg]	8570080167	639	tarkállik
lúdbőrzik	[/V][Prs.NDef.3Sg]	8570080167	416	lúdbőrzik
feslik	[/V][Prs.NDef.3Sg]	8570080167	1427	feslik
szüremlik	[/V][Prs.NDef.3Sg]	8570080167	610	ßüremlik
fogamzik	[/V][Prs.NDef.3Sg]	8570080167	626	fogamzik
ködlik	[/V][Prs.NDef.3Sg]	8570080167	499	ködlik
fiadzik	[/V][Prs.NDef.3Sg]	8570080167	476	fiadzik
hasonlik	[/V][Prs.NDef.3Sg]	8570080167	2084	hasonlik
sárlik	[/V][Prs.NDef.3Sg]	8570080167	262	sárlik
elporzik	[/V][Prs.NDef.3Sg]	8570080167	369	elporzik
robajlik	[/V][Prs.NDef.3Sg]	8570080167	224	robajlik
megellik	[/V][Prs.NDef.3Sg]	8570080167	723	megellik
csetlik	[/V][Prs.NDef.3Sg]	8570080167	386	çetlik
levedzik	[/V][Prs.NDef.3Sg]	8570080167	191	levedzik
magzik	[/V][Prs.NDef.3Sg]	8570080167	187	magzik
párállik	[/V][Prs.NDef.3Sg]	8570080167	226	párállik
bimbódzik	[/V][Prs.NDef.3Sg]	8570080167	111	bimbódzik
borjadzik	[/V][Prs.NDef.3Sg]	8570080167	132	borjadzik
hólyagzik	[/V][Prs.NDef.3Sg]	8570080167	94	hó¬agzik
bagzik	[/V][Prs.NDef.3Sg]	8570080167	242	bagzik
kékellik	[/V][Prs.NDef.3Sg]	8570080167	139	kékellik
homálylik	[/V][Prs.NDef.3Sg]	8570080167	112	homá¬lik
barnállik	[/V][Prs.NDef.3Sg]	8570080167	54	barnállik
légzik	[/V][Prs.NDef.3Sg]	8570080167	44	légzik
fajzik	[/V][Prs.NDef.3Sg]	8570080167	170	fajzik
aláhajlik	[/V][Prs.NDef.3Sg]	8570080167	55	aláhajlik
gubódzik	[/V][Prs.NDef.3Sg]	8570080167	47	gubódzik
türemlik	[/V][Prs.NDef.3Sg]	8570080167	89	türemlik
vérengzik	[/V][Prs.NDef.3Sg]	8570080167	214	vérengzik
vereslik	[/V][Prs.NDef.3Sg]	8570080167	97	vereslik
szólamlik	[/V][Prs.NDef.3Sg]	8570080167	143	ßólamlik
kéredzik	[/V][Prs.NDef.3Sg]	8570080167	152	kéredzik
szögellik	[/V][Prs.NDef.3Sg]	8570080167	109	ßögellik
csömörlik	[/V][Prs.NDef.3Sg]	8570080167	539	çömörlik
gyűrűdzik	[/V][Prs.NDef.3Sg]	8570080167	30	©űrűdzik
szülemlik	[/V][Prs.NDef.3Sg]	8570080167	104	ßülemlik
toronylik	[/V][Prs.NDef.3Sg]	8570080167	12	toro¥lik
lelkedzik	[/V][Prs.NDef.3Sg]	8570080167	83	lelkedzik
ágadzik	[/V][Prs.NDef.3Sg]	8570080167	9	ágadzik
bogadzik	[/V][Prs.NDef.3Sg]	8570080167	5	bogadzik
rózsállik	[/V][Prs.NDef.3Sg]	8570080167	48	róΩállik
gyüremlik	[/V][Prs.NDef.3Sg]	8570080167	11	©üremlik
kövérszik	[/V][Prs.NDef.3Sg]	8570080167	2	kövérßik
