onset	v	c1c2	tr	word
	í	sd	ísdik	ísdik
	í	sl	íslik	íslik
	í	ßl	íßlik	íszlik
	í	ßp	íßpik	íszpik
	í	tl	ítlik	ítlik
	í	tß	ítßik	ítszik
	í	zz	ízzik	ízzik
	o	¥l	o¥lik	onylik
	o	bz	obzik	obzik
	o	dl	odlik	odlik
	o	gl	oglik	oglik
	o	gr	ogrik	ogrik
	o	gß	ogßik	ogszik
	o	gz	ogzik	ogzik
	o	jl	ojlik	ojlik
	o	jz	ojzik	ojzik
	o	kl	oklik	oklik
	o	kß	okßik	okszik
	o	ll	ollik	ollik
	o	lß	olßik	olszik
	o	ng	ongik	ongik
	o	rd	ordik	ordik
	o	rl	orlik	orlik
	o	rz	orzik	orzik
	o	sd	osdik	osdik
	o	sl	oslik	oslik
	o	ßp	oßpik	oszpik
	o	tl	otlik	otlik
	o	tß	otßik	otszik
	o	zl	ozlik	ozlik
	o	zz	ozzik	ozzik
	ö	¥l	ö¥lik	önylik
	ö	bz	öbzik	öbzik
	ö	dl	ödlik	ödlik
	ö	gl	öglik	öglik
	ö	gr	ögrik	ögrik
	ö	gß	ögßik	ögszik
	ö	gz	ögzik	ögzik
	ö	jl	öjlik	öjlik
	ö	jz	öjzik	öjzik
	ö	kl	öklik	öklik
	ö	kß	ökßik	ökszik
	ö	ll	öllik	öllik
	ö	lß	ölßik	ölszik
	ö	ng	öngik	öngik
	ö	rd	ördik	ördik
	ö	rl	örlik	örlik
	ö	rz	örzik	örzik
	ö	sd	ösdik	ösdik
	ö	sl	öslik	öslik
	ö	ßl	ößlik	öszlik
	ö	ßp	ößpik	öszpik
	ö	tl	ötlik	ötlik
	ö	tß	ötßik	ötszik
	ö	zl	özlik	özlik
	ö	zz	özzik	özzik
	u	¥l	u¥lik	unylik
	u	bz	ubzik	ubzik
	u	dl	udlik	udlik
	u	gl	uglik	uglik
	u	gß	ugßik	ugszik
	u	gz	ugzik	ugzik
	u	jl	ujlik	ujlik
	u	jz	ujzik	ujzik
	u	kl	uklik	uklik
	u	kß	ukßik	ukszik
	u	ll	ullik	ullik
	u	lß	ulßik	ulszik
	u	ml	umlik	umlik
	u	ng	ungik	ungik
	u	rd	urdik	urdik
	u	rl	urlik	urlik
	u	rz	urzik	urzik
	u	sd	usdik	usdik
	u	sl	uslik	uslik
	u	ßl	ußlik	uszlik
	u	ßp	ußpik	uszpik
	u	tl	utlik	utlik
	u	tß	utßik	utszik
	u	zl	uzlik	uzlik
	u	zz	uzzik	uzzik
	ü	¥l	ü¥lik	ünylik
	ü	bz	übzik	übzik
	ü	dl	üdlik	üdlik
	ü	gl	üglik	üglik
	ü	gr	ügrik	ügrik
	ü	gß	ügßik	ügszik
	ü	gz	ügzik	ügzik
	ü	jl	üjlik	üjlik
	ü	jz	üjzik	üjzik
	ü	kl	üklik	üklik
	ü	kß	ükßik	ükszik
	ü	ll	üllik	üllik
	ü	lß	ülßik	ülszik
	ü	ml	ümlik	ümlik
	ü	ng	üngik	üngik
	ü	rd	ürdik	ürdik
	ü	rl	ürlik	ürlik
	ü	rz	ürzik	ürzik
	ü	sd	üsdik	üsdik
	ü	sl	üslik	üslik
	ü	ßl	üßlik	üszlik
	ü	ßp	üßpik	üszpik
	ü	tl	ütlik	ütlik
	ü	tß	ütßik	ütszik
	ü	zl	üzlik	üzlik
	ü	zz	üzzik	üzzik
	ű	¥l	ű¥lik	űnylik
	ű	bz	űbzik	űbzik
	ű	dl	űdlik	űdlik
	ű	gl	űglik	űglik
	ű	gr	űgrik	űgrik
	ű	gß	űgßik	űgszik
	ű	gz	űgzik	űgzik
	ű	jl	űjlik	űjlik
	ű	jz	űjzik	űjzik
	ű	kl	űklik	űklik
	ű	kß	űkßik	űkszik
	ű	ll	űllik	űllik
	ű	lß	űlßik	űlszik
	ű	ml	űmlik	űmlik
	ű	ng	űngik	űngik
	ű	rd	űrdik	űrdik
	ű	rl	űrlik	űrlik
	ű	rz	űrzik	űrzik
	ű	sd	űsdik	űsdik
	ű	sl	űslik	űslik
	ű	ßl	űßlik	űszlik
	ű	ßp	űßpik	űszpik
	ű	tl	űtlik	űtlik
	ű	tß	űtßik	űtszik
	ű	zl	űzlik	űzlik
	ű	zz	űzzik	űzzik
¥	a	¥l	¥a¥lik	nyanylik
¥	a	bz	¥abzik	nyabzik
¥	a	dl	¥adlik	nyadlik
¥	a	gl	¥aglik	nyaglik
¥	a	gr	¥agrik	nyagrik
¥	a	gß	¥agßik	nyagszik
¥	a	gz	¥agzik	nyagzik
¥	a	jl	¥ajlik	nyajlik
¥	a	jz	¥ajzik	nyajzik
¥	a	kß	¥akßik	nyakszik
¥	a	ll	¥allik	nyallik
¥	a	lß	¥alßik	nyalszik
¥	a	ml	¥amlik	nyamlik
¥	a	ng	¥angik	nyangik
¥	a	rd	¥ardik	nyardik
¥	a	rl	¥arlik	nyarlik
¥	a	rz	¥arzik	nyarzik
¥	a	sd	¥asdik	nyasdik
¥	a	sl	¥aslik	nyaslik
¥	a	ßl	¥aßlik	nyaszlik
¥	a	ßp	¥aßpik	nyaszpik
¥	a	tl	¥atlik	nyatlik
¥	a	tß	¥atßik	nyatszik
¥	a	zl	¥azlik	nyazlik
¥	a	zz	¥azzik	nyazzik
¥	á	¥l	¥á¥lik	nyánylik
¥	á	bz	¥ábzik	nyábzik
¥	á	dl	¥ádlik	nyádlik
¥	á	gl	¥áglik	nyáglik
¥	á	gr	¥ágrik	nyágrik
¥	á	gß	¥ágßik	nyágszik
¥	á	gz	¥ágzik	nyágzik
¥	á	jl	¥ájlik	nyájlik
¥	á	jz	¥ájzik	nyájzik
¥	á	kl	¥áklik	nyáklik
¥	á	kß	¥ákßik	nyákszik
¥	á	ll	¥állik	nyállik
¥	á	lß	¥álßik	nyálszik
¥	á	ml	¥ámlik	nyámlik
¥	á	ng	¥ángik	nyángik
¥	á	rd	¥árdik	nyárdik
¥	á	rl	¥árlik	nyárlik
¥	á	rz	¥árzik	nyárzik
¥	á	sd	¥ásdik	nyásdik
¥	á	sl	¥áslik	nyáslik
¥	á	ßl	¥áßlik	nyászlik
¥	á	ßp	¥áßpik	nyászpik
¥	á	tl	¥átlik	nyátlik
¥	á	tß	¥átßik	nyátszik
¥	á	zl	¥ázlik	nyázlik
¥	á	zz	¥ázzik	nyázzik
¥	e	¥l	¥e¥lik	nyenylik
¥	e	bz	¥ebzik	nyebzik
¥	e	dl	¥edlik	nyedlik
¥	e	gl	¥eglik	nyeglik
¥	e	gr	¥egrik	nyegrik
¥	e	gß	¥egßik	nyegszik
¥	e	gz	¥egzik	nyegzik
¥	e	jl	¥ejlik	nyejlik
¥	e	jz	¥ejzik	nyejzik
¥	e	kl	¥eklik	nyeklik
¥	e	kß	¥ekßik	nyekszik
¥	e	ll	¥ellik	nyellik
¥	e	lß	¥elßik	nyelszik
¥	e	ml	¥emlik	nyemlik
¥	e	ng	¥engik	nyengik
¥	e	rd	¥erdik	nyerdik
¥	e	rl	¥erlik	nyerlik
¥	e	rz	¥erzik	nyerzik
¥	e	sd	¥esdik	nyesdik
¥	e	sl	¥eslik	nyeslik
¥	e	ßl	¥eßlik	nyeszlik
¥	e	ßp	¥eßpik	nyeszpik
¥	e	tl	¥etlik	nyetlik
¥	e	tß	¥etßik	nyetszik
¥	e	zl	¥ezlik	nyezlik
¥	e	zz	¥ezzik	nyezzik
¥	é	¥l	¥é¥lik	nyénylik
¥	é	bz	¥ébzik	nyébzik
¥	é	dl	¥édlik	nyédlik
¥	é	gl	¥églik	nyéglik
¥	é	gr	¥égrik	nyégrik
¥	é	gß	¥égßik	nyégszik
¥	é	gz	¥égzik	nyégzik
¥	é	jl	¥éjlik	nyéjlik
¥	é	jz	¥éjzik	nyéjzik
¥	é	kl	¥éklik	nyéklik
¥	é	kß	¥ékßik	nyékszik
¥	é	ll	¥éllik	nyéllik
¥	é	lß	¥élßik	nyélszik
¥	é	ml	¥émlik	nyémlik
¥	é	ng	¥éngik	nyéngik
¥	é	rd	¥érdik	nyérdik
¥	é	rl	¥érlik	nyérlik
¥	é	rz	¥érzik	nyérzik
¥	é	sd	¥ésdik	nyésdik
¥	é	sl	¥éslik	nyéslik
¥	é	ßl	¥éßlik	nyészlik
¥	é	ßp	¥éßpik	nyészpik
¥	é	tl	¥étlik	nyétlik
¥	é	tß	¥étßik	nyétszik
¥	é	zl	¥ézlik	nyézlik
¥	é	zz	¥ézzik	nyézzik
¥	i	¥l	¥i¥lik	nyinylik
¥	i	bz	¥ibzik	nyibzik
¥	i	dl	¥idlik	nyidlik
¥	i	gl	¥iglik	nyiglik
¥	i	gr	¥igrik	nyigrik
¥	i	gß	¥igßik	nyigszik
¥	i	gz	¥igzik	nyigzik
¥	i	jl	¥ijlik	nyijlik
¥	i	jz	¥ijzik	nyijzik
¥	i	kl	¥iklik	nyiklik
¥	i	kß	¥ikßik	nyikszik
¥	i	ll	¥illik	nyillik
¥	i	lß	¥ilßik	nyilszik
¥	i	ml	¥imlik	nyimlik
¥	i	ng	¥ingik	nyingik
¥	i	rd	¥irdik	nyirdik
¥	i	rl	¥irlik	nyirlik
¥	i	rz	¥irzik	nyirzik
¥	i	sd	¥isdik	nyisdik
¥	i	sl	¥islik	nyislik
¥	i	ßl	¥ißlik	nyiszlik
¥	i	ßp	¥ißpik	nyiszpik
¥	i	tl	¥itlik	nyitlik
¥	i	tß	¥itßik	nyitszik
¥	i	zl	¥izlik	nyizlik
¥	i	zz	¥izzik	nyizzik
¥	í	¥l	¥í¥lik	nyínylik
¥	í	bz	¥íbzik	nyíbzik
¥	í	dl	¥ídlik	nyídlik
¥	í	gl	¥íglik	nyíglik
¥	í	gr	¥ígrik	nyígrik
¥	í	gß	¥ígßik	nyígszik
¥	í	gz	¥ígzik	nyígzik
¥	í	jl	¥íjlik	nyíjlik
¥	í	jz	¥íjzik	nyíjzik
¥	í	kl	¥íklik	nyíklik
¥	í	kß	¥íkßik	nyíkszik
¥	í	ll	¥íllik	nyíllik
¥	í	lß	¥ílßik	nyílszik
¥	í	ml	¥ímlik	nyímlik
¥	í	ng	¥íngik	nyíngik
¥	í	rd	¥írdik	nyírdik
¥	í	rl	¥írlik	nyírlik
¥	í	rz	¥írzik	nyírzik
¥	í	sd	¥ísdik	nyísdik
¥	í	sl	¥íslik	nyíslik
¥	í	ßl	¥íßlik	nyíszlik
¥	í	ßp	¥íßpik	nyíszpik
¥	í	tl	¥ítlik	nyítlik
¥	í	tß	¥ítßik	nyítszik
¥	í	zl	¥ízlik	nyízlik
¥	í	zz	¥ízzik	nyízzik
¥	o	¥l	¥o¥lik	nyonylik
¥	o	bz	¥obzik	nyobzik
¥	o	dl	¥odlik	nyodlik
¥	o	gl	¥oglik	nyoglik
¥	o	gr	¥ogrik	nyogrik
¥	o	gß	¥ogßik	nyogszik
¥	o	gz	¥ogzik	nyogzik
¥	o	jl	¥ojlik	nyojlik
¥	o	jz	¥ojzik	nyojzik
¥	o	kl	¥oklik	nyoklik
¥	o	kß	¥okßik	nyokszik
¥	o	ll	¥ollik	nyollik
¥	o	lß	¥olßik	nyolszik
¥	o	ml	¥omlik	nyomlik
¥	o	ng	¥ongik	nyongik
¥	o	rd	¥ordik	nyordik
¥	o	rl	¥orlik	nyorlik
¥	o	rz	¥orzik	nyorzik
¥	o	sd	¥osdik	nyosdik
¥	o	sl	¥oslik	nyoslik
¥	o	ßl	¥oßlik	nyoszlik
¥	o	ßp	¥oßpik	nyoszpik
¥	o	tl	¥otlik	nyotlik
¥	o	tß	¥otßik	nyotszik
¥	o	zl	¥ozlik	nyozlik
¥	o	zz	¥ozzik	nyozzik
¥	ö	¥l	¥ö¥lik	nyönylik
¥	ö	bz	¥öbzik	nyöbzik
¥	ö	dl	¥ödlik	nyödlik
¥	ö	gl	¥öglik	nyöglik
¥	ö	gr	¥ögrik	nyögrik
¥	ö	gß	¥ögßik	nyögszik
¥	ö	gz	¥ögzik	nyögzik
¥	ö	jl	¥öjlik	nyöjlik
¥	ö	jz	¥öjzik	nyöjzik
¥	ö	kl	¥öklik	nyöklik
¥	ö	kß	¥ökßik	nyökszik
¥	ö	ll	¥öllik	nyöllik
¥	ö	lß	¥ölßik	nyölszik
¥	ö	ml	¥ömlik	nyömlik
¥	ö	ng	¥öngik	nyöngik
¥	ö	rd	¥ördik	nyördik
¥	ö	rl	¥örlik	nyörlik
¥	ö	rz	¥örzik	nyörzik
¥	ö	sd	¥ösdik	nyösdik
¥	ö	sl	¥öslik	nyöslik
¥	ö	ßl	¥ößlik	nyöszlik
¥	ö	ßp	¥ößpik	nyöszpik
¥	ö	tl	¥ötlik	nyötlik
¥	ö	tß	¥ötßik	nyötszik
¥	ö	zl	¥özlik	nyözlik
¥	ö	zz	¥özzik	nyözzik
¥	u	¥l	¥u¥lik	nyunylik
¥	u	bz	¥ubzik	nyubzik
¥	u	dl	¥udlik	nyudlik
¥	u	gl	¥uglik	nyuglik
¥	u	gr	¥ugrik	nyugrik
¥	u	gz	¥ugzik	nyugzik
¥	u	jl	¥ujlik	nyujlik
¥	u	jz	¥ujzik	nyujzik
¥	u	kl	¥uklik	nyuklik
¥	u	kß	¥ukßik	nyukszik
¥	u	ll	¥ullik	nyullik
¥	u	lß	¥ulßik	nyulszik
¥	u	ml	¥umlik	nyumlik
¥	u	ng	¥ungik	nyungik
¥	u	rd	¥urdik	nyurdik
¥	u	rl	¥urlik	nyurlik
¥	u	rz	¥urzik	nyurzik
¥	u	sd	¥usdik	nyusdik
¥	u	sl	¥uslik	nyuslik
¥	u	ßl	¥ußlik	nyuszlik
¥	u	ßp	¥ußpik	nyuszpik
¥	u	tl	¥utlik	nyutlik
¥	u	tß	¥utßik	nyutszik
¥	u	zl	¥uzlik	nyuzlik
¥	u	zz	¥uzzik	nyuzzik
¥	ü	¥l	¥ü¥lik	nyünylik
¥	ü	bz	¥übzik	nyübzik
¥	ü	dl	¥üdlik	nyüdlik
¥	ü	gl	¥üglik	nyüglik
¥	ü	gr	¥ügrik	nyügrik
¥	ü	gß	¥ügßik	nyügszik
¥	ü	gz	¥ügzik	nyügzik
¥	ü	jl	¥üjlik	nyüjlik
¥	ü	jz	¥üjzik	nyüjzik
¥	ü	kl	¥üklik	nyüklik
¥	ü	kß	¥ükßik	nyükszik
¥	ü	ll	¥üllik	nyüllik
¥	ü	lß	¥ülßik	nyülszik
¥	ü	ml	¥ümlik	nyümlik
¥	ü	ng	¥üngik	nyüngik
¥	ü	rd	¥ürdik	nyürdik
¥	ü	rl	¥ürlik	nyürlik
¥	ü	rz	¥ürzik	nyürzik
¥	ü	sd	¥üsdik	nyüsdik
¥	ü	sl	¥üslik	nyüslik
¥	ü	ßl	¥üßlik	nyüszlik
¥	ü	ßp	¥üßpik	nyüszpik
¥	ü	tl	¥ütlik	nyütlik
¥	ü	tß	¥ütßik	nyütszik
¥	ü	zl	¥üzlik	nyüzlik
¥	ü	zz	¥üzzik	nyüzzik
¥	ű	¥l	¥ű¥lik	nyűnylik
¥	ű	bz	¥űbzik	nyűbzik
¥	ű	dl	¥űdlik	nyűdlik
¥	ű	gl	¥űglik	nyűglik
¥	ű	gr	¥űgrik	nyűgrik
¥	ű	gß	¥űgßik	nyűgszik
¥	ű	gz	¥űgzik	nyűgzik
¥	ű	jl	¥űjlik	nyűjlik
¥	ű	jz	¥űjzik	nyűjzik
¥	ű	kl	¥űklik	nyűklik
¥	ű	kß	¥űkßik	nyűkszik
¥	ű	ll	¥űllik	nyűllik
¥	ű	lß	¥űlßik	nyűlszik
¥	ű	ml	¥űmlik	nyűmlik
¥	ű	ng	¥űngik	nyűngik
¥	ű	rd	¥űrdik	nyűrdik
¥	ű	rl	¥űrlik	nyűrlik
¥	ű	rz	¥űrzik	nyűrzik
¥	ű	sd	¥űsdik	nyűsdik
¥	ű	sl	¥űslik	nyűslik
¥	ű	ßl	¥űßlik	nyűszlik
¥	ű	ßp	¥űßpik	nyűszpik
¥	ű	tl	¥űtlik	nyűtlik
¥	ű	tß	¥űtßik	nyűtszik
¥	ű	zl	¥űzlik	nyűzlik
¥	ű	zz	¥űzzik	nyűzzik
b	a	¥l	ba¥lik	banylik
b	a	bz	babzik	babzik
b	a	dl	badlik	badlik
b	a	gl	baglik	baglik
b	a	gr	bagrik	bagrik
b	a	gß	bagßik	bagszik
b	a	jl	bajlik	bajlik
b	a	jz	bajzik	bajzik
b	a	kl	baklik	baklik
b	a	kß	bakßik	bakszik
b	a	ll	ballik	ballik
b	a	lß	balßik	balszik
b	a	ml	bamlik	bamlik
b	a	ng	bangik	bangik
b	a	rd	bardik	bardik
b	a	rl	barlik	barlik
b	a	rz	barzik	barzik
b	a	sd	basdik	basdik
b	a	sl	baslik	baslik
b	a	ßl	baßlik	baszlik
b	a	ßp	baßpik	baszpik
b	a	tl	batlik	batlik
b	a	tß	batßik	batszik
b	a	zl	bazlik	bazlik
b	a	zz	bazzik	bazzik
b	á	¥l	bá¥lik	bánylik
b	á	bz	bábzik	bábzik
b	á	dl	bádlik	bádlik
b	á	gl	báglik	báglik
b	á	gr	bágrik	bágrik
b	á	gß	bágßik	bágszik
b	á	gz	bágzik	bágzik
b	á	jl	bájlik	bájlik
b	á	jz	bájzik	bájzik
b	á	kl	báklik	báklik
b	á	kß	bákßik	bákszik
b	á	ll	bállik	bállik
b	á	lß	bálßik	bálszik
b	á	ml	bámlik	bámlik
b	á	ng	bángik	bángik
b	á	rd	bárdik	bárdik
b	á	rl	bárlik	bárlik
b	á	rz	bárzik	bárzik
b	á	sd	básdik	básdik
b	á	sl	báslik	báslik
b	á	ßl	báßlik	bászlik
b	á	ßp	báßpik	bászpik
b	á	tl	bátlik	bátlik
b	á	tß	bátßik	bátszik
b	á	zl	bázlik	bázlik
b	á	zz	bázzik	bázzik
b	e	¥l	be¥lik	benylik
b	e	bz	bebzik	bebzik
b	e	dl	bedlik	bedlik
b	e	gl	beglik	beglik
b	e	gr	begrik	begrik
b	e	gß	begßik	begszik
b	e	gz	begzik	begzik
b	e	jl	bejlik	bejlik
b	e	jz	bejzik	bejzik
b	e	kl	beklik	beklik
b	e	kß	bekßik	bekszik
b	e	ll	bellik	bellik
b	e	lß	belßik	belszik
b	e	ml	bemlik	bemlik
b	e	ng	bengik	bengik
b	e	rd	berdik	berdik
b	e	rl	berlik	berlik
b	e	rz	berzik	berzik
b	e	sd	besdik	besdik
b	e	sl	beslik	beslik
b	e	ßl	beßlik	beszlik
b	e	ßp	beßpik	beszpik
b	e	tl	betlik	betlik
b	e	tß	betßik	betszik
b	e	zl	bezlik	bezlik
b	e	zz	bezzik	bezzik
b	é	¥l	bé¥lik	bénylik
b	é	bz	bébzik	bébzik
b	é	dl	bédlik	bédlik
b	é	gl	béglik	béglik
b	é	gr	bégrik	bégrik
b	é	gß	bégßik	bégszik
b	é	gz	bégzik	bégzik
b	é	jl	béjlik	béjlik
b	é	jz	béjzik	béjzik
b	é	kl	béklik	béklik
b	é	kß	békßik	békszik
b	é	ll	béllik	béllik
b	é	lß	bélßik	bélszik
b	é	ml	bémlik	bémlik
b	é	ng	béngik	béngik
b	é	rd	bérdik	bérdik
b	é	rl	bérlik	bérlik
b	é	rz	bérzik	bérzik
b	é	sd	bésdik	bésdik
b	é	sl	béslik	béslik
b	é	ßl	béßlik	bészlik
b	é	ßp	béßpik	bészpik
b	é	tl	bétlik	bétlik
b	é	tß	bétßik	bétszik
b	é	zl	bézlik	bézlik
b	é	zz	bézzik	bézzik
b	i	¥l	bi¥lik	binylik
b	i	bz	bibzik	bibzik
b	i	dl	bidlik	bidlik
b	i	gl	biglik	biglik
b	i	gr	bigrik	bigrik
b	i	gß	bigßik	bigszik
b	i	gz	bigzik	bigzik
b	i	jl	bijlik	bijlik
b	i	jz	bijzik	bijzik
b	i	kl	biklik	biklik
b	i	kß	bikßik	bikszik
b	i	ll	billik	billik
b	i	lß	bilßik	bilszik
b	i	ml	bimlik	bimlik
b	i	ng	bingik	bingik
b	i	rd	birdik	birdik
b	i	rl	birlik	birlik
b	i	rz	birzik	birzik
b	i	sd	bisdik	bisdik
b	i	sl	bislik	bislik
b	i	ßl	bißlik	biszlik
b	i	ßp	bißpik	biszpik
b	i	tl	bitlik	bitlik
b	i	tß	bitßik	bitszik
b	i	zl	bizlik	bizlik
b	i	zz	bizzik	bizzik
b	í	¥l	bí¥lik	bínylik
b	í	bz	bíbzik	bíbzik
b	í	dl	bídlik	bídlik
b	í	gl	bíglik	bíglik
b	í	gr	bígrik	bígrik
b	í	gß	bígßik	bígszik
b	í	gz	bígzik	bígzik
b	í	jl	bíjlik	bíjlik
b	í	jz	bíjzik	bíjzik
b	í	kl	bíklik	bíklik
b	í	kß	bíkßik	bíkszik
b	í	ll	bíllik	bíllik
b	í	lß	bílßik	bílszik
b	í	ml	bímlik	bímlik
b	í	ng	bíngik	bíngik
b	í	rd	bírdik	bírdik
b	í	rl	bírlik	bírlik
b	í	rz	bírzik	bírzik
b	í	sd	bísdik	bísdik
b	í	sl	bíslik	bíslik
b	í	ßl	bíßlik	bíszlik
b	í	ßp	bíßpik	bíszpik
b	í	tl	bítlik	bítlik
b	í	tß	bítßik	bítszik
b	í	zl	bízlik	bízlik
b	í	zz	bízzik	bízzik
b	o	¥l	bo¥lik	bonylik
b	o	bz	bobzik	bobzik
b	o	dl	bodlik	bodlik
b	o	gl	boglik	boglik
b	o	gr	bogrik	bogrik
b	o	gß	bogßik	bogszik
b	o	gz	bogzik	bogzik
b	o	jl	bojlik	bojlik
b	o	jz	bojzik	bojzik
b	o	kl	boklik	boklik
b	o	kß	bokßik	bokszik
b	o	ll	bollik	bollik
b	o	lß	bolßik	bolszik
b	o	ng	bongik	bongik
b	o	rd	bordik	bordik
b	o	rl	borlik	borlik
b	o	rz	borzik	borzik
b	o	sd	bosdik	bosdik
b	o	sl	boslik	boslik
b	o	ßl	boßlik	boszlik
b	o	ßp	boßpik	boszpik
b	o	tß	botßik	botszik
b	o	zl	bozlik	bozlik
b	o	zz	bozzik	bozzik
b	ö	¥l	bö¥lik	bönylik
b	ö	bz	böbzik	böbzik
b	ö	dl	bödlik	bödlik
b	ö	gl	böglik	böglik
b	ö	gr	bögrik	bögrik
b	ö	gß	bögßik	bögszik
b	ö	gz	bögzik	bögzik
b	ö	jl	böjlik	böjlik
b	ö	jz	böjzik	böjzik
b	ö	kl	böklik	böklik
b	ö	kß	bökßik	bökszik
b	ö	ll	böllik	böllik
b	ö	lß	bölßik	bölszik
b	ö	ml	bömlik	bömlik
b	ö	ng	böngik	böngik
b	ö	rd	bördik	bördik
b	ö	rl	börlik	börlik
b	ö	rz	börzik	börzik
b	ö	sd	bösdik	bösdik
b	ö	sl	böslik	böslik
b	ö	ßl	bößlik	böszlik
b	ö	ßp	bößpik	böszpik
b	ö	tl	bötlik	bötlik
b	ö	tß	bötßik	bötszik
b	ö	zl	bözlik	bözlik
b	ö	zz	bözzik	bözzik
b	u	¥l	bu¥lik	bunylik
b	u	bz	bubzik	bubzik
b	u	dl	budlik	budlik
b	u	gl	buglik	buglik
b	u	gr	bugrik	bugrik
b	u	gß	bugßik	bugszik
b	u	gz	bugzik	bugzik
b	u	jl	bujlik	bujlik
b	u	jz	bujzik	bujzik
b	u	kl	buklik	buklik
b	u	kß	bukßik	bukszik
b	u	ll	bullik	bullik
b	u	lß	bulßik	bulszik
b	u	ml	bumlik	bumlik
b	u	ng	bungik	bungik
b	u	rd	burdik	burdik
b	u	rl	burlik	burlik
b	u	rz	burzik	burzik
b	u	sd	busdik	busdik
