prompt	suffix_back	suffix_front	target_front	target_back
stáncéd	ba	be	stáncédbe	stáncédba
stapfély	nál	nél	stapfélynél	stapfélynál
stidégy	nak	nek	stidégynek	stidégynak
stódel	ra	re	stódelre	stódelra
stuzég	ra	re	stuzégre	stuzégra
szajrent	ra	re	szajrentre	szajrentra
sziced	ra	re	szicedre	szicedra
szimbej	nak	nek	szimbejnek	szimbejnak
szincéj	ba	be	szincéjbe	szincéjba
szlámegy	ba	be	szlámegybe	szlámegyba
szlandéj	nak	nek	szlandéjnek	szlandéjnak
szlíbed	ra	re	szlíbedre	szlíbedra
szlidrép	ba	be	szlidrépbe	szlidrépba
szlijef	nál	nél	szlijefnél	szlijefnál
szlipéj	ra	re	szlipéjre	szlipéjra
szombend	nak	nek	szombendnek	szombendnak
szpakbét	ba	be	szpakbétbe	szpakbétba
szpánely	ban	ben	szpánelyben	szpánelyban
szpikert	nak	nek	szpikertnek	szpikertnak
szpímlég	ba	be	szpímlégbe	szpímlégba
szpímler	nál	nél	szpímlernél	szpímlernál
szpindel	nak	nek	szpindelnek	szpindelnak
szpodelv	nál	nél	szpodelvnél	szpodelvnál
szpomél	ba	be	szpomélbe	szpomélba
szpordél	ba	be	szpordélbe	szpordélba
szpurdef	nak	nek	szpurdefnek	szpurdefnak
tadés	nál	nél	tadésnél	tadésnál
takbend	ba	be	takbendbe	takbendba
támez	nak	nek	támeznek	támeznak
tapszenc	nak	nek	tapszencnek	tapszencnak
ticsferz	ra	re	ticsferzre	ticsferzra
tílern	ra	re	tílernre	tílernra
tíneszk	nál	nél	tíneszknél	tíneszknál
tocéj	ban	ben	tocéjben	tocéjban
tógesz	nak	nek	tógesznek	tógesznak
tonvec	nál	nél	tonvecnél	tonvecnál
tovdégy	ra	re	tovdégyre	tovdégyra
trakel	ra	re	trakelre	trakelra
tramés	nál	nél	tramésnél	tramésnál
traykeb	ban	ben	traykebben	traykebban
trilek	nak	nek	trileknek	trileknak
trínel	nak	nek	trínelnek	trínelnak
trisméz	ba	be	trismézbe	trismézba
tródel	nak	nek	tródelnek	tródelnak
trosél	ba	be	trosélbe	trosélba
trovjed	nak	nek	trovjednek	trovjednak
túnykeg	ban	ben	túnykegben	túnykegban
tuszenc	ban	ben	tuszencben	tuszencban
tyapnész	ra	re	tyapnészre	tyapnészra
tyavézs	ban	ben	tyavézsben	tyavézsban
tyíbez	ban	ben	tyíbezben	tyíbezban
tyikrész	nál	nél	tyikrésznél	tyikrésznál
tyikszeg	ba	be	tyikszegbe	tyikszegba
tyízléj	ba	be	tyízléjbe	tyízléjba
tyocers	nak	nek	tyocersnek	tyocersnak
tyurdél	ba	be	tyurdélbe	tyurdélba
tyúslég	ra	re	tyúslégre	tyúslégra
upél	ban	ben	upélben	upélban
úslej	ban	ben	úslejben	úslejban
uszjégy	nak	nek	uszjégynek	uszjégynak
vámjéz	ban	ben	vámjézben	vámjézban
vaykég	ban	ben	vaykégben	vaykégban
vicsféd	ra	re	vicsfédre	vicsfédra
vidrest	nak	nek	vidrestnek	vidrestnak
vipkeszt	ba	be	vipkesztbe	vipkesztba
vocsef	nak	nek	vocsefnek	vocsefnak
vógen	nak	nek	vógennek	vógennak
vomelt	nak	nek	vomeltnek	vomeltnak
zábén	ba	be	zábénbe	zábénba
zámjés	ba	be	zámjésbe	zámjésba
zatyec	ba	be	zatyecbe	zatyecba
zílef	nál	nél	zílefnél	zílefnál
zíntes	ba	be	zíntesbe	zíntesba
zómég	ra	re	zómégre	zómégra
zondelt	ba	be	zondeltbe	zondeltba
zoték	ba	be	zotékbe	zotékba
zsábép	nak	nek	zsábépnek	zsábépnak
zsadrék	nak	nek	zsadréknek	zsadréknak
zsájkegy	ra	re	zsájkegyre	zsájkegyra
zsakég	nál	nél	zsakégnél	zsakégnál
zsalref	nak	nek	zsalrefnek	zsalrefnak
zsavéd	ba	be	zsavédbe	zsavédba
zsíkéd	ban	ben	zsíkédben	zsíkédban
zsiveb	ban	ben	zsivebben	zsivebban
zublej	ba	be	zublejbe	zublejba
zukes	ra	re	zukesre	zukesra
