onset	v1c1c2	v2c3c4	tr	word	vowel_skeleton	consonant_skeleton
	arj	ágl	arjáglik	arjáglik	aái	rjglk
	arj	ágz	arjágzik	arjágzik	aái	rjgzk
	arj	árz	arjárzik	arjárzik	aái	rjrzk
	at	á¥l	atá¥lik	atánylik	aái	t¥lk
	at	ádz	atádzik	atádzik	aái	tdzk
	at	ágl	atáglik	atáglik	aái	tglk
	at	ágz	atágzik	atágzik	aái	tgzk
	at	árz	atárzik	atárzik	aái	trzk
	eh	é¥l	ehé¥lik	ehénylik	eéi	h¥lk
	eh	égß	ehégßik	ehégszik	eéi	hgßk
	eh	ékß	ehékßik	ehékszik	eéi	hkßk
	el	é¥l	elé¥lik	elénylik	eéi	l¥lk
	el	égß	elégßik	elégszik	eéi	lgßk
	el	ékß	elékßik	elékszik	eéi	lkßk
	él	edz	éledzik	éledzik	éei	ldzk
	él	egl	éleglik	éleglik	éei	lglk
	él	egß	élegßik	élegszik	éei	lgßk
	él	egz	élegzik	élegzik	éei	lgzk
	él	ejl	élejlik	élejlik	éei	ljlk
	él	ekß	élekßik	élekszik	éei	lkßk
	él	eml	élemlik	élemlik	éei	lmlk
	él	epß	élepßik	élepszik	éei	lpßk
	él	esl	éleslik	éleslik	éei	lslk
	er	é¥l	eré¥lik	erénylik	eéi	r¥lk
	er	égß	erégßik	erégszik	eéi	rgßk
	er	ékß	erékßik	erékszik	eéi	rkßk
	ér	edz	éredzik	éredzik	éei	rdzk
	ér	egl	éreglik	éreglik	éei	rglk
	ér	egß	éregßik	éregszik	éei	rgßk
	ér	egz	éregzik	éregzik	éei	rgzk
	ér	ejl	érejlik	érejlik	éei	rjlk
	ér	ekß	érekßik	érekszik	éei	rkßk
	ér	eml	éremlik	éremlik	éei	rmlk
	ér	epß	érepßik	érepszik	éei	rpßk
	ér	esl	éreslik	éreslik	éei	rslk
	et	é¥l	eté¥lik	eténylik	eéi	t¥lk
	et	égß	etégßik	etégszik	eéi	tgßk
	et	ékß	etékßik	etékszik	eéi	tkßk
	ib	á¥l	ibá¥lik	ibánylik	iái	b¥lk
	ib	adz	ibadzik	ibadzik	iai	bdzk
	ib	ádz	ibádzik	ibádzik	iái	bdzk
	ib	agl	ibaglik	ibaglik	iai	bglk
	ib	ágl	ibáglik	ibáglik	iái	bglk
	ib	agß	ibagßik	ibagszik	iai	bgßk
	ib	agz	ibagzik	ibagzik	iai	bgzk
	ib	ágz	ibágzik	ibágzik	iái	bgzk
	ib	ajl	ibajlik	ibajlik	iai	bjlk
	ib	akl	ibaklik	ibaklik	iai	bklk
	ib	akß	ibakßik	ibakszik	iai	bkßk
	ib	aml	ibamlik	ibamlik	iai	bmlk
	ib	apß	ibapßik	ibapszik	iai	bpßk
	ib	arz	ibarzik	ibarzik	iai	brzk
	ib	árz	ibárzik	ibárzik	iái	brzk
	ib	asl	ibaslik	ibaslik	iai	bslk
	ib	é¥l	ibé¥lik	ibénylik	iéi	b¥lk
	ib	edz	ibedzik	ibedzik	iei	bdzk
	ib	egl	ibeglik	ibeglik	iei	bglk
	ib	egß	ibegßik	ibegszik	iei	bgßk
	ib	égß	ibégßik	ibégszik	iéi	bgßk
	ib	egz	ibegzik	ibegzik	iei	bgzk
	ib	ejl	ibejlik	ibejlik	iei	bjlk
	ib	ekß	ibekßik	ibekszik	iei	bkßk
	ib	ékß	ibékßik	ibékszik	iéi	bkßk
	ib	eml	ibemlik	ibemlik	iei	bmlk
	ib	epß	ibepßik	ibepszik	iei	bpßk
	ib	esl	ibeslik	ibeslik	iei	bslk
	ih	á¥l	ihá¥lik	ihánylik	iái	h¥lk
	ih	adz	ihadzik	ihadzik	iai	hdzk
	ih	ádz	ihádzik	ihádzik	iái	hdzk
	ih	agl	ihaglik	ihaglik	iai	hglk
	ih	ágl	iháglik	iháglik	iái	hglk
	ih	agß	ihagßik	ihagszik	iai	hgßk
	ih	agz	ihagzik	ihagzik	iai	hgzk
	ih	ágz	ihágzik	ihágzik	iái	hgzk
	ih	ajl	ihajlik	ihajlik	iai	hjlk
	ih	akl	ihaklik	ihaklik	iai	hklk
	ih	akß	ihakßik	ihakszik	iai	hkßk
	ih	aml	ihamlik	ihamlik	iai	hmlk
	ih	apß	ihapßik	ihapszik	iai	hpßk
	ih	arz	iharzik	iharzik	iai	hrzk
	ih	árz	ihárzik	ihárzik	iái	hrzk
	ih	asl	ihaslik	ihaslik	iai	hslk
	ih	é¥l	ihé¥lik	ihénylik	iéi	h¥lk
	ih	edz	ihedzik	ihedzik	iei	hdzk
	ih	egl	iheglik	iheglik	iei	hglk
	ih	egß	ihegßik	ihegszik	iei	hgßk
	ih	égß	ihégßik	ihégszik	iéi	hgßk
	ih	egz	ihegzik	ihegzik	iei	hgzk
	ih	ejl	ihejlik	ihejlik	iei	hjlk
	ih	ekß	ihekßik	ihekszik	iei	hkßk
	ih	ékß	ihékßik	ihékszik	iéi	hkßk
	ih	eml	ihemlik	ihemlik	iei	hmlk
	ih	epß	ihepßik	ihepszik	iei	hpßk
	ih	esl	iheslik	iheslik	iei	hslk
	il	á¥l	ilá¥lik	ilánylik	iái	l¥lk
	il	adz	iladzik	iladzik	iai	ldzk
	il	ádz	iládzik	iládzik	iái	ldzk
	il	agl	ilaglik	ilaglik	iai	lglk
	il	ágl	iláglik	iláglik	iái	lglk
	il	agß	ilagßik	ilagszik	iai	lgßk
	il	agz	ilagzik	ilagzik	iai	lgzk
	il	ágz	ilágzik	ilágzik	iái	lgzk
	il	ajl	ilajlik	ilajlik	iai	ljlk
	il	akl	ilaklik	ilaklik	iai	lklk
	il	akß	ilakßik	ilakszik	iai	lkßk
	il	aml	ilamlik	ilamlik	iai	lmlk
	il	apß	ilapßik	ilapszik	iai	lpßk
	il	arz	ilarzik	ilarzik	iai	lrzk
	il	árz	ilárzik	ilárzik	iái	lrzk
	il	asl	ilaslik	ilaslik	iai	lslk
	il	é¥l	ilé¥lik	ilénylik	iéi	l¥lk
	il	edz	iledzik	iledzik	iei	ldzk
	il	egl	ileglik	ileglik	iei	lglk
	il	egß	ilegßik	ilegszik	iei	lgßk
	il	égß	ilégßik	ilégszik	iéi	lgßk
	il	egz	ilegzik	ilegzik	iei	lgzk
	il	ejl	ilejlik	ilejlik	iei	ljlk
	il	ekß	ilekßik	ilekszik	iei	lkßk
	il	ékß	ilékßik	ilékszik	iéi	lkßk
	il	eml	ilemlik	ilemlik	iei	lmlk
	il	epß	ilepßik	ilepszik	iei	lpßk
	il	esl	ileslik	ileslik	iei	lslk
	ir	á¥l	irá¥lik	iránylik	iái	r¥lk
	ir	adz	iradzik	iradzik	iai	rdzk
	ir	ádz	irádzik	irádzik	iái	rdzk
	ir	agl	iraglik	iraglik	iai	rglk
	ir	ágl	iráglik	iráglik	iái	rglk
	ir	agß	iragßik	iragszik	iai	rgßk
	ir	agz	iragzik	iragzik	iai	rgzk
	ir	ágz	irágzik	irágzik	iái	rgzk
	ir	ajl	irajlik	irajlik	iai	rjlk
	ir	akl	iraklik	iraklik	iai	rklk
	ir	akß	irakßik	irakszik	iai	rkßk
	ir	aml	iramlik	iramlik	iai	rmlk
	ir	apß	irapßik	irapszik	iai	rpßk
	ir	asl	iraslik	iraslik	iai	rslk
	ir	é¥l	iré¥lik	irénylik	iéi	r¥lk
	ir	edz	iredzik	iredzik	iei	rdzk
	ir	egl	ireglik	ireglik	iei	rglk
	ir	egß	iregßik	iregszik	iei	rgßk
	ir	égß	irégßik	irégszik	iéi	rgßk
	ir	egz	iregzik	iregzik	iei	rgzk
	ir	ejl	irejlik	irejlik	iei	rjlk
	ir	ekß	irekßik	irekszik	iei	rkßk
	ir	ékß	irékßik	irékszik	iéi	rkßk
	ir	eml	iremlik	iremlik	iei	rmlk
	ir	epß	irepßik	irepszik	iei	rpßk
	ir	esl	ireslik	ireslik	iei	rslk
	iv	á¥l	ivá¥lik	iványlik	iái	v¥lk
	iv	adz	ivadzik	ivadzik	iai	vdzk
	iv	ádz	ivádzik	ivádzik	iái	vdzk
	iv	agl	ivaglik	ivaglik	iai	vglk
	iv	ágl	iváglik	iváglik	iái	vglk
	iv	agß	ivagßik	ivagszik	iai	vgßk
	iv	agz	ivagzik	ivagzik	iai	vgzk
	iv	ágz	ivágzik	ivágzik	iái	vgzk
	iv	ajl	ivajlik	ivajlik	iai	vjlk
	iv	akl	ivaklik	ivaklik	iai	vklk
	iv	akß	ivakßik	ivakszik	iai	vkßk
	iv	aml	ivamlik	ivamlik	iai	vmlk
	iv	apß	ivapßik	ivapszik	iai	vpßk
	iv	arz	ivarzik	ivarzik	iai	vrzk
	iv	árz	ivárzik	ivárzik	iái	vrzk
	iv	asl	ivaslik	ivaslik	iai	vslk
	iv	é¥l	ivé¥lik	ivénylik	iéi	v¥lk
	iv	edz	ivedzik	ivedzik	iei	vdzk
	iv	egl	iveglik	iveglik	iei	vglk
	iv	egß	ivegßik	ivegszik	iei	vgßk
	iv	égß	ivégßik	ivégszik	iéi	vgßk
	iv	egz	ivegzik	ivegzik	iei	vgzk
	iv	ejl	ivejlik	ivejlik	iei	vjlk
	iv	ekß	ivekßik	ivekszik	iei	vkßk
	iv	ékß	ivékßik	ivékszik	iéi	vkßk
	iv	eml	ivemlik	ivemlik	iei	vmlk
	iv	epß	ivepßik	ivepszik	iei	vpßk
	iv	esl	iveslik	iveslik	iei	vslk
	ob	ódz	obódzik	obódzik	oói	bdzk
	og	ódz	ogódzik	ogódzik	oói	gdzk
	oh	ódz	ohódzik	ohódzik	oói	hdzk
	ol	ódz	olódzik	olódzik	oói	ldzk
	ól	o¥l	ólo¥lik	ólonylik	óoi	l¥lk
	ól	okl	óloklik	óloklik	óoi	lklk
	ól	orz	ólorzik	ólorzik	óoi	lrzk
	ól	osl	óloslik	óloslik	óoi	lslk
	or	ódz	oródzik	oródzik	oói	rdzk
	ör	ődz	örődzik	örődzik	öői	rdzk
	ör	űdz	örűdzik	örűdzik	öűi	rdzk
	orj	ódz	orjódzik	orjódzik	oói	rjdzk
	öt	ődz	ötődzik	ötődzik	öői	tdzk
	öt	őrz	ötőrzik	ötőrzik	öői	trzk
	öt	űdz	ötűdzik	ötűdzik	öűi	tdzk
	öv	ődz	övődzik	övődzik	öői	vdzk
	öv	őrz	övőrzik	övőrzik	öői	vrzk
	öv	űdz	övűdzik	övűdzik	öűi	vdzk
	ub	o¥l	ubo¥lik	ubonylik	uoi	b¥lk
	ub	ódz	ubódzik	ubódzik	uói	bdzk
	ub	okl	uboklik	uboklik	uoi	bklk
	ub	orz	uborzik	uborzik	uoi	brzk
	ub	osl	uboslik	uboslik	uoi	bslk
	ug	o¥l	ugo¥lik	ugonylik	uoi	g¥lk
	ug	ódz	ugódzik	ugódzik	uói	gdzk
	ug	okl	ugoklik	ugoklik	uoi	gklk
	ug	orz	ugorzik	ugorzik	uoi	grzk
	ug	osl	ugoslik	ugoslik	uoi	gslk
	ül	ődz	ülődzik	ülődzik	üői	ldzk
	ül	ökl	ülöklik	ülöklik	üöi	lklk
	ül	őrz	ülőrzik	ülőrzik	üői	lrzk
	ül	ösl	ülöslik	ülöslik	üöi	lslk
	ül	űdz	ülűdzik	ülűdzik	üűi	ldzk
	ur	o¥l	uro¥lik	uronylik	uoi	r¥lk
	ur	ódz	uródzik	uródzik	uói	rdzk
	ur	okl	uroklik	uroklik	uoi	rklk
	ur	osl	uroslik	uroslik	uoi	rslk
	ür	ődz	ürődzik	ürődzik	üői	rdzk
	ür	ökl	üröklik	üröklik	üöi	rklk
	ür	ösl	üröslik	üröslik	üöi	rslk
	ür	űdz	ürűdzik	ürűdzik	üűi	rdzk
	űr	ődz	űrődzik	űrődzik	űői	rdzk
	űr	ökl	űröklik	űröklik	űöi	rklk
	űr	ösl	űröslik	űröslik	űöi	rslk
	urj	o¥l	urjo¥lik	urjonylik	uoi	rj¥lk
	urj	ódz	urjódzik	urjódzik	uói	rjdzk
	urj	okl	urjoklik	urjoklik	uoi	rjklk
	urj	orz	urjorzik	urjorzik	uoi	rjrzk
	urj	osl	urjoslik	urjoslik	uoi	rjslk
©	ag	ádz	©agádzik	gyagádzik	aái	©gdzk
©	ag	árz	©agárzik	gyagárzik	aái	©grzk
©	ág	adz	©ágadzik	gyágadzik	áai	©gdzk
©	ág	ajl	©ágajlik	gyágajlik	áai	©gjlk
©	ág	akl	©ágaklik	gyágaklik	áai	©gklk
©	ág	akß	©ágakßik	gyágakszik	áai	©gkßk
©	ág	aml	©ágamlik	gyágamlik	áai	©gmlk
©	ág	apß	©ágapßik	gyágapszik	áai	©gpßk
©	ág	arz	©ágarzik	gyágarzik	áai	©grzk
©	ág	asl	©ágaslik	gyágaslik	áai	©gslk
©	al	ádz	©aládzik	gyaládzik	aái	©ldzk
©	al	ágl	©aláglik	gyaláglik	aái	©lglk
©	al	ágz	©alágzik	gyalágzik	aái	©lgzk
©	al	árz	©alárzik	gyalárzik	aái	©lrzk
©	ál	adz	©áladzik	gyáladzik	áai	©ldzk
©	ál	agl	©álaglik	gyálaglik	áai	©lglk
©	ál	agß	©álagßik	gyálagszik	áai	©lgßk
©	ál	agz	©álagzik	gyálagzik	áai	©lgzk
©	ál	ajl	©álajlik	gyálajlik	áai	©ljlk
©	ál	akl	©álaklik	gyálaklik	áai	©lklk
©	ál	akß	©álakßik	gyálakszik	áai	©lkßk
©	ál	aml	©álamlik	gyálamlik	áai	©lmlk
©	ál	apß	©álapßik	gyálapszik	áai	©lpßk
©	ál	arz	©álarzik	gyálarzik	áai	©lrzk
©	ál	asl	©álaslik	gyálaslik	áai	©lslk
©	ar	ádz	©arádzik	gyarádzik	aái	©rdzk
©	ar	ágl	©aráglik	gyaráglik	aái	©rglk
©	ar	ágz	©arágzik	gyarágzik	aái	©rgzk
©	ár	adz	©áradzik	gyáradzik	áai	©rdzk
©	ár	agl	©áraglik	gyáraglik	áai	©rglk
©	ár	agß	©áragßik	gyáragszik	áai	©rgßk
©	ár	agz	©áragzik	gyáragzik	áai	©rgzk
©	ár	ajl	©árajlik	gyárajlik	áai	©rjlk
©	ár	akl	©áraklik	gyáraklik	áai	©rklk
©	ár	akß	©árakßik	gyárakszik	áai	©rkßk
©	ár	aml	©áramlik	gyáramlik	áai	©rmlk
©	ár	apß	©árapßik	gyárapszik	áai	©rpßk
©	ár	asl	©áraslik	gyáraslik	áai	©rslk
©	arj	ádz	©arjádzik	gyarjádzik	aái	©rjdzk
©	arj	ágl	©arjáglik	gyarjáglik	aái	©rjglk
©	arj	ágz	©arjágzik	gyarjágzik	aái	©rjgzk
©	arj	árz	©arjárzik	gyarjárzik	aái	©rjrzk
©	at	ádz	©atádzik	gyatádzik	aái	©tdzk
©	at	ágl	©atáglik	gyatáglik	aái	©tglk
©	at	ágz	©atágzik	gyatágzik	aái	©tgzk
©	at	árz	©atárzik	gyatárzik	aái	©trzk
©	eh	égß	©ehégßik	gyehégszik	eéi	©hgßk
©	eh	ékß	©ehékßik	gyehékszik	eéi	©hkßk
©	el	égß	©elégßik	gyelégszik	eéi	©lgßk
©	el	ékß	©elékßik	gyelékszik	eéi	©lkßk
©	él	edz	©éledzik	gyéledzik	éei	©ldzk
©	él	egl	©éleglik	gyéleglik	éei	©lglk
©	él	egß	©élegßik	gyélegszik	éei	©lgßk
©	él	egz	©élegzik	gyélegzik	éei	©lgzk
©	él	ejl	©élejlik	gyélejlik	éei	©ljlk
©	él	ekß	©élekßik	gyélekszik	éei	©lkßk
©	él	eml	©élemlik	gyélemlik	éei	©lmlk
©	él	epß	©élepßik	gyélepszik	éei	©lpßk
©	él	esl	©éleslik	gyéleslik	éei	©lslk
©	er	égß	©erégßik	gyerégszik	eéi	©rgßk
©	er	ékß	©erékßik	gyerékszik	eéi	©rkßk
©	ér	edz	©éredzik	gyéredzik	éei	©rdzk
©	ér	egl	©éreglik	gyéreglik	éei	©rglk
©	ér	egß	©éregßik	gyéregszik	éei	©rgßk
©	ér	egz	©éregzik	gyéregzik	éei	©rgzk
©	ér	ejl	©érejlik	gyérejlik	éei	©rjlk
©	ér	ekß	©érekßik	gyérekszik	éei	©rkßk
©	ér	eml	©éremlik	gyéremlik	éei	©rmlk
©	ér	epß	©érepßik	gyérepszik	éei	©rpßk
©	ér	esl	©éreslik	gyéreslik	éei	©rslk
©	et	égß	©etégßik	gyetégszik	eéi	©tgßk
©	et	ékß	©etékßik	gyetékszik	eéi	©tkßk
©	ib	adz	©ibadzik	gyibadzik	iai	©bdzk
©	ib	ádz	©ibádzik	gyibádzik	iái	©bdzk
©	ib	agl	©ibaglik	gyibaglik	iai	©bglk
©	ib	ágl	©ibáglik	gyibáglik	iái	©bglk
©	ib	agß	©ibagßik	gyibagszik	iai	©bgßk
©	ib	agz	©ibagzik	gyibagzik	iai	©bgzk
©	ib	ágz	©ibágzik	gyibágzik	iái	©bgzk
©	ib	ajl	©ibajlik	gyibajlik	iai	©bjlk
©	ib	akl	©ibaklik	gyibaklik	iai	©bklk
©	ib	akß	©ibakßik	gyibakszik	iai	©bkßk
©	ib	aml	©ibamlik	gyibamlik	iai	©bmlk
©	ib	apß	©ibapßik	gyibapszik	iai	©bpßk
©	ib	arz	©ibarzik	gyibarzik	iai	©brzk
©	ib	árz	©ibárzik	gyibárzik	iái	©brzk
©	ib	asl	©ibaslik	gyibaslik	iai	©bslk
©	ib	edz	©ibedzik	gyibedzik	iei	©bdzk
©	ib	egl	©ibeglik	gyibeglik	iei	©bglk
©	ib	egß	©ibegßik	gyibegszik	iei	©bgßk
©	ib	égß	©ibégßik	gyibégszik	iéi	©bgßk
©	ib	egz	©ibegzik	gyibegzik	iei	©bgzk
©	ib	ejl	©ibejlik	gyibejlik	iei	©bjlk
©	ib	ekß	©ibekßik	gyibekszik	iei	©bkßk
©	ib	ékß	©ibékßik	gyibékszik	iéi	©bkßk
©	ib	eml	©ibemlik	gyibemlik	iei	©bmlk
©	ib	epß	©ibepßik	gyibepszik	iei	©bpßk
©	ib	esl	©ibeslik	gyibeslik	iei	©bslk
©	ih	adz	©ihadzik	gyihadzik	iai	©hdzk
©	ih	ádz	©ihádzik	gyihádzik	iái	©hdzk
©	ih	agl	©ihaglik	gyihaglik	iai	©hglk
©	ih	ágl	©iháglik	gyiháglik	iái	©hglk
©	ih	agß	©ihagßik	gyihagszik	iai	©hgßk
©	ih	agz	©ihagzik	gyihagzik	iai	©hgzk
©	ih	ágz	©ihágzik	gyihágzik	iái	©hgzk
©	ih	ajl	©ihajlik	gyihajlik	iai	©hjlk
©	ih	akl	©ihaklik	gyihaklik	iai	©hklk
©	ih	akß	©ihakßik	gyihakszik	iai	©hkßk
©	ih	aml	©ihamlik	gyihamlik	iai	©hmlk
©	ih	apß	©ihapßik	gyihapszik	iai	©hpßk
©	ih	arz	©iharzik	gyiharzik	iai	©hrzk
©	ih	árz	©ihárzik	gyihárzik	iái	©hrzk
©	ih	asl	©ihaslik	gyihaslik	iai	©hslk
©	ih	edz	©ihedzik	gyihedzik	iei	©hdzk
©	ih	egl	©iheglik	gyiheglik	iei	©hglk
©	ih	egß	©ihegßik	gyihegszik	iei	©hgßk
©	ih	égß	©ihégßik	gyihégszik	iéi	©hgßk
©	ih	egz	©ihegzik	gyihegzik	iei	©hgzk
©	ih	ejl	©ihejlik	gyihejlik	iei	©hjlk
©	ih	ekß	©ihekßik	gyihekszik	iei	©hkßk
©	ih	ékß	©ihékßik	gyihékszik	iéi	©hkßk
©	ih	eml	©ihemlik	gyihemlik	iei	©hmlk
©	ih	epß	©ihepßik	gyihepszik	iei	©hpßk
©	ih	esl	©iheslik	gyiheslik	iei	©hslk
©	il	adz	©iladzik	gyiladzik	iai	©ldzk
©	il	ádz	©iládzik	gyiládzik	iái	©ldzk
©	il	agl	©ilaglik	gyilaglik	iai	©lglk
©	il	ágl	©iláglik	gyiláglik	iái	©lglk
©	il	agß	©ilagßik	gyilagszik	iai	©lgßk
©	il	agz	©ilagzik	gyilagzik	iai	©lgzk
©	il	ágz	©ilágzik	gyilágzik	iái	©lgzk
©	il	ajl	©ilajlik	gyilajlik	iai	©ljlk
©	il	akl	©ilaklik	gyilaklik	iai	©lklk
©	il	akß	©ilakßik	gyilakszik	iai	©lkßk
©	il	aml	©ilamlik	gyilamlik	iai	©lmlk
©	il	apß	©ilapßik	gyilapszik	iai	©lpßk
©	il	arz	©ilarzik	gyilarzik	iai	©lrzk
©	il	árz	©ilárzik	gyilárzik	iái	©lrzk
©	il	asl	©ilaslik	gyilaslik	iai	©lslk
©	il	edz	©iledzik	gyiledzik	iei	©ldzk
©	il	egl	©ileglik	gyileglik	iei	©lglk
©	il	egß	©ilegßik	gyilegszik	iei	©lgßk
©	il	égß	©ilégßik	gyilégszik	iéi	©lgßk
©	il	egz	©ilegzik	gyilegzik	iei	©lgzk
©	il	ejl	©ilejlik	gyilejlik	iei	©ljlk
©	il	ekß	©ilekßik	gyilekszik	iei	©lkßk
©	il	ékß	©ilékßik	gyilékszik	iéi	©lkßk
©	il	eml	©ilemlik	gyilemlik	iei	©lmlk
©	il	epß	©ilepßik	gyilepszik	iei	©lpßk
©	il	esl	©ileslik	gyileslik	iei	©lslk
©	ir	adz	©iradzik	gyiradzik	iai	©rdzk
©	ir	ádz	©irádzik	gyirádzik	iái	©rdzk
©	ir	agl	©iraglik	gyiraglik	iai	©rglk
©	ir	ágl	©iráglik	gyiráglik	iái	©rglk
©	ir	agß	©iragßik	gyiragszik	iai	©rgßk
©	ir	agz	©iragzik	gyiragzik	iai	©rgzk
©	ir	ágz	©irágzik	gyirágzik	iái	©rgzk
©	ir	ajl	©irajlik	gyirajlik	iai	©rjlk
©	ir	akl	©iraklik	gyiraklik	iai	©rklk
©	ir	akß	©irakßik	gyirakszik	iai	©rkßk
©	ir	aml	©iramlik	gyiramlik	iai	©rmlk
©	ir	apß	©irapßik	gyirapszik	iai	©rpßk
©	ir	asl	©iraslik	gyiraslik	iai	©rslk
©	ir	edz	©iredzik	gyiredzik	iei	©rdzk
©	ir	egl	©ireglik	gyireglik	iei	©rglk
©	ir	egß	©iregßik	gyiregszik	iei	©rgßk
©	ir	égß	©irégßik	gyirégszik	iéi	©rgßk
©	ir	egz	©iregzik	gyiregzik	iei	©rgzk
©	ir	ejl	©irejlik	gyirejlik	iei	©rjlk
©	ir	ekß	©irekßik	gyirekszik	iei	©rkßk
©	ir	ékß	©irékßik	gyirékszik	iéi	©rkßk
©	ir	eml	©iremlik	gyiremlik	iei	©rmlk
©	ir	epß	©irepßik	gyirepszik	iei	©rpßk
©	ir	esl	©ireslik	gyireslik	iei	©rslk
©	iv	adz	©ivadzik	gyivadzik	iai	©vdzk
©	iv	ádz	©ivádzik	gyivádzik	iái	©vdzk
©	iv	agl	©ivaglik	gyivaglik	iai	©vglk
©	iv	ágl	©iváglik	gyiváglik	iái	©vglk
©	iv	agß	©ivagßik	gyivagszik	iai	©vgßk
©	iv	agz	©ivagzik	gyivagzik	iai	©vgzk
©	iv	ágz	©ivágzik	gyivágzik	iái	©vgzk
©	iv	ajl	©ivajlik	gyivajlik	iai	©vjlk
©	iv	akl	©ivaklik	gyivaklik	iai	©vklk
©	iv	akß	©ivakßik	gyivakszik	iai	©vkßk
©	iv	aml	©ivamlik	gyivamlik	iai	©vmlk
©	iv	apß	©ivapßik	gyivapszik	iai	©vpßk
©	iv	arz	©ivarzik	gyivarzik	iai	©vrzk
©	iv	árz	©ivárzik	gyivárzik	iái	©vrzk
©	iv	asl	©ivaslik	gyivaslik	iai	©vslk
©	iv	edz	©ivedzik	gyivedzik	iei	©vdzk
©	iv	egl	©iveglik	gyiveglik	iei	©vglk
©	iv	egß	©ivegßik	gyivegszik	iei	©vgßk
©	iv	égß	©ivégßik	gyivégszik	iéi	©vgßk
©	iv	egz	©ivegzik	gyivegzik	iei	©vgzk
©	iv	ejl	©ivejlik	gyivejlik	iei	©vjlk
©	iv	ekß	©ivekßik	gyivekszik	iei	©vkßk
©	iv	ékß	©ivékßik	gyivékszik	iéi	©vkßk
©	iv	eml	©ivemlik	gyivemlik	iei	©vmlk
©	iv	epß	©ivepßik	gyivepszik	iei	©vpßk
©	iv	esl	©iveslik	gyiveslik	iei	©vslk
©	ob	ódz	©obódzik	gyobódzik	oói	©bdzk
©	og	ódz	©ogódzik	gyogódzik	oói	©gdzk
©	oh	ódz	©ohódzik	gyohódzik	oói	©hdzk
©	ol	ódz	©olódzik	gyolódzik	oói	©ldzk
©	ól	okl	©óloklik	gyóloklik	óoi	©lklk
©	ól	orz	©ólorzik	gyólorzik	óoi	©lrzk
©	ól	osl	©óloslik	gyóloslik	óoi	©lslk
©	or	ódz	©oródzik	gyoródzik	oói	©rdzk
©	ör	ődz	©örődzik	györődzik	öői	©rdzk
©	ör	űdz	©örűdzik	györűdzik	öűi	©rdzk
©	orj	ódz	©orjódzik	gyorjódzik	oói	©rjdzk
©	öt	ődz	©ötődzik	gyötődzik	öői	©tdzk
©	öt	őrz	©ötőrzik	gyötőrzik	öői	©trzk
©	öt	űdz	©ötűdzik	gyötűdzik	öűi	©tdzk
©	öv	ődz	©övődzik	gyövődzik	öői	©vdzk
©	öv	őrz	©övőrzik	gyövőrzik	öői	©vrzk
©	öv	űdz	©övűdzik	gyövűdzik	öűi	©vdzk
©	ub	ódz	©ubódzik	gyubódzik	uói	©bdzk
©	ub	okl	©uboklik	gyuboklik	uoi	©bklk
©	ub	orz	©uborzik	gyuborzik	uoi	©brzk
©	ub	osl	©uboslik	gyuboslik	uoi	©bslk
