prompt	tr	nsyl	ending	target_k	target_m	keep_enough_distance	keep_no_overlap
brűnylik	brű¥lik	1	lik	brűnylök	brűnylöm	TRUE	TRUE
femlik	femlik	1	lik	femlek	femlem	TRUE	TRUE
spatszik	spatßik	1	zik	spatszok	spatszom	TRUE	TRUE
frunylik	fru¥lik	1	lik	frunylok	frunylom	TRUE	TRUE
trorzik	trorzik	1	zik	trorzok	trorzom	TRUE	TRUE
kléslik	kléslik	1	lik	kléslek	kléslem	TRUE	TRUE
klétszik	klétßik	1	zik	klétszek	klétszem	TRUE	TRUE
csöglik	çöglik	1	lik	csöglök	csöglöm	TRUE	FALSE
klüjlik	klüjlik	1	lik	klüjlök	klüjlöm	TRUE	TRUE
bűtszik	bűtßik	1	zik	bűtszök	bűtszöm	TRUE	TRUE
drünylik	drü¥lik	1	lik	drünylök	drünylöm	TRUE	FALSE
rokszik	rokßik	1	zik	rokszok	rokszom	TRUE	TRUE
prűtszik	prűtßik	1	zik	prűtszök	prűtszöm	TRUE	TRUE
flüjzik	flüjzik	1	zik	flüjzök	flüjzöm	TRUE	TRUE
prűrlik	prűrlik	1	lik	prűrlök	prűrlöm	TRUE	TRUE
plolszik	plolßik	1	zik	plolszok	plolszom	TRUE	FALSE
dröjlik	dröjlik	1	lik	dröjlök	dröjlöm	TRUE	FALSE
frodlik	frodlik	1	lik	frodlok	frodlom	TRUE	TRUE
sztruglik	ßtruglik	1	lik	sztruglok	sztruglom	TRUE	TRUE
spéslik	spéslik	1	lik	spéslek	spéslem	TRUE	TRUE
düjzik	düjzik	1	zik	düjzök	düjzöm	TRUE	TRUE
sitlik	sitlik	1	lik	sitlok	sitlom	TRUE	TRUE
dralszik	dralßik	1	zik	dralszok	dralszom	TRUE	FALSE
bükszik	bükßik	1	zik	bükszök	bükszöm	TRUE	TRUE
jüslik	jüslik	1	lik	jüslök	jüslöm	TRUE	TRUE
aglik	aglik	1	lik	aglok	aglom	TRUE	TRUE
szirlik	ßirlik	1	lik	szirlok	szirlom	TRUE	TRUE
mékszik	mékßik	1	zik	mékszek	mékszem	TRUE	TRUE
spűmlik	spűmlik	1	lik	spűmlök	spűmlöm	TRUE	TRUE
szabzik	ßabzik	1	zik	szabzok	szabzom	TRUE	TRUE
klubzik	klubzik	1	zik	klubzok	klubzom	TRUE	TRUE
plödlik	plödlik	1	lik	plödlök	plödlöm	TRUE	FALSE
hatlik	hatlik	1	lik	hatlok	hatlom	TRUE	FALSE
spröbzik	spröbzik	1	zik	spröbzök	spröbzöm	TRUE	TRUE
píjlik	píjlik	1	lik	píjlok	píjlom	TRUE	TRUE
csukszik	çukßik	1	zik	csukszok	csukszom	TRUE	FALSE
plajlik	plajlik	1	lik	plajlok	plajlom	TRUE	FALSE
urzik	urzik	1	zik	urzok	urzom	TRUE	TRUE
drügzik	drügzik	1	zik	drügzök	drügzöm	TRUE	TRUE
félszik	félßik	1	zik	félszek	félszem	TRUE	FALSE
taslik	taslik	1	lik	taslok	taslom	TRUE	FALSE
floglik	floglik	1	lik	floglok	floglom	TRUE	TRUE
bobzik	bobzik	1	zik	bobzok	bobzom	TRUE	TRUE
spüjzik	spüjzik	1	zik	spüjzök	spüjzöm	TRUE	TRUE
bríszlik	bríßlik	1	lik	bríszlok	bríszlom	TRUE	TRUE
kumlik	kumlik	1	lik	kumlok	kumlom	TRUE	TRUE
böjzik	böjzik	1	zik	böjzök	böjzöm	TRUE	TRUE
sprökszik	sprökßik	1	zik	sprökszök	sprökszöm	TRUE	TRUE
paszlik	paßlik	1	lik	paszlok	paszlom	TRUE	TRUE
drobzik	drobzik	1	zik	drobzok	drobzom	TRUE	TRUE
törlik	törlik	1	lik	törlök	törlöm	TRUE	FALSE
brubzik	brubzik	1	zik	brubzok	brubzom	TRUE	TRUE
sprédlik	sprédlik	1	lik	sprédlek	sprédlem	TRUE	TRUE
drikszik	drikßik	1	zik	drokszik	dromszik	TRUE	FALSE
spüszlik	spüßlik	1	lik	spüszlök	spüszlöm	TRUE	TRUE
klörlik	klörlik	1	lik	klörlök	klörlöm	TRUE	TRUE
zurlik	zurlik	1	lik	zurlok	zurlom	TRUE	TRUE
ímlik	ímlik	1	lik	ímlok	ímlom	TRUE	FALSE
csírzik	çírzik	1	zik	csírzok	csírzom	TRUE	TRUE
szegzik	ßegzik	1	zik	szegzek	szegzem	TRUE	TRUE
sztrédlik	ßtrédlik	1	lik	sztrédlek	sztrédlem	TRUE	TRUE
jazlik	jazlik	1	lik	jazlok	jazlom	TRUE	FALSE
csíszlik	çíßlik	1	lik	csíszlok	csíszlom	TRUE	TRUE
fligzik	fligzik	1	zik	fligzok	fligzom	TRUE	TRUE
flüslik	flüslik	1	lik	flüslök	flüslöm	TRUE	TRUE
trözlik	trözlik	1	lik	trözlök	trözlöm	TRUE	TRUE
pluslik	pluslik	1	lik	pluslok	pluslom	TRUE	FALSE
nyáslik	¥áslik	1	lik	nyáslok	nyáslom	TRUE	TRUE
pebzik	pebzik	1	zik	pebzek	pebzem	TRUE	TRUE
drászlik	dráßlik	1	lik	drászlok	drászlom	TRUE	FALSE
vanylik	va¥lik	1	lik	vanylok	vanylom	TRUE	TRUE
trilszik	trilßik	1	zik	trilszok	trilszom	TRUE	TRUE
féjzik	féjzik	1	zik	féjzek	féjzem	TRUE	TRUE
cségzik	çégzik	1	zik	cségzek	cségzem	TRUE	TRUE
spedlik	spedlik	1	lik	spedlek	spedlem	TRUE	TRUE
tűjzik	tűjzik	1	zik	tűjzök	tűjzöm	TRUE	TRUE
pletlik	pletlik	1	lik	pletlek	pletlem	TRUE	FALSE
ploklik	ploklik	1	lik	ploklok	ploklom	TRUE	FALSE
troklik	troklik	1	lik	troklok	troklom	TRUE	TRUE
plűbzik	plűbzik	1	zik	plűbzök	plűbzöm	TRUE	TRUE
rílszik	rílßik	1	zik	rílszok	rílszom	TRUE	FALSE
klátlik	klátlik	1	lik	klátlok	klátlom	TRUE	TRUE
jonylik	jo¥lik	1	lik	jonylok	jonylom	TRUE	TRUE
szüzlik	ßüzlik	1	lik	szüzlök	szüzlöm	TRUE	TRUE
jíjzik	jíjzik	1	zik	jíjzok	jíjzom	TRUE	TRUE
plugzik	plugzik	1	zik	plugzok	plugzom	TRUE	TRUE
sűzlik	sűzlik	1	lik	sűzlök	sűzlöm	TRUE	TRUE
sztrélszik	ßtrélßik	1	zik	sztrélszek	sztrélszem	TRUE	TRUE
mánylik	má¥lik	1	lik	mánylok	mánylom	TRUE	TRUE
plíjzik	plíjzik	1	zik	plíjzok	plíjzom	TRUE	TRUE
pálszik	pálßik	1	zik	pálszok	pálszom	TRUE	FALSE
juszlik	jußlik	1	lik	juszlok	juszlom	TRUE	TRUE
zigzik	zigzik	1	zik	zigzok	zigzom	TRUE	TRUE
táklik	táklik	1	lik	táklok	táklom	TRUE	TRUE
borlik	borlik	1	lik	borlok	borlom	TRUE	FALSE
zödlik	zödlik	1	lik	zödlök	zödlöm	TRUE	TRUE
csuzlik	çuzlik	1	lik	csuzlok	csuzlom	TRUE	TRUE
nyökszik	¥ökßik	1	zik	nyökszök	nyökszöm	TRUE	TRUE
nyeklik	¥eklik	1	lik	nyeklek	nyeklem	TRUE	TRUE
matszik	matßik	1	zik	matszok	matszom	TRUE	FALSE
plíszlik	plíßlik	1	lik	plíszlok	plíszlom	TRUE	FALSE
vízlik	vízlik	1	lik	vízlok	vízlom	TRUE	FALSE
meslik	meslik	1	lik	meslek	meslem	TRUE	TRUE
zűmlik	zűmlik	1	lik	zűmlök	zűmlöm	TRUE	TRUE
hűgzik	hűgzik	1	zik	hűgzök	hűgzöm	TRUE	TRUE
agzik	agzik	1	zik	agzok	agzom	TRUE	TRUE
friszlik	frißlik	1	lik	friszlok	friszlom	TRUE	TRUE
jorzik	jorzik	1	zik	jorzok	jorzom	TRUE	TRUE
trétlik	trétlik	1	lik	trétlek	trétlem	TRUE	FALSE
tulszik	tulßik	1	zik	tulszok	tulszom	TRUE	TRUE
sztrűkszik	ßtrűkßik	1	zik	sztrűkszök	sztrűkszöm	TRUE	TRUE
étlik	étlik	1	lik	étlek	étlem	TRUE	TRUE
szűslik	ßűslik	1	lik	szűslök	szűslöm	TRUE	TRUE
vűjlik	vűjlik	1	lik	vűjlök	vűjlöm	TRUE	TRUE
csiklik	çiklik	1	lik	csoklik	csomlik	TRUE	TRUE
flitlik	flitlik	1	lik	flitlok	flitlom	TRUE	TRUE
trurlik	trurlik	1	lik	trurlok	trurlom	TRUE	TRUE
sztrínylik	ßtrí¥lik	1	lik	sztrínylok	sztrínylom	TRUE	TRUE
kürlik	kürlik	1	lik	kürlök	kürlöm	TRUE	TRUE
klidlik	klidlik	1	lik	klidlok	klidlom	TRUE	TRUE
drozlik	drozlik	1	lik	drozlok	drozlom	TRUE	FALSE
huklik	huklik	1	lik	huklok	huklom	TRUE	TRUE
sprálszik	sprálßik	1	zik	sprálszok	sprálszom	TRUE	TRUE
tomlik	tomlik	1	lik	tomlok	tomlom	TRUE	TRUE
spírzik	spírzik	1	zik	spírzok	spírzom	TRUE	TRUE
prezlik	prezlik	1	lik	prezlek	prezlem	TRUE	TRUE
sprogzik	sprogzik	1	zik	sprogzok	sprogzom	TRUE	TRUE
praslik	praslik	1	lik	praslok	praslom	TRUE	TRUE
özlik	özlik	1	lik	özlök	özlöm	TRUE	TRUE
sztrijzik	ßtrijzik	1	zik	sztrijzok	sztrijzom	TRUE	TRUE
tragzik	tragzik	1	zik	tragzok	tragzom	TRUE	TRUE
spélszik	spélßik	1	zik	spélszek	spélszem	TRUE	TRUE
bölszik	bölßik	1	zik	bölszök	bölszöm	TRUE	TRUE
déjlik	déjlik	1	lik	déjlek	déjlem	TRUE	TRUE
fretszik	fretßik	1	zik	fretszek	fretszem	TRUE	TRUE
ruslik	ruslik	1	lik	ruslok	ruslom	TRUE	TRUE
jötlik	jötlik	1	lik	jötlök	jötlöm	TRUE	TRUE
treglik	treglik	1	lik	treglek	treglem	TRUE	TRUE
brarzik	brarzik	1	zik	brarzok	brarzom	TRUE	TRUE
flözlik	flözlik	1	lik	flözlök	flözlöm	TRUE	TRUE
brutlik	brutlik	1	lik	brutlok	brutlom	TRUE	TRUE
pézlik	pézlik	1	lik	pézlek	pézlem	TRUE	TRUE
flátszik	flátßik	1	zik	flátszok	flátszom	TRUE	TRUE
sádlik	sádlik	1	lik	sádlok	sádlom	TRUE	TRUE
frakszik	frakßik	1	zik	frakszok	frakszom	TRUE	TRUE
pítszik	pítßik	1	zik	pítszok	pítszom	TRUE	TRUE
frerzik	frerzik	1	zik	frerzek	frerzem	TRUE	TRUE
sprűglik	sprűglik	1	lik	sprűglök	sprűglöm	TRUE	TRUE
ülszik	ülßik	1	zik	ülszök	ülszöm	TRUE	FALSE
sztrurzik	ßtrurzik	1	zik	sztrurzok	sztrurzom	TRUE	TRUE
prínylik	prí¥lik	1	lik	prínylok	prínylom	TRUE	TRUE
nyitszik	¥itßik	1	zik	nyitszok	nyitszom	TRUE	FALSE
brarlik	brarlik	1	lik	brarlok	brarlom	TRUE	TRUE
sztrítszik	ßtrítßik	1	zik	sztrítszok	sztrítszom	TRUE	TRUE
trákszik	trákßik	1	zik	trákszok	trákszom	TRUE	FALSE
flörzik	flörzik	1	zik	flörzök	flörzöm	TRUE	TRUE
sztrozlik	ßtrozlik	1	lik	sztrozlok	sztrozlom	TRUE	TRUE
drűslik	drűslik	1	lik	drűslök	drűslöm	TRUE	FALSE
tínylik	tí¥lik	1	lik	tínylok	tínylom	TRUE	TRUE
klaráglik	klaráglik	2	lik	klaráglok	klaráglom	TRUE	TRUE
lágakszik	lágakßik	2	zik	lágakszok	lágakszom	TRUE	TRUE
gyatágzik	©atágzik	2	zik	gyatágzok	gyatágzom	TRUE	TRUE
lubódzik	lubódzik	2	zik	lubódzok	lubódzom	FALSE	TRUE
spohódzik	spohódzik	2	zik	spohódzok	spohódzom	TRUE	TRUE
kilaglik	kilaglik	2	lik	kilaglok	kilaglom	TRUE	FALSE
vilejlik	vilejlik	2	lik	vilejlek	vilejlem	TRUE	TRUE
delénylik	delé¥lik	2	lik	delénylek	delénylem	TRUE	FALSE
tréleslik	tréleslik	2	lik	tréleslek	tréleslem	TRUE	FALSE
felégszik	felégßik	2	zik	felégszek	felégszem	FALSE	FALSE
málapszik	málapßik	2	zik	málapszok	málapszom	TRUE	TRUE
frihágzik	frihágzik	2	zik	frihágzok	frihágzom	TRUE	TRUE
fralárzik	fralárzik	2	zik	fralárzok	fralárzom	TRUE	TRUE
bélejlik	bélejlik	2	lik	bélejlek	bélejlem	TRUE	FALSE
szibaglik	ßibaglik	2	lik	szibaglok	szibaglom	TRUE	TRUE
nyélemlik	¥élemlik	2	lik	nyélemlek	nyélemlem	TRUE	FALSE
driharzik	driharzik	2	zik	driharzok	driharzom	TRUE	TRUE
firadzik	firadzik	2	zik	firadzok	firadzom	FALSE	TRUE
gyihegszik	©ihegßik	2	zik	gyihegszek	gyihegszem	TRUE	TRUE
gyivékszik	©ivékßik	2	zik	gyivékszek	gyivékszem	TRUE	TRUE
nyiraklik	¥iraklik	2	lik	nyiraklok	nyiraklom	TRUE	TRUE
prihádzik	prihádzik	2	zik	prihádzok	prihádzom	TRUE	TRUE
tárapszik	tárapßik	2	zik	tárapszok	tárapszom	TRUE	FALSE
fliragzik	fliragzik	2	zik	fliragzok	fliragzom	TRUE	TRUE
riláglik	riláglik	2	lik	riláglok	riláglom	FALSE	TRUE
klibadzik	klibadzik	2	zik	klibadzok	klibadzom	TRUE	TRUE
varáglik	varáglik	2	lik	varáglok	varáglom	TRUE	FALSE
vilakszik	vilakßik	2	zik	vilakszok	vilakszom	TRUE	TRUE
klirágzik	klirágzik	2	zik	klirágzok	klirágzom	TRUE	TRUE
klatárzik	klatárzik	2	zik	klatárzok	klatárzom	TRUE	TRUE
fivepszik	fivepßik	2	zik	fivepszek	fivepszem	TRUE	TRUE
frivajlik	frivajlik	2	lik	frivajlok	frivajlom	TRUE	TRUE
mibagszik	mibagßik	2	zik	mibagszok	mibagszom	TRUE	FALSE
spubonylik	spubo¥lik	2	lik	spubonylok	spubonylom	TRUE	TRUE
drivapszik	drivapßik	2	zik	drivapszok	drivapszom	TRUE	FALSE
tövőrzik	tövőrzik	2	zik	tövőrzök	tövőrzöm	TRUE	TRUE
flehénylik	flehé¥lik	2	lik	flehénylek	flehénylem	TRUE	TRUE
plövőrzik	plövőrzik	2	zik	plövőrzök	plövőrzöm	TRUE	TRUE
pratágzik	pratágzik	2	zik	pratágzok	pratágzom	TRUE	TRUE
nyibejlik	¥ibejlik	2	lik	nyibejlek	nyibejlem	TRUE	TRUE
bihánylik	bihá¥lik	2	lik	bihánylok	bihánylom	TRUE	TRUE
luborzik	luborzik	2	zik	luborzok	luborzom	TRUE	TRUE
flűröklik	flűröklik	2	lik	flűröklök	flűröklöm	TRUE	TRUE
trihagzik	trihagzik	2	zik	trihagzok	trihagzom	TRUE	TRUE
gilegzik	gilegzik	2	zik	gilegzek	gilegzem	TRUE	TRUE
klubonylik	klubo¥lik	2	lik	klubonylok	klubonylom	TRUE	FALSE
kérepszik	kérepßik	2	zik	kérepszek	kérepszem	TRUE	FALSE
spibádzik	spibádzik	2	zik	spibádzok	spibádzom	TRUE	TRUE
klibamlik	klibamlik	2	lik	klibamlok	klibamlom	TRUE	TRUE
iránylik	irá¥lik	2	lik	iránylok	iránylom	FALSE	FALSE
pliraglik	pliraglik	2	lik	pliraglok	pliraglom	TRUE	FALSE
fliraklik	fliraklik	2	lik	fliraklok	fliraklom	TRUE	TRUE
hatánylik	hatá¥lik	2	lik	hatánylok	hatánylom	TRUE	FALSE
drubódzik	drubódzik	2	zik	drubódzok	drubódzom	TRUE	TRUE
spilágzik	spilágzik	2	zik	spilágzok	spilágzom	TRUE	TRUE
bivégszik	bivégßik	2	zik	bivégszek	bivégszem	TRUE	TRUE
tribarzik	tribarzik	2	zik	tribarzok	tribarzom	TRUE	TRUE
salárzik	salárzik	2	zik	salárzok	salárzom	TRUE	TRUE
nűröklik	nűröklik	2	lik	nűröklök	nűröklöm	TRUE	TRUE
klövűdzik	klövűdzik	2	zik	klövűdzök	klövűdzöm	TRUE	TRUE
pivegszik	pivegßik	2	zik	pivegszek	pivegszem	TRUE	TRUE
hurjorzik	hurjorzik	2	zik	hurjorzok	hurjorzom	TRUE	TRUE
flagárzik	flagárzik	2	zik	flagárzok	flagárzom	TRUE	TRUE
huroslik	huroslik	2	lik	huroslok	huroslom	TRUE	TRUE
fövűdzik	fövűdzik	2	zik	fövűdzök	fövűdzöm	TRUE	TRUE
tugonylik	tugo¥lik	2	lik	tugonylok	tugonylom	TRUE	TRUE
trihemlik	trihemlik	2	lik	trihemlek	trihemlem	TRUE	TRUE
sérejlik	sérejlik	2	lik	sérejlek	sérejlem	TRUE	TRUE
dáladzik	dáladzik	2	zik	dáladzok	dáladzom	FALSE	TRUE
bribaglik	bribaglik	2	lik	bribaglok	bribaglom	TRUE	TRUE
kibemlik	kibemlik	2	lik	kibemlek	kibemlem	TRUE	FALSE
dürődzik	dürődzik	2	zik	dürődzök	dürődzöm	TRUE	TRUE
spiramlik	spiramlik	2	lik	spiramlok	spiramlom	TRUE	TRUE
ivemlik	ivemlik	2	lik	ivemlek	ivemlem	TRUE	TRUE
plirénylik	pliré¥lik	2	lik	plirénylek	plirénylem	TRUE	FALSE
nirágzik	nirágzik	2	zik	nirágzok	nirágzom	FALSE	TRUE
marjágzik	marjágzik	2	zik	marjágzok	marjágzom	TRUE	TRUE
narjárzik	narjárzik	2	zik	narjárzok	narjárzom	TRUE	TRUE
darjánylik	darjá¥lik	2	lik	darjánylok	darjánylom	TRUE	TRUE
drubonylik	drubo¥lik	2	lik	drubonylok	drubonylom	TRUE	FALSE
dribaklik	dribaklik	2	lik	dribaklok	dribaklom	TRUE	FALSE
kágadzik	kágadzik	2	zik	kágadzok	kágadzom	FALSE	TRUE
frihapszik	frihapßik	2	zik	frihapszok	frihapszom	TRUE	TRUE
brobódzik	brobódzik	2	zik	brobódzok	brobódzom	TRUE	TRUE
spötűdzik	spötűdzik	2	zik	spötűdzök	spötűdzöm	TRUE	TRUE
plugoklik	plugoklik	2	lik	plugoklok	plugoklom	TRUE	FALSE
irégszik	irégßik	2	zik	irégszek	irégszem	TRUE	TRUE
brivegzik	brivegzik	2	zik	brivegzek	brivegzem	TRUE	TRUE
lihemlik	lihemlik	2	lik	lihemlek	lihemlem	TRUE	TRUE
pruboklik	pruboklik	2	lik	pruboklok	pruboklom	TRUE	TRUE
kléregszik	kléregßik	2	zik	kléregszek	kléregszem	TRUE	TRUE
dágajlik	dágajlik	2	lik	dágajlok	dágajlom	TRUE	TRUE
trötőrzik	trötőrzik	2	zik	trötőrzök	trötőrzöm	TRUE	TRUE
brivénylik	brivé¥lik	2	lik	brivénylek	brivénylem	TRUE	TRUE
brugódzik	brugódzik	2	zik	brugódzok	brugódzom	TRUE	TRUE
ihágzik	ihágzik	2	zik	ihágzok	ihágzom	TRUE	TRUE
pribedzik	pribedzik	2	zik	pribedzek	pribedzem	TRUE	TRUE
gilárzik	gilárzik	2	zik	gilárzok	gilárzom	TRUE	TRUE
spülöklik	spülöklik	2	lik	spülöklök	spülöklöm	TRUE	TRUE
narádzik	narádzik	2	zik	narádzok	narádzom	TRUE	TRUE
csólorzik	çólorzik	2	zik	csólorzok	csólorzom	TRUE	TRUE
prilegzik	prilegzik	2	zik	prilegzek	prilegzem	TRUE	TRUE
pribagszik	pribagßik	2	zik	pribagszok	pribagszom	TRUE	TRUE
fribénylik	fribé¥lik	2	lik	fribénylek	fribénylem	TRUE	TRUE
plihegzik	plihegzik	2	zik	plihegzek	plihegzem	TRUE	TRUE
csolódzik	çolódzik	2	zik	csolódzok	csolódzom	TRUE	TRUE
szibánylik	ßibá¥lik	2	lik	szibánylok	szibánylom	TRUE	TRUE
szilaklik	ßilaklik	2	lik	szilaklok	szilaklom	TRUE	FALSE
iragzik	iragzik	2	zik	iragzok	iragzom	TRUE	TRUE
drólonylik	drólo¥lik	2	lik	drólonylok	drólonylom	TRUE	FALSE
dihajlik	dihajlik	2	lik	dihajlok	dihajlom	FALSE	TRUE
ilepszik	ilepßik	2	zik	ilepszek	ilepszem	FALSE	TRUE
káraslik	káraslik	2	lik	káraslok	káraslom	TRUE	FALSE
tűrődzik	tűrődzik	2	zik	tűrődzök	tűrődzöm	TRUE	TRUE
spihemlik	spihemlik	2	lik	spihemlek	spihemlem	TRUE	TRUE
hilénylik	hilé¥lik	2	lik	hilénylek	hilénylem	TRUE	TRUE
válaglik	válaglik	2	lik	válaglok	válaglom	TRUE	FALSE
klivégszik	klivégßik	2	zik	klivégszek	klivégszem	TRUE	TRUE
plágadzik	plágadzik	2	zik	plágadzok	plágadzom	TRUE	TRUE
brágadzik	brágadzik	2	zik	brágadzok	brágadzom	TRUE	TRUE
herégszik	herégßik	2	zik	herégszek	herégszem	TRUE	TRUE
pratánylik	pratá¥lik	2	lik	pratánylok	pratánylom	TRUE	TRUE
nibarzik	nibarzik	2	zik	nibarzok	nibarzom	TRUE	TRUE
frülődzik	frülődzik	2	zik	frülődzök	frülődzöm	TRUE	TRUE
lorjódzik	lorjódzik	2	zik	lorjódzok	lorjódzom	TRUE	TRUE
luboslik	luboslik	2	lik	luboslok	luboslom	TRUE	TRUE
drötűdzik	drötűdzik	2	zik	drötűdzök	drötűdzöm	TRUE	TRUE
pribemlik	pribemlik	2	lik	pribemlek	pribemlem	TRUE	TRUE
prálakszik	prálakßik	2	zik	prálakszok	prálakszom	TRUE	TRUE
mivarzik	mivarzik	2	zik	mivarzok	mivarzom	FALSE	TRUE
bivárzik	bivárzik	2	zik	bivárzok	bivárzom	TRUE	TRUE
hilarzik	hilarzik	2	zik	hilarzok	hilarzom	TRUE	TRUE
prihekszik	prihekßik	2	zik	prihekszek	prihekszem	TRUE	TRUE
klágarzik	klágarzik	2	zik	klágarzok	klágarzom	TRUE	TRUE
plibánylik	plibá¥lik	2	lik	plibánylok	plibánylom	TRUE	FALSE
gyetékszik	©etékßik	2	zik	gyetékszek	gyetékszem	TRUE	TRUE
fivénylik	fivé¥lik	2	lik	fivénylek	fivénylem	TRUE	TRUE
prólorzik	prólorzik	2	zik	prólorzok	prólorzom	TRUE	TRUE
filágzik	filágzik	2	zik	filágzok	filágzom	TRUE	TRUE
sperénylik	speré¥lik	2	lik	sperénylek	sperénylem	TRUE	TRUE
kohódzik	kohódzik	2	zik	kohódzok	kohódzom	TRUE	TRUE
flireglik	flireglik	2	lik	flireglek	flireglem	TRUE	TRUE
brilekszik	brilekßik	2	zik	brilekszek	brilekszem	TRUE	TRUE
klivegzik	klivegzik	2	zik	klivegzek	klivegzem	TRUE	TRUE
gyivádzik	©ivádzik	2	zik	gyivádzok	gyivádzom	TRUE	TRUE
sárajlik	sárajlik	2	lik	sárajlok	sárajlom	TRUE	FALSE
lörűdzik	lörűdzik	2	zik	lörűdzök	lörűdzöm	TRUE	TRUE
csugorzik	çugorzik	2	zik	csugorzok	csugorzom	TRUE	TRUE
gyibakszik	©ibakßik	2	zik	gyibakszok	gyibakszom	TRUE	TRUE
filajlik	filajlik	2	lik	filajlok	filajlom	TRUE	TRUE
ötűdzik	ötűdzik	2	zik	ötűdzök	ötűdzöm	TRUE	TRUE
feténylik	feté¥lik	2	lik	feténylek	feténylem	TRUE	TRUE
bárakszik	bárakßik	2	zik	bárakszok	bárakszom	TRUE	FALSE
süröklik	süröklik	2	lik	süröklök	süröklöm	TRUE	TRUE
klárapszik	klárapßik	2	zik	klárapszok	klárapszom	TRUE	TRUE
trivágzik	trivágzik	2	zik	trivágzok	trivágzom	TRUE	TRUE
driládzik	driládzik	2	zik	driládzok	driládzom	TRUE	TRUE
kugódzik	kugódzik	2	zik	kugódzok	kugódzom	TRUE	TRUE
szálajlik	ßálajlik	2	lik	szálajlok	szálajlom	TRUE	FALSE
táradzik	táradzik	2	zik	táradzok	táradzom	TRUE	TRUE
préleglik	préleglik	2	lik	préleglek	préleglem	TRUE	TRUE
spibarzik	spibarzik	2	zik	spibarzok	spibarzom	TRUE	TRUE
hilamlik	hilamlik	2	lik	hilamlok	hilamlom	TRUE	TRUE
klivaslik	klivaslik	2	lik	klivaslok	klivaslom	TRUE	TRUE
gibapszik	gibapßik	2	zik	gibapszok	gibapszom	TRUE	TRUE
hilapszik	hilapßik	2	zik	hilapszok	hilapszom	TRUE	TRUE
spatárzik	spatárzik	2	zik	spatárzok	spatárzom	TRUE	TRUE
harjáglik	harjáglik	2	lik	harjáglok	harjáglom	TRUE	FALSE
rálagzik	rálagzik	2	zik	rálagzok	rálagzom	TRUE	TRUE
gatárzik	gatárzik	2	zik	gatárzok	gatárzom	TRUE	TRUE
téledzik	téledzik	2	zik	téledzek	téledzem	TRUE	FALSE
trilárzik	trilárzik	2	zik	trilárzok	trilárzom	TRUE	TRUE
magárzik	magárzik	2	zik	magárzok	magárzom	TRUE	TRUE
plihaslik	plihaslik	2	lik	plihaslok	plihaslom	TRUE	FALSE
fléremlik	fléremlik	2	lik	fléremlek	fléremlem	TRUE	TRUE
guronylik	guro¥lik	2	lik	guronylok	guronylom	TRUE	TRUE
direpszik	direpßik	2	zik	direpszek	direpszem	TRUE	TRUE
dréledzik	dréledzik	2	zik	dréledzek	dréledzem	TRUE	FALSE
irapszik	irapßik	2	zik	irapszok	irapszom	TRUE	TRUE
fibamlik	fibamlik	2	lik	fibamlok	fibamlom	TRUE	TRUE
livaklik	livaklik	2	lik	livaklok	livaklom	TRUE	TRUE
