prompt_cc	prompt_cvc	suffix_ep	target_cc	target_cvc	tr_stem	tr_end	prompt_cc_tr	nsyl	tr	keep_enough_distance	keep_no_overlap
jalszik	jalodik	ünk	jalszunk	jalodunk	jal	ßik	jalßik	1	jalßik	TRUE	FALSE
nyéjzik	nyéjezik	nek	nyéjzenek	nyéjeznek	¥éj	zik	¥éjzik	1	¥éjzik	TRUE	TRUE
nyéjzik	nyéjezik	tek	nyéjzetek	nyéjeztek	¥éj	zik	¥éjzik	1	¥éjzik	TRUE	TRUE
nyéjzik	nyéjezik	ünk	nyéjzünk	nyéjezünk	¥éj	zik	¥éjzik	1	¥éjzik	TRUE	TRUE
friheglik	frihegezik	nek	friheglenek	frihegeznek	friheg	lik	friheglik	2	friheglik	TRUE	TRUE
friheglik	frihegezik	tek	frihegletek	frihegeztek	friheg	lik	friheglik	2	friheglik	TRUE	TRUE
friheglik	frihegezik	ünk	friheglünk	frihegezünk	friheg	lik	friheglik	2	friheglik	TRUE	TRUE
spérzik	spérezik	nek	spérzenek	spéreznek	spér	zik	spérzik	1	spérzik	TRUE	TRUE
spérzik	spérezik	tek	spérzetek	spéreztek	spér	zik	spérzik	1	spérzik	TRUE	TRUE
spérzik	spérezik	ünk	spérzünk	spérezünk	spér	zik	spérzik	1	spérzik	TRUE	TRUE
frelénylik	frelényezik	nek	frelénylenek	frelényeznek	frelé¥	lik	frelé¥lik	2	frelé¥lik	TRUE	TRUE
frelénylik	frelényezik	tek	frelényletek	frelényeztek	frelé¥	lik	frelé¥lik	2	frelé¥lik	TRUE	TRUE
frelénylik	frelényezik	ünk	frelénylünk	frelényezünk	frelé¥	lik	frelé¥lik	2	frelé¥lik	TRUE	TRUE
nyüglik	nyügözik	nek	nyüglenek	nyügöznek	¥üg	lik	¥üglik	1	¥üglik	TRUE	TRUE
nyüglik	nyügözik	tek	nyüglötök	nyügöztök	¥üg	lik	¥üglik	1	¥üglik	TRUE	TRUE
nyüglik	nyügözik	ünk	nyüglünk	nyügözünk	¥üg	lik	¥üglik	1	¥üglik	TRUE	TRUE
drilakszik	drilakodik	nek	drilakszanak	drilakodnak	drilak	ßik	drilakßik	2	drilakßik	TRUE	FALSE
drilakszik	drilakodik	tek	drilakszotok	drilakodtok	drilak	ßik	drilakßik	2	drilakßik	TRUE	FALSE
drilakszik	drilakodik	ünk	drilakszunk	drilakodunk	drilak	ßik	drilakßik	2	drilakßik	TRUE	FALSE
flihárzik	flihározik	nek	flihárzanak	flihároznak	flihár	zik	flihárzik	2	flihárzik	TRUE	TRUE
flihárzik	flihározik	tek	flihárzotok	flihároztok	flihár	zik	flihárzik	2	flihárzik	TRUE	TRUE
flihárzik	flihározik	ünk	flihárzunk	flihározunk	flihár	zik	flihárzik	2	flihárzik	TRUE	TRUE
pekszik	pekedik	nek	pekszenek	pekednek	pek	ßik	pekßik	1	pekßik	TRUE	TRUE
pekszik	pekedik	tek	pekszetek	pekedtek	pek	ßik	pekßik	1	pekßik	TRUE	TRUE
pekszik	pekedik	ünk	pekszünk	pekedünk	pek	ßik	pekßik	1	pekßik	TRUE	TRUE
sprudlik	sprudozik	nek	sprudlanak	sprudoznak	sprud	lik	sprudlik	1	sprudlik	TRUE	TRUE
sprudlik	sprudozik	tek	sprudlotok	sprudoztok	sprud	lik	sprudlik	1	sprudlik	TRUE	TRUE
sprudlik	sprudozik	ünk	sprudlunk	sprudozunk	sprud	lik	sprudlik	1	sprudlik	TRUE	TRUE
plütlik	plütözik	nek	plütlenek	plütöznek	plüt	lik	plütlik	1	plütlik	TRUE	FALSE
plütlik	plütözik	tek	plütlötök	plütöztök	plüt	lik	plütlik	1	plütlik	TRUE	FALSE
plütlik	plütözik	ünk	plütlünk	plütözünk	plüt	lik	plütlik	1	plütlik	TRUE	FALSE
gyirakszik	gyirakodik	nek	gyirakszanak	gyirakodnak	©irak	ßik	©irakßik	2	©irakßik	TRUE	TRUE
gyirakszik	gyirakodik	tek	gyirakszotok	gyirakodtok	©irak	ßik	©irakßik	2	©irakßik	TRUE	TRUE
gyirakszik	gyirakodik	ünk	gyirakszunk	gyirakodunk	©irak	ßik	©irakßik	2	©irakßik	TRUE	TRUE
pribánylik	pribányozik	nek	pribánylanak	pribányoznak	pribá¥	lik	pribá¥lik	2	pribá¥lik	TRUE	TRUE
pribánylik	pribányozik	tek	pribánylotok	pribányoztok	pribá¥	lik	pribá¥lik	2	pribá¥lik	TRUE	TRUE
pribánylik	pribányozik	ünk	pribánylunk	pribányozunk	pribá¥	lik	pribá¥lik	2	pribá¥lik	TRUE	TRUE
milékszik	milékedik	nek	milékszenek	milékednek	milék	ßik	milékßik	2	milékßik	TRUE	FALSE
milékszik	milékedik	tek	milékszetek	milékedtek	milék	ßik	milékßik	2	milékßik	TRUE	FALSE
milékszik	milékedik	ünk	milékszünk	milékedünk	milék	ßik	milékßik	2	milékßik	TRUE	FALSE
vobzik	vobozik	nek	vobzanak	voboznak	vob	zik	vobzik	1	vobzik	TRUE	TRUE
vobzik	vobozik	tek	vobzotok	voboztok	vob	zik	vobzik	1	vobzik	TRUE	TRUE
vobzik	vobozik	ünk	vobzunk	vobozunk	vob	zik	vobzik	1	vobzik	TRUE	TRUE
csaránylik	csarányozik	nek	csaránylanak	csarányoznak	çará¥	lik	çará¥lik	2	çará¥lik	FALSE	TRUE
csaránylik	csarányozik	tek	csaránylotok	csarányoztok	çará¥	lik	çará¥lik	2	çará¥lik	FALSE	TRUE
csaránylik	csarányozik	ünk	csaránylunk	csarányozunk	çará¥	lik	çará¥lik	2	çará¥lik	FALSE	TRUE
dáraslik	dárasozik	nek	dáraslanak	dárasoznak	dáras	lik	dáraslik	2	dáraslik	TRUE	TRUE
dáraslik	dárasozik	tek	dáraslotok	dárasoztok	dáras	lik	dáraslik	2	dáraslik	TRUE	TRUE
dáraslik	dárasozik	ünk	dáraslunk	dárasozunk	dáras	lik	dáraslik	2	dáraslik	TRUE	TRUE
kilénylik	kilényezik	nek	kilénylenek	kilényeznek	kilé¥	lik	kilé¥lik	2	kilé¥lik	TRUE	FALSE
kilénylik	kilényezik	tek	kilényletek	kilényeztek	kilé¥	lik	kilé¥lik	2	kilé¥lik	TRUE	FALSE
kilénylik	kilényezik	ünk	kilénylünk	kilényezünk	kilé¥	lik	kilé¥lik	2	kilé¥lik	TRUE	FALSE
spibeglik	spibegezik	nek	spibeglenek	spibegeznek	spibeg	lik	spibeglik	2	spibeglik	TRUE	TRUE
spibeglik	spibegezik	tek	spibegletek	spibegeztek	spibeg	lik	spibeglik	2	spibeglik	TRUE	TRUE
spibeglik	spibegezik	ünk	spibeglünk	spibegezünk	spibeg	lik	spibeglik	2	spibeglik	TRUE	TRUE
ivarzik	ivarozik	nek	ivarzanak	ivaroznak	ivar	zik	ivarzik	2	ivarzik	FALSE	TRUE
ivarzik	ivarozik	tek	ivarzotok	ivaroztok	ivar	zik	ivarzik	2	ivarzik	FALSE	TRUE
ivarzik	ivarozik	ünk	ivarzunk	ivarozunk	ivar	zik	ivarzik	2	ivarzik	FALSE	TRUE
mibejlik	mibejezik	nek	mibejlenek	mibejeznek	mibej	lik	mibejlik	2	mibejlik	TRUE	FALSE
mibejlik	mibejezik	tek	mibejletek	mibejeztek	mibej	lik	mibejlik	2	mibejlik	TRUE	FALSE
mibejlik	mibejezik	ünk	mibejlünk	mibejezünk	mibej	lik	mibejlik	2	mibejlik	TRUE	FALSE
sprebzik	sprebezik	nek	sprebzenek	sprebeznek	spreb	zik	sprebzik	1	sprebzik	TRUE	TRUE
sprebzik	sprebezik	tek	sprebzetek	sprebeztek	spreb	zik	sprebzik	1	sprebzik	TRUE	TRUE
sprebzik	sprebezik	ünk	sprebzünk	sprebezünk	spreb	zik	sprebzik	1	sprebzik	TRUE	TRUE
kletégszik	kletégedik	nek	kletégszenek	kletégednek	kletég	ßik	kletégßik	2	kletégßik	TRUE	TRUE
kletégszik	kletégedik	tek	kletégszetek	kletégedtek	kletég	ßik	kletégßik	2	kletégßik	TRUE	TRUE
kletégszik	kletégedik	ünk	kletégszünk	kletégedünk	kletég	ßik	kletégßik	2	kletégßik	TRUE	TRUE
nyálaklik	nyálakozik	nek	nyálaklanak	nyálakoznak	¥álak	lik	¥álaklik	2	¥álaklik	TRUE	FALSE
nyálaklik	nyálakozik	tek	nyálaklotok	nyálakoztok	¥álak	lik	¥álaklik	2	¥álaklik	TRUE	FALSE
nyálaklik	nyálakozik	ünk	nyálaklunk	nyálakozunk	¥álak	lik	¥álaklik	2	¥álaklik	TRUE	FALSE
délegzik	délegezik	nek	délegzenek	délegeznek	déleg	zik	délegzik	2	délegzik	FALSE	TRUE
délegzik	délegezik	tek	délegzetek	délegeztek	déleg	zik	délegzik	2	délegzik	FALSE	TRUE
délegzik	délegezik	ünk	délegzünk	délegezünk	déleg	zik	délegzik	2	délegzik	FALSE	TRUE
medlik	medezik	nek	medlenek	medeznek	med	lik	medlik	1	medlik	TRUE	TRUE
medlik	medezik	tek	medletek	medeztek	med	lik	medlik	1	medlik	TRUE	TRUE
medlik	medezik	ünk	medlünk	medezünk	med	lik	medlik	1	medlik	TRUE	TRUE
héjlik	héjezik	nek	héjlenek	héjeznek	héj	lik	héjlik	1	héjlik	TRUE	FALSE
héjlik	héjezik	tek	héjletek	héjeztek	héj	lik	héjlik	1	héjlik	TRUE	FALSE
héjlik	héjezik	ünk	héjlünk	héjezünk	héj	lik	héjlik	1	héjlik	TRUE	FALSE
prögzik	prögözik	nek	prögzenek	prögöznek	prög	zik	prögzik	1	prögzik	TRUE	TRUE
prögzik	prögözik	tek	prögzötök	prögöztök	prög	zik	prögzik	1	prögzik	TRUE	TRUE
prögzik	prögözik	ünk	prögzünk	prögözünk	prög	zik	prögzik	1	prögzik	TRUE	TRUE
trálszik	trálodik	nek	trálszanak	trálodnak	trál	ßik	trálßik	1	trálßik	TRUE	TRUE
trálszik	trálodik	tek	trálszotok	trálodtok	trál	ßik	trálßik	1	trálßik	TRUE	TRUE
trálszik	trálodik	ünk	trálszunk	trálodunk	trál	ßik	trálßik	1	trálßik	TRUE	TRUE
privékszik	privékedik	nek	privékszenek	privékednek	privék	ßik	privékßik	2	privékßik	TRUE	TRUE
privékszik	privékedik	tek	privékszetek	privékedtek	privék	ßik	privékßik	2	privékßik	TRUE	TRUE
privékszik	privékedik	ünk	privékszünk	privékedünk	privék	ßik	privékßik	2	privékßik	TRUE	TRUE
drumlik	drumozik	nek	drumlanak	drumoznak	drum	lik	drumlik	1	drumlik	TRUE	FALSE
drumlik	drumozik	tek	drumlotok	drumoztok	drum	lik	drumlik	1	drumlik	TRUE	FALSE
drumlik	drumozik	ünk	drumlunk	drumozunk	drum	lik	drumlik	1	drumlik	TRUE	FALSE
sprüklik	sprüközik	nek	sprüklenek	sprüköznek	sprük	lik	sprüklik	1	sprüklik	TRUE	TRUE
sprüklik	sprüközik	tek	sprüklötök	sprüköztök	sprük	lik	sprüklik	1	sprüklik	TRUE	TRUE
sprüklik	sprüközik	ünk	sprüklünk	sprüközünk	sprük	lik	sprüklik	1	sprüklik	TRUE	TRUE
trukszik	trukodik	nek	trukszanak	trukodnak	truk	ßik	trukßik	1	trukßik	TRUE	TRUE
trukszik	trukodik	tek	trukszotok	trukodtok	truk	ßik	trukßik	1	trukßik	TRUE	TRUE
trukszik	trukodik	ünk	trukszunk	trukodunk	truk	ßik	trukßik	1	trukßik	TRUE	TRUE
küslik	küsözik	nek	küslenek	küsöznek	küs	lik	küslik	1	küslik	TRUE	TRUE
küslik	küsözik	tek	küslötök	küsöztök	küs	lik	küslik	1	küslik	TRUE	TRUE
küslik	küsözik	ünk	küslünk	küsözünk	küs	lik	küslik	1	küslik	TRUE	TRUE
mihágzik	mihágozik	nek	mihágzanak	mihágoznak	mihág	zik	mihágzik	2	mihágzik	TRUE	TRUE
mihágzik	mihágozik	tek	mihágzotok	mihágoztok	mihág	zik	mihágzik	2	mihágzik	TRUE	TRUE
mihágzik	mihágozik	ünk	mihágzunk	mihágozunk	mihág	zik	mihágzik	2	mihágzik	TRUE	TRUE
rivapszik	rivapodik	nek	rivapszanak	rivapodnak	rivap	ßik	rivapßik	2	rivapßik	TRUE	TRUE
rivapszik	rivapodik	tek	rivapszotok	rivapodtok	rivap	ßik	rivapßik	2	rivapßik	TRUE	TRUE
rivapszik	rivapodik	ünk	rivapszunk	rivapodunk	rivap	ßik	rivapßik	2	rivapßik	TRUE	TRUE
tribáglik	tribágozik	nek	tribáglanak	tribágoznak	tribág	lik	tribáglik	2	tribáglik	TRUE	TRUE
tribáglik	tribágozik	tek	tribáglotok	tribágoztok	tribág	lik	tribáglik	2	tribáglik	TRUE	TRUE
tribáglik	tribágozik	ünk	tribáglunk	tribágozunk	tribág	lik	tribáglik	2	tribáglik	TRUE	TRUE
druboslik	drubosozik	nek	druboslanak	drubosoznak	drubos	lik	druboslik	2	druboslik	TRUE	FALSE
druboslik	drubosozik	tek	druboslotok	drubosoztok	drubos	lik	druboslik	2	druboslik	TRUE	FALSE
druboslik	drubosozik	ünk	druboslunk	drubosozunk	drubos	lik	druboslik	2	druboslik	TRUE	FALSE
verégszik	verégedik	nek	verégszenek	verégednek	verég	ßik	verégßik	2	verégßik	TRUE	FALSE
verégszik	verégedik	tek	verégszetek	verégedtek	verég	ßik	verégßik	2	verégßik	TRUE	FALSE
verégszik	verégedik	ünk	verégszünk	verégedünk	verég	ßik	verégßik	2	verégßik	TRUE	FALSE
fraklik	frakozik	nek	fraklanak	frakoznak	frak	lik	fraklik	1	fraklik	TRUE	TRUE
fraklik	frakozik	tek	fraklotok	frakoztok	frak	lik	fraklik	1	fraklik	TRUE	TRUE
fraklik	frakozik	ünk	fraklunk	frakozunk	frak	lik	fraklik	1	fraklik	TRUE	TRUE
spivágzik	spivágozik	nek	spivágzanak	spivágoznak	spivág	zik	spivágzik	2	spivágzik	TRUE	TRUE
spivágzik	spivágozik	tek	spivágzotok	spivágoztok	spivág	zik	spivágzik	2	spivágzik	TRUE	TRUE
spivágzik	spivágozik	ünk	spivágzunk	spivágozunk	spivág	zik	spivágzik	2	spivágzik	TRUE	TRUE
flübzik	flübözik	nek	flübzenek	flüböznek	flüb	zik	flübzik	1	flübzik	TRUE	TRUE
flübzik	flübözik	tek	flübzötök	flüböztök	flüb	zik	flübzik	1	flübzik	TRUE	TRUE
flübzik	flübözik	ünk	flübzünk	flübözünk	flüb	zik	flübzik	1	flübzik	TRUE	TRUE
kluzlik	kluzozik	nek	kluzlanak	kluzoznak	kluz	lik	kluzlik	1	kluzlik	TRUE	TRUE
kluzlik	kluzozik	tek	kluzlotok	kluzoztok	kluz	lik	kluzlik	1	kluzlik	TRUE	TRUE
kluzlik	kluzozik	ünk	kluzlunk	kluzozunk	kluz	lik	kluzlik	1	kluzlik	TRUE	TRUE
mülőrzik	mülőrözik	nek	mülőrzenek	mülőröznek	mülőr	zik	mülőrzik	2	mülőrzik	TRUE	TRUE
mülőrzik	mülőrözik	tek	mülőrzötök	mülőröztök	mülőr	zik	mülőrzik	2	mülőrzik	TRUE	TRUE
mülőrzik	mülőrözik	ünk	mülőrzünk	mülőrözünk	mülőr	zik	mülőrzik	2	mülőrzik	TRUE	TRUE
plibeglik	plibegezik	nek	plibeglenek	plibegeznek	plibeg	lik	plibeglik	2	plibeglik	TRUE	FALSE
plibeglik	plibegezik	tek	plibegletek	plibegeztek	plibeg	lik	plibeglik	2	plibeglik	TRUE	FALSE
plibeglik	plibegezik	ünk	plibeglünk	plibegezünk	plibeg	lik	plibeglik	2	plibeglik	TRUE	FALSE
hibzik	hibozik	nek	hibzanak	hiboznak	hib	zik	hibzik	1	hibzik	TRUE	TRUE
hibzik	hibozik	tek	hibzotok	hiboztok	hib	zik	hibzik	1	hibzik	TRUE	TRUE
hibzik	hibozik	ünk	hibzunk	hibozunk	hib	zik	hibzik	1	hibzik	TRUE	TRUE
furoslik	furosozik	nek	furoslanak	furosoznak	furos	lik	furoslik	2	furoslik	TRUE	TRUE
furoslik	furosozik	tek	furoslotok	furosoztok	furos	lik	furoslik	2	furoslik	TRUE	TRUE
furoslik	furosozik	ünk	furoslunk	furosozunk	furos	lik	furoslik	2	furoslik	TRUE	TRUE
niváglik	nivágozik	nek	niváglanak	nivágoznak	nivág	lik	niváglik	2	niváglik	TRUE	FALSE
niváglik	nivágozik	tek	niváglotok	nivágoztok	nivág	lik	niváglik	2	niváglik	TRUE	FALSE
niváglik	nivágozik	ünk	niváglunk	nivágozunk	nivág	lik	niváglik	2	niváglik	TRUE	FALSE
fretékszik	fretékedik	nek	fretékszenek	fretékednek	freték	ßik	fretékßik	2	fretékßik	TRUE	TRUE
fretékszik	fretékedik	tek	fretékszetek	fretékedtek	freték	ßik	fretékßik	2	fretékßik	TRUE	TRUE
fretékszik	fretékedik	ünk	fretékszünk	fretékedünk	freték	ßik	fretékßik	2	fretékßik	TRUE	TRUE
kirágzik	kirágozik	nek	kirágzanak	kirágoznak	kirág	zik	kirágzik	2	kirágzik	FALSE	TRUE
kirágzik	kirágozik	tek	kirágzotok	kirágoztok	kirág	zik	kirágzik	2	kirágzik	FALSE	TRUE
kirágzik	kirágozik	ünk	kirágzunk	kirágozunk	kirág	zik	kirágzik	2	kirágzik	FALSE	TRUE
sivajlik	sivajozik	nek	sivajlanak	sivajoznak	sivaj	lik	sivajlik	2	sivajlik	TRUE	TRUE
sivajlik	sivajozik	tek	sivajlotok	sivajoztok	sivaj	lik	sivajlik	2	sivajlik	TRUE	TRUE
sivajlik	sivajozik	ünk	sivajlunk	sivajozunk	sivaj	lik	sivajlik	2	sivajlik	TRUE	TRUE
molszik	molodik	nek	molszanak	molodnak	mol	ßik	molßik	1	molßik	TRUE	TRUE
molszik	molodik	tek	molszotok	molodtok	mol	ßik	molßik	1	molßik	TRUE	TRUE
molszik	molodik	ünk	molszunk	molodunk	mol	ßik	molßik	1	molßik	TRUE	TRUE
dritlik	dritozik	nek	dritlanak	dritoznak	drit	lik	dritlik	1	dritlik	TRUE	FALSE
dritlik	dritozik	tek	dritlotok	dritoztok	drit	lik	dritlik	1	dritlik	TRUE	FALSE
dritlik	dritozik	ünk	dritlunk	dritozunk	drit	lik	dritlik	1	dritlik	TRUE	FALSE
frötőrzik	frötőrözik	nek	frötőrzenek	frötőröznek	frötőr	zik	frötőrzik	2	frötőrzik	TRUE	TRUE
frötőrzik	frötőrözik	tek	frötőrzötök	frötőröztök	frötőr	zik	frötőrzik	2	frötőrzik	TRUE	TRUE
frötőrzik	frötőrözik	ünk	frötőrzünk	frötőrözünk	frötőr	zik	frötőrzik	2	frötőrzik	TRUE	TRUE
dirapszik	dirapodik	nek	dirapszanak	dirapodnak	dirap	ßik	dirapßik	2	dirapßik	TRUE	TRUE
dirapszik	dirapodik	tek	dirapszotok	dirapodtok	dirap	ßik	dirapßik	2	dirapßik	TRUE	TRUE
dirapszik	dirapodik	ünk	dirapszunk	dirapodunk	dirap	ßik	dirapßik	2	dirapßik	TRUE	TRUE
frirzik	frirozik	nek	frirzanak	friroznak	frir	zik	frirzik	1	frirzik	TRUE	TRUE
frirzik	frirozik	tek	frirzotok	friroztok	frir	zik	frirzik	1	frirzik	TRUE	TRUE
frirzik	frirozik	ünk	frirzunk	frirozunk	frir	zik	frirzik	1	frirzik	TRUE	TRUE
flékszik	flékedik	nek	flékszenek	flékednek	flék	ßik	flékßik	1	flékßik	TRUE	TRUE
flékszik	flékedik	tek	flékszetek	flékedtek	flék	ßik	flékßik	1	flékßik	TRUE	TRUE
flékszik	flékedik	ünk	flékszünk	flékedünk	flék	ßik	flékßik	1	flékßik	TRUE	TRUE
verénylik	verényezik	nek	verénylenek	verényeznek	veré¥	lik	veré¥lik	2	veré¥lik	TRUE	FALSE
verénylik	verényezik	tek	verényletek	verényeztek	veré¥	lik	veré¥lik	2	veré¥lik	TRUE	FALSE
verénylik	verényezik	ünk	verénylünk	verényezünk	veré¥	lik	veré¥lik	2	veré¥lik	TRUE	FALSE
metégszik	metégedik	nek	metégszenek	metégednek	metég	ßik	metégßik	2	metégßik	TRUE	TRUE
metégszik	metégedik	tek	metégszetek	metégedtek	metég	ßik	metégßik	2	metégßik	TRUE	TRUE
metégszik	metégedik	ünk	metégszünk	metégedünk	metég	ßik	metégßik	2	metégßik	TRUE	TRUE
fláragzik	fláragozik	nek	fláragzanak	fláragoznak	flárag	zik	fláragzik	2	fláragzik	TRUE	TRUE
fláragzik	fláragozik	tek	fláragzotok	fláragoztok	flárag	zik	fláragzik	2	fláragzik	TRUE	TRUE
fláragzik	fláragozik	ünk	fláragzunk	fláragozunk	flárag	zik	fláragzik	2	fláragzik	TRUE	TRUE
béklik	békezik	nek	béklenek	békeznek	bék	lik	béklik	1	béklik	TRUE	TRUE
béklik	békezik	tek	békletek	békeztek	bék	lik	béklik	1	béklik	TRUE	TRUE
béklik	békezik	ünk	béklünk	békezünk	bék	lik	béklik	1	béklik	TRUE	TRUE
űzlik	űzözik	nek	űzlenek	űzöznek	űz	lik	űzlik	1	űzlik	TRUE	FALSE
űzlik	űzözik	tek	űzlötök	űzöztök	űz	lik	űzlik	1	űzlik	TRUE	FALSE
űzlik	űzözik	ünk	űzlünk	űzözünk	űz	lik	űzlik	1	űzlik	TRUE	FALSE
brivaklik	brivakozik	nek	brivaklanak	brivakoznak	brivak	lik	brivaklik	2	brivaklik	TRUE	TRUE
brivaklik	brivakozik	tek	brivaklotok	brivakoztok	brivak	lik	brivaklik	2	brivaklik	TRUE	TRUE
brivaklik	brivakozik	ünk	brivaklunk	brivakozunk	brivak	lik	brivaklik	2	brivaklik	TRUE	TRUE
brálamlik	brálamozik	nek	brálamlanak	brálamoznak	brálam	lik	brálamlik	2	brálamlik	TRUE	TRUE
brálamlik	brálamozik	tek	brálamlotok	brálamoztok	brálam	lik	brálamlik	2	brálamlik	TRUE	TRUE
brálamlik	brálamozik	ünk	brálamlunk	brálamozunk	brálam	lik	brálamlik	2	brálamlik	TRUE	TRUE
spöklik	spöközik	nek	spöklenek	spököznek	spök	lik	spöklik	1	spöklik	TRUE	TRUE
spöklik	spöközik	tek	spöklötök	spököztök	spök	lik	spöklik	1	spöklik	TRUE	TRUE
spöklik	spöközik	ünk	spöklünk	spöközünk	spök	lik	spöklik	1	spöklik	TRUE	TRUE
vehékszik	vehékedik	nek	vehékszenek	vehékednek	vehék	ßik	vehékßik	2	vehékßik	TRUE	TRUE
vehékszik	vehékedik	tek	vehékszetek	vehékedtek	vehék	ßik	vehékßik	2	vehékßik	TRUE	TRUE
vehékszik	vehékedik	ünk	vehékszünk	vehékedünk	vehék	ßik	vehékßik	2	vehékßik	TRUE	TRUE
flodlik	flodozik	nek	flodlanak	flodoznak	flod	lik	flodlik	1	flodlik	TRUE	TRUE
flodlik	flodozik	tek	flodlotok	flodoztok	flod	lik	flodlik	1	flodlik	TRUE	TRUE
flodlik	flodozik	ünk	flodlunk	flodozunk	flod	lik	flodlik	1	flodlik	TRUE	TRUE
trubonylik	trubonyozik	nek	trubonylanak	trubonyoznak	trubo¥	lik	trubo¥lik	2	trubo¥lik	TRUE	TRUE
trubonylik	trubonyozik	tek	trubonylotok	trubonyoztok	trubo¥	lik	trubo¥lik	2	trubo¥lik	TRUE	TRUE
trubonylik	trubonyozik	ünk	trubonylunk	trubonyozunk	trubo¥	lik	trubo¥lik	2	trubo¥lik	TRUE	TRUE
tihekszik	tihekedik	nek	tihekszenek	tihekednek	tihek	ßik	tihekßik	2	tihekßik	TRUE	FALSE
tihekszik	tihekedik	tek	tihekszetek	tihekedtek	tihek	ßik	tihekßik	2	tihekßik	TRUE	FALSE
tihekszik	tihekedik	ünk	tihekszünk	tihekedünk	tihek	ßik	tihekßik	2	tihekßik	TRUE	FALSE
drihégszik	drihégedik	nek	drihégszenek	drihégednek	drihég	ßik	drihégßik	2	drihégßik	TRUE	FALSE
drihégszik	drihégedik	tek	drihégszetek	drihégedtek	drihég	ßik	drihégßik	2	drihégßik	TRUE	FALSE
drihégszik	drihégedik	ünk	drihégszünk	drihégedünk	drihég	ßik	drihégßik	2	drihégßik	TRUE	FALSE
dralágzik	dralágozik	nek	dralágzanak	dralágoznak	dralág	zik	dralágzik	2	dralágzik	TRUE	TRUE
dralágzik	dralágozik	tek	dralágzotok	dralágoztok	dralág	zik	dralágzik	2	dralágzik	TRUE	TRUE
dralágzik	dralágozik	ünk	dralágzunk	dralágozunk	dralág	zik	dralágzik	2	dralágzik	TRUE	TRUE
