lemma	xpostag	corpus_size	lemma_freq	vowels	v1	v2	tr
rubel	[/N][Nom]	8570080167	19855		u	e	rubel
kupé	[/N][Nom]	8570080167	18636		u	é	kupé
ínyenc	[/N][Nom]	8570080167	28788		í	e	í¥enc
púder	[/N][Nom]	8570080167	19636		ú	e	púder
arzén	[/N][Nom]	8570080167	14384		a	é	arzén
babér	[/N][Nom]	8570080167	32310		a	é	babér
hóhér	[/N][Nom]	8570080167	21404		ó	é	hóhér
mater	[/N][Nom]	8570080167	16610		a	e	mater
sírhely	[/N][Nom]	8570080167	29147		í	e	sírhe¬
csipesz	[/N][Nom]	8570080167	24337		i	e	çipeß
jóllét	[/N][Nom]	8570080167	24237		ó	é	jóllét
szatén	[/N][Nom]	8570080167	10585		a	é	ßatén
bankjegy	[/N][Nom]	8570080167	40966		a	e	bankje©
motel	[/N][Nom]	8570080167	13960		o	e	motel
bunker	[/N][Nom]	8570080167	25691		u	e	bunker
patent	[/N][Nom]	8570080167	16682		a	e	patent
páter	[/N][Nom]	8570080167	9880		á	e	páter
bokszer	[/N][Nom]	8570080167	15005		o	e	bokßer
konvent	[/N][Nom]	8570080167	11736		o	e	konvent
psziché	[/N][Nom]	8570080167	18711		i	é	pßiché
inert	[/N][Nom]	8570080167	7934		i	e	inert
fater	[/N][Nom]	8570080167	15751		a	e	fater
tandem	[/N][Nom]	8570080167	10068		a	e	tandem
visszér	[/N][Nom]	8570080167	18515		i	é	visßér
porszem	[/N][Nom]	8570080167	15584		o	e	porßem
arckrém	[/N][Nom]	8570080167	19096		a	é	arckrém
szószék	[/N][Nom]	8570080167	20410		ó	é	ßóßék
gallér	[/N][Nom]	8570080167	22860		a	é	gallér
sumer	[/N][Nom]	8570080167	9716		u	e	sumer
klisé	[/N][Nom]	8570080167	33849		i	é	klisé
maszek	[/N][Nom]	8570080167	9770		a	e	maßek
ágens	[/N][Nom]	8570080167	17621		á	e	ágens
balek	[/N][Nom]	8570080167	13062		a	e	balek
nagyhét	[/N][Nom]	8570080167	9994		a	é	na©hét
lóvé	[/N][Nom]	8570080167	17419		ó	é	lóvé
káté	[/N][Nom]	8570080167	9443		á	é	káté
álnév	[/N][Nom]	8570080167	36117		á	é	álnév
azbeszt	[/N][Nom]	8570080167	9640		a	e	azbeßt
printer	[/N][Nom]	8570080167	9284		i	e	printer
hajlék	[/N][Nom]	8570080167	26680		a	é	hajlék
kartell	[/N][Nom]	8570080167	13348		a	e	kartell
ziccer	[/N][Nom]	8570080167	39409		i	e	ziccer
zsáner	[/N][Nom]	8570080167	16709		á	e	Ωáner
csibe	[/N][Nom]	8570080167	16610		i	e	çibe
tallér	[/N][Nom]	8570080167	13055		a	é	tallér
gólem	[/N][Nom]	8570080167	7937		ó	e	gólem
assembly	[/N][Nom]	8570080167	6647		a	e	assemb¬
intés	[/N][Nom]	8570080167	19686		i	é	intés
fivér	[/N][Nom]	8570080167	48776		i	é	fivér
pille	[/N][Nom]	8570080167	12772		i	e	pille
limes	[/N][Nom]	8570080167	6664		i	e	limes
bódé	[/N][Nom]	8570080167	19085		ó	é	bódé
suszter	[/N][Nom]	8570080167	6878		u	e	sußter
illem	[/N][Nom]	8570080167	9096		i	e	illem
arckép	[/N][Nom]	8570080167	37723		a	é	arckép
ismérv	[/N][Nom]	8570080167	52292		i	é	ismérv
amper	[/N][Nom]	8570080167	8498		a	e	amper
szolfézs	[/N][Nom]	8570080167	7287		o	é	ßolféΩ
grófné	[/N][Nom]	8570080167	6683		ó	é	grófné
ankét	[/N][Nom]	8570080167	10005		a	é	ankét
ártér	[/N][Nom]	8570080167	21922		á	é	ártér
lisztes	[/N][Nom]	8570080167	25419		i	e	lißtes
ofszet	[/N][Nom]	8570080167	4953		o	e	ofßet
spíler	[/N][Nom]	8570080167	6361		í	e	spíler
bicepsz	[/N][Nom]	8570080167	9891		i	e	bicepß
pihe	[/N][Nom]	8570080167	8154		i	e	pihe
zsindely	[/N][Nom]	8570080167	8066		i	e	Ωinde¬
lidérc	[/N][Nom]	8570080167	10267		i	é	lidérc
csibész	[/N][Nom]	8570080167	7476		i	é	çibéß
óév	[/N][Nom]	8570080167	8923		ó	é	óév
sóder	[/N][Nom]	8570080167	8264		ó	e	sóder
bukfenc	[/N][Nom]	8570080167	9197		u	e	bukfenc
kiskert	[/N][Nom]	8570080167	21570		i	e	kiskert
balfék	[/N][Nom]	8570080167	4514		a	é	balfék
kókler	[/N][Nom]	8570080167	7297		ó	e	kókler
filé	[/N][Nom]	8570080167	8831		i	é	filé
színhely	[/N][Nom]	8570080167	58959		í	e	ßínhe¬
tájék	[/N][Nom]	8570080167	44920		á	é	tájék
bidé	[/N][Nom]	8570080167	8532		i	é	bidé
ómen	[/N][Nom]	8570080167	5118		ó	e	ómen
szike	[/N][Nom]	8570080167	8844		i	e	ßike
notesz	[/N][Nom]	8570080167	13921		o	e	noteß
ámen	[/N][Nom]	8570080167	5773		á	e	ámen
láger	[/N][Nom]	8570080167	14977		á	e	láger
zsanér	[/N][Nom]	8570080167	11691		a	é	Ωanér
szórend	[/N][Nom]	8570080167	6743		ó	e	ßórend
szocdem	[/N][Nom]	8570080167	8282		o	e	ßocdem
totem	[/N][Nom]	8570080167	6244		o	e	totem
jáde	[/N][Nom]	8570080167	3687		á	e	jáde
drazsé	[/N][Nom]	8570080167	6062		a	é	draΩé
ínség	[/N][Nom]	8570080167	7545		í	é	ínség
rideg	[/N][Nom]	8570080167	53470		i	e	rideg
kadét	[/N][Nom]	8570080167	6328		a	é	kadét
szirén	[/N][Nom]	8570080167	7291		i	é	ßirén
tróger	[/N][Nom]	8570080167	4410		ó	e	tróger
tyúkszem	[/N][Nom]	8570080167	6739		ú	e	†úkßem
góbé	[/N][Nom]	8570080167	3747		ó	é	góbé
hárem	[/N][Nom]	8570080167	9328		á	e	hárem
furnér	[/N][Nom]	8570080167	4847		u	é	furnér
koffer	[/N][Nom]	8570080167	7809		o	e	koffer
sikér	[/N][Nom]	8570080167	4499		i	é	sikér
bige	[/N][Nom]	8570080167	3524		i	e	bige
góré	[/N][Nom]	8570080167	4664		ó	é	góré
moment	[/N][Nom]	8570080167	3393		o	e	moment
siller	[/N][Nom]	8570080167	3888		i	e	siller
kópé	[/N][Nom]	8570080167	3625		ó	é	kópé
zsoké	[/N][Nom]	8570080167	4931		o	é	Ωoké
affér	[/N][Nom]	8570080167	7332		a	é	affér
moped	[/N][Nom]	8570080167	6981		o	e	moped
nyakék	[/N][Nom]	8570080167	6996		a	é	¥akék
rosseb	[/N][Nom]	8570080167	3544		o	e	rosseb
tanrend	[/N][Nom]	8570080167	9119		a	e	tanrend
karéj	[/N][Nom]	8570080167	6812		a	é	karéj
burleszk	[/N][Nom]	8570080167	3962		u	e	burleßk
raszter	[/N][Nom]	8570080167	4403		a	e	raßter
sparhelt	[/N][Nom]	8570080167	4765		a	e	sparhelt
mundér	[/N][Nom]	8570080167	4030		u	é	mundér
moslék	[/N][Nom]	8570080167	6690		o	é	moslék
latens	[/N][Nom]	8570080167	2653		a	e	latens
sízés	[/N][Nom]	8570080167	4671		í	é	sízés
ipse	[/N][Nom]	8570080167	3147		i	e	ipse
gyógyhely	[/N][Nom]	8570080167	6574		ó	e	©ó©he¬
jótét	[/N][Nom]	8570080167	2446		ó	é	jótét
gikszer	[/N][Nom]	8570080167	3202		i	e	gikßer
figyel	[/N][Nom]	8570080167	1694001		i	e	fi©el
pórnép	[/N][Nom]	8570080167	3666		ó	é	pórnép
ágyék	[/N][Nom]	8570080167	11658		á	é	á©ék
káder	[/N][Nom]	8570080167	8956		á	e	káder
ádvent	[/N][Nom]	8570080167	2839		á	e	ádvent
zsineg	[/N][Nom]	8570080167	8626		i	e	Ωineg
minden	[/N][Nom]	8570080167	20521985		i	e	minden
rostély	[/N][Nom]	8570080167	5117		o	é	rosté¬
fortély	[/N][Nom]	8570080167	36537		o	é	forté¬
dózse	[/N][Nom]	8570080167	2736		ó	e	dóΩe
díszkert	[/N][Nom]	8570080167	6122		í	e	díßkert
kampec	[/N][Nom]	8570080167	1979		a	e	kampec
barter	[/N][Nom]	8570080167	2631		a	e	barter
színkép	[/N][Nom]	8570080167	7172		í	é	ßínkép
maté	[/N][Nom]	8570080167	2574		a	é	maté
vicces	[/N][Nom]	8570080167	352521		i	e	vicces
díler	[/N][Nom]	8570080167	5897		í	e	díler
tizen	[/N][Nom]	8570080167	3360		i	e	tizen
kondér	[/N][Nom]	8570080167	6000		o	é	kondér
siket	[/N][Nom]	8570080167	33271		i	e	siket
sólet	[/N][Nom]	8570080167	3255		ó	e	sólet
ide	[/N][Nom]	8570080167	1613227		i	e	ide
láprét	[/N][Nom]	8570080167	5139		á	é	láprét
hites	[/N][Nom]	8570080167	5509		i	e	hites
csapszeg	[/N][Nom]	8570080167	3472		a	e	çapßeg
szpíker	[/N][Nom]	8570080167	2555		í	e	ßpíker
piszke	[/N][Nom]	8570080167	2421		i	e	pißke
borsszem	[/N][Nom]	8570080167	2209		o	e	borsßem
vitel	[/N][Nom]	8570080167	26445		i	e	vitel
flanel	[/N][Nom]	8570080167	1947		a	e	flanel
lágyék	[/N][Nom]	8570080167	5520		á	é	lá©ék
zuhé	[/N][Nom]	8570080167	2355		u	é	zuhé
malter	[/N][Nom]	8570080167	3492		a	e	malter
barrel	[/N][Nom]	8570080167	1662		a	e	barrel
pribék	[/N][Nom]	8570080167	5248		i	é	pribék
kupec	[/N][Nom]	8570080167	2393		u	e	kupec
giccses	[/N][Nom]	8570080167	17437		i	e	gicçes
macher	[/N][Nom]	8570080167	1519		a	e	macher
korner	[/N][Nom]	8570080167	2850		o	e	korner
dózer	[/N][Nom]	8570080167	2635		ó	e	dózer
gané	[/N][Nom]	8570080167	2447		a	é	gané
brojler	[/N][Nom]	8570080167	1774		o	e	brojler
sintér	[/N][Nom]	8570080167	2431		i	é	sintér
hangjegy	[/N][Nom]	8570080167	7248		a	e	hangje©
pátens	[/N][Nom]	8570080167	2649		á	e	pátens
rajthely	[/N][Nom]	8570080167	7079		a	e	rajthe¬
svindler	[/N][Nom]	8570080167	2058		i	e	svindler
klinker	[/N][Nom]	8570080167	1741		i	e	klinker
bibe	[/N][Nom]	8570080167	4544		i	e	bibe
muter	[/N][Nom]	8570080167	2713		u	e	muter
dicsfény	[/N][Nom]	8570080167	4792		i	é	diçfé¥
pamflet	[/N][Nom]	8570080167	4742		a	e	pamflet
hitves	[/N][Nom]	8570080167	15345		i	e	hitves
balkéz	[/N][Nom]	8570080167	4510		a	é	balkéz
bordély	[/N][Nom]	8570080167	5402		o	é	bordé¬
nyílhegy	[/N][Nom]	8570080167	3629		í	e	¥ílhe©
modern	[/N][Nom]	8570080167	1359168		o	e	modern
valcer	[/N][Nom]	8570080167	1940		a	e	valcer
miért	[/N][Nom]	8570080167	3636983		i	é	miért
csuhé	[/N][Nom]	8570080167	2575		u	é	çuhé
ziher	[/N][Nom]	8570080167	1239		i	e	ziher
csipet	[/N][Nom]	8570080167	2136		i	e	çipet
pliszé	[/N][Nom]	8570080167	1432		i	é	plißé
intéz	[/N][Nom]	8570080167	258735		i	é	intéz
hajszesz	[/N][Nom]	8570080167	2384		a	e	hajßeß
parfé	[/N][Nom]	8570080167	2236		a	é	parfé
szókép	[/N][Nom]	8570080167	5263		ó	é	ßókép
macesz	[/N][Nom]	8570080167	2035		a	e	maceß
csille	[/N][Nom]	8570080167	3428		i	e	çille
krapek	[/N][Nom]	8570080167	1655		a	e	krapek
pallér	[/N][Nom]	8570080167	1538		a	é	pallér
háznép	[/N][Nom]	8570080167	3572		á	é	háznép
mákszem	[/N][Nom]	8570080167	2781		á	e	mákßem
szkinhed	[/N][Nom]	8570080167	2235		i	e	ßkinhed
dodzsem	[/N][Nom]	8570080167	1848		o	e	dodΩem
morze	[/N][Nom]	8570080167	1246		o	e	morze
vátesz	[/N][Nom]	8570080167	2163		á	e	váteß
diner	[/N][Nom]	8570080167	1364		i	e	diner
diszkrét	[/N][Nom]	8570080167	80793		i	é	dißkrét
falrész	[/N][Nom]	8570080167	3469		a	é	falréß
tajték	[/N][Nom]	8570080167	2824		a	é	tajték
tangens	[/N][Nom]	8570080167	1382		a	e	tangens
málé	[/N][Nom]	8570080167	1835		á	é	málé
icce	[/N][Nom]	8570080167	1183		i	e	icce
kopek	[/N][Nom]	8570080167	1166		o	e	kopek
bovden	[/N][Nom]	8570080167	1970		o	e	bovden
vállrész	[/N][Nom]	8570080167	3080		á	é	vállréß
húslé	[/N][Nom]	8570080167	3178		ú	é	húslé
házhely	[/N][Nom]	8570080167	4361		á	e	házhe¬
táncrend	[/N][Nom]	8570080167	2687		á	e	táncrend
lile	[/N][Nom]	8570080167	1281		i	e	lile
paréj	[/N][Nom]	8570080167	1045		a	é	paréj
junker	[/N][Nom]	8570080167	1227		u	e	junker
arcél	[/N][Nom]	8570080167	4519		a	é	arcél
víkend	[/N][Nom]	8570080167	1645		í	e	víkend
kordé	[/N][Nom]	8570080167	2678		o	é	kordé
flaszter	[/N][Nom]	8570080167	2419		a	e	flaßter
lupe	[/N][Nom]	8570080167	1393		u	e	lupe
kuplé	[/N][Nom]	8570080167	2887		u	é	kuplé
parte	[/N][Nom]	8570080167	838		a	e	parte
passzé	[/N][Nom]	8570080167	1464		a	é	pasßé
billeg	[/N][Nom]	8570080167	12527		i	e	billeg
manézs	[/N][Nom]	8570080167	1722		a	é	manéΩ
smasszer	[/N][Nom]	8570080167	1467		a	e	smasßer
gácsér	[/N][Nom]	8570080167	1244		á	é	gáçér
filmes	[/N][Nom]	8570080167	155979		i	e	filmes
szajré	[/N][Nom]	8570080167	2246		a	é	ßajré
allé	[/N][Nom]	8570080167	1543		a	é	allé
ujjhegy	[/N][Nom]	8570080167	4305		u	e	ujjhe©
jampec	[/N][Nom]	8570080167	1214		a	e	jampec
poszméh	[/N][Nom]	8570080167	2227		o	é	poßméh
inzert	[/N][Nom]	8570080167	1745		i	e	inzert
karter	[/N][Nom]	8570080167	1181		a	e	karter
taréj	[/N][Nom]	8570080167	1826		a	é	taréj
traverz	[/N][Nom]	8570080167	1380		a	e	traverz
finesz	[/N][Nom]	8570080167	1088		i	e	fineß
fragment	[/N][Nom]	8570080167	1051		a	e	fragment
alvég	[/N][Nom]	8570080167	1626		a	é	alvég
bólé	[/N][Nom]	8570080167	1632		ó	é	bólé
pajesz	[/N][Nom]	8570080167	1346		a	e	pajeß
majré	[/N][Nom]	8570080167	729		a	é	majré
altest	[/N][Nom]	8570080167	2695		a	e	altest
kortes	[/N][Nom]	8570080167	1171		o	e	kortes
illet	[/N][Nom]	8570080167	555266		i	e	illet
kisszék	[/N][Nom]	8570080167	2447		i	é	kisßék
tollhegy	[/N][Nom]	8570080167	1736		o	e	tollhe©
ajvé	[/N][Nom]	8570080167	599		a	é	ajvé
csapszék	[/N][Nom]	8570080167	1650		a	é	çapßék
purdé	[/N][Nom]	8570080167	1374		u	é	purdé
zsombék	[/N][Nom]	8570080167	1863		o	é	Ωombék
nyughely	[/N][Nom]	8570080167	19105		u	e	¥ughe¬
buké	[/N][Nom]	8570080167	2370		u	é	buké
kvártély	[/N][Nom]	8570080167	1673		á	é	kvárté¬
ujjperc	[/N][Nom]	8570080167	3696		u	e	ujjperc
zárnyelv	[/N][Nom]	8570080167	1049		á	e	zár¥elv
árnykép	[/N][Nom]	8570080167	2670		á	é	ár¥kép
flóbert	[/N][Nom]	8570080167	567		ó	e	flóbert
szárrész	[/N][Nom]	8570080167	1954		á	é	ßárréß
tisztelt	[/N][Nom]	8570080167	880109		i	e	tißtelt
szárnyvég	[/N][Nom]	8570080167	2319		á	é	ßár¥vég
csiger	[/N][Nom]	8570080167	666		i	e	çiger
piké	[/N][Nom]	8570080167	540		i	é	piké
vigéc	[/N][Nom]	8570080167	885		i	é	vigéc
ganéj	[/N][Nom]	8570080167	947		a	é	ganéj
sábesz	[/N][Nom]	8570080167	745		á	e	sábeß
amely	[/N][Nom]	8570080167	31099482		a	e	ame¬
hangrés	[/N][Nom]	8570080167	696		a	é	hangrés
doyen	[/N][Nom]	8570080167	4289		o	e	doyen
bifsztek	[/N][Nom]	8570080167	758		i	e	bifßtek
spiné	[/N][Nom]	8570080167	709		i	é	spiné
srapnel	[/N][Nom]	8570080167	877		a	e	srapnel
tisztes	[/N][Nom]	8570080167	39538		i	e	tißtes
samesz	[/N][Nom]	8570080167	2511		a	e	sameß
máter	[/N][Nom]	8570080167	613		á	e	máter
borszesz	[/N][Nom]	8570080167	729		o	e	borßeß
pihés	[/N][Nom]	8570080167	1499		i	é	pihés
szilke	[/N][Nom]	8570080167	1192		i	e	ßilke
klozet	[/N][Nom]	8570080167	993		o	e	klozet
ismer	[/N][Nom]	8570080167	3638636		i	e	ismer
visznek	[/N][Nom]	8570080167	455		i	e	vißnek
bricsesz	[/N][Nom]	8570080167	505		i	e	briçeß
zacsek	[/N][Nom]	8570080167	392		a	e	zaçek
hintés	[/N][Nom]	8570080167	791		i	é	hintés
pszichés	[/N][Nom]	8570080167	99529		i	é	pßichés
zsiger	[/N][Nom]	8570080167	18963		i	e	Ωiger
dzsóker	[/N][Nom]	8570080167	572		ó	e	dΩóker
parszek	[/N][Nom]	8570080167	482		a	e	parßek
sparherd	[/N][Nom]	8570080167	458		a	e	sparherd
ingyen	[/N][Nom]	8570080167	416439		i	e	in©en
ugye	[/N][Nom]	8570080167	863702		u	e	u©e
visszfény	[/N][Nom]	8570080167	3213		i	é	visßfé¥
ájer	[/N][Nom]	8570080167	465		á	e	ájer
csonthéj	[/N][Nom]	8570080167	898		o	é	çonthéj
lapszél	[/N][Nom]	8570080167	1456		a	é	lapßél
buklé	[/N][Nom]	8570080167	280		u	é	buklé
sasszé	[/N][Nom]	8570080167	496		a	é	sasßé
jóshely	[/N][Nom]	8570080167	710		ó	e	jóshe¬
sasszeg	[/N][Nom]	8570080167	522		a	e	sasßeg
hitelv	[/N][Nom]	8570080167	4787		i	e	hitelv
hanem	[/N][Nom]	8570080167	7447795		a	e	hanem
szuszék	[/N][Nom]	8570080167	488		u	é	ßußék
halenyv	[/N][Nom]	8570080167	322		a	e	hale¥v
alrend	[/N][Nom]	8570080167	1161		a	e	alrend
kóter	[/N][Nom]	8570080167	752		ó	e	kóter
móres	[/N][Nom]	8570080167	2873		ó	e	móres
kiskés	[/N][Nom]	8570080167	741		i	é	kiskés
faszesz	[/N][Nom]	8570080167	294		a	e	faßeß
luesz	[/N][Nom]	8570080167	247		u	e	lueß
konkrét	[/N][Nom]	8570080167	915418		o	é	konkrét
alrész	[/N][Nom]	8570080167	638		a	é	alréß
princessz	[/N][Nom]	8570080167	228		i	e	princesß
díszes	[/N][Nom]	8570080167	72229		í	e	díßes
fuser	[/N][Nom]	8570080167	220		u	e	fuser
siet	[/N][Nom]	8570080167	239126		i	e	siet
csúfnév	[/N][Nom]	8570080167	1267		ú	é	çúfnév
ívfény	[/N][Nom]	8570080167	311		í	é	ívfé¥
handlé	[/N][Nom]	8570080167	411		a	é	handlé
lifeg	[/N][Nom]	8570080167	1140		i	e	lifeg
hogylét	[/N][Nom]	8570080167	4360		o	é	ho©lét
trimer	[/N][Nom]	8570080167	314		i	e	trimer
mivel	[/N][Nom]	8570080167	4735895		i	e	mivel
nyíres	[/N][Nom]	8570080167	653		í	e	¥íres
sparhert	[/N][Nom]	8570080167	373		a	e	sparhert
linkség	[/N][Nom]	8570080167	427		i	é	linkség
hiszen	[/N][Nom]	8570080167	5253718		i	e	hißen
spriccer	[/N][Nom]	8570080167	426		i	e	spriccer
barchesz	[/N][Nom]	8570080167	348		a	e	barcheß
vizes	[/N][Nom]	8570080167	252656		i	e	vizes
limesz	[/N][Nom]	8570080167	364		i	e	limeß
hívés	[/N][Nom]	8570080167	297		í	é	hívés
kordély	[/N][Nom]	8570080167	329		o	é	kordé¬
hirdet	[/N][Nom]	8570080167	748798		i	e	hirdet
halkés	[/N][Nom]	8570080167	304		a	é	halkés
lóden	[/N][Nom]	8570080167	235		ó	e	lóden
dublé	[/N][Nom]	8570080167	201		u	é	dublé
szolvens	[/N][Nom]	8570080167	210		o	e	ßolvens
innen	[/N][Nom]	8570080167	775227		i	e	innen
kuffer	[/N][Nom]	8570080167	365		u	e	kuffer
húslégy	[/N][Nom]	8570080167	190		ú	é	húslé©
skribler	[/N][Nom]	8570080167	293		i	e	skribler
bóher	[/N][Nom]	8570080167	167		ó	e	bóher
brúder	[/N][Nom]	8570080167	138		ú	e	brúder
majszter	[/N][Nom]	8570080167	137		a	e	majßter
majrés	[/N][Nom]	8570080167	185		a	é	majrés
