tr	prompt	vowel_e	suffix_back	suffix_front	target_front	target_back
namék	namék	FALSE	nál	nél	naméknél	naméknál
malér	malér	FALSE	ban	ben	malérben	malérban
malér	malér	FALSE	nak	nek	malérnek	malérnak
malér	malér	FALSE	nál	nél	malérnél	malérnál
bátép	bátép	FALSE	ban	ben	bátépben	bátépban
bátép	bátép	FALSE	nak	nek	bátépnek	bátépnak
bátép	bátép	FALSE	nál	nél	bátépnél	bátépnál
malrét	malrét	FALSE	ban	ben	malrétben	malrétban
malrét	malrét	FALSE	nak	nek	malrétnek	malrétnak
malrét	malrét	FALSE	nál	nél	malrétnél	malrétnál
spáten	spáten	TRUE	ban	ben	spátenben	spátenban
spáten	spáten	TRUE	nak	nek	spátennek	spátennak
spáten	spáten	TRUE	nál	nél	spátennél	spátennál
tíker	tíker	TRUE	ban	ben	tíkerben	tíkerban
tíker	tíker	TRUE	nak	nek	tíkernek	tíkernak
tíker	tíker	TRUE	nál	nél	tíkernél	tíkernál
imén	imén	FALSE	ban	ben	iménben	iménban
imén	imén	FALSE	nak	nek	iménnek	iménnak
imén	imén	FALSE	nál	nél	iménnél	iménnál
nipél	nipél	FALSE	ban	ben	nipélben	nipélban
nipél	nipél	FALSE	nak	nek	nipélnek	nipélnak
nipél	nipél	FALSE	nál	nél	nipélnél	nipélnál
jumé¥	jumény	FALSE	ban	ben	juményben	juményban
jumé¥	jumény	FALSE	nak	nek	juménynek	juménynak
jumé¥	jumény	FALSE	nál	nél	juménynél	juménynál
vúslend	vúslend	TRUE	ban	ben	vúslendben	vúslendban
vúslend	vúslend	TRUE	nak	nek	vúslendnek	vúslendnak
vúslend	vúslend	TRUE	nál	nél	vúslendnél	vúslendnál
fá©ép	fágyép	FALSE	ban	ben	fágyépben	fágyépban
fá©ép	fágyép	FALSE	nak	nek	fágyépnek	fágyépnak
fá©ép	fágyép	FALSE	nál	nél	fágyépnél	fágyépnál
darhén	darhén	FALSE	ban	ben	darhénben	darhénban
darhén	darhén	FALSE	nak	nek	darhénnek	darhénnak
darhén	darhén	FALSE	nál	nél	darhénnél	darhénnál
Ωade©	zsadegy	TRUE	ban	ben	zsadegyben	zsadegyban
Ωade©	zsadegy	TRUE	nak	nek	zsadegynek	zsadegynak
Ωade©	zsadegy	TRUE	nál	nél	zsadegynél	zsadegynál
gismép	gismép	FALSE	ban	ben	gismépben	gismépban
gismép	gismép	FALSE	nak	nek	gismépnek	gismépnak
gismép	gismép	FALSE	nál	nél	gismépnél	gismépnál
bidem	bidem	TRUE	ban	ben	bidemben	bidemban
bidem	bidem	TRUE	nak	nek	bidemnek	bidemnak
bidem	bidem	TRUE	nál	nél	bidemnél	bidemnál
klonvez	klonvez	TRUE	ban	ben	klonvezben	klonvezban
klonvez	klonvez	TRUE	nak	nek	klonveznek	klonveznak
klonvez	klonvez	TRUE	nál	nél	klonveznél	klonveznál
ponvéß	ponvész	FALSE	ban	ben	ponvészben	ponvészban
ponvéß	ponvész	FALSE	nak	nek	ponvésznek	ponvésznak
ponvéß	ponvész	FALSE	nál	nél	ponvésznél	ponvésznál
çikez	csikez	TRUE	ban	ben	csikezben	csikezban
çikez	csikez	TRUE	nak	nek	csikeznek	csikeznak
çikez	csikez	TRUE	nál	nél	csikeznél	csikeznál
spruhek	spruhek	TRUE	ban	ben	spruhekben	spruhekban
spruhek	spruhek	TRUE	nak	nek	spruheknek	spruheknak
spruhek	spruhek	TRUE	nál	nél	spruheknél	spruheknál
zihenc	zihenc	TRUE	ban	ben	zihencben	zihencban
zihenc	zihenc	TRUE	nak	nek	zihencnek	zihencnak
zihenc	zihenc	TRUE	nál	nél	zihencnél	zihencnál
Ωanép	zsanép	FALSE	ban	ben	zsanépben	zsanépban
Ωanép	zsanép	FALSE	nak	nek	zsanépnek	zsanépnak
Ωanép	zsanép	FALSE	nál	nél	zsanépnél	zsanépnál
ká©ez	kágyez	TRUE	ban	ben	kágyezben	kágyezban
ká©ez	kágyez	TRUE	nak	nek	kágyeznek	kágyeznak
ká©ez	kágyez	TRUE	nál	nél	kágyeznél	kágyeznál
laßtend	lasztend	TRUE	ban	ben	lasztendben	lasztendban
laßtend	lasztend	TRUE	nak	nek	lasztendnek	lasztendnak
laßtend	lasztend	TRUE	nál	nél	lasztendnél	lasztendnál
latég	latég	FALSE	ban	ben	latégben	latégban
latég	latég	FALSE	nak	nek	latégnek	latégnak
latég	latég	FALSE	nál	nél	latégnél	latégnál
vájek	vájek	TRUE	ban	ben	vájekben	vájekban
vájek	vájek	TRUE	nak	nek	vájeknek	vájeknak
vájek	vájek	TRUE	nál	nél	vájeknél	vájeknál
rißke©	riszkegy	TRUE	ban	ben	riszkegyben	riszkegyban
rißke©	riszkegy	TRUE	nak	nek	riszkegynek	riszkegynak
rißke©	riszkegy	TRUE	nál	nél	riszkegynél	riszkegynál
zunkem	zunkem	TRUE	ban	ben	zunkemben	zunkemban
zunkem	zunkem	TRUE	nak	nek	zunkemnek	zunkemnak
zunkem	zunkem	TRUE	nál	nél	zunkemnél	zunkemnál
ibel	ibel	TRUE	ban	ben	ibelben	ibelban
ibel	ibel	TRUE	nak	nek	ibelnek	ibelnak
ibel	ibel	TRUE	nál	nél	ibelnél	ibelnál
Ωáder	zsáder	TRUE	ban	ben	zsáderben	zsáderban
Ωáder	zsáder	TRUE	nak	nek	zsádernek	zsádernak
Ωáder	zsáder	TRUE	nál	nél	zsádernél	zsádernál
kazét	kazét	FALSE	ban	ben	kazétben	kazétban
kazét	kazét	FALSE	nak	nek	kazétnek	kazétnak
kazét	kazét	FALSE	nál	nél	kazétnél	kazétnál
kanéd	kanéd	FALSE	ban	ben	kanédben	kanédban
kanéd	kanéd	FALSE	nak	nek	kanédnek	kanédnak
kanéd	kanéd	FALSE	nál	nél	kanédnél	kanédnál
tóled	tóled	TRUE	ban	ben	tóledben	tóledban
tóled	tóled	TRUE	nak	nek	tólednek	tólednak
tóled	tóled	TRUE	nál	nél	tólednél	tólednál
dameß	damesz	TRUE	ban	ben	dameszben	dameszban
dameß	damesz	TRUE	nak	nek	damesznek	damesznak
dameß	damesz	TRUE	nál	nél	damesznél	damesznál
zilec	zilec	TRUE	ban	ben	zilecben	zilecban
zilec	zilec	TRUE	nak	nek	zilecnek	zilecnak
zilec	zilec	TRUE	nál	nél	zilecnél	zilecnál
há©ét	hágyét	FALSE	ban	ben	hágyétben	hágyétban
há©ét	hágyét	FALSE	nak	nek	hágyétnek	hágyétnak
há©ét	hágyét	FALSE	nál	nél	hágyétnél	hágyétnál
zigér	zigér	FALSE	ban	ben	zigérben	zigérban
zigér	zigér	FALSE	nak	nek	zigérnek	zigérnak
zigér	zigér	FALSE	nál	nél	zigérnél	zigérnál
balfér	balfér	FALSE	ban	ben	balférben	balférban
balfér	balfér	FALSE	nak	nek	balférnek	balférnak
balfér	balfér	FALSE	nál	nél	balférnél	balférnál
çodél	csodél	FALSE	ban	ben	csodélben	csodélban
çodél	csodél	FALSE	nak	nek	csodélnek	csodélnak
çodél	csodél	FALSE	nál	nél	csodélnél	csodélnál
nóte¬	nótely	TRUE	ban	ben	nótelyben	nótelyban
nóte¬	nótely	TRUE	nak	nek	nótelynek	nótelynak
nóte¬	nótely	TRUE	nál	nél	nótelynél	nótelynál
Ωinde¬	zsindely	TRUE	ban	ben	zsindelyben	zsindelyban
Ωinde¬	zsindely	TRUE	nak	nek	zsindelynek	zsindelynak
Ωinde¬	zsindely	TRUE	nál	nél	zsindelynél	zsindelynál
Ωúdel	zsúdel	TRUE	ban	ben	zsúdelben	zsúdelban
Ωúdel	zsúdel	TRUE	nak	nek	zsúdelnek	zsúdelnak
Ωúdel	zsúdel	TRUE	nál	nél	zsúdelnél	zsúdelnál
mártenc	mártenc	TRUE	ban	ben	mártencben	mártencban
mártenc	mártenc	TRUE	nak	nek	mártencnek	mártencnak
mártenc	mártenc	TRUE	nál	nél	mártencnél	mártencnál
fíned	fíned	TRUE	ban	ben	fínedben	fínedban
fíned	fíned	TRUE	nak	nek	fínednek	fínednak
fíned	fíned	TRUE	nál	nél	fínednél	fínednál
çarté¥	csartény	FALSE	ban	ben	csartényben	csartényban
çarté¥	csartény	FALSE	nak	nek	csarténynek	csarténynak
çarté¥	csartény	FALSE	nál	nél	csarténynél	csarténynál
pumér	pumér	FALSE	ban	ben	pumérben	pumérban
pumér	pumér	FALSE	nak	nek	pumérnek	pumérnak
pumér	pumér	FALSE	nál	nél	pumérnél	pumérnál
zi¬éj	zilyéj	FALSE	ban	ben	zilyéjben	zilyéjban
zi¬éj	zilyéj	FALSE	nak	nek	zilyéjnek	zilyéjnak
zi¬éj	zilyéj	FALSE	nál	nél	zilyéjnél	zilyéjnál
morde¬	mordely	TRUE	ban	ben	mordelyben	mordelyban
morde¬	mordely	TRUE	nak	nek	mordelynek	mordelynak
morde¬	mordely	TRUE	nál	nél	mordelynél	mordelynál
trodé¬	trodély	FALSE	ban	ben	trodélyben	trodélyban
trodé¬	trodély	FALSE	nak	nek	trodélynek	trodélynak
trodé¬	trodély	FALSE	nál	nél	trodélynél	trodélynál
projlén	projlén	FALSE	ban	ben	projlénben	projlénban
projlén	projlén	FALSE	nak	nek	projlénnek	projlénnak
projlén	projlén	FALSE	nál	nél	projlénnél	projlénnál
mánet	mánet	TRUE	ban	ben	mánetben	mánetban
mánet	mánet	TRUE	nak	nek	mánetnek	mánetnak
mánet	mánet	TRUE	nál	nél	mánetnél	mánetnál
tarhéz	tarhéz	FALSE	ban	ben	tarhézben	tarhézban
tarhéz	tarhéz	FALSE	nak	nek	tarhéznek	tarhéznak
tarhéz	tarhéz	FALSE	nál	nél	tarhéznél	tarhéznál
sprindelt	sprindelt	TRUE	ban	ben	sprindeltben	sprindeltban
sprindelt	sprindelt	TRUE	nak	nek	sprindeltnek	sprindeltnak
sprindelt	sprindelt	TRUE	nál	nél	sprindeltnél	sprindeltnál
çordé¬	csordély	FALSE	ban	ben	csordélyben	csordélyban
çordé¬	csordély	FALSE	nak	nek	csordélynek	csordélynak
çordé¬	csordély	FALSE	nál	nél	csordélynél	csordélynál
proseg	proseg	TRUE	ban	ben	prosegben	prosegban
proseg	proseg	TRUE	nak	nek	prosegnek	prosegnak
proseg	proseg	TRUE	nál	nél	prosegnél	prosegnál
sparhé¬	sparhély	FALSE	ban	ben	sparhélyben	sparhélyban
sparhé¬	sparhély	FALSE	nak	nek	sparhélynek	sparhélynak
sparhé¬	sparhély	FALSE	nál	nél	sparhélynél	sparhélynál
prate¬	prately	TRUE	ban	ben	pratelyben	pratelyban
prate¬	prately	TRUE	nak	nek	pratelynek	pratelynak
prate¬	prately	TRUE	nál	nél	pratelynél	pratelynál
galked	galked	TRUE	ban	ben	galkedben	galkedban
galked	galked	TRUE	nak	nek	galkednek	galkednak
galked	galked	TRUE	nál	nél	galkednél	galkednál
vá©eßt	vágyeszt	TRUE	ban	ben	vágyesztben	vágyesztban
vá©eßt	vágyeszt	TRUE	nak	nek	vágyesztnek	vágyesztnak
vá©eßt	vágyeszt	TRUE	nál	nél	vágyesztnél	vágyesztnál
sibér	sibér	FALSE	ban	ben	sibérben	sibérban
sibér	sibér	FALSE	nak	nek	sibérnek	sibérnak
sibér	sibér	FALSE	nál	nél	sibérnél	sibérnál
trismél	trismél	FALSE	ban	ben	trismélben	trismélban
trismél	trismél	FALSE	nak	nek	trismélnek	trismélnak
trismél	trismél	FALSE	nál	nél	trismélnél	trismélnál
rinte©	rintegy	TRUE	ban	ben	rintegyben	rintegyban
rinte©	rintegy	TRUE	nak	nek	rintegynek	rintegynak
rinte©	rintegy	TRUE	nál	nél	rintegynél	rintegynál
zarcég	zarcég	FALSE	ban	ben	zarcégben	zarcégban
zarcég	zarcég	FALSE	nak	nek	zarcégnek	zarcégnak
zarcég	zarcég	FALSE	nál	nél	zarcégnél	zarcégnál
lamé¥	lamény	FALSE	ban	ben	laményben	laményban
lamé¥	lamény	FALSE	nak	nek	laménynek	laménynak
lamé¥	lamény	FALSE	nál	nél	laménynél	laménynál
palhek	palhek	TRUE	ban	ben	palhekben	palhekban
palhek	palhek	TRUE	nak	nek	palheknek	palheknak
palhek	palhek	TRUE	nál	nél	palheknél	palheknál
pijél	pijél	FALSE	ban	ben	pijélben	pijélban
pijél	pijél	FALSE	nak	nek	pijélnek	pijélnak
pijél	pijél	FALSE	nál	nél	pijélnél	pijélnál
spatel	spatel	TRUE	ban	ben	spatelben	spatelban
spatel	spatel	TRUE	nak	nek	spatelnek	spatelnak
spatel	spatel	TRUE	nál	nél	spatelnél	spatelnál
¥óres	nyóres	TRUE	ban	ben	nyóresben	nyóresban
¥óres	nyóres	TRUE	nak	nek	nyóresnek	nyóresnak
¥óres	nyóres	TRUE	nál	nél	nyóresnél	nyóresnál
çalfét	csalfét	FALSE	ban	ben	csalfétben	csalfétban
çalfét	csalfét	FALSE	nak	nek	csalfétnek	csalfétnak
çalfét	csalfét	FALSE	nál	nél	csalfétnél	csalfétnál
ßihét	szihét	FALSE	ban	ben	szihétben	szihétban
ßihét	szihét	FALSE	nak	nek	szihétnek	szihétnak
ßihét	szihét	FALSE	nál	nél	szihétnél	szihétnál
ralhék	ralhék	FALSE	ban	ben	ralhékben	ralhékban
ralhék	ralhék	FALSE	nak	nek	ralhéknek	ralhéknak
ralhék	ralhék	FALSE	nál	nél	ralhéknél	ralhéknál
pízenc	pízenc	TRUE	ban	ben	pízencben	pízencban
pízenc	pízenc	TRUE	nak	nek	pízencnek	pízencnak
pízenc	pízenc	TRUE	nál	nél	pízencnél	pízencnál
Ωijent	zsijent	TRUE	ban	ben	zsijentben	zsijentban
Ωijent	zsijent	TRUE	nak	nek	zsijentnek	zsijentnak
Ωijent	zsijent	TRUE	nál	nél	zsijentnél	zsijentnál
sprincég	sprincég	FALSE	ban	ben	sprincégben	sprincégban
sprincég	sprincég	FALSE	nak	nek	sprincégnek	sprincégnak
sprincég	sprincég	FALSE	nál	nél	sprincégnél	sprincégnál
nicép	nicép	FALSE	ban	ben	nicépben	nicépban
nicép	nicép	FALSE	nak	nek	nicépnek	nicépnak
nicép	nicép	FALSE	nál	nél	nicépnél	nicépnál
milé¥	milény	FALSE	ban	ben	milényben	milényban
milé¥	milény	FALSE	nak	nek	milénynek	milénynak
milé¥	milény	FALSE	nál	nél	milénynél	milénynál
pivéd	pivéd	FALSE	ban	ben	pivédben	pivédban
pivéd	pivéd	FALSE	nak	nek	pivédnek	pivédnak
pivéd	pivéd	FALSE	nál	nél	pivédnél	pivédnál
brindez	brindez	TRUE	ban	ben	brindezben	brindezban
brindez	brindez	TRUE	nak	nek	brindeznek	brindeznak
brindez	brindez	TRUE	nál	nél	brindeznél	brindeznál
Ωateg	zsateg	TRUE	ban	ben	zsategben	zsategban
Ωateg	zsateg	TRUE	nak	nek	zsategnek	zsategnak
Ωateg	zsateg	TRUE	nál	nél	zsategnél	zsategnál
brumen	brumen	TRUE	ban	ben	brumenben	brumenban
brumen	brumen	TRUE	nak	nek	brumennek	brumennak
brumen	brumen	TRUE	nál	nél	brumennél	brumennál
spublert	spublert	TRUE	ban	ben	spublertben	spublertban
spublert	spublert	TRUE	nak	nek	spublertnek	spublertnak
spublert	spublert	TRUE	nál	nél	spublertnél	spublertnál
Ωimend	zsimend	TRUE	ban	ben	zsimendben	zsimendban
Ωimend	zsimend	TRUE	nak	nek	zsimendnek	zsimendnak
Ωimend	zsimend	TRUE	nál	nél	zsimendnél	zsimendnál
lihé¥	lihény	FALSE	ban	ben	lihényben	lihényban
lihé¥	lihény	FALSE	nak	nek	lihénynek	lihénynak
lihé¥	lihény	FALSE	nál	nél	lihénynél	lihénynál
klindet	klindet	TRUE	ban	ben	klindetben	klindetban
klindet	klindet	TRUE	nak	nek	klindetnek	klindetnak
klindet	klindet	TRUE	nál	nél	klindetnél	klindetnál
nidét	nidét	FALSE	ban	ben	nidétben	nidétban
nidét	nidét	FALSE	nak	nek	nidétnek	nidétnak
nidét	nidét	FALSE	nál	nél	nidétnél	nidétnál
