form_1	freq_1	stem	xpostag	variation	lemma_freq_corrected	corpus_size	form_2	freq_2	odds	log_odds	darab	base	derivational	suffix	nsyl	base_tr
burjánzanak	1159	burján	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	220729	8570080167	burjánoznak	174	6.628571428571429	1.8913893101768964	z	burjánzik	zik	nek	2	burjánzik
burjánzottak	233	burján	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	220729	8570080167	burjánoztak	122	1.902439024390244	0.6431367599852839	z	burjánzik	zik	NA	2	burjánzik
bűzleni	383	bűz	[/V][Inf]	cselekszenek/cselekednek	399643	8570080167	bűzölni	4	76.8	4.341204640153626	l	bűzlik	lik	NA	1	bűzlik
bűzlünk	38	bűz	[/V][Prs.NDef.1Pl]	cselekszenek/cselekednek	399643	8570080167	bűzölünk	1	19.5	2.970414465569701	l	bűzlik	lik	ünk	1	bűzlik
cselekszünk	12971	cselek	[/V][Prs.NDef.1Pl]	cselekszenek/cselekednek	48009401	8570080167	cselekedünk	108	119.0091743119266	4.779200585198065	sz	cselekszik	szik	ünk	2	çelekßik
cselekszetek	252	cselek	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	48009401	8570080167	cselekedtek	9569	0.0264367816091954	-3.63299899571948	sz	cselekszik	szik	tek	2	çelekßik
cselekszenek	12884	cselek	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	48009401	8570080167	cselekednek	5501	2.341875681570338	0.8509521816019455	sz	cselekszik	szik	nek	2	çelekßik
csetlünk	20	cset	[/V][Prs.NDef.1Pl]	cselekszenek/cselekednek	6281	8570080167	csetelunk	2	7	1.9459101490553132	l	csetlik	lik	ünk	1	çetlik
csillapszanak	2	csillap	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	763584	8570080167	csillapodnak	1685	0.00177935943060498	-6.331501849893691	sz	csillapszik	szik	nek	2	çillapßik
csömörlenek	24	csömör	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	12435	8570080167	csömörülnek	4	5	1.6094379124341005	l	csömörlik	lik	nek	2	çömörlik
csömörlöttek	34	csömör	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	12435	8570080167	csömörültek	1	17.5	2.862200880929469	l	csömörlik	lik	NA	2	çömörlik
csuklanak	266	csuk	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	367004	8570080167	csukolnak	1	133.5	4.894101477840304	l	csuklik	lik	nek	1	çuklik
dicsekszeni	3	dicsek	[/V][Inf]	cselekszenek/cselekednek	5150715	8570080167	dicsekedni	6547	6.108735491753207e-4	-7.400620577371135	sz	dicsekszik	szik	NA	2	diçekßik
dicsekszünk	1468	dicsek	[/V][Prs.NDef.1Pl]	cselekszenek/cselekednek	5150715	8570080167	dicsekedünk	158	9.238993710691824	2.223432973953646	sz	dicsekszik	szik	ünk	2	diçekßik
dicsekszetek	3	dicsek	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	5150715	8570080167	dicsekedtek	1047	0.00381679389312977	-5.568344503761097	sz	dicsekszik	szik	tek	2	diçekßik
dicsekszenek	1008	dicsek	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	5150715	8570080167	dicsekednek	1304	0.7731800766283525	-0.2572432994031848	sz	dicsekszik	szik	nek	2	diçekßik
díszleni	52	dísz	[/V][Inf]	cselekszenek/cselekednek	99283	8570080167	díszelni	1	26.5	3.277144732992177	l	díszlik	lik	NA	1	díßlik
döglene	168	dög	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	2240613	8570080167	dögölne	204	0.824390243902439	-0.19311126421533475	l	döglik	lik	NA	1	döglik
dögleni	2016	dög	[/V][Inf]	cselekszenek/cselekednek	2240613	8570080167	dögölni	148	13.536912751677852	2.6054202320087527	l	döglik	lik	NA	1	döglik
döglötök	33	dög	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	2240613	8570080167	dögöltök	3	8.5	2.1400661634962708	l	döglik	lik	tek	1	döglik
döglenek	1232	dög	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	2240613	8570080167	dögölnek	36	33.32432432432432	3.50628759052012	l	döglik	lik	nek	1	döglik
döglöttek	533	dög	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	2240613	8570080167	dögöltek	16	31.41176470588235	3.447182494903979	l	döglik	lik	NA	1	döglik
dohányzani	5	dohány	[/V][Inf]	cselekszenek/cselekednek	3237991	8570080167	dohányozni	13090	4.583301504850661e-4	-7.687920780952044	z	dohányzik	zik	NA	2	dohá¥zik
dohányzunk	1435	dohány	[/V][Prs.NDef.1Pl]	cselekszenek/cselekednek	3237991	8570080167	dohányozunk	21	65.27272727272727	4.178574296249853	z	dohányzik	zik	ünk	2	dohá¥zik
dohányzanak	5	dohány	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	3237991	8570080167	dohányoznak	6202	9.672738997259392e-4	-6.941028855745063	z	dohányzik	zik	nek	2	dohá¥zik
elégszünk	2751	elég	[/V][Prs.NDef.1Pl]	cselekszenek/cselekednek	17691020	8570080167	elégedünk	146	18.72108843537415	2.929650612274498	sz	elégszik	szik	ünk	2	elégßik
elégszetek	9	elég	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	17691020	8570080167	elégedtek	2633	0.0037965072133637	-5.573673789309181	sz	elégszik	szik	tek	2	elégßik
elégszenek	2712	elég	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	17691020	8570080167	elégednek	2440	1.1114297419090535	0.10564724226597176	sz	elégszik	szik	nek	2	elégßik
elporzani	10	elpor	[/V][Inf]	cselekszenek/cselekednek	5052	8570080167	elporozni	13	0.7857142857142857	-0.2411620568168881	z	elporzik	zik	NA	2	elporzik
elporzanak	16	elpor	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	5052	8570080167	elporoznak	29	0.5666666666666667	-0.5679840376059393	z	elporzik	zik	nek	2	elporzik
elporzottak	27	elpor	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	5052	8570080167	elporoztak	28	0.9655172413793104	-0.03509131981127006	z	elporzik	zik	NA	2	elporzik
emlékszeni	2	emlék	[/V][Inf]	cselekszenek/cselekednek	100073966	8570080167	emlékezni	66844	4.487994614406463e-5	-10.011519496749113	sz	emlékszik	szik	NA	2	emlékßik
emlékszünk	30291	emlék	[/V][Prs.NDef.1Pl]	cselekszenek/cselekednek	100073966	8570080167	emlékezünk	84118	0.3601088933534635	-1.0213488117329	sz	emlékszik	szik	ünk	2	emlékßik
emlékszetek	58	emlék	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	100073966	8570080167	emlékeztek	70251	8.398337413881455e-4	-7.082306612635906	sz	emlékszik	szik	tek	2	emlékßik
emlékszenek	241	emlék	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	100073966	8570080167	emlékeznek	82100	0.00294758894532344	-5.826767749477621	sz	emlékszik	szik	nek	2	emlékßik
fajzani	1	faj	[/V][Inf]	cselekszenek/cselekednek	3278	8570080167	fajozni	2	0.6666666666666666	-0.4054651081081645	z	fajzik	zik	NA	1	fajzik
fajzanak	6	faj	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	3278	8570080167	fajoznak	1	3.5	1.252762968495368	z	fajzik	zik	nek	1	fajzik
fejleni	29	fej	[/V][Inf]	cselekszenek/cselekednek	6037149	8570080167	fejelni	2612	0.01148105625717566	-4.467056883858457	l	fejlik	lik	NA	1	fejlik
fejlünk	3	fej	[/V][Prs.NDef.1Pl]	cselekszenek/cselekednek	6037149	8570080167	fejelünk	41	0.09523809523809525	-2.3513752571634776	l	fejlik	lik	ünk	1	fejlik
fejletek	16	fej	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	6037149	8570080167	fejeltek	341	0.04970760233918128	-3.001597393006389	l	fejlik	lik	tek	1	fejlik
fejlenek	73	fej	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	6037149	8570080167	fejelnek	211	0.3490566037735849	-1.0525211814678428	l	fejlik	lik	nek	1	fejlik
fejlettek	20	fej	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	6037149	8570080167	fejeltek	78	0.26582278481012656	-1.3249254147435987	l	fejlik	lik	NA	1	fejlik
fekszene	8	fek	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	141455438	8570080167	feküdne	2048	0.00439238653001464	-5.42788257090268	sz	fekszik	szik	NA	1	fekßik
fekszeni	5	fek	[/V][Inf]	cselekszenek/cselekednek	141455438	8570080167	feküdni	19669	3.050330452465684e-4	-8.09509044215505	sz	fekszik	szik	NA	1	fekßik
fekszünk	5695	fek	[/V][Prs.NDef.1Pl]	cselekszenek/cselekednek	141455438	8570080167	feküdünk	11	474.6666666666667	6.162612803303811	sz	fekszik	szik	ünk	1	fekßik
fekszetek	444	fek	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	141455438	8570080167	feküsztök	128	3.449612403100775	1.238261877804568	sz	fekszik	szik	tek	1	fekßik
fekszenek	20974	fek	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	141455438	8570080167	feküsznek	1781	11.770482603815935	2.465594923304652	sz	fekszik	szik	nek	1	fekßik
fényleni	1286	fény	[/V][Inf]	cselekszenek/cselekednek	960464	8570080167	fényelni	34	36.77142857142857	3.604721146106713	l	fénylik	lik	NA	1	fé¥lik
fénylünk	12	fény	[/V][Prs.NDef.1Pl]	cselekszenek/cselekednek	960464	8570080167	fényelünk	4	2.6	0.9555114450274363	l	fénylik	lik	ünk	1	fé¥lik
fényletek	75	fény	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	960464	8570080167	fényeltek	2	25.333333333333332	3.2321210516182215	l	fénylik	lik	tek	1	fé¥lik
fénylenek	2007	fény	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	960464	8570080167	fényelnek	16	118.11764705882354	4.7716811367554035	l	fénylik	lik	nek	1	fé¥lik
feslene	8	fes	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	32180	8570080167	feselne	10	0.8181818181818182	-0.2006706954621511	l	feslik	lik	NA	1	feslik
fesleni	92	fes	[/V][Inf]	cselekszenek/cselekednek	32180	8570080167	feselni	6	13.285714285714286	2.586689344097943	l	feslik	lik	NA	1	feslik
feslenek	97	fes	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	32180	8570080167	feselnek	7	12.25	2.505525936990736	l	feslik	lik	nek	1	feslik
feslettek	49	fes	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	32180	8570080167	feseltek	2	16.666666666666668	2.8134107167600364	l	feslik	lik	NA	1	feslik
fogzana	2	fog	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	104812	8570080167	fogazna	2	1	0	z	fogzik	zik	NA	1	fogzik
fogzani	100	fog	[/V][Inf]	cselekszenek/cselekednek	104812	8570080167	fogazni	32	3.060606060606061	1.1186129553747792	z	fogzik	zik	NA	1	fogzik
fogzunk	41	fog	[/V][Prs.NDef.1Pl]	cselekszenek/cselekednek	104812	8570080167	fogazunk	4	8.4	2.128231705849268	z	fogzik	zik	ünk	1	fogzik
fogzanak	22	fog	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	104812	8570080167	fogaznak	10	2.090909090909091	0.7375989431307791	z	fogzik	zik	nek	1	fogzik
fogzottak	4	fog	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	104812	8570080167	fogaztak	2	1.6666666666666667	0.5108256237659907	z	fogzik	zik	NA	1	fogzik
foszlana	148	fosz	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	485736	8570080167	foszolna	1	74.5	4.310799125385514	l	foszlik	lik	NA	1	foßlik
foszlani	532	fosz	[/V][Inf]	cselekszenek/cselekednek	485736	8570080167	foszolni	5	88.83333333333333	4.48676195493779	l	foszlik	lik	NA	1	foßlik
foszlanak	889	fosz	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	485736	8570080167	foszolnak	8	98.88888888888889	4.593996885389966	l	foszlik	lik	nek	1	foßlik
foszlottak	518	fosz	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	485736	8570080167	foszoltak	1	259.5	5.558756702605943	l	foszlik	lik	NA	1	foßlik
fuldoklana	4	fuldok	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	514572	8570080167	fuldokolna	133	0.03731343283582089	-3.288401887516811	l	fuldoklik	lik	NA	2	fuldoklik
fuldoklani	141	fuldok	[/V][Inf]	cselekszenek/cselekednek	514572	8570080167	fuldokolni	1257	0.11287758346581876	-2.181451379659125	l	fuldoklik	lik	NA	2	fuldoklik
fuldoklunk	509	fuldok	[/V][Prs.NDef.1Pl]	cselekszenek/cselekednek	514572	8570080167	fuldokolunk	26	18.88888888888889	2.9385738597140425	l	fuldoklik	lik	ünk	2	fuldoklik
fuldoklotok	2	fuldok	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	514572	8570080167	fuldokoltok	28	0.10344827586206896	-2.268683541318364	l	fuldoklik	lik	tek	2	fuldoklik
fuldoklanak	77	fuldok	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	514572	8570080167	fuldokolnak	662	0.1176470588235294	-2.1400661634962708	l	fuldoklik	lik	nek	2	fuldoklik
fuldoklottak	13	fuldok	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	514572	8570080167	fuldokoltak	241	0.05785123966942149	-2.849880396541428	l	fuldoklik	lik	NA	2	fuldoklik
fürdene	142	für	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	12697712	8570080167	fürödne	222	0.6412556053811659	-0.4443271412002115	d	fürdik	NA	NA	1	fürdik
fürdeni	25400	für	[/V][Inf]	cselekszenek/cselekednek	12697712	8570080167	fürödni	13577	1.870746796288113	0.6263377074487945	d	fürdik	NA	NA	1	fürdik
fürdünk	2896	für	[/V][Prs.NDef.1Pl]	cselekszenek/cselekednek	12697712	8570080167	fürödünk	1	1448.5	7.278283817209405	d	fürdik	NA	ünk	1	fürdik
fürdötök	21	für	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	12697712	8570080167	fürödtök	53	0.4074074074074074	-0.8979415932059586	d	fürdik	NA	tek	1	fürdik
fürdenek	3352	für	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	12697712	8570080167	fürödnek	790	4.238938053097345	1.4443127786985748	d	fürdik	NA	nek	1	fürdik
furakszunk	22	furak	[/V][Prs.NDef.1Pl]	cselekszenek/cselekednek	317388	8570080167	furakodunk	42	0.5348837209302325	-0.6257058997644128	sz	furakszik	szik	ünk	2	furakßik
furakszanak	31	furak	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	317388	8570080167	furakodnak	364	0.08767123287671233	-2.434161450782765	sz	furakszik	szik	nek	2	furakßik
gyanakszana	2	gyanak	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	6072457	8570080167	gyanakodna	363	0.00824175824175824	-4.7985415789686305	sz	gyanakszik	szik	NA	2	©anakßik
gyanakszunk	1998	gyanak	[/V][Prs.NDef.1Pl]	cselekszenek/cselekednek	6072457	8570080167	gyanakodunk	161	12.339506172839506	2.512805999268016	sz	gyanakszik	szik	ünk	2	©anakßik
gyanakszotok	6	gyanak	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	6072457	8570080167	gyanakodtok	50	0.13725490196078433	-1.9859154836690125	sz	gyanakszik	szik	tek	2	©anakßik
gyanakszanak	1693	gyanak	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	6072457	8570080167	gyanakodnak	3106	0.5452204699066624	-0.6065650341810477	sz	gyanakszik	szik	nek	2	©anakßik
gyarapszunk	128	gyarap	[/V][Prs.NDef.1Pl]	cselekszenek/cselekednek	7383526	8570080167	gyarapodunk	692	0.18614718614718617	-1.681217594828231	sz	gyarapszik	szik	ünk	2	©arapßik
gyarapszanak	254	gyarap	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	7383526	8570080167	gyarapodnak	4923	0.05178716490658001	-2.960612942145918	sz	gyarapszik	szik	nek	2	©arapßik
habzana	48	hab	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	3918266	8570080167	habozna	376	0.129973474801061	-2.0404248893373844	z	habzik	zik	NA	1	habzik
habzani	939	hab	[/V][Inf]	cselekszenek/cselekednek	3918266	8570080167	habozni	3208	0.2929261452165784	-1.2278347658458073	z	habzik	zik	NA	1	habzik
habzunk	2	hab	[/V][Prs.NDef.1Pl]	cselekszenek/cselekednek	3918266	8570080167	habozunk	301	0.00993377483443708	-4.61181472870676	z	habzik	zik	ünk	1	habzik
habzotok	2	hab	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	3918266	8570080167	haboztok	43	0.06818181818181818	-2.6855773452501515	z	habzik	zik	tek	1	habzik
habzanak	386	hab	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	3918266	8570080167	haboznak	1210	0.319570602807597	-1.1407770505233104	z	habzik	zik	nek	1	habzik
habzottak	47	hab	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	3918266	8570080167	haboztak	1118	0.04289544235924933	-3.1489896974040343	z	habzik	zik	NA	1	habzik
haldoklana	27	haldok	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	1552626	8570080167	haldokolna	223	0.125	-2.0794415416798357	l	haldoklik	lik	NA	2	haldoklik
haldoklani	133	haldok	[/V][Inf]	cselekszenek/cselekednek	1552626	8570080167	haldokolni	1065	0.12570356472795496	-2.0738288047748785	l	haldoklik	lik	NA	2	haldoklik
haldoklunk	298	haldok	[/V][Prs.NDef.1Pl]	cselekszenek/cselekednek	1552626	8570080167	haldokolunk	4	59.8	4.091005660956586	l	haldoklik	lik	ünk	2	haldoklik
haldoklotok	1	haldok	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	1552626	8570080167	haldokoltok	22	0.08695652173913043	-2.4423470353692043	l	haldoklik	lik	tek	2	haldoklik
haldoklanak	255	haldok	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	1552626	8570080167	haldokolnak	814	0.3141104294478528	-1.1580106687613	l	haldoklik	lik	nek	2	haldoklik
haldoklottak	21	haldok	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	1552626	8570080167	haldokoltak	283	0.07746478873239436	-2.55793178480289	l	haldoklik	lik	NA	2	haldoklik
hámlani	1032	hám	[/V][Inf]	cselekszenek/cselekednek	86453	8570080167	hámolni	1	516.5	6.247075288559693	l	hámlik	lik	NA	1	hámlik
hámlanak	224	hám	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	86453	8570080167	hámolnak	1	112.5	4.722953221644475	l	hámlik	lik	nek	1	hámlik
hámlottak	20	hám	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	86453	8570080167	hámoltak	1	10.5	2.3513752571634776	l	hámlik	lik	NA	1	hámlik
hangzana	4780	hang	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	37084641	8570080167	hangozna	1224	3.902857142857143	1.361708885647276	z	hangzik	zik	NA	1	hangzik
hangzani	3000	hang	[/V][Inf]	cselekszenek/cselekednek	37084641	8570080167	hangozni	564	5.311504424778761	1.669875114293926	z	hangzik	zik	NA	1	hangzik
hangzunk	14	hang	[/V][Prs.NDef.1Pl]	cselekszenek/cselekednek	37084641	8570080167	hangozunk	2	5	1.6094379124341005	z	hangzik	zik	ünk	1	hangzik
hangzanak	24460	hang	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	37084641	8570080167	hangoznak	2753	8.881989832970225	2.1840256121912804	z	hangzik	zik	nek	1	hangzik
hangzottak	26927	hang	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	37084641	8570080167	hangoztak	3947	6.820668693009119	1.919957515877215	z	hangzik	zik	NA	1	hangzik
hanyatlani	3269	hanyat	[/V][Inf]	cselekszenek/cselekednek	432700	8570080167	hanyatolni	1	1635	7.399398083331354	l	hanyatlik	lik	NA	2	ha¥atlik
haragszani	2	harag	[/V][Inf]	cselekszenek/cselekednek	12272826	8570080167	haragudni	12425	2.4142926122646064e-4	-8.3289340419555291	sz	haragszik	szik	NA	2	haragßik
haragszunk	3066	harag	[/V][Prs.NDef.1Pl]	cselekszenek/cselekednek	12272826	8570080167	haragudunk	3	766.75	6.642160802994361	sz	haragszik	szik	ünk	2	haragßik
haragszotok	817	harag	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	12272826	8570080167	haragudtok	138	5.884892086330935	1.7723884034720552	sz	haragszik	szik	tek	2	haragßik
haragszanak	3340	harag	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	12272826	8570080167	haragusznak	298	11.173913043478262	2.41358186896607	sz	haragszik	szik	nek	2	haragßik
háramlana	159	háram	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	15084	8570080167	háramolna	4	32	3.4657359027997265	l	háramlik	lik	NA	2	háramlik
háramlani	39	háram	[/V][Inf]	cselekszenek/cselekednek	15084	8570080167	háramolni	4	8	2.0794415416798357	l	háramlik	lik	NA	2	háramlik
háramlanak	89	háram	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	15084	8570080167	háramolnak	1	45	3.80666248977032	l	háramlik	lik	nek	2	háramlik
hasonlana	3	hason	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	831860	8570080167	hasonulna	40	0.0975609756097561	-2.327277705584417	l	hasonlik	lik	NA	2	hasonlik
hasonlani	16	hason	[/V][Inf]	cselekszenek/cselekednek	831860	8570080167	hasonulni	885	0.01918735891647855	-3.953503606548865	l	hasonlik	lik	NA	2	hasonlik
hasonlunk	8	hason	[/V][Prs.NDef.1Pl]	cselekszenek/cselekednek	831860	8570080167	hasonulunk	94	0.09473684210526316	-2.356652314264321	l	hasonlik	lik	ünk	2	hasonlik
hasonlotok	1	hason	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	831860	8570080167	hasonultok	13	0.14285714285714285	-1.9459101490553137	l	hasonlik	lik	tek	2	hasonlik
