word	lakok	lakom
szezesezik	szezesezek	szezesezem
dáfotórúgodik	dáfotórúgodok	dáfotórúgodom
fololozik	fololozok	fololozom
bülödik	bülödök	bülödöm
küprüfíredik	küprüfíredek	küprüfíredem
dővüdűlődik	dővüdűlődök	dővüdűlődöm
zódakólik	zódakólok	zódakólom
móngolosunozik	móngolosunozok	móngolosunozom
gőldügrizedik	gőldügrizedek	gőldügrizedem
lőlelelik	lőlelelek	lőlelelem
kösztetezik	kösztetezek	kösztetezem
sódolik	sódolok	sódolom
kűdekezik	kűdekezek	kűdekezem
rürílezik	rürílezek	rürílezem
mílötőzik	mílötőzök	mílötőzöm
kümekezik	kümekezek	kümekezem
víkutózik	víkutózok	víkutózom
gentedik	gentedek	gentedem
szukomíkelik	szukomíkelek	szukomíkelem
mótunyátozik	mótunyátozok	mótunyátozom
tamokodik	tamokodok	tamokodom
ketezelik	ketezelek	ketezelem
fíkikelik	fíkikelek	fíkikelem
bígízezik	bígízezek	bígízezem
zeveselik	zeveselek	zeveselem
féselelik	féselelek	féselelem
zsösfiszerezik	zsösfiszerezek	zsösfiszerezem
musítelik	musítelek	musítelem
túbaródik	túbaródok	túbaródom
kúnozik	kúnozok	kúnozom
grébökesékedik	grébökesékedek	grébökesékedem
türüjítezik	türüjítezek	türüjítezem
fíríszökőlik	fíríszökőlök	fíríszökőlöm
söszilezik	söszilezek	söszilezem
kűlözik	kűlözök	kűlözöm
künyökölik	künyökölök	künyökölöm
míkorgalólik	míkorgalólok	míkorgalólom
jőkőlik	jőkőlök	jőkőlöm
lűslüsztözik	lűslüsztözök	lűslüsztözöm
metykölőlik	metykölőlök	metykölőlöm
szönköközik	szönköközök	szönköközöm
tüszegelik	tüszegelek	tüszegelem
kűmkitelik	kűmkitelek	kűmkitelem
pűzözik	pűzözök	pűzözöm
szüjerezik	szüjerezek	szüjerezem
bédetezik	bédetezek	bédetezem
pőmikedik	pőmikedek	pőmikedem
sekövézedik	sekövézedek	sekövézedem
káfotólik	káfotólok	káfotólom
vüjrükőlik	vüjrükőlök	vüjrükőlöm
lungagyápíkedik	lungagyápíkedek	lungagyápíkedem
súputólik	súputólok	súputólom
dávobálozik	dávobálozok	dávobálozom
segílelik	segílelek	segílelem
zsáríkelik	zsáríkelek	zsáríkelem
vazódik	vazódok	vazódom
vűkölik	vűkölök	vűkölöm
kílezik	kílezek	kílezem
tázolik	tázolok	tázolom
pitrotolik	pitrotolok	pitrotolom
jasztutólik	jasztutólok	jasztutólom
kúsídúlólik	kúsídúlólok	kúsídúlólom
núdodik	núdodok	núdodom
fézidütőzik	fézidütőzök	fézidütőzöm
zürizütödik	zürizütödök	zürizütödöm
kesztezezik	kesztezezek	kesztezezem
núvasztódik	núvasztódok	núvasztódom
dálatornyánolik	dálatornyánolok	dálatornyánolom
nóroróbrokodik	nóroróbrokodok	nóroróbrokodom
vokólik	vokólok	vokólom
stogozik	stogozok	stogozom
mokutózik	mokutózok	mokutózom
röszölik	röszölök	röszölöm
tölőzik	tölőzök	tölőzöm
rínedik	rínedek	rínedem
rukolik	rukolok	rukolom
tűjüdözik	tűjüdözök	tűjüdözöm
műdőlik	műdőlök	műdőlöm
lötözik	lötözök	lötözöm
múkódik	múkódok	múkódom
blégyöködik	blégyöködök	blégyöködöm
tosotolik	tosotolok	tosotolom
főrízezik	főrízezek	főrízezem
dűntölödik	dűntölödök	dűntölödöm
jőszítedik	jőszítedek	jőszítedem
tutodik	tutodok	tutodom
pérüpelezik	pérüpelezek	pérüpelezem
kepökölik	kepökölök	kepökölöm
fílezik	fílezek	fílezem
mózolik	mózolok	mózolom
búlólik	búlólok	búlólom
zérzülözik	zérzülözök	zérzülözöm
fazotúgolik	fazotúgolok	fazotúgolom
pesztedik	pesztedek	pesztedem
tizütödik	tizütödök	tizütödöm
túgbonyakolik	túgbonyakolok	túgbonyakolom
fibezelik	fibezelek	fibezelem
kitszolózik	kitszolózok	kitszolózom
düközik	düközök	düközöm
mősöközik	mősöközök	mősöközöm
lultotvalódik	lultotvalódok	lultotvalódom
bűgődik	bűgődök	bűgődöm
böstürődíledik	böstürődíledek	böstürődíledem
tűnlízezik	tűnlízezek	tűnlízezem
dőnezelik	dőnezelek	dőnezelem
réfebűzelelik	réfebűzelelek	réfebűzelelem
pútolik	pútolok	pútolom
keküdődik	keküdődök	keküdődöm
kómozákozik	kómozákozok	kómozákozom
núsodólik	núsodólok	núsodólom
szavikelik	szavikelek	szavikelem
bídezik	bídezek	bídezem
szatulodik	szatulodok	szatulodom
tírukolik	tírukolok	tírukolom
kúlílezik	kúlílezek	kúlílezem
píkürtődik	píkürtődök	píkürtődöm
vísalákolik	vísalákolok	vísalákolom
pédzüzözik	pédzüzözök	pédzüzözöm
kiltüregűlödik	kiltüregűlödök	kiltüregűlödöm
bóborozik	bóborozok	bóborozom
fólturdodik	fólturdodok	fólturdodom
dőközik	dőközök	dőközöm
stúlmazgokódik	stúlmazgokódok	stúlmazgokódom
prőlőlik	prőlőlök	prőlőlöm
páltalúlólik	páltalúlólok	páltalúlólom
kozodik	kozodok	kozodom
tütözik	tütözök	tütözöm
dőtözik	dőtözök	dőtözöm
pukungílezik	pukungílezek	pukungílezem
spűdőlik	spűdőlök	spűdőlöm
pűpübökőlik	pűpübökőlök	pűpübökőlöm
tukolodik	tukolodok	tukolodom
tutazozik	tutazozok	tutazozom
sögelelik	sögelelek	sögelelem
nijtedik	nijtedek	nijtedem
lémeledik	lémeledek	lémeledem
jírolodik	jírolodok	jírolodom
bülkinölőzik	bülkinölőzök	bülkinölőzöm
músztodik	músztodok	músztodom
tüzözik	tüzözök	tüzözöm
dőrügyőgözik	dőrügyőgözök	dőrügyőgözöm
gülözik	gülözök	gülözöm
műzükűngőlik	műzükűngőlök	műzükűngőlöm
vüdőlik	vüdőlök	vüdőlöm
vákmamúzozik	vákmamúzozok	vákmamúzozom
kalíztúkózik	kalíztúkózok	kalíztúkózom
nelikelik	nelikelek	nelikelem
rűbügődik	rűbügődök	rűbügődöm
püvezedik	püvezedek	püvezedem
tóvulólik	tóvulólok	tóvulólom
klalózik	klalózok	klalózom
léredik	léredek	léredem
pongagódik	pongagódok	pongagódom
trijdölőzik	trijdölőzök	trijdölőzöm
vutozik	vutozok	vutozom
píszrekűtödik	píszrekűtödök	píszrekűtödöm
túgotolik	túgotolok	túgotolom
gőlötpelelik	gőlötpelelek	gőlötpelelem
mötírgepűkődik	mötírgepűkődök	mötírgepűkődöm
szisivölődik	szisivölődök	szisivölődöm
szepebűrödik	szepebűrödök	szepebűrödöm
zúsalulodik	zúsalulodok	zúsalulodom
bojotólik	bojotólok	bojotólom
fótobotolik	fótobotolok	fótobotolom
dűmekedik	dűmekedek	dűmekedem
skúfongodik	skúfongodok	skúfongodom
selezik	selezek	selezem
szigyeledik	szigyeledek	szigyeledem
mugotózik	mugotózok	mugotózom
kődőzik	kődőzök	kődőzöm
szozanózolik	szozanózolok	szozanózolom
vílolódik	vílolódok	vílolódom
bekölözik	bekölözök	bekölözöm
stágtotozik	stágtotozok	stágtotozom
fusugodik	fusugodok	fusugodom
duprígrutolik	duprígrutolok	duprígrutolom
vusagódik	vusagódok	vusagódom
fízedik	fízedek	fízedem
bomikdasztodik	bomikdasztodok	bomikdasztodom
rurtagólik	rurtagólok	rurtagólom
bómiledik	bómiledek	bómiledem
fugukódik	fugukódok	fugukódom
kóvarasolik	kóvarasolok	kóvarasolom
figelik	figelek	figelem
mirotódik	mirotódok	mirotódom
vólólik	vólólok	vólólom
föndülőzik	föndülőzök	föndülőzöm
votozik	votozok	votozom
bilelik	bilelek	bilelem
sikilelik	sikilelek	sikilelem
sededik	sededek	sededem
filelik	filelek	filelem
dőtölőzik	dőtölőzök	dőtölőzöm
fángotólozik	fángotólozok	fángotólozom
tümepögyűnőzik	tümepögyűnőzök	tümepögyűnőzöm
dözödik	dözödök	dözödöm
smúltutúnikelik	smúltutúnikelek	smúltutúnikelem
kófukódik	kófukódok	kófukódom
féjözözik	féjözözök	féjözözöm
zúrífádodik	zúrífádodok	zúrífádodom
jűpekelik	jűpekelek	jűpekelem
gunigezik	gunigezek	gunigezem
mékelik	mékelek	mékelem
fűngyilíledik	fűngyilíledek	fűngyilíledem
nütínélezik	nütínélezek	nütínélezem
ságurolálozik	ságurolálozok	ságurolálozom
trukutozik	trukutozok	trukutozom
bikünőzik	bikünőzök	bikünőzöm
pőpőlik	pőpőlök	pőpőlöm
púlpulólik	púlpulólok	púlpulólom
tozítolódik	tozítolódok	tozítolódom
pűküketelik	pűküketelek	pűküketelem
lözőzik	lözőzök	lözőzöm
movabradózik	movabradózok	movabradózom
gójtozik	gójtozok	gójtozom
tenedik	tenedek	tenedem
káfiledik	káfiledek	káfiledem
sizezedik	sizezedek	sizezedem
bőndeszezik	bőndeszezek	bőndeszezem
réküködik	réküködök	réküködöm
kibokodik	kibokodok	kibokodom
vődötődik	vődötődök	vődötődöm
gűtödik	gűtödök	gűtödöm
kőködik	kőködök	kőködöm
rüzíkezezik	rüzíkezezek	rüzíkezezem
sílelik	sílelek	sílelem
bűfögődik	bűfögődök	bűfögődöm
figulódik	figulódok	figulódom
fozgalódik	fozgalódok	fozgalódom
vákakirmítedik	vákakirmítedek	vákakirmítedem
sürügőzik	sürügőzök	sürügőzöm
kűrüzödik	kűrüzödök	kűrüzödöm
gúsulólik	gúsulólok	gúsulólom
zőtődik	zőtődök	zőtődöm
zözőlik	zözőlök	zözőlöm
pumulodik	pumulodok	pumulodom
jálólik	jálólok	jálólom
szöbülölik	szöbülölök	szöbülölöm
pigutólik	pigutólok	pigutólom
vőgölik	vőgölök	vőgölöm
fónadodik	fónadodok	fónadodom
vükőlik	vükőlök	vükőlöm
prüködik	prüködök	prüködöm
vápízezik	vápízezek	vápízezem
rálodik	rálodok	rálodom
tíntezik	tíntezek	tíntezem
mútózik	mútózok	mútózom
zőkölik	zőkölök	zőkölöm
direlesztedik	direlesztedek	direlesztedem
kirtedik	kirtedek	kirtedem
kirditékedik	kirditékedek	kirditékedem
redölödik	redölödök	redölödöm
bádólik	bádólok	bádólom
zsősitezik	zsősitezek	zsősitezem
kőkezezik	kőkezezek	kőkezezem
betelik	betelek	betelem
túkódik	túkódok	túkódom
donduntodik	donduntodok	donduntodom
mískededik	mískededek	mískededem
kodolik	kodolok	kodolom
tobukarodik	tobukarodok	tobukarodom
gédüködik	gédüködök	gédüködöm
fütözik	fütözök	fütözöm
fűdözik	fűdözök	fűdözöm
slukuzólik	slukuzólok	slukuzólom
rivilalolik	rivilalolok	rivilalolom
szészölőlik	szészölőlök	szészölőlöm
vípenyímelelik	vípenyímelelek	vípenyímelelem
kulolik	kulolok	kulolom
lóskolódik	lóskolódok	lóskolódom
kúlolik	kúlolok	kúlolom
títezik	títezek	títezem
fizkikőrkilelik	fizkikőrkilelek	fizkikőrkilelem
raforotólik	raforotólok	raforotólom
kilezik	kilezek	kilezem
sitezik	sitezek	sitezem
rüfízezik	rüfízezek	rüfízezem
kigukódik	kigukódok	kigukódom
kalozik	kalozok	kalozom
sotólik	sotólok	sotólom
zsőzeredik	zsőzeredek	zsőzeredem
főpütölik	főpütölök	főpütölöm
szotolik	szotolok	szotolom
pilezik	pilezek	pilezem
pűjzödik	pűjzödök	pűjzödöm
kerírevüzözik	kerírevüzözök	kerírevüzözöm
lívögőzik	lívögőzök	lívögőzöm
kákíledik	kákíledek	kákíledem
femegelik	femegelek	femegelem
mőbezedik	mőbezedek	mőbezedem
zálorágodik	zálorágodok	zálorágodom
kőkőlik	kőkőlök	kőkőlöm
nőrípseszűködik	nőrípseszűködök	nőrípseszűködöm
bétköspűdőzik	bétköspűdőzök	bétköspűdőzöm
tútokózik	tútokózok	tútokózom
tözözőzik	tözözőzök	tözözőzöm
muzusztolik	muzusztolok	muzusztolom
rötíjtedik	rötíjtedek	rötíjtedem
lúbílelik	lúbílelek	lúbílelem
pónyusozolik	pónyusozolok	pónyusozolom
gákólik	gákólok	gákólom
prölödik	prölödök	prölödöm
tűlípképelezik	tűlípképelezek	tűlípképelezem
nebölözik	nebölözök	nebölözöm
sujudodik	sujudodok	sujudodom
berürgeledik	berürgeledek	berürgeledem
lólólik	lólólok	lólólom
zurvukózik	zurvukózok	zurvukózom
lőlelezik	lőlelezek	lőlelezem
kásífuzolozik	kásífuzolozok	kásífuzolozom
fugudunyotólik	fugudunyotólok	fugudunyotólom
kolózik	kolózok	kolózom
kőrütödik	kőrütödök	kőrütödöm
gámavolózik	gámavolózok	gámavolózom
ratozik	ratozok	ratozom
mivadozik	mivadozok	mivadozom
rölszörőlik	rölszörőlök	rölszörőlöm
dopulózik	dopulózok	dopulózom
plűdükőlik	plűdükőlök	plűdükőlöm
suzínyutólik	suzínyutólok	suzínyutólom
túgólik	túgólok	túgólom
küregűpegedik	küregűpegedek	küregűpegedem
tímítezik	tímítezek	tímítezem
tádalolik	tádalolok	tádalolom
szésesédékelik	szésesédékelek	szésesédékelem
tőfölözik	tőfölözök	tőfölözöm
bőnödik	bőnödök	bőnödöm
kúlvuzólodik	kúlvuzólodok	kúlvuzólodom
römütűlődik	römütűlődök	römütűlődöm
sezelik	sezelek	sezelem
mabítezik	mabítezek	mabítezem
mőrügőtölik	mőrügőtölök	mőrügőtölöm
puntólik	puntólok	puntólom
ránanozik	ránanozok	ránanozom
zarolik	zarolok	zarolom
mágólik	mágólok	mágólom
zutólik	zutólok	zutólom
vózódik	vózódok	vózódom
purólik	purólok	purólom
kügözik	kügözök	kügözöm
julódik	julódok	julódom
kítorkatózik	kítorkatózok	kítorkatózom
bőködik	bőködök	bőködöm
fefíkelik	fefíkelek	fefíkelem
dürgötödik	dürgötödök	dürgötödöm
vuzodik	vuzodok	vuzodom
dreledik	dreledek	dreledem
ritorúvútolik	ritorúvútolok	ritorúvútolom
fédiptűlölik	fédiptűlölök	fédiptűlölöm
sukodik	sukodok	sukodom
mútízezik	mútízezek	mútízezem
mábikezik	mábikezek	mábikezem
kuzagolik	kuzagolok	kuzagolom
putosztólik	putosztólok	putosztólom
szimörősződik	szimörősződök	szimörősződöm
málódik	málódok	málódom
suvokúlólik	suvokúlólok	suvokúlólom
zálolodik	zálolodok	zálolodom
súzalozik	súzalozok	súzalozom
suzulózik	suzulózok	suzulózom
tetelik	tetelek	tetelem
tédükőzik	tédükőzök	tédükőzöm
núrkulólik	núrkulólok	núrkulólom
królolik	królolok	królolom
rílezik	rílezek	rílezem
pélezik	pélezek	pélezem
mipökölik	mipökölök	mipökölöm
kükölik	kükölök	kükölöm
kűlmetezik	kűlmetezek	kűlmetezem
fúgólik	fúgólok	fúgólom
bukíkedik	bukíkedek	bukíkedem
spösütölik	spösütölök	spösütölöm
rűpíledik	rűpíledek	rűpíledem
szulozik	szulozok	szulozom
szérítedik	szérítedek	szérítedem
kűkölik	kűkölök	kűkölöm
putukódik	putukódok	putukódom
tuzodik	tuzodok	tuzodom
kügedezik	kügedezek	kügedezem
tirílezik	tirílezek	tirílezem
lárukókozik	lárukókozok	lárukókozom
gőkőlik	gőkőlök	gőkőlöm
fivelezik	fivelezek	fivelezem
pígídűzözik	pígídűzözök	pígídűzözöm
dökengezik	dökengezek	dökengezem
füpízedik	füpízedek	füpízedem
dakíkedik	dakíkedek	dakíkedem
vodódik	vodódok	vodódom
fepüzőzik	fepüzőzök	fepüzőzöm
lújakodik	lújakodok	lújakodom
pűvöpügödik	pűvöpügödök	pűvöpügödöm
kúlólik	kúlólok	kúlólom
mütögőzik	mütögőzök	mütögőzöm
migelelik	migelelek	migelelem
púragolozik	púragolozok	púragolozom
dődírketelelik	dődírketelelek	dődírketelelem
szötőzik	szötőzök	szötőzöm
töpükélelik	töpükélelek	töpükélelem
pázulolik	pázulolok	pázulolom
búpralólik	búpralólok	búpralólom
rídalkórólik	rídalkórólok	rídalkórólom
bígelik	bígelek	bígelem
tőnenedik	tőnenedek	tőnenedem
vúkozik	vúkozok	vúkozom
fíkezik	fíkezek	fíkezem
majílelik	majílelek	majílelem
sprolólik	sprolólok	sprolólom
sámulolik	sámulolok	sámulolom
kúbulolódik	kúbulolódok	kúbulolódom
gútólik	gútólok	gútólom
szanózik	szanózok	szanózom
fubaslúzozik	fubaslúzozok	fubaslúzozom
vóflolodik	vóflolodok	vóflolodom
milöszöködik	milöszöködök	milöszöködöm
tódolik	tódolok	tódolom
giszüdözik	giszüdözök	giszüdözöm
pézedik	pézedek	pézedem
rarisztedik	rarisztedek	rarisztedem
retötizelik	retötizelek	retötizelem
fazapánilelik	fazapánilelek	fazapánilelem
fráfalózik	fráfalózok	fráfalózom
zodatózik	zodatózok	zodatózom
nutugolik	nutugolok	nutugolom
mítugyotolik	mítugyotolok	mítugyotolom
kűtezölődik	kűtezölődök	kűtezölődöm
sűdőzik	sűdőzök	sűdőzöm
fuvontozik	fuvontozok	fuvontozom
sőlőzik	sőlőzök	sőlőzöm
vatolik	vatolok	vatolom
sólólik	sólólok	sólólom
szütődik	szütődök	szütődöm
fítinedik	fítinedek	fítinedem
múlíntelik	múlíntelek	múlíntelem
tőjtezezik	tőjtezezek	tőjtezezem
tőzőzik	tőzőzök	tőzőzöm
bődözik	bődözök	bődözöm
trursozózik	trursozózok	trursozózom
zsungólik	zsungólok	zsungólom
zőlölik	zőlölök	zőlölöm
kűzgeröngéledik	kűzgeröngéledek	kűzgeröngéledem
tazólik	tazólok	tazólom
fulolik	fulolok	fulolom
dasztolik	dasztolok	dasztolom
rűtődik	rűtődök	rűtődöm
fálílkúdólik	fálílkúdólok	fálílkúdólom
liszkedezik	liszkedezek	liszkedezem
vutólik	vutólok	vutólom
mílelik	mílelek	mílelem
kószukozik	kószukozok	kószukozom
notólik	notólok	notólom
kölödik	kölödök	kölödöm
títedik	títedek	títedem
rédrelezik	rédrelezek	rédrelezem
vílelik	vílelek	vílelem
sotalálózik	sotalálózok	sotalálózom
kejebűlöntölik	kejebűlöntölök	kejebűlöntölöm
búngózik	búngózok	búngózom
kazolozik	kazolozok	kazolozom
víredik	víredek	víredem
zornyildurikezik	zornyildurikezek	zornyildurikezem
nüldözik	nüldözök	nüldözöm
zsozolik	zsozolok	zsozolom
kőpíkénelik	kőpíkénelek	kőpíkénelem
pólilezik	pólilezek	pólilezem
rimokózik	rimokózok	rimokózom
rirítedik	rirítedek	rirítedem
rítedik	rítedek	rítedem
mútodik	mútodok	mútodom
fisítedik	fisítedek	fisítedem
tadodik	tadodok	tadodom
bilezik	bilezek	bilezem
keszölésztedik	keszölésztedek	keszölésztedem
dükőzik	dükőzök	dükőzöm
sprikínyóntodik	sprikínyóntodok	sprikínyóntodom
tűsteküködik	tűsteküködök	tűsteküködöm
naríkezik	naríkezek	naríkezem
tűlödik	tűlödök	tűlödöm
figezik	figezek	figezem
kómízezik	kómízezek	kómízezem
soldugolik	soldugolok	soldugolom
tiröködik	tiröködök	tiröködöm
klűdüdűlözik	klűdüdűlözök	klűdüdűlözöm
szitedik	szitedek	szitedem
pólofógodik	pólofógodok	pólofógodom
nőngőlik	nőngőlök	nőngőlöm
kozódik	kozódok	kozódom
bovítedik	bovítedek	bovítedem
tőtödik	tőtödök	tőtödöm
vodíkelik	vodíkelek	vodíkelem
kevütéledik	kevütéledek	kevütéledem
sőntődik	sőntődök	sőntődöm
dűzölik	dűzölök	dűzölöm
túgozik	túgozok	túgozom
fösölik	fösölök	fösölöm
kúsízelik	kúsízelek	kúsízelem
gilelik	gilelek	gilelem
dijtedik	dijtedek	dijtedem
ziszítedik	ziszítedek	ziszítedem
lálunólik	lálunólok	lálunólom
mőbezezik	mőbezezek	mőbezezem
kílutolik	kílutolok	kílutolom
lődődik	lődődök	lődődöm
fúfutózik	fúfutózok	fúfutózom
vőmpepügőlik	vőmpepügőlök	vőmpepügőlöm
mülídelik	mülídelek	mülídelem
pirsosódik	pirsosódok	pirsosódom
bótolik	bótolok	bótolom
súlólik	súlólok	súlólom
stőjtözik	stőjtözök	stőjtözöm
sítezik	sítezek	sítezem
vövítelik	vövítelek	vövítelem
mebritedik	mebritedek	mebritedem
mögözik	mögözök	mögözöm
dösztüződik	dösztüződök	dösztüződöm
rutodik	rutodok	rutodom
kőbötödik	kőbötödök	kőbötödöm
trúszítedik	trúszítedek	trúszítedem
sádotozik	sádotozok	sádotozom
tünlílezik	tünlílezek	tünlílezem
rátólik	rátólok	rátólom
lankulolik	lankulolok	lankulolom
kílelik	kílelek	kílelem
rótodik	rótodok	rótodom
títelik	títelek	títelem
vazodik	vazodok	vazodom
begetedik	begetedek	begetedem
kúgólik	kúgólok	kúgólom
lísezik	lísezek	lísezem
fűkíjtezik	fűkíjtezek	fűkíjtezem
lúlozik	lúlozok	lúlozom
vulolik	vulolok	vulolom
lőlígedik	lőlígedek	lőlígedem
pőnyögyölik	pőnyögyölök	pőnyögyölöm
sazozik	sazozok	sazozom
kraliledik	kraliledek	kraliledem
mökípékelik	mökípékelek	mökípékelem
vöszegetítelik	vöszegetítelek	vöszegetítelem
núvízódákódik	núvízódákódok	núvízódákódom
kíledik	kíledek	kíledem
vopílezik	vopílezek	vopílezem
tígítezik	tígítezek	tígítezem
pusalolik	pusalolok	pusalolom
rözölik	rözölök	rözölöm
tuzalalózik	tuzalalózok	tuzalalózom
gókrokózik	gókrokózok	gókrokózom
lölőzik	lölőzök	lölőzöm
dávozotózik	dávozotózok	dávozotózom
szűngüzőlik	szűngüzőlök	szűngüzőlöm
fózulozik	fózulozok	fózulozom
taszlarakangolik	taszlarakangolok	taszlarakangolom
sztövítelik	sztövítelek	sztövítelem
tíngedik	tíngedek	tíngedem
szusozik	szusozok	szusozom
biledik	biledek	biledem
bádunyílezik	bádunyílezek	bádunyílezem
szöpígezik	szöpígezek	szöpígezem
rizolozik	rizolozok	rizolozom
pülügyözik	pülügyözök	pülügyözöm
blökőzik	blökőzök	blökőzöm
sajazozik	sajazozok	sajazozom
kimtükerűlőlik	kimtükerűlőlök	kimtükerűlőlöm
bünsöregedik	bünsöregedek	bünsöregedem
mörőzik	mörőzök	mörőzöm
kőnyelezik	kőnyelezek	kőnyelezem
szanolik	szanolok	szanolom
púvulolik	púvulolok	púvulolom
vőnölik	vőnölök	vőnölöm
rőnjödözik	rőnjödözök	rőnjödözöm
vólutózik	vólutózok	vólutózom
béböklelelik	béböklelelek	béböklelelem
biselik	biselek	biselem
zítedik	zítedek	zítedem
mínöjtölik	mínöjtölök	mínöjtölöm
kokíszezik	kokíszezek	kokíszezem
súpratózik	súpratózok	súpratózom
buriglúgúgolik	buriglúgúgolok	buriglúgúgolom
rílebedötödik	rílebedötödök	rílebedötödöm
prőgyüntölik	prőgyüntölök	prőgyüntölöm
súkszunodik	súkszunodok	súkszunodom
pémísídülödik	pémísídülödök	pémísídülödöm
kúdaszókódik	kúdaszókódok	kúdaszókódom
sztölekedik	sztölekedek	sztölekedem
szonódik	szonódok	szonódom
fegelik	fegelek	fegelem
bekedik	bekedek	bekedem
tadozik	tadozok	tadozom
szulolik	szulolok	szulolom
szundozígurolik	szundozígurolok	szundozígurolom
lülisélüntődik	lülisélüntődök	lülisélüntődöm
vünöníledik	vünöníledek	vünöníledem
rörőlik	rörőlök	rörőlöm
tőmükölik	tőmükölök	tőmükölöm
relelik	relelek	relelem
nékezik	nékezek	nékezem
tőgelelik	tőgelelek	tőgelelem
tókólik	tókólok	tókólom
búlózik	búlózok	búlózom
bíbílezik	bíbílezek	bíbílezem
tísekűnőnözik	tísekűnőnözök	tísekűnőnözöm
lüsződik	lüsződök	lüsződöm
kúlízelik	kúlízelek	kúlízelem
szöníkőlőzik	szöníkőlőzök	szöníkőlőzöm
zedvülmőnödik	zedvülmőnödök	zedvülmőnödöm
kízitesztelik	kízitesztelek	kízitesztelem
sezölőlik	sezölőlök	sezölőlöm
bógolólik	bógolólok	bógolólom
rükődik	rükődök	rükődöm
szűvögéledik	szűvögéledek	szűvögéledem
kőfedelik	kőfedelek	kőfedelem
fitedik	fitedek	fitedem
rűtpekedik	rűtpekedek	rűtpekedem
bürtődik	bürtődök	bürtődöm
bögetedik	bögetedek	bögetedem
bézütődik	bézütődök	bézütődöm
tűmölölik	tűmölölök	tűmölölöm
vümestekedik	vümestekedek	vümestekedem
sórnogózik	sórnogózok	sórnogózom
múrílintelik	múrílintelek	múrílintelem
dirzotózik	dirzotózok	dirzotózom
funotodik	funotodok	funotodom
téfütődik	téfütődök	téfütődöm
súkulózik	súkulózok	súkulózom
tónyilelik	tónyilelek	tónyilelem
szesevedik	szesevedek	szesevedem
túpazólik	túpazólok	túpazólom
tilelik	tilelek	tilelem
linzsitedik	linzsitedek	linzsitedem
kudolik	kudolok	kudolom
sövítedik	sövítedek	sövítedem
vűgesűgölik	vűgesűgölök	vűgesűgölöm
lésítezik	lésítezek	lésítezem
lösöszeledik	lösöszeledek	lösöszeledem
túvílelik	túvílelek	túvílelem
bűlődik	bűlődök	bűlődöm
démitezik	démitezek	démitezem
témüződik	témüződök	témüződöm
sójtózik	sójtózok	sójtózom
gánózik	gánózok	gánózom
fízölelelik	fízölelelek	fízölelelem
dévelezik	dévelezek	dévelezem
küsöngőlik	küsöngőlök	küsöngőlöm
mírekezik	mírekezek	mírekezem
tödínelik	tödínelek	tödínelem
rűritedik	rűritedek	rűritedem
vűkítezik	vűkítezek	vűkítezem
mőtigbüszőntözik	mőtigbüszőntözök	mőtigbüszőntözöm
zámjíledik	zámjíledek	zámjíledem
