cvc	cc	type	cselekednek	cselekszenek
dösügűselik	dösügűslik	cselekedtek	dösügűseltek	dösügűslettek
bónyalik	bónylik	cselekedne	bónyalna	bónylana
musínyozik	musínyzik	cselekednek	musínyoznek	musínyzenek
gukalik	guklik	cselekednek	gukalnak	guklanak
relüszökezik	relüszökzik	cselekednek	relüszökeznek	relüszökzenek
dígünyölik	dígünylik	cselekedtek	dígünyöltek	dígünylettek
fodídolik	fodídlik	cselekedtek	fodídoltek	fodídlettek
dígünyölik	dígünylik	cselekedne	dígünyölne	dígünylene
röderigüszik	röderigszik	cselekedtek	röderigüsztek	röderigszettek
vílodik	vílszik	cselekedtek	vílodtek	vílszettek
fűpözölik	fűpözlik	cselekedtek	fűpözöltek	fűpözlettek
tódolik	tódlik	cselekedne	tódolna	tódlana
stézsüjölik	stézsüjlik	cselekednek	stézsüjölnek	stézsüjlenek
sűszünizik	sűszünzik	cselekednek	sűszüniznek	sűszünzenek
rösölik	röslik	cselekedne	rösölne	röslene
burukákolik	burukáklik	cselekedtek	burukákoltok	burukáklotok
sonuzik	sonzik	cselekedne	sonuzna	sonzana
kűbrítölik	kűbrítlik	cselekedtek	kűbrítöltek	kűbrítlettek
mósudik	móslik	cselekedtek	mósudtak	móslottak
laszunolik	laszunlik	cselekedtek	laszunoltok	laszunlotok
káskamkoralik	káskamkorlik	cselekedni	káskamkoralni	káskamkorlani
tákozik	tákzik	cselekedni	tákozni	tákzani
gunyozik	gunyzik	cselekednek	gunyoznak	gunyzanak
stézsüjölik	stézsüjlik	cselekedtek	stézsüjöltek	stézsüjlettek
vulugarik	vulugrik	cselekedtek	vulugartak	vulugrottak
rédüzígitölik	rédüzígitlik	cselekedtek	rédüzígitöltek	rédüzígitlettek
töszöjölik	töszöjlik	cselekednek	töszöjölnek	töszöjlenek
tédölürilik	tédölürlik	cselekedtek	tédölüriltek	tédölürlettek
fuzsajulik	fuzsajlik	cselekedtek	fuzsajultak	fuzsajlottak
rukamulik	rukamlik	cselekedtek	rukamultok	rukamlotok
mivakozik	mivakzik	cselekedni	mivakozni	mivakzani
dozsalik	dozslik	cselekedni	dozsalni	dozslani
repörezik	repörzik	cselekedne	repörezne	repörzene
milekebüridik	milekebürdik	cselekedtek	milekebüridtek	milekebürdettek
ketügiszik	ketügszik	cselekednek	ketügisznek	ketügszenek
műröneszéliszik	műröneszélszik	cselekednek	műröneszélisznek	műröneszélszenek
sűgígözik	sűgígzik	cselekedni	sűgígözni	sűgígzeni
tenírizsölik	tenírizslik	cselekedne	tenírizsölne	tenírizslene
laszunolik	laszunlik	cselekedtek	laszunoltak	laszunlottak
salmutáralik	salmutárlik	cselekednek	salmutáralnak	salmutárlanak
fézölik	fézlik	cselekedtek	fézöltek	fézlettek
vünyildikidik	vünyildikdik	cselekedni	vünyildidikni	vünyilddikeni
ránuzik	ránzik	cselekednek	ránuznak	ránzanak
vőfekedik	vőfekszik	cselekednek	vőfekednek	vőfekszenek
murolik	murlik	cselekednek	murolnak	murlanak
rőrtegödik	rőrtegdik	cselekedne	rőrtegödne	rőrtegdene
ditanyulik	ditanylik	cselekedne	ditanyulna	ditanylana
súvarbóbukozik	súvarbóbukzik	cselekedne	súvarbóbukozna	súvarbóbukzana
vözügezik	vözügzik	cselekedne	vözügezne	vözügzene
túpazsalik	túpazslik	cselekednek	túpazsalnak	túpazslanak
gúrgokozik	gúrgokzik	cselekedne	gúrgokozna	gúrgokzana
sőbizik	sőbzik	cselekedtek	sőbiztek	sőbzettek
szuloszik	szulszik	cselekedtek	szulosztak	szulszottak
jíkozik	jíkszik	cselekedni	jíkozni	jíkszeni
mőnyözik	mőnyzik	cselekednek	mőnyöznek	mőnyzenek
szosikudik	szosikszik	cselekedne	szosudikne	szosszikene
pűrödik	pűrdik	cselekedtek	pűrödtek	pűrdettek
naskikúrodik	naskikúrdik	cselekednek	naskúrodiknak	naskúrdikanak
plőkezik	plőkzik	cselekedtek	plőkeztek	plőkzettek
bövögölik	bövöglik	cselekednek	bövögölnek	bövöglenek
kugozik	kugzik	cselekedne	kugozna	kugzana
pószulik	pószlik	cselekednek	pószulnak	pószlanak
gőkezik	gőkzik	cselekedtek	gőkeztek	gőkzettek
tönölőtilik	tönölőtlik	cselekedtek	tönölőtiltek	tönölőtlettek
rofokaszik	rofokszik	cselekedtek	rofokasztok	rofokszotok
jűmbítögödik	jűmbítögdik	cselekedne	jűmbítögödne	jűmbítögdene
zőlöszik	zőlszik	cselekedtek	zőlösztek	zőlszettek
kotunyuzik	kotunyzik	cselekedni	kotunyuzni	kotunyzani
kóvapudik	kóvapszik	cselekedtek	kóvapudtak	kóvapszottak
pűfelidik	pűfelszik	cselekedne	pűfelidne	pűfelszene
mugogudik	mugogdik	cselekedni	mugogudni	mugogdani
kevütéledik	kevütélszik	cselekedni	kevütéledni	kevütélszeni
kugozik	kugzik	cselekedni	kugozni	kugzani
fézsilik	fézslik	cselekedtek	fézsiltek	fézslettek
sapidabuzik	sapidabzik	cselekedni	sapidabuzni	sapidabzani
rűnyilik	rűnylik	cselekedni	rűnyilni	rűnyleni
szingödeszölik	szingödeszlik	cselekednek	szingödeszölnek	szingödeszlenek
sigedik	sigszik	cselekedni	sigedni	sigszeni
dösügűselik	dösügűslik	cselekedni	dösügűselni	dösügűsleni
szingödeszölik	szingödeszlik	cselekedne	szingödeszölne	szingödeszlene
fusaszolik	fusaszlik	cselekedne	fusaszolna	fusaszlana
jűmbítögödik	jűmbítögdik	cselekedtek	jűmbítögödtek	jűmbítögdettek
girzenögdeközik	girzenögdekzik	cselekednek	girzenögdeköznek	girzenögdekzenek
lüködik	lükszik	cselekedne	lüködne	lükszene
lűgyöszelik	lűgyöszlik	cselekedni	lűgyöszelni	lűgyöszleni
takolik	taklik	cselekednek	takolnak	taklanak
szetöszelik	szetöszlik	cselekedtek	szetöszeltek	szetöszlettek
lungazosalik	lungazoslik	cselekednek	lungazosalnak	lungazoslanak
toszojalik	toszojlik	cselekednek	toszojalnak	toszojlanak
tirotulik	tirotlik	cselekedtek	tirotultok	tirotlotok
kiguvabózsolik	kiguvabózslik	cselekedtek	kiguvabózsoltak	kiguvabózslottak
físzílűrezik	físzílűrzik	cselekedtek	físzílűreztek	físzílűrzettek
szürjeköriködik	szürjekörikdik	cselekedni	szürjekörödikni	szürjekördikeni
főpezüliszik	főpezülszik	cselekedne	főpezüliszne	főpezülszene
kürzipőpedik	kürzipőpdik	cselekedni	kürzipőpedni	kürzipőpdeni
tödüpödik	tödüpszik	cselekednek	tödüpödnek	tödüpszenek
túsíkuszik	túsíkszik	cselekednek	túsíkusznek	túsíkszenek
ríkezik	ríkzik	cselekedtek	ríkeztek	ríkzettek
renyözik	renyzik	cselekedtek	renyöztek	renyzettek
plőkezik	plőkzik	cselekednek	plőkeznek	plőkzenek
réfebűzegeszik	réfebűzegszik	cselekedtek	réfebűzegesztek	réfebűzegszettek
finvökedik	finvökdik	cselekedtek	finvökedtek	finvökdettek
nuvisudik	nuvislik	cselekedne	nuvisudne	nuvislene
pőrügülényözik	pőrügülényzik	cselekedtek	pőrügülényöztek	pőrügülényzettek
reridik	rerdik	cselekedni	reridni	rerdeni
rozimulik	rozimlik	cselekedni	rozimulni	rozimleni
kúfulikozik	kúfulikszik	cselekedtek	kúfuloziktek	kúfulszikettek
szevimezik	szevimzik	cselekedtek	szevimeztek	szevimzettek
szávuszlúralik	szávuszlúrlik	cselekednek	szávuszlúralnak	szávuszlúrlanak
sáturuzik	sáturzik	cselekedne	sáturuzna	sáturzana
vebüpűgeszik	vebüpűgszik	cselekedni	vebüpűgeszni	vebüpűgszeni
ráludik	rálszik	cselekedni	ráludni	rálszani
purdapudik	purdapdik	cselekedtek	purdapudtak	purdapdottak
kűbrítölik	kűbrítlik	cselekedni	kűbrítölni	kűbrítleni
bűdöszenösedik	bűdöszenöslik	cselekedtek	bűdöszenösedtek	bűdöszenöslettek
vőfekedik	vőfekszik	cselekedtek	vőfekedtek	vőfekszettek
bublulodik	bublulszik	cselekedne	bublulodna	bublulszana
kófomozik	kófomzik	cselekedtek	kófomoztak	kófomzottak
büsüzőfűlöszik	büsüzőfűlszik	cselekedtek	büsüzőfűlösztek	büsüzőfűlszettek
dútukodik	dútukszik	cselekedtek	dútukodtok	dútukszotok
rütigyűvipidik	rütigyűvipdik	cselekedtek	rütigyűvipidtek	rütigyűvipdettek
mízerözik	mízerzik	cselekedtek	mízeröztek	mízerzettek
fübígűselik	fübígűslik	cselekedne	fübígűselne	fübígűslene
bűbügöszik	bűbügszik	cselekedtek	bűbügösztek	bűbügszettek
detepöksököszik	detepöksökszik	cselekedne	detepöksököszne	detepöksökszene
kőbejtíredik	kőbejtírdik	cselekednek	kőbejtírednek	kőbejtírdenek
ponyalik	ponylik	cselekedtek	ponyaltok	ponylotok
vigazákolik	vigazáklik	cselekedni	vigazákolni	vigazáklani
girzenögdeközik	girzenögdekzik	cselekedtek	girzenögdeköztek	girzenögdekzettek
brangarozik	brangarzik	cselekednek	brangaroznak	brangarzanak
lérilik	lérlik	cselekedni	lérilni	lérleni
fósuszíludik	fósuszílszik	cselekedtek	fósuszíludtek	fósuszílszettek
tünjütütegödik	tünjütütegdik	cselekedne	tünjütütegödne	tünjütütegdene
kűtönelik	kűtönlik	cselekednek	kűtönelnek	kűtönlenek
kökejelik	kökejlik	cselekedne	kökejelne	kökejlene
sedisizsölik	sedisizslik	cselekednek	sedisizsölnek	sedisizslenek
fuzsajulik	fuzsajlik	cselekedni	fuzsajulni	fuzsajlani
píloszik	pílszik	cselekednek	pílosznek	pílszenek
nukogópudik	nukogópdik	cselekedtek	nukogópudtak	nukogópdottak
talojulik	talojlik	cselekednek	talojulnak	talojlanak
künvísűkénezik	künvísűkénzik	cselekedtek	künvísűkéneztek	künvísűkénzettek
kegizik	kegzik	cselekedne	kegizne	kegzene
röpegelik	röpeglik	cselekedtek	röpegeltek	röpeglettek
szaszugorik	szaszugrik	cselekedni	szaszugorni	szaszugrani
lüködik	lükszik	cselekedtek	lüködtek	lükszettek
kűbrítölik	kűbrítlik	cselekednek	kűbrítölnek	kűbrítlenek
tédölürilik	tédölürlik	cselekedtek	tédölüriltek	tédölürlettek
ríbolodik	ríbolszik	cselekedni	ríbolodni	ríbolszani
kuzalik	kuzlik	cselekednek	kuzalnak	kuzlanak
szürjeköriködik	szürjekörikdik	cselekedne	szürjekörödikne	szürjekördikene
vílodik	vílszik	cselekedtek	vílodtek	vílszettek
múkaszik	múkszik	cselekednek	múkasznak	múkszanak
pőgölik	pőglik	cselekedne	pőgölne	pőglene
lüködik	lükszik	cselekedni	lüködni	lükszeni
vúrozukozik	vúrozukzik	cselekednek	vúrozukoznak	vúrozukzanak
kekirödik	kekirdik	cselekednek	kekirödnek	kekirdenek
vőpödik	vőpszik	cselekedni	vőpödni	vőpszeni
kúlpugudik	kúlpugszik	cselekedtek	kúlpugudtak	kúlpugszottak
zőslögirik	zőslögrik	cselekedtek	zőslögirtek	zőslögrettek
kuzalik	kuzlik	cselekedtek	kuzaltak	kuzlottak
kűgelik	kűglik	cselekedne	kűgelne	kűglene
dospinyozik	dospinyzik	cselekedne	dospinyozne	dospinyzene
lűmözilik	lűmözlik	cselekedtek	lűmöziltek	lűmözlettek
tögödik	tögszik	cselekedtek	tögödtek	tögszettek
zsütüpidik	zsütüpszik	cselekedtek	zsütüpidtek	zsütüpszettek
dútukodik	dútukszik	cselekedtek	dútukodtak	dútukszottak
líbizik	líbzik	cselekedne	líbizne	líbzene
gídölik	gídlik	cselekednek	gídölnek	gídlenek
plőkezik	plőkzik	cselekedni	plőkezni	plőkzeni
kőbejtíredik	kőbejtírdik	cselekedne	kőbejtíredne	kőbejtírdene
kűgelik	kűglik	cselekedni	kűgelni	kűgleni
detepöksököszik	detepöksökszik	cselekedtek	detepöksökösztek	detepöksökszettek
pőrügülényözik	pőrügülényzik	cselekedtek	pőrügülényöztek	pőrügülényzettek
repörezik	repörzik	cselekedni	repörezni	repörzeni
víkusolik	víkuslik	cselekedtek	víkusoltak	víkuslottak
gosolik	goslik	cselekedtek	gosoltak	goslottak
dűjilik	dűjlik	cselekedni	dűjilni	dűjleni
gőkezik	gőkzik	cselekedni	gőkezni	gőkzeni
punolik	punlik	cselekedtek	punoltok	punlotok
bürsilöszik	bürsilszik	cselekedtek	bürsilösztek	bürsilszettek
kűgödik	kűgdik	cselekedtek	kűgödtek	kűgdettek
főreközik	főrekzik	cselekedtek	főreköztek	főrekzettek
kőkejözik	kőkejzik	cselekedtek	kőkejöztek	kőkejzettek
kűzinyelik	kűzinylik	cselekedtek	kűzinyeltek	kűzinylettek
zódalik	zódlik	cselekedtek	zódaltok	zódlotok
kívinelik	kívinlik	cselekedni	kívinelni	kívinleni
kilüszik	kilszik	cselekedni	kilüszni	kilszeni
szukuszik	szukszik	cselekedni	szukuszni	szukszani
tüdögödik	tüdögdik	cselekedni	tüdögödni	tüdögdeni
pőtölik	pőtlik	cselekedne	pőtölne	pőtlene
rűresilik	rűreslik	cselekedtek	rűresiltek	rűreslettek
kagupkálanulik	kagupkálanlik	cselekedtek	kagupkálanultok	kagupkálanlotok
zúkisodik	zúkislik	cselekedtek	zúkisodtek	zúkislettek
kufaloszik	kufalszik	cselekednek	kufalosznak	kufalszanak
büsüzőfűlöszik	büsüzőfűlszik	cselekednek	büsüzőfűlösznek	büsüzőfűlszenek
vüjelik	vüjlik	cselekedni	vüjelni	vüjleni
kőnölik	kőnlik	cselekedtek	kőnöltek	kőnlettek
tómolókozik	tómolókszik	cselekedtek	tómolókoztak	tómolókszottak
ruzsalik	ruzslik	cselekedtek	ruzsaltak	ruzslottak
drartirtirudik	drartirtirdik	cselekedni	drartirtirudni	drartirtirdeni
kökejelik	kökejlik	cselekednek	kökejelnek	kökejlenek
kűközik	kűkszik	cselekedtek	kűköztek	kűkszettek
szávuszlúralik	szávuszlúrlik	cselekedtek	szávuszlúraltok	szávuszlúrlotok
tégitűzőgedik	tégitűzőgdik	cselekednek	tégitűzőgednek	tégitűzőgdenek
forunyóguszik	forunyógszik	cselekedtek	forunyógusztok	forunyógszotok
sélebözik	sélebzik	cselekednek	séleböznek	sélebzenek
tákiszojolik	tákiszojlik	cselekedtek	tákiszojoltak	tákiszojlottak
bűgödik	bűgszik	cselekedtek	bűgödtek	bűgszettek
bunozsalik	bunozslik	cselekedne	bunozsalna	bunozslana
vápudik	vápdik	cselekedne	vápudna	vápdana
lümögidik	lümögdik	cselekednek	lümögidnek	lümögdenek
főtenölik	főtenlik	cselekedtek	főtenöltek	főtenlettek
lérilik	lérlik	cselekedtek	lériltek	lérlettek
fómanyulik	fómanylik	cselekednek	fómanyulnak	fómanylanak
müzötégirik	müzötégrik	cselekednek	müzötégirnek	müzötégrenek
múkaszik	múkszik	cselekedne	múkaszna	múkszana
röszölik	röszlik	cselekedtek	röszöltek	röszlettek
takolik	taklik	cselekedtek	takoltok	taklotok
füpönyözik	füpönyzik	cselekednek	füpönyöznek	füpönyzenek
kipörödik	kipördik	cselekedni	kipörödni	kipördeni
vónyozik	vónyzik	cselekedni	vónyozni	vónyzani
ránozik	ránzik	cselekedtek	ránoztok	ránzotok
ríkodik	ríkdik	cselekedtek	ríkodtek	ríkdettek
mekvemizik	mekvemzik	cselekedtek	mekvemiztek	mekvemzettek
vözügezik	vözügzik	cselekedni	vözügezni	vözügzeni
főreközik	főrekzik	cselekedtek	főreköztek	főrekzettek
prénilik	prénlik	cselekedtek	préniltek	prénlettek
krűsesidik	krűseslik	cselekedni	krűsesidni	krűsesleni
míközik	míkszik	cselekednek	míköznek	míkszenek
bépebözik	bépebzik	cselekedni	bépebözni	bépebzeni
rűnyilik	rűnylik	cselekedtek	rűnyiltek	rűnylettek
zegiszik	zegszik	cselekedtek	zegisztek	zegszettek
dibunuzik	dibunzik	cselekednek	dibunuznak	dibunzanak
tülívőközik	tülívőkzik	cselekedtek	tülívőköztek	tülívőkzettek
sküszüdölik	sküszüdlik	cselekedne	sküszüdölne	sküszüdlene
dujozik	dujzik	cselekedtek	dujoztok	dujzotok
vókasudik	vókaslik	cselekedtek	vókasudtok	vókaslotok
kőnölik	kőnlik	cselekedtek	kőnöltek	kőnlettek
vőleszik	vőlszik	cselekedtek	vőlesztek	vőlszettek
toszojalik	toszojlik	cselekedtek	toszojaltok	toszojlotok
túgokuszik	túgokszik	cselekedtek	túgokusztak	túgokszottak
lironúdalik	lironúdlik	cselekednek	lironúdalnak	lironúdlanak
bünyölik	bünylik	cselekednek	bünyölnek	bünylenek
nebögedik	nebögdik	cselekedne	nebögedne	nebögdene
műkötetelik	műkötetlik	cselekedtek	műköteteltek	műkötetlettek
túsulik	túslik	cselekedne	túsulna	túslana
lüpödik	lüpszik	cselekedne	lüpödne	lüpszene
gűdönölik	gűdönlik	cselekedni	gűdönölni	gűdönleni
tíkuzik	tíkszik	cselekednek	tíkuznek	tíkszenek
kőszögözik	kőszögzik	cselekedni	kőszögözni	kőszögzeni
kuzalik	kuzlik	cselekedni	kuzalni	kuzlani
szurtamúpudik	szurtamúpdik	cselekedne	szurtamúpudna	szurtamúpdana
salmutáralik	salmutárlik	cselekedni	salmutáralni	salmutárlani
dőrödik	dőrdik	cselekedne	dőrödne	dőrdene
bépidik	bépszik	cselekedne	bépidne	bépszene
rónolik	rónlik	cselekedtek	rónoltok	rónlotok
dígünyölik	dígünylik	cselekednek	dígünyölnek	dígünylenek
kúmomágyukaszik	kúmomágyukszik	cselekedtek	kúmomágyukasztak	kúmomágyukszottak
strökedik	strökszik	cselekedni	strökedni	strökszeni
detepöksököszik	detepöksökszik	cselekedni	detepöksököszni	detepöksökszeni
zúsalugodik	zúsalugszik	cselekednek	zúsalugodnak	zúsalugszanak
szévinkőnölik	szévinkőnlik	cselekedne	szévinkőnölne	szévinkőnlene
metölik	metlik	cselekedtek	metöltek	metlettek
pugaszik	pugszik	cselekedtek	pugasztak	pugszottak
kőszögözik	kőszögzik	cselekedtek	kőszögöztek	kőszögzettek
bóbímozik	bóbímzik	cselekedne	bóbímozne	bóbímzene
dőzimilik	dőzimlik	cselekedne	dőzimilne	dőzimlene
sömügödik	sömügszik	cselekedni	sömügödni	sömügszeni
tómolókozik	tómolókszik	cselekednek	tómolókoznak	tómolókszanak
fűdötenyelik	fűdötenylik	cselekedni	fűdötenyelni	fűdötenyleni
szogyadógodik	szogyadógszik	cselekedtek	szogyadógodtak	szogyadógszottak
lümögidik	lümögdik	cselekedni	lümögidni	lümögdeni
küskebözik	küskebzik	cselekedne	küskebözne	küskebzene
rősirilik	rősirlik	cselekedne	rősirilne	rősirlene
bílukulik	bíluklik	cselekednek	bílukulnak	bíluklanak
kerögedik	kerögszik	cselekedtek	kerögedtek	kerögszettek
sűgysösedik	sűgysöslik	cselekedne	sűgysösedne	sűgysöslene
zőlöszik	zőlszik	cselekedni	zőlöszni	zőlszeni
vúgodik	vúgdik	cselekedtek	vúgodtak	vúgdottak
kufaloszik	kufalszik	cselekedtek	kufalosztok	kufalszotok
kirözik	kirzik	cselekedne	kirözne	kirzene
szűlverödik	szűlverdik	cselekednek	szűlverödnek	szűlverdenek
vókasudik	vókaslik	cselekednek	vókasudnak	vókaslanak
kinezik	kinzik	cselekedtek	kineztek	kinzettek
jödírökizik	jödírökzik	cselekedtek	jödírökiztek	jödírökzettek
kőnyepedik	kőnyepdik	cselekedtek	kőnyepedtek	kőnyepdettek
gűrijilik	gűrijlik	cselekedtek	gűrijiltek	gűrijlettek
bílukulik	bíluklik	cselekedne	bílukulna	bíluklana
főpezüliszik	főpezülszik	cselekedtek	főpezülisztek	főpezülszettek
rozimulik	rozimlik	cselekednek	rozimulnek	rozimlenek
súvarbóbukozik	súvarbóbukzik	cselekedtek	súvarbóbukoztok	súvarbóbukzotok
remörüzilik	remörüzlik	cselekednek	remörüzilnek	remörüzlenek
püködik	pükdik	cselekedni	püködni	pükdeni
