base	base_tr	variation	type	target1	target2	target1_resp	target2_resp	log_odds	derivational	nsyl	vowel	suffix
bűtszik	bűtßik	lakom/lakok	nonce word response	bűtszök	bűtszöm	14	12	0.14310084364067324	-szik	1	NA	NA
cságyelt	çá©elt	hotelban/hotelben	nonce word response	cságyeltben	cságyeltban	19	9	-0.6931471805599453	NA	NA	e	ban
csartény	çarté¥	hotelban/hotelben	nonce word response	csarténynek	csarténynak	11	15	0.2876820724517809	NA	NA	é	nak
csibagzik / csibagozik	çibagzik / çibagozik	cselekszenek/cselekednek	nonce word response	csibagzotok	csibagoztok	8	18	-0.7472144018302211	-zik	2	NA	tek
csimen	çimen	hotelban/hotelben	nonce word response	csimennél	csimennál	27	1	-2.6390573296152584	NA	NA	e	nál
csinték	çinték	hotelban/hotelben	nonce word response	csintékben	csintékban	24	4	-1.6094379124341003	NA	NA	é	ban
csíszlik	çíßlik	lakom/lakok	nonce word response	csíszlok	csíszlom	20	8	0.8472978603872037	-lik	1	NA	NA
csodeg	çodeg	hotelban/hotelben	nonce word response	csodegnél	csodegnál	16	10	-0.4353180712578455	NA	NA	e	nál
csólorzik	çólorzik	lakom/lakok	nonce word response	csólorzok	csólorzom	10	18	-0.5465437063680699	-zik	2	NA	NA
csublény	çublé¥	hotelban/hotelben	nonce word response	csublényben	csublényban	10	16	0.4353180712578455	NA	NA	é	ban
csubzik / csubozik	çubzik / çubozik	cselekszenek/cselekednek	nonce word response	csubzunk	csubozunk	19	9	0.6931471805599453	-zik	1	NA	ünk
dábegy	dábe©	hotelban/hotelben	nonce word response	dábegyben	dábegyban	22	4	-1.5260563034950492	NA	NA	e	ban
dabzik / dabozik	dabzik / dabozik	cselekszenek/cselekednek	nonce word response	dabzotok	daboztok	12	16	-0.2682639865946794	-zik	1	NA	tek
dajrens	dajrens	hotelban/hotelben	nonce word response	dajrensnél	dajrensnál	23	3	-1.791759469228055	NA	NA	e	nál
dalenc	dalenc	hotelban/hotelben	nonce word response	dalencnél	dalencnál	17	9	-0.5877866649021191	NA	NA	e	nál
danét	danét	hotelban/hotelben	nonce word response	danétnél	danétnál	7	19	0.916290731874155	NA	NA	é	nál
dárakszik / dárakodik	dárakßik / dárakodik	cselekszenek/cselekednek	nonce word response	dárakszunk	dárakodunk	14	14	0	-szik	2	NA	ünk
darhén	darhén	hotelban/hotelben	nonce word response	darhénben	darhénban	3	23	1.791759469228055	NA	NA	é	ban
dibáglik / dibágozik	dibáglik / dibágozik	cselekszenek/cselekednek	nonce word response	dibáglotok	dibágoztok	16	12	0.26826398659467937	-lik	2	NA	tek
dibez	dibez	hotelban/hotelben	nonce word response	dibezben	dibezban	24	2	-2.120263536200091	NA	NA	e	ban
dihely	dihe¬	hotelban/hotelben	nonce word response	dihelynek	dihelynak	27	1	-2.6390573296152584	NA	NA	e	nak
dilaklik / dilakozik	dilaklik / dilakozik	cselekszenek/cselekednek	nonce word response	dilaklotok	dilakoztok	10	18	-0.5465437063680699	-lik	2	NA	tek
dinelt	dinelt	hotelban/hotelben	nonce word response	dineltben	dineltban	25	3	-1.8718021769015913	NA	NA	e	ban
dingec	dingec	hotelban/hotelben	nonce word response	dingecnek	dingecnak	25	3	-1.8718021769015913	NA	NA	e	nak
diránylik / dirányozik	dirá¥lik / dirá¥ozik	cselekszenek/cselekednek	nonce word response	diránylanak	dirányoznak	12	14	-0.1431008436406733	-lik	2	NA	nek
dirlik / dirozik	dirlik / dirozik	cselekszenek/cselekednek	nonce word response	dirlotok	diroztok	13	13	0	-lik	1	NA	tek
dóbem	dóbem	hotelban/hotelben	nonce word response	dóbemnek	dóbemnak	22	6	-1.1895840668738364	NA	NA	e	nak
döjlik / döjözik	döjlik / döjözik	cselekszenek/cselekednek	nonce word response	döjlenek	döjöznek	17	9	0.5877866649021191	-lik	1	NA	nek
dorzéj	dorzéj	hotelban/hotelben	nonce word response	dorzéjnek	dorzéjnak	14	12	-0.14310084364067324	NA	NA	é	nak
dralágzik / dralágozik	dralágzik / dralágozik	cselekszenek/cselekednek	nonce word response	dralágzunk	dralágozunk	16	10	0.4353180712578455	-zik	2	NA	ünk
driládzik	driládzik	lakom/lakok	nonce word response	driládzok	driládzom	10	18	-0.5465437063680699	-zik	2	NA	NA
drilarzik / drilarozik	drilarzik / drilarozik	cselekszenek/cselekednek	nonce word response	drilarzunk	drilarozunk	10	16	-0.4353180712578455	-zik	2	NA	ünk
drivegzik / drivegezik	drivegzik / drivegezik	cselekszenek/cselekednek	nonce word response	drivegzetek	drivegeztek	10	16	-0.4353180712578455	-zik	2	NA	tek
drojzik / drojozik	drojzik / drojozik	cselekszenek/cselekednek	nonce word response	drojzunk	drojozunk	16	12	0.26826398659467937	-zik	1	NA	ünk
drubódzik	drubódzik	lakom/lakok	nonce word response	drubódzok	drubódzom	10	16	-0.4353180712578455	-zik	2	NA	NA
drügzik	drügzik	lakom/lakok	nonce word response	drügzök	drügzöm	14	12	0.14310084364067324	-zik	1	NA	NA
drűrzik / drűrözik	drűrzik / drűrözik	cselekszenek/cselekednek	nonce word response	drűrzenek	drűröznek	11	15	-0.2876820724517809	-zik	1	NA	nek
düjzik	düjzik	lakom/lakok	nonce word response	düjzök	düjzöm	13	13	0	-zik	1	NA	NA
dujzik / dujozik	dujzik / dujozik	cselekszenek/cselekednek	nonce word response	dujzanak	dujoznak	15	11	0.28768207245178085	-zik	1	NA	nek
dunkész	dunkéß	hotelban/hotelben	nonce word response	dunkészben	dunkészban	12	14	0.1431008436406733	NA	NA	é	ban
dutec	dutec	hotelban/hotelben	nonce word response	dutecnél	dutecnál	20	6	-1.0986122886681098	NA	NA	e	nál
fádens	fádens	hotelban/hotelben	nonce word response	fádensnek	fádensnak	20	6	-1.0986122886681098	NA	NA	e	nak
fágyép	fá©ép	hotelban/hotelben	nonce word response	fágyépnél	fágyépnál	13	13	-0	NA	NA	é	nál
fájéz	fájéz	hotelban/hotelben	nonce word response	fájézben	fájézban	9	19	0.6931471805599453	NA	NA	é	ban
féjzik	féjzik	lakom/lakok	nonce word response	féjzek	féjzem	16	10	0.4353180712578455	-zik	1	NA	NA
femlik	femlik	lakom/lakok	nonce word response	femlek	femlem	24	4	1.6094379124341003	-lik	1	NA	NA
feténylik	feté¥lik	lakom/lakok	nonce word response	feténylek	feténylem	22	4	1.5260563034950492	-lik	2	NA	NA
fibamlik	fibamlik	lakom/lakok	nonce word response	fibamlok	fibamlom	25	3	1.8718021769015913	-lik	2	NA	NA
figlik	figlik	lakom/lakok	nonce word response	figlok	figlom	20	8	0.8472978603872037	-lik	1	NA	NA
filágzik	filágzik	lakom/lakok	nonce word response	filágzok	filágzom	7	19	-0.916290731874155	-zik	2	NA	NA
filánylik / filányozik	filá¥lik / filá¥ozik	cselekszenek/cselekednek	nonce word response	filánylunk	filányozunk	13	13	0	-lik	2	NA	ünk
fincek	fincek	hotelban/hotelben	nonce word response	finceknél	finceknál	22	4	-1.5260563034950492	NA	NA	e	nál
fivénylik	fivé¥lik	lakom/lakok	nonce word response	fivénylek	fivénylem	19	9	0.6931471805599453	-lik	2	NA	NA
fizend	fizend	hotelban/hotelben	nonce word response	fizendben	fizendban	25	1	-2.5649493574615367	NA	NA	e	ban
flagánylik	flagá¥lik	lakom/lakok	nonce word response	flagánylok	flagánylom	22	6	1.1895840668738364	-lik	2	NA	NA
flagárzik	flagárzik	lakom/lakok	nonce word response	flagárzok	flagárzom	12	14	-0.1431008436406733	-zik	2	NA	NA
flátlik / flátozik	flátlik / flátozik	cselekszenek/cselekednek	nonce word response	flátlotok	flátoztok	11	15	-0.2876820724517809	-lik	1	NA	tek
flátszik	flátßik	lakom/lakok	nonce word response	flátszok	flátszom	11	17	-0.40546510810816444	-szik	1	NA	NA
flehékszik	flehékßik	lakom/lakok	nonce word response	flehékszek	flehékszem	10	18	-0.5465437063680699	-szik	2	NA	NA
flehénylik	flehé¥lik	lakom/lakok	nonce word response	flehénylek	flehénylem	22	4	1.5260563034950492	-lik	2	NA	NA
flemlik / flemezik	flemlik / flemezik	cselekszenek/cselekednek	nonce word response	flemlünk	flemezünk	10	18	-0.5465437063680699	-lik	1	NA	ünk
flerékszik / flerékedik	flerékßik / flerékedik	cselekszenek/cselekednek	nonce word response	flerékszünk	flerékedünk	16	12	0.26826398659467937	-szik	2	NA	ünk
flérlik	flérlik	lakom/lakok	nonce word response	flérlek	flérlem	22	4	1.5260563034950492	-lik	1	NA	NA
flézlik / flézezik	flézlik / flézezik	cselekszenek/cselekednek	nonce word response	flézletek	flézeztek	11	17	-0.40546510810816444	-lik	1	NA	tek
flibekszik	flibekßik	lakom/lakok	nonce word response	flibekszek	flibekszem	11	17	-0.40546510810816444	-szik	2	NA	NA
fligzik	fligzik	lakom/lakok	nonce word response	fligzok	fligzom	10	18	-0.5465437063680699	-zik	1	NA	NA
fliraklik	fliraklik	lakom/lakok	nonce word response	fliraklok	fliraklom	13	13	0	-lik	2	NA	NA
flitlik	flitlik	lakom/lakok	nonce word response	flitlok	flitlom	24	4	1.6094379124341003	-lik	1	NA	NA
flivegzik / flivegezik	flivegzik / flivegezik	cselekszenek/cselekednek	nonce word response	flivegzenek	flivegeznek	11	15	-0.2876820724517809	-zik	2	NA	nek
flodlik / flodozik	flodlik / flodozik	cselekszenek/cselekednek	nonce word response	flodlotok	flodoztok	12	16	-0.2682639865946794	-lik	1	NA	tek
floglik	floglik	lakom/lakok	nonce word response	floglok	floglom	18	10	0.5465437063680699	-lik	1	NA	NA
flöklik / flöközik	flöklik / flöközik	cselekszenek/cselekednek	nonce word response	flöklötök	flököztök	12	14	-0.1431008436406733	-lik	1	NA	tek
flözlik	flözlik	lakom/lakok	nonce word response	flözlök	flözlöm	20	6	1.0986122886681098	-lik	1	NA	NA
fluboklik / flubokozik	fluboklik / flubokozik	cselekszenek/cselekednek	nonce word response	fluboklotok	flubokoztok	9	19	-0.6931471805599453	-lik	2	NA	tek
flugonylik / flugonyozik	flugo¥lik / flugo¥ozik	cselekszenek/cselekednek	nonce word response	flugonylanak	flugonyoznak	13	13	0	-lik	2	NA	nek
flűgzik / flűgözik	flűgzik / flűgözik	cselekszenek/cselekednek	nonce word response	flűgzünk	flűgözünk	16	12	0.26826398659467937	-zik	1	NA	ünk
flűmlik	flűmlik	lakom/lakok	nonce word response	flűmlök	flűmlöm	23	5	1.3862943611198906	-lik	1	NA	NA
flűröklik	flűröklik	lakom/lakok	nonce word response	flűröklök	flűröklöm	17	11	0.4054651081081644	-lik	2	NA	NA
flüröklik / flüröközik	flüröklik / flüröközik	cselekszenek/cselekednek	nonce word response	flüröklötök	flürököztök	15	13	0.13353139262452257	-lik	2	NA	tek
flüröslik	flüröslik	lakom/lakok	nonce word response	flüröslök	flüröslöm	19	9	0.6931471805599453	-lik	2	NA	NA
fojlegy	fojle©	hotelban/hotelben	nonce word response	fojlegynek	fojlegynak	27	1	-2.6390573296152584	NA	NA	e	nak
fökszik / föködik	fökßik / föködik	cselekszenek/cselekednek	nonce word response	fökszenek	föködnek	17	9	0.5877866649021191	-szik	1	NA	nek
forzéd	forzéd	hotelban/hotelben	nonce word response	forzédnek	forzédnak	15	13	-0.13353139262452257	NA	NA	é	nak
frágapszik	frágapßik	lakom/lakok	nonce word response	frágapszok	frágapszom	11	15	-0.2876820724517809	-szik	2	NA	NA
fraklik / frakozik	fraklik / frakozik	cselekszenek/cselekednek	nonce word response	fraklunk	frakozunk	14	12	0.14310084364067324	-lik	1	NA	ünk
frálapszik / frálapodik	frálapßik / frálapodik	cselekszenek/cselekednek	nonce word response	frálapszotok	frálapodtok	16	10	0.4353180712578455	-szik	2	NA	tek
frálaslik / frálasozik	frálaslik / frálasozik	cselekszenek/cselekednek	nonce word response	frálaslanak	frálasoznak	17	11	0.4054651081081644	-lik	2	NA	nek
frélegzik / frélegezik	frélegzik / frélegezik	cselekszenek/cselekednek	nonce word response	frélegzünk	frélegezünk	18	8	0.7472144018302211	-zik	2	NA	ünk
fréslik / frésezik	fréslik / frésezik	cselekszenek/cselekednek	nonce word response	fréslünk	frésezünk	18	10	0.5465437063680699	-lik	1	NA	ünk
fretszik	fretßik	lakom/lakok	nonce word response	fretszek	fretszem	13	13	0	-szik	1	NA	NA
friheglik / frihegezik	friheglik / frihegezik	cselekszenek/cselekednek	nonce word response	friheglünk	frihegezünk	13	13	0	-lik	2	NA	ünk
frilegszik	frilegßik	lakom/lakok	nonce word response	frilegszek	frilegszem	11	15	-0.2876820724517809	-szik	2	NA	NA
frinylik / frinyozik	fri¥lik / fri¥ozik	cselekszenek/cselekednek	nonce word response	frinylunk	frinyozunk	12	14	-0.1431008436406733	-lik	1	NA	ünk
frirzik / frirozik	frirzik / frirozik	cselekszenek/cselekednek	nonce word response	frirzunk	frirozunk	11	15	-0.2876820724517809	-zik	1	NA	ünk
friszlik	frißlik	lakom/lakok	nonce word response	friszlok	friszlom	15	13	0.13353139262452257	-lik	1	NA	NA
frivajlik	frivajlik	lakom/lakok	nonce word response	frivajlok	frivajlom	21	5	1.2992829841302609	-lik	2	NA	NA
frivamlik / frivamozik	frivamlik / frivamozik	cselekszenek/cselekednek	nonce word response	frivamlunk	frivamozunk	19	9	0.6931471805599453	-lik	2	NA	ünk
frodlik	frodlik	lakom/lakok	nonce word response	frodlok	frodlom	20	8	0.8472978603872037	-lik	1	NA	NA
fröjlik / fröjözik	fröjlik / fröjözik	cselekszenek/cselekednek	nonce word response	fröjlünk	fröjözünk	17	11	0.4054651081081644	-lik	1	NA	ünk
fröjzik / fröjözik	fröjzik / fröjözik	cselekszenek/cselekednek	nonce word response	fröjzötök	fröjöztök	7	21	-1.0116009116784799	-zik	1	NA	tek
frorlik / frorozik	frorlik / frorozik	cselekszenek/cselekednek	nonce word response	frorlanak	froroznak	16	10	0.4353180712578455	-lik	1	NA	nek
fupét	fupét	hotelban/hotelben	nonce word response	fupétnél	fupétnál	16	12	-0.26826398659467937	NA	NA	é	nál
gábéd	gábéd	hotelban/hotelben	nonce word response	gábédnél	gábédnál	6	20	1.0986122886681098	NA	NA	é	nál
galárzik / galározik	galárzik / galározik	cselekszenek/cselekednek	nonce word response	galárzanak	galároznak	10	16	-0.4353180712578455	-zik	2	NA	nek
garcép	garcép	hotelban/hotelben	nonce word response	garcépnél	garcépnál	14	14	-0	NA	NA	é	nál
gatáglik / gatágozik	gatáglik / gatágozik	cselekszenek/cselekednek	nonce word response	gatáglunk	gatágozunk	7	19	-0.916290731874155	-lik	2	NA	ünk
géreglik / géregezik	géreglik / géregezik	cselekszenek/cselekednek	nonce word response	géregletek	géregeztek	8	18	-0.7472144018302211	-lik	2	NA	tek
gerénylik	geré¥lik	lakom/lakok	nonce word response	gerénylek	gerénylem	23	3	1.791759469228055	-lik	2	NA	NA
gibemlik / gibemezik	gibemlik / gibemezik	cselekszenek/cselekednek	nonce word response	gibemlünk	gibemezünk	16	10	0.4353180712578455	-lik	2	NA	ünk
gicéj	gicéj	hotelban/hotelben	nonce word response	gicéjnél	gicéjnál	25	1	-2.5649493574615367	NA	NA	é	nál
gihamlik / gihamozik	gihamlik / gihamozik	cselekszenek/cselekednek	nonce word response	gihamlanak	gihamoznak	16	12	0.26826398659467937	-lik	2	NA	nek
gihejlik / gihejezik	gihejlik / gihejezik	cselekszenek/cselekednek	nonce word response	gihejlünk	gihejezünk	16	10	0.4353180712578455	-lik	2	NA	ünk
giheszt	giheßt	hotelban/hotelben	nonce word response	gihesztnek	gihesztnak	26	2	-2.1972245773362196	NA	NA	e	nak
gilárzik	gilárzik	lakom/lakok	nonce word response	gilárzok	gilárzom	8	20	-0.8472978603872037	-zik	2	NA	NA
gonszék	gonßék	hotelban/hotelben	nonce word response	gonszéknél	gonszéknál	17	9	-0.5877866649021191	NA	NA	é	nál
gótem	gótem	hotelban/hotelben	nonce word response	gótemnek	gótemnak	21	5	-1.2992829841302609	NA	NA	e	nak
gúden	gúden	hotelban/hotelben	nonce word response	gúdenben	gúdenban	26	2	-2.1972245773362196	NA	NA	e	ban
gyibakszik	©ibakßik	lakom/lakok	nonce word response	gyibakszok	gyibakszom	9	17	-0.587786664902119	-szik	2	NA	NA
gyibeslik	©ibeslik	lakom/lakok	nonce word response	gyibeslek	gyibeslem	18	8	0.7472144018302211	-lik	2	NA	NA
gyihegzik / gyihegezik	©ihegzik / ©ihegezik	cselekszenek/cselekednek	nonce word response	gyihegzetek	gyihegeztek	11	17	-0.40546510810816444	-zik	2	NA	tek
gyivádzik	©ivádzik	lakom/lakok	nonce word response	gyivádzok	gyivádzom	9	17	-0.587786664902119	-zik	2	NA	NA
gyivepszik / gyivepedik	©ivepßik / ©ivepedik	cselekszenek/cselekednek	nonce word response	gyivepszenek	gyivepednek	14	12	0.14310084364067324	-szik	2	NA	nek
hágyét	há©ét	hotelban/hotelben	nonce word response	hágyétnek	hágyétnak	13	13	-0	NA	NA	é	nak
hákszik / hákodik	hákßik / hákodik	cselekszenek/cselekednek	nonce word response	hákszanak	hákodnak	15	13	0.13353139262452257	-szik	1	NA	nek
herégszik	herégßik	lakom/lakok	nonce word response	herégszek	herégszem	9	17	-0.587786664902119	-szik	2	NA	NA
hijegy	hije©	hotelban/hotelben	nonce word response	hijegynél	hijegynál	23	3	-1.791759469228055	NA	NA	e	nál
hilarzik	hilarzik	lakom/lakok	nonce word response	hilarzok	hilarzom	14	12	0.14310084364067324	-zik	2	NA	NA
hiragzik / hiragozik	hiragzik / hiragozik	cselekszenek/cselekednek	nonce word response	hiragzanak	hiragoznak	15	11	0.28768207245178085	-zik	2	NA	nek
hivép	hivép	hotelban/hotelben	nonce word response	hivépben	hivépban	22	4	-1.5260563034950492	NA	NA	é	ban
hóbens	hóbens	hotelban/hotelben	nonce word response	hóbensben	hóbensban	22	4	-1.5260563034950492	NA	NA	e	ban
hosét	hosét	hotelban/hotelben	nonce word response	hosétnek	hosétnak	12	14	0.1431008436406733	NA	NA	é	nak
hubonylik / hubonyozik	hubo¥lik / hubo¥ozik	cselekszenek/cselekednek	nonce word response	hubonylotok	hubonyoztok	9	19	-0.6931471805599453	-lik	2	NA	tek
hűgzik	hűgzik	lakom/lakok	nonce word response	hűgzök	hűgzöm	13	13	0	-zik	1	NA	NA
huklik	huklik	lakom/lakok	nonce word response	huklok	huklom	13	13	0	-lik	1	NA	NA
humék	humék	hotelban/hotelben	nonce word response	huméknek	huméknak	13	13	-0	NA	NA	é	nak
hurjorzik	hurjorzik	lakom/lakok	nonce word response	hurjorzok	hurjorzom	14	12	0.14310084364067324	-zik	2	NA	NA
huroslik	huroslik	lakom/lakok	nonce word response	huroslok	huroslom	21	7	1.0116009116784799	-lik	2	NA	NA
ibáglik	ibáglik	lakom/lakok	nonce word response	ibáglok	ibáglom	17	9	0.5877866649021191	-lik	2	NA	NA
ibékszik	ibékßik	lakom/lakok	nonce word response	ibékszek	ibékszem	10	16	-0.4353180712578455	-szik	2	NA	NA
ikszert	ikßert	hotelban/hotelben	nonce word response	ikszertben	ikszertban	28	0	-3.367295829986474	NA	NA	e	ban
incéj	incéj	hotelban/hotelben	nonce word response	incéjnek	incéjnak	24	2	-2.120263536200091	NA	NA	é	nak
ítens	ítens	hotelban/hotelben	nonce word response	ítensben	ítensban	24	4	-1.6094379124341003	NA	NA	e	ban
jábéz	jábéz	hotelban/hotelben	nonce word response	jábézben	jábézban	12	16	0.2682639865946794	NA	NA	é	ban
jalrény	jalré¥	hotelban/hotelben	nonce word response	jalrénynél	jalrénynál	13	13	-0	NA	NA	é	nál
játlik / játozik	játlik / játozik	cselekszenek/cselekednek	nonce word response	játlunk	játozunk	18	10	0.5465437063680699	-lik	1	NA	ünk
jóbec	jóbec	hotelban/hotelben	nonce word response	jóbecnek	jóbecnak	21	7	-1.0116009116784799	NA	NA	e	nak
jonylik	jo¥lik	lakom/lakok	nonce word response	jonylok	jonylom	20	8	0.8472978603872037	-lik	1	NA	NA
jorzég	jorzég	hotelban/hotelben	nonce word response	jorzégnek	jorzégnak	17	9	-0.5877866649021191	NA	NA	é	nak
júder	júder	hotelban/hotelben	nonce word response	júdernek	júdernak	18	10	-0.5465437063680699	NA	NA	e	nak
jukél	jukél	hotelban/hotelben	nonce word response	jukélnél	jukélnál	15	11	-0.28768207245178085	NA	NA	é	nál
jurdent	jurdent	hotelban/hotelben	nonce word response	jurdentnél	jurdentnál	19	7	-0.9162907318741551	NA	NA	e	nál
jurlik / jurozik	jurlik / jurozik	cselekszenek/cselekednek	nonce word response	jurlunk	jurozunk	14	12	0.14310084364067324	-lik	1	NA	ünk
jüslik	jüslik	lakom/lakok	nonce word response	jüslök	jüslöm	20	6	1.0986122886681098	-lik	1	NA	NA
juszlik	jußlik	lakom/lakok	nonce word response	juszlok	juszlom	17	11	0.4054651081081644	-lik	1	NA	NA
jutély	juté¬	hotelban/hotelben	nonce word response	jutélynél	jutélynál	8	18	0.7472144018302211	NA	NA	é	nál
kábesz	kábeß	hotelban/hotelben	nonce word response	kábesznél	kábesznál	15	11	-0.28768207245178085	NA	NA	e	nál
kadér	kadér	hotelban/hotelben	nonce word response	kadérnél	kadérnál	8	18	0.7472144018302211	NA	NA	é	nál
kalhész	kalhéß	hotelban/hotelben	nonce word response	kalhésznek	kalhésznak	13	13	-0	NA	NA	é	nak
kalréz	kalréz	hotelban/hotelben	nonce word response	kalrézben	kalrézban	12	16	0.2682639865946794	NA	NA	é	ban
