word	category	variation	szo
balett	NA	hotelban/hotelben	balett
sparhert	NA	hotelban/hotelben	sparhert
obßcén	NA	hotelban/hotelben	obszcén
krokett	NA	hotelban/hotelben	krokett
sußter	NA	hotelban/hotelben	suszter
ájer	NA	hotelban/hotelben	ájer
rutén	NA	hotelban/hotelben	rutén
karcer	NA	hotelban/hotelben	karcer
fotel	NA	hotelban/hotelben	fotel
farmer	NA	hotelban/hotelben	farmer
stájer	NA	hotelban/hotelben	stájer
panel	NA	hotelban/hotelben	panel
flanel	NA	hotelban/hotelben	flanel
sumer	NA	hotelban/hotelben	sumer
sakter	NA	hotelban/hotelben	sakter
karter	NA	hotelban/hotelben	karter
smasßer	NA	hotelban/hotelben	smasszer
pançer	tilt_freq1	hotelban/hotelben	pancser
oßét	tilt_freq1	hotelban/hotelben	oszét
flaßter	tilt_freq1	hotelban/hotelben	flaszter
kóter	tilt_freq1	hotelban/hotelben	kóter
bakter	tilt_freq1	hotelban/hotelben	bakter
mutter	tilt_freq1	hotelban/hotelben	mutter
bohém	tilt_freq1	hotelban/hotelben	bohém
sameß	tilt_freq1	hotelban/hotelben	samesz
ßlovén	tilt_freq1	hotelban/hotelben	szlovén
arzén	tilt_freq1	hotelban/hotelben	arzén
malter	tilt_freq1	hotelban/hotelben	malter
maceß	tilt_freq1	hotelban/hotelben	macesz
patent	tilt_freq1	hotelban/hotelben	patent
klozet	tilt_freq1	hotelban/hotelben	klozet
muter	tilt_freq1	hotelban/hotelben	muter
krapek	tilt_freq1	hotelban/hotelben	krapek
ßolféΩ	tilt_freq1	hotelban/hotelben	szolfézs
balek	tilt_freq1	hotelban/hotelben	balek
honvéd	tilt_freq1	hotelban/hotelben	honvéd
fater	tilt_freq1	hotelban/hotelben	fater
kadét	tilt_freq1	hotelban/hotelben	kadét
ankét	tilt_freq1	hotelban/hotelben	ankét
norvég	tilt_freq1	hotelban/hotelben	norvég
affér	tilt_freq1	hotelban/hotelben	affér
haver	tilt_freq1	hotelban/hotelben	haver
maßek	tilt_freq1	hotelban/hotelben	maszek
trapéz	tilt_freq1	hotelban/hotelben	trapéz
matek	tilt_freq1	hotelban/hotelben	matek
konkrét	tilt_freq1	hotelban/hotelben	konkrét
koktél	tilt_freq1	hotelban/hotelben	koktél
poén	tilt_freq1	hotelban/hotelben	poén
ár¥ék	tilt_freq1	hotelban/hotelben	árnyék
fazék	tilt_freq1	hotelban/hotelben	fazék
tá¥ér	tilt_freq1	hotelban/hotelben	tányér
húsvét	tilt_freq1	hotelban/hotelben	húsvét
pótlék	tilt_freq1	hotelban/hotelben	pótlék
ßomßéd	tilt_freq1	hotelban/hotelben	szomszéd
kasté¬	tilt_freq1	hotelban/hotelben	kastély
játék	tilt_freq1	hotelban/hotelben	játék
esküßik	tilt_freq2	lakok/lakom	esküszik
törekßik	tilt_freq2	lakok/lakom	törekszik
emlékßik	tilt_freq2	lakok/lakom	emlékszik
öregßik	tilt_freq2	lakok/lakom	öregszik
vadáßik	tilt_freq2	lakok/lakom	vadászik
ßármazik	tilt_freq2	lakok/lakom	származik
i©ekßik	tilt_freq2	lakok/lakom	igyekszik
diçekßik	tilt_freq2	lakok/lakom	dicsekszik
ßűkölködik	tilt_freq2	lakok/lakom	szűkölködik
lakozik	tilt_freq2	lakok/lakom	lakozik
vá©ódik	tilt_freq2	lakok/lakom	vágyódik
©anakßik	tilt_freq2	lakok/lakom	gyanakszik
¥ugßik	tilt_freq2	lakok/lakom	nyugszik
haragßik	tilt_freq2	lakok/lakom	haragszik
elégßik	tilt_freq2	lakok/lakom	elégszik
rendelkezik	tilt_freq2	lakok/lakom	rendelkezik
ßomjazik	tilt_freq2	lakok/lakom	szomjazik
foháßkodik	tilt_freq2	lakok/lakom	fohászkodik
tanúskodik	tilt_freq2	lakok/lakom	tanúskodik
boçátkozik	tilt_freq2	lakok/lakom	bocsátkozik
imádkozik	tilt_freq2	lakok/lakom	imádkozik
vonzódik	tilt_freq2	lakok/lakom	vonzódik
çelekßik	tilt_freq2	lakok/lakom	cselekszik
bátorkodik	tilt_freq2	lakok/lakom	bátorkodik
ßorítkozik	tilt_freq2	lakok/lakom	szorítkozik
tartózkodik	tilt_freq2	lakok/lakom	tartózkodik
verekßik	tilt_freq2	lakok/lakom	verekszik
©ö¥örködik	tilt_freq2	lakok/lakom	gyönyörködik
növekßik	tilt_freq2	lakok/lakom	növekszik
ringatózik	tilt_freq2	lakok/lakom	ringatózik
dohá¥zik	tilt_freq2	lakok/lakom	dohányzik
oßtozik	tilt_freq2	lakok/lakom	osztozik
foglalkozik	tilt_freq2	lakok/lakom	foglalkozik
táplálkozik	tilt_freq2	lakok/lakom	táplálkozik
melegßik	tilt_freq2	lakok/lakom	melegszik
gondoskodik	tilt_freq2	lakok/lakom	gondoskodik
ragaßkodik	tilt_freq2	lakok/lakom	ragaszkodik
látßik	tilt_freq2	lakok/lakom	látszik
bízik	tilt_freq2	lakok/lakom	bízik
irtózik	tilt_freq2	lakok/lakom	irtózik
¥ilatkozik	tilt_freq2	lakok/lakom	nyilatkozik
tűnődik	tilt_freq2	lakok/lakom	tűnődik
çodálkozik	tilt_freq2	lakok/lakom	csodálkozik
létezik	tilt_freq2	lakok/lakom	létezik
munkálkodik	tilt_freq2	lakok/lakom	munkálkodik
©ötrődik	tilt_freq2	lakok/lakom	gyötrődik
fekßik	tilt_freq2	lakok/lakom	fekszik
zongorázik	tilt_freq2	lakok/lakom	zongorázik
idősödik	tilt_freq2	lakok/lakom	idősödik
gondolkodik	tilt_freq2	lakok/lakom	gondolkodik
étkezik	tilt_freq2	lakok/lakom	étkezik
rejtőzködik	tilt_freq2	lakok/lakom	rejtőzködik
betegßik	tilt_freq2	lakok/lakom	betegszik
kezeskedik	tilt_freq2	lakok/lakom	kezeskedik
lakik	tilt_freq2	lakok/lakom	lakik
öltözködik	tilt_freq2	lakok/lakom	öltözködik
veßekßik	tilt_freq2	lakok/lakom	veszekszik
alßik	tilt_freq2	lakok/lakom	alszik
vállalkozik	tilt_freq2	lakok/lakom	vállalkozik
foglalatoskodik	tilt_freq2	lakok/lakom	foglalatoskodik
áhítozik	tilt_freq2	lakok/lakom	áhítozik
vá©akozik	tilt_freq2	lakok/lakom	vágyakozik
dolgozik	tilt_freq2	lakok/lakom	dolgozik
búçúzik	tilt_freq2	lakok/lakom	búcsúzik
fázik	tilt_freq2	lakok/lakom	fázik
barátkozik	tilt_freq2	lakok/lakom	barátkozik
ha©atkozik	tilt_freq2	lakok/lakom	hagyatkozik
hősködik	tilt_freq2	lakok/lakom	hősködik
búçúzkodik	tilt_freq2	lakok/lakom	búcsúzkodik
kötődik	tilt_freq2	lakok/lakom	kötődik
unatkozik	tilt_freq2	lakok/lakom	unatkozik
ißo¥odik	tilt_freq2	lakok/lakom	iszonyodik
mutatkozik	tilt_freq2	lakok/lakom	mutatkozik
¥ugtalankodik	tilt_freq2	lakok/lakom	nyugtalankodik
támaßkodik	tilt_freq2	lakok/lakom	támaszkodik
töltekezik	tilt_freq2	lakok/lakom	töltekezik
őrködik	tilt_freq2	lakok/lakom	őrködik
alußik	tilt_freq2	lakok/lakom	aluszik
vá©ik	tilt_freq2	lakok/lakom	vágyik
jelentkezik	tilt_freq2	lakok/lakom	jelentkezik
panaßkodik	tilt_freq2	lakok/lakom	panaszkodik
találkozik	tilt_freq2	lakok/lakom	találkozik
borotválkozik	tilt_freq2	lakok/lakom	borotválkozik
Ωonglőrködik	tilt_freq2	lakok/lakom	zsonglőrködik
tetßik	tilt_freq2	lakok/lakom	tetszik
tiltakozik	tilt_freq2	lakok/lakom	tiltakozik
tájékozódik	tilt_freq2	lakok/lakom	tájékozódik
tevéke¥kedik	tilt_freq2	lakok/lakom	tevékenykedik
aggódik	tilt_freq2	lakok/lakom	aggódik
sajnálkozik	tilt_freq2	lakok/lakom	sajnálkozik
ßabadkozik	tilt_freq2	lakok/lakom	szabadkozik
kételkedik	tilt_freq2	lakok/lakom	kételkedik
álmodozik	tilt_freq2	lakok/lakom	álmodozik
vitatkozik	tilt_freq2	lakok/lakom	vitatkozik
próbálkozik	tilt_freq2	lakok/lakom	próbálkozik
gondolkozik	tilt_freq2	lakok/lakom	gondolkozik
érkezik	tilt_freq2	lakok/lakom	érkezik
undorodik	tilt_freq2	lakok/lakom	undorodik
ißik	tilt_freq2	lakok/lakom	iszik
ßé©enkezik	tilt_freq2	lakok/lakom	szégyenkezik
ßorgoskodik	tilt_freq2	lakok/lakom	szorgoskodik
kívánkozik	tilt_freq2	lakok/lakom	kívánkozik
átkozódik	tilt_freq2	lakok/lakom	átkozódik
játßadozik	tilt_freq2	lakok/lakom	játszadozik
tißtálkodik	tilt_freq2	lakok/lakom	tisztálkodik
fáradozik	tilt_freq2	lakok/lakom	fáradozik
jógázik	tilt_freq2	lakok/lakom	jógázik
vétkezik	tilt_freq2	lakok/lakom	vétkezik
fukarkodik	tilt_freq2	lakok/lakom	fukarkodik
húzódozik	tilt_freq2	lakok/lakom	húzódozik
álmélkodik	tilt_freq2	lakok/lakom	álmélkodik
zárkózik	tilt_freq2	lakok/lakom	zárkózik
hivatkozik	tilt_freq2	lakok/lakom	hivatkozik
ßándékozik	tilt_freq2	lakok/lakom	szándékozik
tapogatódzik	tilt_freq2	lakok/lakom	tapogatódzik
ßomorkodik	tilt_freq2	lakok/lakom	szomorkodik
korço¬ázik	tilt_freq2	lakok/lakom	korcsolyázik
ßomjúhozik	tilt_freq2	lakok/lakom	szomjúhozik
kopaßodik	tilt_freq2	lakok/lakom	kopaszodik
utálkozik	tilt_freq2	lakok/lakom	utálkozik
tipródik	tilt_freq2	lakok/lakom	tipródik
vonakodik	tilt_freq2	lakok/lakom	vonakodik
edződik	tilt_freq2	lakok/lakom	edződik
tréfálkozik	tilt_freq2	lakok/lakom	tréfálkozik
ódzkodik	tilt_freq2	lakok/lakom	ódzkodik
hálálkodik	tilt_freq2	lakok/lakom	hálálkodik
futballozik	tilt_freq2	lakok/lakom	futballozik
végződik	tilt_freq2	lakok/lakom	végződik
érintkezik	tilt_freq2	lakok/lakom	érintkezik
remé¥kedik	tilt_freq2	lakok/lakom	reménykedik
vigaßtalódik	tilt_freq2	lakok/lakom	vigasztalódik
álmodik	tilt_freq2	lakok/lakom	álmodik
¥újtózkodik	tilt_freq2	lakok/lakom	nyújtózkodik
művelődik	tilt_freq2	lakok/lakom	művelődik
diétázik	tilt_freq2	lakok/lakom	diétázik
gazdálkodik	tilt_freq2	lakok/lakom	gazdálkodik
lottózik	tilt_freq2	lakok/lakom	lottózik
játßik	tilt_freq2	lakok/lakom	játszik
lustálkodik	tilt_freq2	lakok/lakom	lustálkodik
bánkódik	tilt_freq2	lakok/lakom	bánkódik
következik	tilt_freq2	lakok/lakom	következik
ku†ázik	tilt_freq2	lakok/lakom	kutyázik
avatkozik	tilt_freq2	lakok/lakom	avatkozik
változik	tilt_freq2	lakok/lakom	változik
tamáskodik	tilt_freq2	lakok/lakom	tamáskodik
töltődik	tilt_freq2	lakok/lakom	töltődik
alkalmazkodik	tilt_freq2	lakok/lakom	alkalmazkodik
oßtozkodik	tilt_freq2	lakok/lakom	osztozkodik
aggodalmaskodik	tilt_freq2	lakok/lakom	aggodalmaskodik
törődik	tilt_freq2	lakok/lakom	törődik
kacérkodik	tilt_freq2	lakok/lakom	kacérkodik
magázódik	tilt_freq2	lakok/lakom	magázódik
tépelődik	tilt_freq2	lakok/lakom	tépelődik
turistáskodik	tilt_freq2	lakok/lakom	turistáskodik
takarékoskodik	tilt_freq2	lakok/lakom	takarékoskodik
utazik	tilt_freq2	lakok/lakom	utazik
költözik	tilt_freq2	lakok/lakom	költözik
bővelkedik	tilt_freq2	lakok/lakom	bővelkedik
rugaßkodik	tilt_freq2	lakok/lakom	rugaszkodik
hiá¥zik	tilt_freq2	lakok/lakom	hiányzik
hivalkodik	tilt_freq2	lakok/lakom	hivalkodik
gazdagodik	tilt_freq2	lakok/lakom	gazdagodik
çimpaßkodik	tilt_freq2	lakok/lakom	csimpaszkodik
viaskodik	tilt_freq2	lakok/lakom	viaskodik
ßánakozik	tilt_freq2	lakok/lakom	szánakozik
erőßakoskodik	tilt_freq2	lakok/lakom	erőszakoskodik
botránkozik	tilt_freq2	lakok/lakom	botránkozik
fogadkozik	tilt_freq2	lakok/lakom	fogadkozik
udvariaskodik	tilt_freq2	lakok/lakom	udvariaskodik
lázadozik	tilt_freq2	lakok/lakom	lázadozik
képzelődik	tilt_freq2	lakok/lakom	képzelődik
faggatózik	tilt_freq2	lakok/lakom	faggatózik
bábáskodik	tilt_freq2	lakok/lakom	bábáskodik
bűnhődik	tilt_freq2	lakok/lakom	bűnhődik
elmélkedik	tilt_freq2	lakok/lakom	elmélkedik
óvakodik	tilt_freq2	lakok/lakom	óvakodik
bizakodik	tilt_freq2	lakok/lakom	bizakodik
akaßkodik	tilt_freq2	lakok/lakom	akaszkodik
segédkezik	tilt_freq2	lakok/lakom	segédkezik
cigarettázik	tilt_freq2	lakok/lakom	cigarettázik
működik	tilt_freq2	lakok/lakom	működik
titkolózik	tilt_freq2	lakok/lakom	titkolózik
iparkodik	tilt_freq2	lakok/lakom	iparkodik
çókolózik	tilt_freq2	lakok/lakom	csókolózik
¥újtózik	tilt_freq2	lakok/lakom	nyújtózik
fuvolázik	tilt_freq2	lakok/lakom	fuvolázik
vaçorázik	tilt_freq2	lakok/lakom	vacsorázik
virágzik	tilt_freq2	lakok/lakom	virágzik
ítélkezik	tilt_freq2	lakok/lakom	ítélkezik
évődik	tilt_freq2	lakok/lakom	évődik
viΩgálódik	NA	lakok/lakom	vizsgálódik
tornázik	NA	lakok/lakom	tornázik
birkózik	NA	lakok/lakom	birkózik
erősködik	NA	lakok/lakom	erősködik
kiáltozik	NA	lakok/lakom	kiáltozik
ékeskedik	NA	lakok/lakom	ékeskedik
mesterkedik	NA	lakok/lakom	mesterkedik
tornáßik	NA	lakok/lakom	tornászik
ingadozik	NA	lakok/lakom	ingadozik
viΩgázik	NA	lakok/lakom	vizsgázik
çellózik	NA	lakok/lakom	csellózik
búslakodik	NA	lakok/lakom	búslakodik
hozakodik	NA	lakok/lakom	hozakodik
bosßankodik	NA	lakok/lakom	bosszankodik
há¥kolódik	NA	lakok/lakom	hánykolódik
hadakozik	NA	lakok/lakom	hadakozik
ábrándozik	NA	lakok/lakom	ábrándozik
tegeződik	NA	lakok/lakom	tegeződik
tanakodik	NA	lakok/lakom	tanakodik
té¥kedik	NA	lakok/lakom	ténykedik
tengődik	NA	lakok/lakom	tengődik
rágódik	NA	lakok/lakom	rágódik
Ωörtölődik	NA	lakok/lakom	zsörtölődik
seré¥kedik	NA	lakok/lakom	serénykedik
bizo¥talankodik	NA	lakok/lakom	bizonytalankodik
ütközik	NA	lakok/lakom	ütközik
kívánçiskodik	NA	lakok/lakom	kíváncsiskodik
ólálkodik	NA	lakok/lakom	ólálkodik
elhatárolódik	NA	lakok/lakom	elhatárolódik
sikoltozik	NA	lakok/lakom	sikoltozik
esedezik	NA	lakok/lakom	esedezik
veßődik	NA	lakok/lakom	vesződik
erőlködik	NA	lakok/lakom	erőlködik
kontárkodik	NA	lakok/lakom	kontárkodik
ßórakozik	NA	lakok/lakom	szórakozik
makaçkodik	NA	lakok/lakom	makacskodik
autózik	NA	lakok/lakom	autózik
felejtkezik	NA	lakok/lakom	felejtkezik
ölelkezik	NA	lakok/lakom	ölelkezik
kapaßkodik	NA	lakok/lakom	kapaszkodik
tüsténkedik	NA	lakok/lakom	tüsténkedik
lelombozódik	NA	lakok/lakom	lelombozódik
vakaródzik	NA	lakok/lakom	vakaródzik
kétkedik	NA	lakok/lakom	kétkedik
erősödik	NA	lakok/lakom	erősödik
kajakozik	NA	lakok/lakom	kajakozik
alázkodik	NA	lakok/lakom	alázkodik
bölçelkedik	NA	lakok/lakom	bölcselkedik
búvárkodik	NA	lakok/lakom	búvárkodik
fa©oskodik	NA	lakok/lakom	fagyoskodik
sí¥lődik	NA	lakok/lakom	sínylődik
©őződik	NA	lakok/lakom	győződik
úßik	NA	lakok/lakom	úszik
lelkesedik	NA	lakok/lakom	lelkesedik
moso¬odik	NA	lakok/lakom	mosolyodik
ßövetkezik	NA	lakok/lakom	szövetkezik
páßtázik	NA	lakok/lakom	pásztázik
büßkélkedik	NA	lakok/lakom	büszkélkedik
çatlakozik	NA	lakok/lakom	csatlakozik
kardoskodik	NA	lakok/lakom	kardoskodik
gonoßkodik	NA	lakok/lakom	gonoszkodik
viselkedik	NA	lakok/lakom	viselkedik
álmosodik	NA	lakok/lakom	álmosodik
pironkodik	NA	lakok/lakom	pironkodik
idegenkedik	NA	lakok/lakom	idegenkedik
sodródik	NA	lakok/lakom	sodródik
példálózik	NA	lakok/lakom	példálózik
alkudozik	NA	lakok/lakom	alkudozik
rázkódik	NA	lakok/lakom	rázkódik
költözködik	NA	lakok/lakom	költözködik
röplabdázik	NA	lakok/lakom	röplabdázik
ßegődik	NA	lakok/lakom	szegődik
öltözik	NA	lakok/lakom	öltözik
méltatlankodik	NA	lakok/lakom	méltatlankodik
ßeré¥kedik	NA	lakok/lakom	szerénykedik
rázódik	NA	lakok/lakom	rázódik
tobzódik	NA	lakok/lakom	tobzódik
terjeßkedik	NA	lakok/lakom	terjeszkedik
fiatalodik	NA	lakok/lakom	fiatalodik
iri©kedik	NA	lakok/lakom	irigykedik
ma©arázkodik	NA	lakok/lakom	magyarázkodik
elbizo¥talanodik	NA	lakok/lakom	elbizonytalanodik
ü©ködik	NA	lakok/lakom	ügyködik
méhéßkedik	NA	lakok/lakom	méhészkedik
settenkedik	NA	lakok/lakom	settenkedik
puhatolózik	NA	lakok/lakom	puhatolózik
fulladozik	NA	lakok/lakom	fulladozik
kapçolódik	NA	lakok/lakom	kapcsolódik
várakozik	NA	lakok/lakom	várakozik
kérdezősködik	NA	lakok/lakom	kérdezősködik
vendégeskedik	NA	lakok/lakom	vendégeskedik
ßínéßkedik	NA	lakok/lakom	színészkedik
rosßalkodik	NA	lakok/lakom	rosszalkodik
ßőrösödik	NA	lakok/lakom	szőrösödik
uralkodik	NA	lakok/lakom	uralkodik
lábadozik	NA	lakok/lakom	lábadozik
éjßakázik	NA	lakok/lakom	éjszakázik
fo¬tatódik	NA	lakok/lakom	folytatódik
őrlődik	NA	lakok/lakom	őrlődik
vitézkedik	NA	lakok/lakom	vitézkedik
izmosodik	NA	lakok/lakom	izmosodik
he¬ezkedik	NA	lakok/lakom	helyezkedik
fésülködik	NA	lakok/lakom	fésülködik
kaparáßik	NA	lakok/lakom	kaparászik
na©képűsködik	NA	lakok/lakom	nagyképűsködik
kötözködik	NA	lakok/lakom	kötözködik
zö†kölődik	NA	lakok/lakom	zötykölődik
formálódik	NA	lakok/lakom	formálódik
vagdalkozik	NA	lakok/lakom	vagdalkozik
kalózkodik	NA	lakok/lakom	kalózkodik
botladozik	NA	lakok/lakom	botladozik
vízilabdázik	NA	lakok/lakom	vízilabdázik
késlekedik	NA	lakok/lakom	késlekedik
specializálódik	NA	lakok/lakom	specializálódik
ugrándozik	NA	lakok/lakom	ugrándozik
©űlölködik	NA	lakok/lakom	gyűlölködik
zúgolódik	NA	lakok/lakom	zúgolódik
élcelődik	NA	lakok/lakom	élcelődik
¥álazik	NA	lakok/lakom	nyálazik
esik	NA	lakok/lakom	esik
roskadozik	NA	lakok/lakom	roskadozik
féßkelődik	NA	lakok/lakom	fészkelődik
rángatózik	NA	lakok/lakom	rángatózik
teázik	NA	lakok/lakom	teázik
különcködik	NA	lakok/lakom	különcködik
ßitkozódik	NA	lakok/lakom	szitkozódik
betegeskedik	NA	lakok/lakom	betegeskedik
vádaskodik	NA	lakok/lakom	vádaskodik
rejtőzik	NA	lakok/lakom	rejtőzik
házasodik	NA	lakok/lakom	házasodik
feledkezik	NA	lakok/lakom	feledkezik
bo¥olódik	NA	lakok/lakom	bonyolódik
berzenkedik	NA	lakok/lakom	berzenkedik
vörösödik	NA	lakok/lakom	vörösödik
érettségizik	NA	lakok/lakom	érettségizik
sértődik	NA	lakok/lakom	sértődik
vetődik	NA	lakok/lakom	vetődik
sóhajtozik	NA	lakok/lakom	sóhajtozik
magasodik	NA	lakok/lakom	magasodik
báméßkodik	NA	lakok/lakom	bámészkodik
mérgelődik	NA	lakok/lakom	mérgelődik
ösßehaverkodik	NA	lakok/lakom	összehaverkodik
rádiózik	NA	lakok/lakom	rádiózik
viccelődik	NA	lakok/lakom	viccelődik
sáfárkodik	NA	lakok/lakom	sáfárkodik
garázdálkodik	NA	lakok/lakom	garázdálkodik
siránkozik	NA	lakok/lakom	siránkozik
óvatoskodik	NA	lakok/lakom	óvatoskodik
bizo¥osodik	NA	lakok/lakom	bizonyosodik
zuha¥ozik	NA	lakok/lakom	zuhanyozik
dudoráßik	NA	lakok/lakom	dudorászik
bíbelődik	NA	lakok/lakom	bíbelődik
tápáßkodik	NA	lakok/lakom	tápászkodik
eßik	NA	lakok/lakom	eszik
távolodik	NA	lakok/lakom	távolodik
jeleskedik	NA	lakok/lakom	jeleskedik
kukacoskodik	NA	lakok/lakom	kukacoskodik
telítődik	NA	lakok/lakom	telítődik
kertéßkedik	NA	lakok/lakom	kertészkedik
lázasodik	NA	lakok/lakom	lázasodik
rimánkodik	NA	lakok/lakom	rimánkodik
randizik	NA	lakok/lakom	randizik
vergődik	NA	lakok/lakom	vergődik
hangolódik	NA	lakok/lakom	hangolódik
józanodik	NA	lakok/lakom	józanodik
visßakozik	NA	lakok/lakom	visszakozik
igazodik	NA	lakok/lakom	igazodik
citerázik	NA	lakok/lakom	citerázik
kosárlabdázik	NA	lakok/lakom	kosárlabdázik
ereßkedik	NA	lakok/lakom	ereszkedik
ßerelmeskedik	NA	lakok/lakom	szerelmeskedik
pipiskedik	NA	lakok/lakom	pipiskedik
okosodik	NA	lakok/lakom	okosodik
tétovázik	NA	lakok/lakom	tétovázik
orientálódik	NA	lakok/lakom	orientálódik
leskelődik	NA	lakok/lakom	leskelődik
élvezkedik	NA	lakok/lakom	élvezkedik
gömbö¬ödik	NA	lakok/lakom	gömbölyödik
reggelizik	NA	lakok/lakom	reggelizik
bajlódik	NA	lakok/lakom	bajlódik
hajladozik	NA	lakok/lakom	hajladozik
húzódik	NA	lakok/lakom	húzódik
kellemetlenkedik	NA	lakok/lakom	kellemetlenkedik
kuporodik	NA	lakok/lakom	kuporodik
paráználkodik	NA	lakok/lakom	paráználkodik
leledzik	NA	lakok/lakom	leledzik
ismerkedik	NA	lakok/lakom	ismerkedik
vitázik	NA	lakok/lakom	vitázik
vívódik	NA	lakok/lakom	vívódik
lábatlankodik	NA	lakok/lakom	lábatlankodik
epekedik	tilt_freq1	lakok/lakom	epekedik
¥űglődik	tilt_freq1	lakok/lakom	nyűglődik
falatozik	tilt_freq1	lakok/lakom	falatozik
alakoskodik	tilt_freq1	lakok/lakom	alakoskodik
vonatozik	tilt_freq1	lakok/lakom	vonatozik
bókláßik	tilt_freq1	lakok/lakom	bóklászik
tétlenkedik	tilt_freq1	lakok/lakom	tétlenkedik
pecázik	tilt_freq1	lakok/lakom	pecázik
adakozik	tilt_freq1	lakok/lakom	adakozik
áskálódik	tilt_freq1	lakok/lakom	áskálódik
túrázik	tilt_freq1	lakok/lakom	túrázik
sopánkodik	tilt_freq1	lakok/lakom	sopánkodik
ßedelőzködik	tilt_freq1	lakok/lakom	szedelőzködik
çigázik	tilt_freq1	lakok/lakom	csigázik
okoskodik	tilt_freq1	lakok/lakom	okoskodik
közlekedik	tilt_freq1	lakok/lakom	közlekedik
ßagláßik	tilt_freq1	lakok/lakom	szaglászik
kéßülődik	tilt_freq1	lakok/lakom	készülődik
mozgolódik	tilt_freq1	lakok/lakom	mozgolódik
építkezik	tilt_freq1	lakok/lakom	építkezik
ásítozik	tilt_freq1	lakok/lakom	ásítozik
árulkodik	tilt_freq1	lakok/lakom	árulkodik
akadékoskodik	tilt_freq1	lakok/lakom	akadékoskodik
ámuldozik	tilt_freq1	lakok/lakom	ámuldozik
marháskodik	tilt_freq1	lakok/lakom	marháskodik
telepßik	tilt_freq1	lakok/lakom	telepszik
meréßkedik	tilt_freq1	lakok/lakom	merészkedik
bogaráßik	tilt_freq1	lakok/lakom	bogarászik
ßemlélődik	tilt_freq1	lakok/lakom	szemlélődik
nézelődik	tilt_freq1	lakok/lakom	nézelődik
ßocializálódik	tilt_freq1	lakok/lakom	szocializálódik
kézilabdázik	tilt_freq1	lakok/lakom	kézilabdázik
aßalódik	tilt_freq1	lakok/lakom	aszalódik
védekezik	tilt_freq1	lakok/lakom	védekezik
leselkedik	tilt_freq1	lakok/lakom	leselkedik
kérődzik	tilt_freq1	lakok/lakom	kérődzik
döglődik	tilt_freq1	lakok/lakom	döglődik
