cc	gcm_weight	word	cvc	nsyl	ending1	suffix2	linking_vowel	suffix1	gcm_decile
lótísztalszik	0.0794740051581153		lótísztaluszik	3	uszik	szik	u	zik	3
bernyegszik	0.03575425016178939		bernyegedik	2	edik	szik	e	dik	3
lószagoglik	0.044547113980282146		lószagogolik	3	olik	lik	o	lik	3
mőgyerzik	0.07767792788491117		mőgyerezik	2	ezik	zik	e	zik	3
májszíbálszik	0.08632963806293545		májszíbáluszik	3	uszik	szik	u	zik	3
vúlorogszik	0.06867267236573786		vúlorogodik	3	odik	szik	o	dik	3
sűrölegszik	0.052860945856964436		sűrölegedik	3	edik	szik	e	dik	3
saldogzik	0.10303493243362352		saldogozik	2	ozik	zik	o	zik	3
dovagszik	0.051591978104948553		dovaguszik	2	uszik	szik	u	zik	3
frarkovonyzik	0.08577273299292311		frarkovonyozik	3	ozik	zik	o	zik	3
pukizonyzik	0.041270385892265914		pukizonyozik	3	ozik	zik	o	zik	3
latoszopszik	0.05410589439277109		latoszopodik	3	odik	szik	o	dik	3
lükszik	0.10777030620853471		lüküszik	1	üszik	szik	ü	zik	3
zűfegszik	0.058890452174922295		zűfegedik	2	edik	szik	e	dik	3
púkumpokszik	0.061513400298218335		púkumpokodik	3	odik	szik	o	dik	3
gungorzik	0.0899792557932716		gungorozik	2	ozik	zik	o	zik	3
vűktükszik	0.034216267907927374		vűktüküszik	2	üszik	szik	ü	zik	3
rólsísonzik	0.034318046365587156		rólsísonozik	3	ozik	zik	o	zik	3
mifrarsokszik	0.03219373012536162		mifrarsokodik	3	odik	szik	o	dik	3
fünyikegszik	0.030488335217251705		fünyikegedik	3	edik	szik	e	dik	3
porustropszik	0.058019905001748286		porustropodik	3	odik	szik	o	dik	3
vuktamokszik	0.06027815867697464		vuktamokodik	3	odik	szik	o	dik	3
meregörzik	0.07103647867977668		meregörözik	3	özik	zik	ö	zik	3
míldujojlik	0.061800201722238636		míldujojolik	3	olik	lik	o	lik	3
vúlrokokzik	0.03535437248990458		vúlrokokozik	3	ozik	zik	o	zik	3
tekszik	0.07729462941361148		tekedik	1	edik	szik	e	dik	3
pislonlik	0.1334203771581771		pislonulik	2	ulik	lik	u	lik	4
tűngömlik	0.13262285514925043		tűngömölik	2	ölik	lik	ö	lik	4
ságuloklik	0.12659958023559492		ságulokolik	3	olik	lik	o	lik	4
lupukobzik	0.1350566310153038		lupukobozik	3	ozik	zik	o	zik	4
farugobzik	0.1504373796477614		farugobozik	3	ozik	zik	o	zik	4
büjrenyegzik	0.15165095136360485		büjrenyegezik	3	ezik	zik	e	zik	4
sukalogzik	0.23440210781977242		sukalogozik	3	ozik	zik	o	zik	4
prokszik	0.17055713244065915		prokodik	1	odik	szik	o	dik	4
víszabokzik	0.15720517234838016		víszabokozik	3	ozik	zik	o	zik	4
gajlinoklik	0.1805673518415349		gajlinokolik	3	olik	lik	o	lik	4
sprúmagzik	0.20234231246566425		sprúmagazik	2	azik	zik	a	zik	4
múvogyogzik	0.23089647633171126		múvogyogozik	3	ozik	zik	o	zik	4
slúrtobzik	0.22319624793376858		slúrtobozik	2	ozik	zik	o	zik	4
juntroklik	0.1290616147024849		juntrokolik	2	olik	lik	o	lik	4
türgitönlik	0.12784497982077841		türgitönölik	3	ölik	lik	ö	lik	4
fűgyerzik	0.149852501153258		fűgyerezik	2	ezik	zik	e	zik	4
kozgosorzik	0.13362661466920253		kozgosorozik	3	ozik	zik	o	zik	4
fókoloklik	0.1870020157871184		fókolokolik	3	olik	lik	o	lik	4
mírologzik	0.14826831522690737		mírologozik	3	ozik	zik	o	zik	4
szőgröstegszik	0.13530061493552337		szőgröstegedik	3	edik	szik	e	dik	4
mútotrogzik	0.1457178631506876		mútotrogozik	3	ozik	zik	o	zik	4
dákastojlik	0.2332342217739151		dákastojolik	3	olik	lik	o	lik	4
lurkogzik	0.1806865755934464		lurkogozik	2	ozik	zik	o	zik	4
küsimfükszik	0.1463112826456231		küsimfüküszik	3	üszik	szik	ü	zik	4
tokszik	0.1612796026257717		tokodik	1	odik	szik	o	dik	4
búszoszagzik	0.18136750016006495		búszoszagazik	3	azik	zik	a	zik	4
márínopszik	0.1580564745348348		márínopodik	3	odik	szik	o	dik	4
fuvaporzik	0.13130236746320287		fuvaporozik	3	ozik	zik	o	zik	4
pikurmogszik	0.16703970593001613		pikurmogodik	3	odik	szik	o	dik	4
rekszik	0.12193736173522124		rekezik	1	ezik	szik	e	zik	4
móvítonyzik	0.1341246615650845		móvítonyozik	3	ozik	zik	o	zik	4
kukokoklik	0.1274988556705172		kukokokolik	3	olik	lik	o	lik	4
kagakoszlik	0.20796628839291711		kagakoszolik	3	olik	lik	o	lik	4
kógyuszoklik	0.22181322852182495		kógyuszokolik	3	olik	lik	o	lik	4
szószogzik	0.17777272057293672		szószogozik	2	ozik	zik	o	zik	4
jekszik	0.2030064323968188		jekedik	1	edik	szik	e	dik	4
vukogyokzik	0.11320408502929874		vukogyokozik	3	ozik	zik	o	zik	4
fáralonyzik	0.21615315524262238		fáralonyozik	3	ozik	zik	o	zik	4
szoltorzik	0.1987873496513885		szoltorozik	2	ozik	zik	o	zik	4
südürmegszik	0.15313624574973403		südürmegedik	3	edik	szik	e	dik	4
stelüfödlik	0.3947729835105777		stelüfödölik	3	ölik	lik	ö	lik	5
fúnadrogzik	0.35770013050728555		fúnadrogozik	3	ozik	zik	o	zik	5
vápurmonyzik	0.32231147285631745		vápurmonyozik	3	ozik	zik	o	zik	5
tíkilenylik	0.4123505631032285		tíkilenyelik	3	elik	lik	e	lik	5
vogzik	0.3358011921465959		vogozik	1	ozik	zik	o	zik	5
lójonlik	0.37163589237583294		lójonulik	2	ulik	lik	u	lik	5
múgoklik	0.342872693915783		múgokolik	2	olik	lik	o	lik	5
szovirogzik	0.396762839980187		szovirogozik	3	ozik	zik	o	zik	5
lípülenylik	0.2905341704186726		lípülenyelik	3	elik	lik	e	lik	5
dősökerzik	0.276932582876382		dősökerezik	3	ezik	zik	e	zik	5
mílejlik	0.25276288523235807		mílejelik	2	elik	lik	e	lik	5
mezeködlik	0.4253807536912004		mezeködölik	3	ölik	lik	ö	lik	5
jórmoplogzik	0.2858221190947241		jórmoplogozik	3	ozik	zik	o	zik	5
vőtürkegzik	0.3485971915366955		vőtürkegezik	3	ezik	zik	e	zik	5
gőberzik	0.3534262719733371		gőberezik	2	ezik	zik	e	zik	5
sagíkorlik	0.4130258657348425		sagíkorolik	3	olik	lik	o	lik	5
túvirdokzik	0.23759942825143163		túvirdokozik	3	ozik	zik	o	zik	5
kásonyojlik	0.24788263010628492		kásonyojolik	3	olik	lik	o	lik	5
raszkinorzik	0.4172897338345383		raszkinorozik	3	ozik	zik	o	zik	5
fóloglik	0.41653827678350586		fólogolik	2	olik	lik	o	lik	5
supabzoglik	0.2593849879592085		supabzogolik	3	olik	lik	o	lik	5
lupovorzik	0.2774451082223114		lupovorozik	3	ozik	zik	o	zik	5
fúgavojzik	0.41658598584501966		fúgavojozik	3	ozik	zik	o	zik	5
bazmogzik	0.2411811706523059		bazmogozik	2	ozik	zik	o	zik	5
vőtelködlik	0.3467691612614509		vőtelködölik	3	ölik	lik	ö	lik	5
sónomogzik	0.2704251380884114		sónomogozik	3	ozik	zik	o	zik	5
fígdomlik	0.2360923623159125		fígdomolik	2	olik	lik	o	lik	5
jípustorlik	0.3465293270658557		jípustorolik	3	olik	lik	o	lik	5
kúndagyogzik	0.43282637142407143		kúndagyogozik	3	ozik	zik	o	zik	5
lófakloglik	0.4188921343500252		lófaklogolik	3	olik	lik	o	lik	5
solalorlik	0.42158631711730166		solalorolik	3	olik	lik	o	lik	5
kaloskoglik	0.24137853641621534		kaloskogolik	3	olik	lik	o	lik	5
lonturvogzik	0.30681063724731267		lonturvogozik	3	ozik	zik	o	zik	5
puroltorlik	0.24342715044505656		puroltorolik	3	olik	lik	o	lik	5
bedrerzik	0.3365398960581642		bedrerezik	2	ezik	zik	e	zik	5
fagtonyzik	0.3333492897067547		fagtonyozik	2	ozik	zik	o	zik	5
fabibogzik	0.26482868715592106		fabibogozik	3	ozik	zik	o	zik	5
túgyoklik	0.24610179857701414		túgyokolik	2	olik	lik	o	lik	5
vobzik	0.42233515389562615		vobozik	1	ozik	zik	o	zik	5
monyzik	0.3686322876415217		monyozik	1	ozik	zik	o	zik	5
vesüljödlik	0.5015537069910967		vesüljödölik	3	ölik	lik	ö	lik	6
fúnyoklik	0.49246338236173715		fúnyokolik	2	olik	lik	o	lik	6
puriforzik	0.4956190338607074		puriforozik	3	ozik	zik	o	zik	6
szápofojzik	0.4821284500987761		szápofojozik	3	ozik	zik	o	zik	6
szörzik	0.47940859629861776		szörözik	1	özik	zik	ö	zik	6
főjegyördik	0.5237392640338736		főjegyörödik	3	ödik	dik	ö	dik	6
ranyogzik	0.5055415204137795		ranyogozik	2	ozik	zik	o	zik	6
sogzik	0.44712249611766414		sogozik	1	ozik	zik	o	zik	6
zogzik	0.4635638655428382		zogozik	1	ozik	zik	o	zik	6
tőgiveslik	0.46196025175380123		tőgiveselik	3	elik	lik	e	lik	6
fúngífonlik	0.45349671331596003		fúngífonulik	3	ulik	lik	u	lik	6
vonyzik	0.4774828815197029		vonyozik	1	ozik	zik	o	zik	6
logzik	0.44003025859802564		logozik	1	ozik	zik	o	zik	6
zsogzik	0.4374236736394214		zsogozik	1	ozik	zik	o	zik	6
rundomlik	0.528492061969079		rundomolik	2	olik	lik	o	lik	6
vózokoslik	0.5133578494511677		vózokosodik	3	odik	lik	o	dik	6
fanyuszotlik	0.5052657883739105		fanyuszotolik	3	olik	lik	o	lik	6
pumzsiloklik	0.5002932254165344		pumzsilokolik	3	olik	lik	o	lik	6
rilozorzik	0.5414138630320992		rilozorozik	3	ozik	zik	o	zik	6
telönkörlik	0.45415571515522823		telönkörülik	3	ülik	lik	ü	lik	6
kílífonlik	0.4768561926361323		kílífonulik	3	ulik	lik	u	lik	6
szőkünördik	0.5290173572948692		szőkünörödik	3	ödik	dik	ö	dik	6
nörzik	0.5617500476606918		nörözik	1	özik	zik	ö	zik	6
mászmopdugrik	0.5374659094023528		mászmopdugorik	3	orik	rik	o	rik	6
ralzorzik	0.5540369652352947		ralzorozik	2	ozik	zik	o	zik	6
gagrik	0.5451526081282255		gagorik	1	orik	rik	o	rik	6
vázsoklik	0.4983129809238369		vázsokolik	2	olik	lik	o	lik	6
fozalorzik	0.45093304171165577		fozalorozik	3	ozik	zik	o	zik	6
mústumloglik	0.47389264060388075		mústumlogolik	3	olik	lik	o	lik	6
fajtigorzik	0.5401428108790381		fajtigorozik	3	ozik	zik	o	zik	6
mébüszeslik	0.43465095322145936		mébüszeselik	3	elik	lik	e	lik	6
fírolmojlik	0.5610600799190447		fírolmojolik	3	olik	lik	o	lik	6
dilszik	0.4982623980336136		diluszik	1	uszik	szik	u	zik	6
lonyzik	0.4398883635304635		lonyozik	1	ozik	zik	o	zik	6
strétüszmöglik	0.5011337959947848		strétüszmögölik	3	ölik	lik	ö	lik	6
spreketezlik	0.44077792566457474		spreketezelik	3	elik	lik	e	lik	6
drojitojzik	0.5031639760217478		drojitojozik	3	ozik	zik	o	zik	6
panosztonzik	0.49428157267608497		panosztonozik	3	ozik	zik	o	zik	6
dósorlik	0.4634598552660804		dósorolik	2	olik	lik	o	lik	6
tratoklik	0.4607748800419355		tratokolik	2	olik	lik	o	lik	6
famorojlik	0.5724455708548338		famorojolik	3	olik	lik	o	lik	7
pronafobzik	0.56522696967227		pronafobozik	3	ozik	zik	o	zik	7
tőktüfömlik	0.6425541422413272		tőktüfömölik	3	ölik	lik	ö	lik	7
jabarogzik	0.5699612510405972		jabarogozik	3	ozik	zik	o	zik	7
tovumoklik	0.6286135790018116		tovumokolik	3	olik	lik	o	lik	7
gubumoglik	0.6893966822474416		gubumogolik	3	olik	lik	o	lik	7
sílölköglik	0.6511022391763047		sílölkögölik	3	ölik	lik	ö	lik	7
bűszedödlik	0.665152444495496		bűszedödölik	3	ölik	lik	ö	lik	7
vízurmonlik	0.6792162220879001		vízurmonulik	3	ulik	lik	u	lik	7
kászíjoslik	0.6367097518569144		kászíjosodik	3	odik	lik	o	dik	7
tonykorlik	0.6072351999857692		tonykorolik	2	olik	lik	o	lik	7
klorzik	0.6657306415304164		klorozik	1	ozik	zik	o	zik	7
pákujoklik	0.5890930275912928		pákujokolik	3	olik	lik	o	lik	7
szörlik	0.6174786256573854		szörülik	1	ülik	lik	ü	lik	7
pílszik	0.6814736967338709		píluszik	1	uszik	szik	u	zik	7
réfleleslik	0.6804000035363048		réfleleselik	3	elik	lik	e	lik	7
rürevörlik	0.6354027630246364		rürevörülik	3	ülik	lik	ü	lik	7
strífujlomlik	0.5695530922549411		strífujlomolik	3	olik	lik	o	lik	7
vűpömerzik	0.6603417720652074		vűpömerezik	3	ezik	zik	e	zik	7
vajtorzik	0.678988714955129		vajtorozik	2	ozik	zik	o	zik	7
múrsomzik	0.6630108817090474		múrsomozik	2	ozik	zik	o	zik	7
kújorzik	0.5728863792561572		kújorozik	2	ozik	zik	o	zik	7
pülüröglik	0.6507157135848084		pülürögölik	3	ölik	lik	ö	lik	7
szüköpödlik	0.6296836207546597		szüköpödölik	3	ölik	lik	ö	lik	7
bónasomlik	0.5726196773650906		bónasomolik	3	olik	lik	o	lik	7
prúrkogzik	0.6780895237848605		prúrkogozik	2	ozik	zik	o	zik	7
töföderlik	0.6193040339213202		töföderelik	3	elik	lik	e	lik	7
zéprördik	0.6708577423758091		zéprörödik	2	ödik	dik	ö	dik	7
rörzik	0.6866831797902095		rörözik	1	özik	zik	ö	zik	7
fópíjorzik	0.6967642970903619		fópíjorozik	3	ozik	zik	o	zik	7
ponyzik	0.5644555550692152		ponyozik	1	ozik	zik	o	zik	7
szatyojzik	0.6672223918247993		szatyojozik	2	ozik	zik	o	zik	7
szojlik	0.6209636663348724		szojolik	1	olik	lik	o	lik	7
sútafotlik	0.5701917128758988		sútafotolik	3	olik	lik	o	lik	7
szadibroszlik	0.6040669057704304		szadibroszolik	3	olik	lik	o	lik	7
pikobagzik	0.6651244393584609		pikobagazik	3	azik	zik	a	zik	7
förzik	0.5713467670330687		förözik	1	özik	zik	ö	zik	7
skoglik	0.6164178518562758		skogolik	1	olik	lik	o	lik	7
kápodoslik	0.6808280645582424		kápodosodik	3	odik	lik	o	dik	7
rarakoglik	0.5968269049277817		rarakogolik	3	olik	lik	o	lik	7
mezlik	0.7775700666493033		mezelik	1	elik	lik	e	lik	8
strogzik	0.7446771167966831		strogozik	1	ozik	zik	o	zik	8
klényömeslik	0.8253103867570629		klényömeselik	3	elik	lik	e	lik	8
márazoglik	0.7967636260334772		márazogolik	3	olik	lik	o	lik	8
nonzik	0.8050522566082626		nonozik	1	ozik	zik	o	zik	8
bórirgigrik	0.7519615124803847		bórirgigorik	3	orik	rik	o	rik	8
víngenylik	0.7592462251051818		víngenyelik	2	elik	lik	e	lik	8
mókulomlik	0.8153629342529441		mókulomolik	3	olik	lik	o	lik	8
kukamoslik	0.7778925991756416		kukamosodik	3	odik	lik	o	dik	8
polojlik	0.7472514761242155		polojolik	2	olik	lik	o	lik	8
senyönlik	0.7328672200053861		senyönölik	2	ölik	lik	ö	lik	8
femölerlik	0.7109501530064998		femölerelik	3	elik	lik	e	lik	8
tájulrugrik	0.7202754035097898		tájulrugorik	3	orik	rik	o	rik	8
títeslik	0.7804146383761347		títeselik	2	elik	lik	e	lik	8
sospomlik	0.8164064324587916		sospomolik	2	olik	lik	o	lik	8
múrafroszlik	0.7896851959207426		múrafroszolik	3	olik	lik	o	lik	8
tonzik	0.8005347749324218		tonozik	1	ozik	zik	o	zik	8
borzik	0.7658649997152155		borozik	1	ozik	zik	o	zik	8
letökenylik	0.7785355191033212		letökenyelik	3	elik	lik	e	lik	8
prídotlik	0.7421409588209283		prídotolik	2	olik	lik	o	lik	8
jítrokzik	0.7413542437564092		jítrokozik	2	ozik	zik	o	zik	8
rimzselejlik	0.8211163790888948		rimzselejelik	3	elik	lik	e	lik	8
tágomfonlik	0.7711480920262385		tágomfonulik	3	ulik	lik	u	lik	8
trorzik	0.7489970903997224		trorozik	1	ozik	zik	o	zik	8
fífimomlik	0.7652398546361645		fífimomolik	3	olik	lik	o	lik	8
ropszik	0.724172216714514		ropodik	1	odik	szik	o	dik	8
peklik	0.7420005660370287		pekelik	1	elik	lik	e	lik	8
teglik	0.7180302520301663		tegelik	1	elik	lik	e	lik	8
múdomogrik	0.7085605694093432		múdomogorik	3	orik	rik	o	rik	8
donzik	0.7648373926321631		donozik	1	ozik	zik	o	zik	8
vordonfogzik	0.7666053801496167		vordonfogozik	3	ozik	zik	o	zik	8
jeklik	0.7366014200091026		jekelik	1	elik	lik	e	lik	8
szomlik	0.7844940381729884		szomolik	1	olik	lik	o	lik	8
líjtokzik	0.7501323565838819		líjtokozik	2	ozik	zik	o	zik	8
szotlik	0.7265201506258774		szotolik	1	olik	lik	o	lik	8
pöskeslik	0.7246230524251327		pöskeselik	2	elik	lik	e	lik	8
mémöreslik	0.7294975948333601		mémöreselik	3	elik	lik	e	lik	8
szírütkezlik	0.7832993372192782		szírütkezelik	3	elik	lik	e	lik	8
förlik	0.791683875177927		förülik	1	ülik	lik	ü	lik	8
fízüföglik	0.7469918706043969		fízüfögölik	3	ölik	lik	ö	lik	8
nűköglik	0.9258307867739737		nűkögölik	2	ölik	lik	ö	lik	9
biríteslik	0.8847085189907546		biríteselik	3	elik	lik	e	lik	9
lígrik	0.9134257284224107		lígorik	1	orik	rik	o	rik	9
tászlolomlik	0.8433782152928705		tászlolomolik	3	olik	lik	o	lik	9
partumoszlik	0.8648475382197327		partumoszolik	3	olik	lik	o	lik	9
zeslik	0.9268675807487767		zeselik	1	elik	lik	e	lik	9
prorzik	0.9240764427162456		prorozik	1	ozik	zik	o	zik	9
bűkemöglik	0.9108950458013939		bűkemögölik	3	ölik	lik	ö	lik	9
jojzik	0.8762186038815983		jojozik	1	ozik	zik	o	zik	9
drokzik	0.866209046788141		drokozik	1	ozik	zik	o	zik	9
póntorzik	0.8539573403488543		póntorozik	2	ozik	zik	o	zik	9
bőmerlik	0.9249189144170443		bőmerelik	2	elik	lik	e	lik	9
takulotlik	0.8609410917086129		takulotolik	3	olik	lik	o	lik	9
sagrogomlik	0.8955313365442468		sagrogomolik	3	olik	lik	o	lik	9
tojzik	0.8734930090734225		tojozik	1	ozik	zik	o	zik	9
zoglik	0.8674847125042912		zogolik	1	olik	lik	o	lik	9
kógikoglik	0.865508285904151		kógikogolik	3	olik	lik	o	lik	9
kubuloszlik	0.8932790731262241		kubuloszolik	3	olik	lik	o	lik	9
stupomlik	0.9094273887173534		stupomolik	2	olik	lik	o	lik	9
prenylik	0.8717830434424707		prenyelik	1	elik	lik	e	lik	9
vospivomlik	0.8613417862074056		vospivomolik	3	olik	lik	o	lik	9
kamavomlik	0.8849779569252861		kamavomolik	3	olik	lik	o	lik	9
szoszilotlik	0.9237050628895518		szoszilotolik	3	olik	lik	o	lik	9
pokzik	0.9063983103777047		pokozik	1	ozik	zik	o	zik	9
foguromlik	0.920963169667979		foguromolik	3	olik	lik	o	lik	9
stomzik	0.9085358068753927		stomozik	1	ozik	zik	o	zik	9
nitöglik	0.9267438291587434		nitögölik	2	ölik	lik	ö	lik	9
pövíjteglik	0.9062068865289734		pövíjtegelik	3	elik	lik	e	lik	9
bezütörlik	0.9211534478354183		bezütörülik	3	ülik	lik	ü	lik	9
vönügeslik	0.8952982244874944		vönügeselik	3	elik	lik	e	lik	9
pojlik	0.8680785830916824		pojolik	1	olik	lik	o	lik	9
fiközlöklik	0.8824720352685309		fiközlökölik	3	ölik	lik	ö	lik	9
tutrívógrik	0.8714602580024363		tutrívógorik	3	orik	rik	o	rik	9
söldörmezlik	0.8785065092721374		söldörmezelik	3	elik	lik	e	lik	9
szúmoszlik	0.9121434370207856		szúmoszolik	2	olik	lik	o	lik	9
pótomoslik	0.8988522990046635		pótomosodik	3	odik	lik	o	dik	9
notatomlik	0.8396932107296815		notatomolik	3	olik	lik	o	lik	9
füdesömlik	0.8668610144767673		füdesömölik	3	ölik	lik	ö	lik	9
zsojlik	0.9039317564180342		zsojolik	1	olik	lik	o	lik	9
