"word";"lemma";"freq";"lemmafreq";"syllable_count";"analysis";"pos";"cv_skeleton"
"háttérnek";"háttér";"399";"74338";"3";"NOUN<CAS<DAT>>";"NOUN";"cvccvccvc"
"fazékban";"fazék";"395";"2918";"3";"NOUN<CAS<INE>>";"NOUN";"cvcvccvc"
"tantervbe";"tanterv";"391";"35553";"3";"NOUN<CAS<ILL>>";"NOUN";"cvccvcccv"
"fotelben";"fotel";"376";"4078";"3";"NOUN<CAS<INE>>";"NOUN";"cvcvccvc"
"fotelban";"fotel";"374";"4078";"3";"NOUN<CAS<INE>>";"NOUN";"cvcvccvc"
"jogrendbe";"jogrend";"372";"3645";"3";"NOUN<CAS<ILL>>";"NOUN";"cvccvcccv"
"napfénynek";"napfény";"358";"9109";"3";"NOUN<CAS<DAT>>";"NOUN";"cvccvccvc"
"tantervnek";"tanterv";"347";"35553";"3";"NOUN<CAS<DAT>>";"NOUN";"cvccvcccvc"
"módszerben";"módszer";"343";"160008";"3";"NOUN<CAS<INE>>";"NOUN";"cvccvccvc"
"tanrendben";"tanrend";"340";"2414";"3";"NOUN<CAS<INE>>";"NOUN";"cvccvcccvc"
"sorrendnek";"sorrend";"333";"34853";"3";"NOUN<CAS<DAT>>";"NOUN";"cvccvcccvc"
"hadrendbe";"hadrend";"332";"836";"3";"NOUN<CAS<ILL>>";"NOUN";"cvccvcccv"
"Józsefre";"József";"328";"112018";"3";"NOUN<CAS<SBL>>";"NOUN";"cvcvccv"
"szándékra";"szándék";"323";"79750";"3";"NOUN<CAS<SBL>>";"NOUN";"cvccvccv"
"szoftvernek";"szoftver";"320";"71251";"3";"NOUN<CAS<DAT>>";"NOUN";"cvcccvccvc"
"szomszédnak";"szomszéd";"315";"37057";"3";"NOUN<CAS<DAT>>";"NOUN";"cvccvccvc"
"modellbe";"modell";"301";"65382";"3";"NOUN<CAS<ILL>>";"NOUN";"cvcvcccv"
"fotelba";"fotel";"293";"4078";"3";"NOUN<CAS<ILL>>";"NOUN";"cvcvccv"
"lágerben";"láger";"283";"2278";"3";"NOUN<CAS<INE>>";"NOUN";"cvcvccvc"
"koncertnek";"koncert";"270";"32356";"3";"NOUN<CAS<DAT>>";"NOUN";"cvccvcccvc"
"táppénzben";"táppénz";"259";"7820";"3";"NOUN<CAS<INE>>";"NOUN";"cvccvcccvc"
"tányérba";"tányér";"259";"7677";"3";"NOUN<CAS<ILL>>";"NOUN";"cvcvccv"
"Róbertnek";"Róbert";"259";"13131";"3";"NOUN<CAS<DAT>>";"NOUN";"cvcvcccvc"
"jólétre";"jólét";"255";"10658";"3";"NOUN<CAS<SBL>>";"NOUN";"cvcvccv"
"jogrendben";"jogrend";"251";"3645";"3";"NOUN<CAS<INE>>";"NOUN";"cvccvcccvc"
"tanévnek";"tanév";"250";"39284";"3";"NOUN<CAS<DAT>>";"NOUN";"cvcvccvc"
"játéknál";"játék";"239";"130761";"3";"NOUN<CAS<ADE>>";"NOUN";"cvcvccvc"
"fotelbe";"fotel";"238";"4078";"3";"NOUN<CAS<ILL>>";"NOUN";"cvcvccv"
"kastélynak";"kastély";"224";"19527";"3";"NOUN<CAS<DAT>>";"NOUN";"cvccvccvc"
"modellnél";"modell";"221";"65382";"3";"NOUN<CAS<ADE>>";"NOUN";"cvcvcccvc"
"szaknyelvben";"szaknyelv";"216";"3479";"3";"NOUN<CAS<INE>>";"NOUN";"cvccvcccvc"
"szoftverben";"szoftver";"212";"71251";"3";"NOUN<CAS<INE>>";"NOUN";"cvcccvccvc"
"szószékre";"szószék";"209";"2392";"3";"NOUN<CAS<SBL>>";"NOUN";"cvcvccv"
"kódexnek";"kódex";"203";"8626";"3";"NOUN<CAS<DAT>>";"NOUN";"cvcvccvc"
"kardélre";"kardél";"201";"232";"3";"NOUN<CAS<SBL>>";"NOUN";"cvccvccv"
"panelban";"panel";"200";"6563";"3";"NOUN<CAS<INE>>";"NOUN";"cvcvccvc"
"tantervre";"tanterv";"182";"35553";"3";"NOUN<CAS<SBL>>";"NOUN";"cvccvcccv"
"móresre";"móres";"181";"217";"3";"NOUN<CAS<SBL>>";"NOUN";"cvcvccv"
"jólétnek";"jólét";"180";"10658";"3";"NOUN<CAS<DAT>>";"NOUN";"cvcvccvc"
"lágerbe";"láger";"177";"2278";"3";"NOUN<CAS<ILL>>";"NOUN";"cvcvccv"
"farmerben";"farmer";"175";"4325";"3";"NOUN<CAS<INE>>";"NOUN";"cvccvccvc"
"hotelbe";"hotel";"171";"12528";"3";"NOUN<CAS<ILL>>";"NOUN";"cvcvccv"
"panelben";"panel";"171";"6563";"3";"NOUN<CAS<INE>>";"NOUN";"cvcvccvc"
"hangszerre";"hangszer";"171";"12937";"3";"NOUN<CAS<SBL>>";"NOUN";"cvcccvccv"
"koleszban";"kolesz";"165";"683";"3";"NOUN<CAS<INE>>";"NOUN";"cvcvccvc"
"szándékban";"szándék";"162";"79750";"3";"NOUN<CAS<INE>>";"NOUN";"cvccvccvc"
"Walesben";"Wales";"162";"650";"3";"NOUN<CAS<INE>>";"NOUN";"cvcvccvc"
"harctérre";"harctér";"160";"972";"3";"NOUN<CAS<SBL>>";"NOUN";"cvcccvccv"
"Józsefnél";"József";"151";"112018";"3";"NOUN<CAS<ADE>>";"NOUN";"cvcvccvc"
"farmerban";"farmer";"150";"4325";"3";"NOUN<CAS<INE>>";"NOUN";"cvccvccvc"
"Konventnek";"konvent";"148";"4400";"3";"NOUN<CAS<DAT>>";"NOUN";"cvccvcccvc"
"jobblétre";"jobblét";"145";"238";"3";"NOUN<CAS<SBL>>";"NOUN";"cvcccvccv"
"dzsungelbe";"dzsungel";"144";"3128";"3";"NOUN<CAS<ILL>>";"NOUN";"ccvccvccv"
"holttestre";"holttest";"142";"6351";"3";"NOUN<CAS<SBL>>";"NOUN";"cvcccvcccv"
"Mózesre";"Mózes";"140";"10385";"3";"NOUN<CAS<SBL>>";"NOUN";"cvcvccv"
"skanzenben";"skanzen";"137";"1005";"3";"NOUN<CAS<INE>>";"NOUN";"ccvccvccvc"
"páncélban";"páncél";"136";"3125";"3";"NOUN<CAS<INE>>";"NOUN";"cvccvccvc"
"partnernél";"partner";"128";"114379";"3";"NOUN<CAS<ADE>>";"NOUN";"cvcccvccvc"
"páncélba";"páncél";"123";"3125";"3";"NOUN<CAS<ILL>>";"NOUN";"cvccvccv"
"starthelyre";"starthely";"122";"750";"3";"NOUN<CAS<SBL>>";"NOUN";"ccvcccvccv"
"hátszélben";"hátszél";"120";"732";"3";"NOUN<CAS<INE>>";"NOUN";"cvccvccvc"
"hangszernek";"hangszer";"120";"12937";"3";"NOUN<CAS<DAT>>";"NOUN";"cvcccvccvc"
"tanrendbe";"tanrend";"120";"2414";"3";"NOUN<CAS<ILL>>";"NOUN";"cvccvcccv"
"sorrendre";"sorrend";"117";"34853";"3";"NOUN<CAS<SBL>>";"NOUN";"cvccvcccv"
"projektnél";"projekt";"112";"71088";"3";"NOUN<CAS<ADE>>";"NOUN";"ccvcvcccvc"
"raktérben";"raktér";"111";"818";"3";"NOUN<CAS<INE>>";"NOUN";"cvccvccvc"
"hóhérnak";"hóhér";"110";"2330";"3";"NOUN<CAS<DAT>>";"NOUN";"cvcvccvc"
"kábelre";"kábel";"110";"10094";"3";"NOUN<CAS<SBL>>";"NOUN";"cvcvccv"
"motelben";"motel";"109";"1007";"3";"NOUN<CAS<INE>>";"NOUN";"cvcvccvc"
"hadrendben";"hadrend";"109";"836";"3";"NOUN<CAS<INE>>";"NOUN";"cvccvcccvc"
"panelra";"panel";"109";"6563";"3";"NOUN<CAS<SBL>>";"NOUN";"cvcvccv"
"szoftverbe";"szoftver";"109";"71251";"3";"NOUN<CAS<ILL>>";"NOUN";"cvcccvccv"
"tányérban";"tányér";"108";"7677";"3";"NOUN<CAS<INE>>";"NOUN";"cvcvccvc"
"kondérban";"kondér";"108";"590";"3";"NOUN<CAS<INE>>";"NOUN";"cvccvccvc"
"Zsámbékra";"Zsámbék";"107";"2437";"3";"NOUN<CAS<SBL>>";"NOUN";"ccvccvccv"
"lágerban";"láger";"106";"2278";"3";"NOUN<CAS<INE>>";"NOUN";"cvcvccvc"
"lágerba";"láger";"105";"2278";"3";"NOUN<CAS<ILL>>";"NOUN";"cvcvccv"
"kastélyra";"kastély";"104";"19527";"3";"NOUN<CAS<SBL>>";"NOUN";"cvccvccv"
"jogrendnek";"jogrend";"104";"3645";"3";"NOUN<CAS<DAT>>";"NOUN";"cvccvcccvc"
"hardverre";"hardver";"101";"7609";"3";"NOUN<CAS<SBL>>";"NOUN";"cvcccvccv"
"Bázelben";"Bázel";"97";"313";"3";"NOUN<CAS<INE>>";"NOUN";"cvcvccvc"
"hajlékban";"hajlék";"93";"3140";"3";"NOUN<CAS<INE>>";"NOUN";"cvccvccvc"
"pótléknak";"pótlék";"92";"16182";"3";"NOUN<CAS<DAT>>";"NOUN";"cvccvccvc"
"docensnek";"docens";"91";"5537";"3";"NOUN<CAS<DAT>>";"NOUN";"cvcvcccvc"
"Várhegyre";"várhegy";"86";"1919";"3";"NOUN<CAS<SBL>>";"NOUN";"cvccvccv"
"brókernek";"bróker";"86";"2695";"3";"NOUN<CAS<DAT>>";"NOUN";"ccvcvccvc"
"slágernek";"sláger";"85";"5629";"3";"NOUN<CAS<DAT>>";"NOUN";"ccvcvccvc"
"Honvédnak";"honvéd";"85";"7957";"3";"NOUN<CAS<DAT>>";"NOUN";"cvccvccvc"
"hangnemre";"hangnem";"84";"5591";"3";"NOUN<CAS<SBL>>";"NOUN";"cvcccvccv"
"szomszédnál";"szomszéd";"82";"37057";"3";"NOUN<CAS<ADE>>";"NOUN";"cvccvccvc"
"kódexbe";"kódex";"82";"8626";"3";"NOUN<CAS<ILL>>";"NOUN";"cvcvccv"
"Honvédban";"honvéd";"80";"7957";"3";"NOUN<CAS<INE>>";"NOUN";"cvccvccvc"
"szaknyelvbe";"szaknyelv";"80";"3479";"3";"NOUN<CAS<ILL>>";"NOUN";"cvccvcccv"
"Várkertben";"várkert";"80";"386";"3";"NOUN<CAS<INE>>";"NOUN";"cvccvcccvc"
"parkettre";"parkett";"79";"620";"3";"NOUN<CAS<SBL>>";"NOUN";"cvccvcccv"
"Baselben";"Basel";"78";"254";"3";"NOUN<CAS<INE>>";"NOUN";"cvcvccvc"
"tárhelyre";"tárhely";"77";"7602";"3";"NOUN<CAS<SBL>>";"NOUN";"cvccvccv"
"pocsékba";"pocsék";"77";"1749";"3";"NOUN<CAS<ILL>>";"NOUN";"cvcvccv"
"partnernak";"partner";"76";"114379";"3";"NOUN<CAS<DAT>>";"NOUN";"cvcccvccvc"
"kastélynál";"kastély";"74";"19527";"3";"NOUN<CAS<ADE>>";"NOUN";"cvccvccvc"
"lakrészben";"lakrész";"74";"1257";"3";"NOUN<CAS<INE>>";"NOUN";"cvccvccvc"
"számjegyre";"számjegy";"74";"4834";"3";"NOUN<CAS<SBL>>";"NOUN";"cvccvccv"
"szomszédra";"szomszéd";"74";"37057";"3";"NOUN<CAS<SBL>>";"NOUN";"cvccvccv"
"panelba";"panel";"71";"6563";"3";"NOUN<CAS<ILL>>";"NOUN";"cvcvccv"
"gyógyszernél";"gyógyszer";"71";"46108";"3";"NOUN<CAS<ADE>>";"NOUN";"cvccvccvc"
"Hamletnek";"Hamlet";"71";"2066";"3";"NOUN<CAS<DAT>>";"NOUN";"cvccvccvc"
"Kornélnak";"Kornél";"71";"3557";"3";"NOUN<CAS<DAT>>";"NOUN";"cvccvccvc"
"honvédnek";"honvéd";"70";"7957";"3";"NOUN<CAS<DAT>>";"NOUN";"cvccvccvc"
"komplexnek";"komplex";"68";"30424";"3";"ADJ<CAS<DAT>>";"ADJ";"cvcccvccvc"
"hotelba";"hotel";"67";"12528";"3";"NOUN<CAS<ILL>>";"NOUN";"cvcvccv"
"nonszensznek";"nonszensz";"66";"947";"3";"NOUN<CAS<DAT>>";"NOUN";"cvccvcccvc"
"panelbe";"panel";"66";"6563";"3";"NOUN<CAS<ILL>>";"NOUN";"cvcvccv"
"szonettben";"szonett";"65";"1316";"3";"NOUN<CAS<INE>>";"NOUN";"cvcvcccvc"
"kódexre";"kódex";"65";"8626";"3";"NOUN<CAS<SBL>>";"NOUN";"cvcvccv"
"baleknak";"balek";"64";"1017";"3";"NOUN<CAS<DAT>>";"NOUN";"cvcvccvc"
"bankjegyre";"bankjegy";"64";"3282";"3";"NOUN<CAS<SBL>>";"NOUN";"cvcccvccv"
"koleszba";"kolesz";"64";"683";"3";"NOUN<CAS<ILL>>";"NOUN";"cvcvccv"
"raktérbe";"raktér";"63";"818";"3";"NOUN<CAS<ILL>>";"NOUN";"cvccvccv"
"kráterben";"kráter";"62";"2416";"3";"NOUN<CAS<INE>>";"NOUN";"ccvcvccvc"
"Luthernek";"Luther";"62";"4745";"3";"NOUN<CAS<DAT>>";"NOUN";"cvccvccvc"
"lakbérre";"lakbér";"61";"2911";"3";"NOUN<CAS<SBL>>";"NOUN";"cvccvccv"
"panelre";"panel";"61";"6563";"3";"NOUN<CAS<SBL>>";"NOUN";"cvcvccv"
"Skanzenbe";"skanzen";"61";"1005";"3";"NOUN<CAS<ILL>>";"NOUN";"ccvccvccv"
"bordélyban";"bordély";"60";"723";"3";"NOUN<CAS<INE>>";"NOUN";"cvccvccvc"
"gyógyszerben";"gyógyszer";"60";"46108";"3";"NOUN<CAS<INE>>";"NOUN";"cvccvccvc"
"tápszerre";"tápszer";"60";"2193";"3";"NOUN<CAS<SBL>>";"NOUN";"cvccvccv"
"kondérba";"kondér";"60";"590";"3";"NOUN<CAS<ILL>>";"NOUN";"cvccvccv"
"tájékra";"tájék";"60";"3259";"3";"NOUN<CAS<SBL>>";"NOUN";"cvcvccv"
"jókedvben";"jókedv";"58";"5987";"3";"NOUN<CAS<INE>>";"NOUN";"cvcvcccvc"
"Norbertnek";"Norbert";"58";"2671";"3";"NOUN<CAS<DAT>>";"NOUN";"cvccvcccvc"
"húsvétnak";"húsvét";"58";"9116";"3";"NOUN<CAS<DAT>>";"NOUN";"cvccvccvc"
"tollhegyre";"tollhegy";"57";"164";"3";"NOUN<CAS<SBL>>";"NOUN";"cvcccvccv"
"karéjban";"karéj";"57";"703";"3";"NOUN<CAS<INE>>";"NOUN";"cvcvccvc"
"hotelnek";"hotel";"57";"12528";"3";"NOUN<CAS<DAT>>";"NOUN";"cvcvccvc"
"bankettre";"bankett";"56";"821";"3";"NOUN<CAS<SBL>>";"NOUN";"cvccvcccv"
"Hamletben";"Hamlet";"56";"2066";"3";"NOUN<CAS<INE>>";"NOUN";"cvccvccvc"
"motelbe";"motel";"56";"1007";"3";"NOUN<CAS<ILL>>";"NOUN";"cvcvccv"
"hadtestnek";"hadtest";"56";"1814";"3";"NOUN<CAS<DAT>>";"NOUN";"cvccvcccvc"
"marékra";"marék";"55";"1464";"3";"NOUN<CAS<SBL>>";"NOUN";"cvcvccv"
"napfénynél";"napfény";"55";"9109";"3";"NOUN<CAS<ADE>>";"NOUN";"cvccvccvc"
"szándéknál";"szándék";"54";"79750";"3";"NOUN<CAS<ADE>>";"NOUN";"cvccvccvc"
"bunkerben";"bunker";"54";"898";"3";"NOUN<CAS<INE>>";"NOUN";"cvccvccvc"
"partnerben";"partner";"53";"114379";"3";"NOUN<CAS<INE>>";"NOUN";"cvcccvccvc"
"lakhelyre";"lakhely";"53";"7007";"3";"NOUN<CAS<SBL>>";"NOUN";"cvccvccv"
"Dzsungelban";"dzsungel";"51";"3128";"3";"NOUN<CAS<INE>>";"NOUN";"ccvccvccvc"
"faternak";"fater";"51";"1086";"3";"NOUN<CAS<DAT>>";"NOUN";"cvcvccvc"
"groteszkbe";"groteszk";"51";"3649";"3";"NOUN<CAS<ILL>>";"NOUN";"ccvcvcccv"
"napfénybe";"napfény";"50";"9109";"3";"NOUN<CAS<ILL>>";"NOUN";"cvccvccv"
"kráterbe";"kráter";"50";"2416";"3";"NOUN<CAS<ILL>>";"NOUN";"ccvcvccv"
"háremben";"hárem";"49";"716";"3";"NOUN<CAS<INE>>";"NOUN";"cvcvccvc"
"havernak";"haver";"48";"9709";"3";"NOUN<CAS<DAT>>";"NOUN";"cvcvccvc"
"pucérra";"pucér";"48";"859";"3";"ADJ<CAS<SBL>>";"ADJ";"cvcvccv"
"balettben";"balett";"47";"3098";"3";"NOUN<CAS<INE>>";"NOUN";"cvcvcccvc"
"konkrétnak";"konkrét";"47";"79690";"3";"ADJ<CAS<DAT>>";"ADJ";"cvcccvccvc"
"lángésznek";"lángész";"47";"396";"3";"NOUN<CAS<DAT>>";"NOUN";"cvccvccvc"
"hardverben";"hardver";"47";"7609";"3";"NOUN<CAS<INE>>";"NOUN";"cvcccvccvc"
"bárszékre";"bárszék";"46";"166";"3";"NOUN<CAS<SBL>>";"NOUN";"cvccvccv"
"Bábelben";"Bábel";"46";"831";"3";"NOUN<CAS<INE>>";"NOUN";"cvcvccvc"
"bunkerban";"bunker";"46";"898";"3";"NOUN<CAS<INE>>";"NOUN";"cvccvccvc"
"kórképben";"kórkép";"46";"2075";"3";"NOUN<CAS<INE>>";"NOUN";"cvccvccvc"
"lakbérnek";"lakbér";"46";"2911";"3";"NOUN<CAS<DAT>>";"NOUN";"cvccvccvc"
"lábfejre";"lábfej";"46";"2671";"3";"NOUN<CAS<SBL>>";"NOUN";"cvccvccv"
"Luzernben";"Luzern";"46";"89";"3";"NOUN<CAS<INE>>";"NOUN";"cvcvcccvc"
"hotelre";"hotel";"45";"12528";"3";"NOUN<CAS<SBL>>";"NOUN";"cvcvccv"
"hardvernek";"hardver";"45";"7609";"3";"NOUN<CAS<DAT>>";"NOUN";"cvcccvccvc"
"kábelnek";"kábel";"45";"10094";"3";"NOUN<CAS<DAT>>";"NOUN";"cvcvccvc"
"lakhelynek";"lakhely";"44";"7007";"3";"NOUN<CAS<DAT>>";"NOUN";"cvccvccvc"
"szoftvernél";"szoftver";"44";"71251";"3";"NOUN<CAS<ADE>>";"NOUN";"cvcccvccvc"
"hajlékba";"hajlék";"44";"3140";"3";"NOUN<CAS<ILL>>";"NOUN";"cvccvccv"
"Józsefben";"József";"44";"112018";"3";"NOUN<CAS<INE>>";"NOUN";"cvcvccvc"
"jókedvnek";"jókedv";"44";"5987";"3";"NOUN<CAS<DAT>>";"NOUN";"cvcvcccvc"
"bunkerbe";"bunker";"43";"898";"3";"NOUN<CAS<ILL>>";"NOUN";"cvccvccv"
"Malévnál";"Malév";"43";"2627";"3";"NOUN<CAS<ADE>>";"NOUN";"cvcvccvc"
"balettnek";"balett";"42";"3098";"3";"NOUN<CAS<DAT>>";"NOUN";"cvcvcccvc"
"motelban";"motel";"42";"1007";"3";"NOUN<CAS<INE>>";"NOUN";"cvcvccvc"
"modemre";"modem";"42";"4475";"3";"NOUN<CAS<SBL>>";"NOUN";"cvcvccv"
"holttestnek";"holttest";"42";"6351";"3";"NOUN<CAS<DAT>>";"NOUN";"cvcccvcccvc"
"Zsanettnek";"Zsanett";"42";"808";"3";"NOUN<CAS<DAT>>";"NOUN";"ccvcvcccvc"
"borbélynál";"borbély";"41";"3280";"3";"NOUN<CAS<ADE>>";"NOUN";"cvccvccvc"
"jogrendre";"jogrend";"41";"3645";"3";"NOUN<CAS<SBL>>";"NOUN";"cvccvcccv"
"konszernnek";"konszern";"41";"1326";"3";"NOUN<CAS<DAT>>";"NOUN";"cvccvcccvc"
"Bázelban";"Bázel";"41";"313";"3";"NOUN<CAS<INE>>";"NOUN";"cvcvccvc"
"karszékben";"karszék";"41";"204";"3";"NOUN<CAS<INE>>";"NOUN";"cvccvccvc"
"hangszernél";"hangszer";"40";"12937";"3";"NOUN<CAS<ADE>>";"NOUN";"cvcccvccvc"
"Mózesnél";"Mózes";"40";"10385";"3";"NOUN<CAS<ADE>>";"NOUN";"cvcvccvc"
"groteszknek";"groteszk";"39";"3649";"3";"NOUN<CAS<DAT>>";"NOUN";"ccvcvcccvc"
"kvartettben";"kvartett";"39";"827";"3";"NOUN<CAS<INE>>";"NOUN";"ccvccvcccvc"
"kábelben";"kábel";"39";"10094";"3";"NOUN<CAS<INE>>";"NOUN";"cvcvccvc"
"bordélyba";"bordély";"38";"723";"3";"NOUN<CAS<ILL>>";"NOUN";"cvccvccv"
"láncszemnek";"láncszem";"38";"2553";"3";"NOUN<CAS<DAT>>";"NOUN";"cvccvccvc"
"moslékba";"moslék";"38";"937";"3";"NOUN<CAS<ILL>>";"NOUN";"cvccvccv"
"hajlékra";"hajlék";"38";"3140";"3";"NOUN<CAS<SBL>>";"NOUN";"cvccvccv"
"násznépnek";"násznép";"38";"716";"3";"NOUN<CAS<DAT>>";"NOUN";"cvccvccvc"
"partnerra";"partner";"38";"114379";"3";"NOUN<CAS<SBL>>";"NOUN";"cvcccvccv"
"kórképre";"kórkép";"37";"2075";"3";"NOUN<CAS<SBL>>";"NOUN";"cvccvccv"
"kórképnek";"kórkép";"37";"2075";"3";"NOUN<CAS<DAT>>";"NOUN";"cvccvccvc"
"Nagycenkre";"Nagycenk";"37";"412";"3";"NOUN<CAS<SBL>>";"NOUN";"cvccvcccv"
"rostélyra";"rostély";"37";"384";"3";"NOUN<CAS<SBL>>";"NOUN";"cvccvccv"
"holdfénynél";"holdfény";"36";"1150";"3";"NOUN<CAS<ADE>>";"NOUN";"cvcccvccvc"
