a_form	a_freq	lemma	lemma_freq	corpus_size	xpostag	e_form	e_freq	a_e_odds	a_e_log_odds
szomszédra	1383	szomszéd	463192	8570080167	[/N][Subl]	szomszédre	1	692	6.539585955617669
húsvétnak	1284	húsvét	195283	8570080167	[/N][Dat]	húsvétnek	5	214.16666666666666	5.366754528101265
acélnál	1041	acél	172196	8570080167	[/N][Ade]	acélnél	2	347.3333333333333	5.850284933645202
pótléknak	1036	pótlék	138201	8570080167	[/N][Dat]	pótléknek	3	259.25	5.557792847109637
panelra	994	panel	223571	8570080167	[/N][Subl]	panelre	2955	0.3366035182679296	-1.0888495449094997
árnyéknak	946	árnyék	251729	8570080167	[/N][Dat]	árnyéknek	3	236.75	5.467004732066187
acélnak	903	acél	172196	8570080167	[/N][Dat]	acélnek	3	226	5.420534999272286
baleknak	860	balek	13062	8570080167	[/N][Dat]	baleknek	143	5.979166666666667	1.7882812048517303
havernál	844	haver	165801	8570080167	[/N][Ade]	havernél	26	31.296296296296298	3.443499761352845
hóhérnak	820	hóhér	21404	8570080167	[/N][Dat]	hóhérnek	3	205.25	5.324228748332538
koktélra	812	koktél	70915	8570080167	[/N][Subl]	koktélre	3	203.25	5.31443674842792
bluesban	797	blues	77971	8570080167	[/N][Ine]	bluesben	2	266	5.583496308781699
honvédba	789	honvéd	186978	8570080167	[/N][Ill]	honvédbe	37	20.789473684210527	3.0344467857346813
matekra	755	matek	47606	8570080167	[/N][Subl]	matekre	18	39.78947368421053	3.6836023970130927
faternak	718	fater	15751	8570080167	[/N][Dat]	faternek	80	8.876543209876543	2.183412203048608
matekban	672	matek	47606	8570080167	[/N][Ine]	matekben	18	35.421052631578945	3.567306350478287
konkrétnak	654	konkrét	915418	8570080167	[/Adj][Dat]	konkrétnek	13	46.785714285714285	3.8455779060199933
koktélnak	651	koktél	70915	8570080167	[/N][Dat]	koktélnek	7	81.5	4.400603020246817
koktélban	565	koktél	70915	8570080167	[/N][Ine]	NA	0	566	6.338594078203183
balettra	564	balett	87544	8570080167	[/N][Subl]	balettre	638	0.8841940532081377	-0.12307872323109387
karéjban	563	karéj	6812	8570080167	[/N][Ine]	karéjben	1	282	5.641907070938114
skanzenban	563	skanzen	26458	8570080167	[/N][Ine]	skanzenben	6571	0.08581862446743761	-2.4555192276591
skanzenban	563	skanzen	26458	8570080167	[/N][Ine]	skanzen	1	282	5.641907070938114
manézsban	528	manézs	1722	8570080167	[/N][Ine]	manézsben	5	88.16666666666667	4.479228962630245
bunkerban	497	bunker	25691	8570080167	[/N][Ine]	bunkerben	2292	0.2171827300479721	-1.5270162058332515
maszekban	493	maszek	9770	8570080167	[/N][Ine]	maszekben	23	20.583333333333332	3.0244816868399766
borbélynál	429	borbély	59299	8570080167	[/N][Ade]	borbélynél	1	215	5.3706380281276624
szolfézsra	416	szolfézs	7287	8570080167	[/N][Subl]	szolfézsre	72	5.712328767123288	1.7426267806504103
koktélba	397	koktél	70915	8570080167	[/N][Ill]	koktélbe	3	99.5	4.600157644164547
bluesnak	386	blues	77971	8570080167	[/N][Dat]	bluesnek	4	77.4	4.3489867805956814
páncélra	377	páncél	48853	8570080167	[/N][Subl]	páncélre	1	189	5.241747015059643
trapézra	374	trapéz	13414	8570080167	[/N][Subl]	trapézre	13	26.785714285714285	3.287868696355152
motelban	367	motel	13960	8570080167	[/N][Ine]	motelben	1420	0.258972554539057	-1.3510331899281698
farmerba	363	farmer	82647	8570080167	[/N][Ill]	farmerbe	344	1.055072463768116	0.05360945060538088
bunkerba	336	bunker	25691	8570080167	[/N][Ill]	bunkerbe	978	0.3442288049029622	-1.0664487121781487
húsvétban	321	húsvét	195283	8570080167	[/N][Ine]	húsvétben	1	161	5.081404364984463
honvédra	313	honvéd	186978	8570080167	[/N][Subl]	honvédre	71	4.361111111111111	1.472726866892198
lágerban	274	láger	14977	8570080167	[/N][Ine]	lágerben	2375	0.11574074074074074	-2.1564025828159643
maszekba	267	maszek	9770	8570080167	[/N][Ill]	maszekbe	5	44.666666666666664	3.7992275112828016
ankétra	261	ankét	10005	8570080167	[/N][Subl]	ankétre	15	16.375	2.7957557815213154
dzsungelban	258	dzsungel	55832	8570080167	[/N][Ine]	dzsungelben	10604	0.02442244224422442	-3.712252805299245
balettban	254	balett	87544	8570080167	[/N][Ine]	balettben	984	0.25888324873096447	-1.3513780960136628
norvégnak	244	norvég	151508	8570080167	[/Adj][Dat]	norvégnek	23	10.208333333333334	2.323204380196781
fotelra	242	fotel	70961	8570080167	[/N][Subl]	fotelre	505	0.48023715415019763	-0.733475225946917
panelnak	236	panel	223571	8570080167	[/N][Dat]	panelnek	1375	0.17223837209302326	-1.7588758773581579
balettba	231	balett	87544	8570080167	[/N][Ill]	balettbe	311	0.7435897435897436	-0.2962658161431724
farmerra	228	farmer	82647	8570080167	[/N][Subl]	farmerre	448	0.5100222717149221	-0.6733008841880146
lágerba	228	láger	14977	8570080167	[/N][Ill]	lágerbe	1397	0.16380543633762518	-1.8090759192395158
haverra	214	haver	165801	8570080167	[/N][Subl]	haverre	5	35.833333333333336	3.578878558899608
hotelnak	210	hotel	789022	8570080167	[/N][Dat]	hotelnek	6212	0.03396104941252213	-3.3825410165876275
parkettra	209	parkett	12893	8570080167	[/N][Subl]	parkettre	3069	0.06840390879478828	-2.6823253098637743
mateknak	206	matek	47606	8570080167	[/N][Dat]	mateknek	8	23	3.1354942159291497
kofferban	191	koffer	7809	8570080167	[/N][Ine]	kofferben	714	0.26853146853146853	-1.3147871706662262
noteszba	188	notesz	13921	8570080167	[/N][Ill]	noteszbe	429	0.43953488372093025	-0.8220381936279657
partnernak	188	partner	1270201	8570080167	[/N][Dat]	partnernek	19802	0.009544008483563097	-4.651841705297238
skanzenba	181	skanzen	26458	8570080167	[/N][Ill]	skanzenbe	1043	0.1743295019157088	-1.7468080813657887
maszeknál	177	maszek	9770	8570080167	[/N][Ade]	maszeknél	9	17.8	2.8791984572980396
afférba	167	affér	7332	8570080167	[/N][Ill]	afférbe	7	21	3.044522437723423
maszeknak	161	maszek	9770	8570080167	[/N][Dat]	maszeknek	13	11.571428571428571	2.4485390056171252
obszcénnak	151	obszcén	12289	8570080167	[/Adj][Dat]	obszcénnek	370	0.40970350404312667	-0.8923215417611589
balettnál	150	balett	87544	8570080167	[/N][Ade]	balettnél	568	0.26537785588752194	-1.3266005973114068
norvégra	149	norvég	151508	8570080167	[/Adj][Subl]	norvégre	9	15	2.70805020110221
trapézban	143	trapéz	13414	8570080167	[/N][Ine]	trapézben	8	16	2.772588722239781
mateknál	141	matek	47606	8570080167	[/N][Ade]	mateknél	3	35.5	3.56953269648137
motelba	140	motel	13960	8570080167	[/N][Ill]	motelbe	439	0.32045454545454544	-1.1380148365341387
dzsungelba	136	dzsungel	55832	8570080167	[/N][Ill]	dzsungelbe	3050	0.044903310390036054	-3.103243758888545
muternak	136	muter	2713	8570080167	[/N][Dat]	muternek	42	3.186046511627907	1.1587808101345625
farmernak	134	farmer	82647	8570080167	[/N][Dat]	farmernek	619	0.21774193548387097	-1.5244446996007077
matekba	126	matek	47606	8570080167	[/N][Ill]	matekbe	1	63.5	4.151039905898646
balettnak	117	balett	87544	8570080167	[/N][Dat]	balettnek	872	0.13516609392898052	-2.0012509313739377
patentra	115	patent	16682	8570080167	[/N][Subl]	patentre	29	3.8666666666666667	1.3523928094442093
flaszterra	113	flaszter	2419	8570080167	[/N][Subl]	flaszterre	129	0.8769230769230769	-0.13133600206108698
panelnál	111	panel	223571	8570080167	[/N][Ade]	panelnél	580	0.1927710843373494	-1.6462518855568167
kofferba	109	koffer	7809	8570080167	[/N][Ill]	kofferbe	216	0.5069124423963134	-0.6794169877480433
koktélnál	109	koktél	70915	8570080167	[/N][Ade]	koktélnél	1	55	4.007333185232471
balekra	106	balek	13062	8570080167	[/N][Subl]	balekre	14	7.133333333333334	1.9647786333596962
kadétnak	105	kadét	6328	8570080167	[/N][Dat]	kadétnek	8	11.777777777777779	2.466214516775848
ágyéknál	105	ágyék	11658	8570080167	[/N][Ade]	ágyéknél	6	15.142857142857142	2.717528945056754
suszternak	103	suszter	6878	8570080167	[/N][Dat]	suszternek	203	0.5098039215686274	-0.6737290947028438
hotelra	102	hotel	789022	8570080167	[/N][Subl]	hotelre	1314	0.07832699619771863	-2.5468629563822294
szlovénnak	102	szlovén	111340	8570080167	[/Adj][Dat]	szlovénnek	80	1.271604938271605	0.2402798335571971
babérnak	101	babér	32310	8570080167	[/N][Dat]	babérnek	2	34	3.5263605246161616
arzénra	100	arzén	14384	8570080167	[/N][Subl]	arzénre	60	1.6557377049180328	0.5042466526679482
noteszban	100	notesz	13921	8570080167	[/N][Ine]	noteszben	305	0.3300653594771242	-1.1084645851111214
bakternak	96	bakter	4460	8570080167	[/N][Dat]	bakternek	86	1.1149425287356323	0.10880285984879917
kóterban	96	kóter	752	8570080167	[/N][Ine]	kóterben	90	1.065934065934066	0.06385147198653277
afférnak	95	affér	7332	8570080167	[/N][Dat]	afférnek	6	13.714285714285714	2.618438042412523
kóterba	95	kóter	752	8570080167	[/N][Ill]	kóterbe	83	1.1428571428571428	0.13353139262452257
árnyéknál	94	árnyék	251729	8570080167	[/N][Ade]	árnyéknél	1	47.5	3.8607297110405954
kábelra	93	kábel	287412	8570080167	[/N][Subl]	kábelre	4931	0.019059205190592052	-3.960205082014231
pancsernak	92	pancser	5888	8570080167	[/Adj][Dat]	pancsernek	115	0.8017241379310345	-0.22099069795310872
afférra	91	affér	7332	8570080167	[/N][Subl]	afférre	1	46	3.828641396489095
sumerban	88	sumer	9716	8570080167	[/N][Ine]	sumerben	123	0.717741935483871	-0.331645195872897
trapéznak	88	trapéz	13414	8570080167	[/N][Dat]	trapéznek	4	17.8	2.8791984572980396
ankétnak	85	ankét	10005	8570080167	[/N][Dat]	ankétnek	9	8.6	2.151762203259462
hóhérra	83	hóhér	21404	8570080167	[/N][Subl]	hóhérre	1	42	3.7376696182833684
klozetra	81	klozet	993	8570080167	[/N][Subl]	klozetre	21	3.727272727272727	1.3156767939059373
bohémnak	80	bohém	24956	8570080167	[/N][Dat]	bohémnek	66	1.208955223880597	0.18975653528147265
háttérban	80	háttér	1176278	8570080167	[/N][Ine]	háttérben	201077	4.028287530212156e-4	-7.816999016794575
materra	76	mater	16610	8570080167	[/N][Subl]	materre	78	0.9746835443037974	-0.02564243061333767
fotelnak	75	fotel	70961	8570080167	[/N][Dat]	fotelnek	363	0.2087912087912088	-1.5664205273504095
húsvétnál	75	húsvét	195283	8570080167	[/N][Ade]	húsvétnél	3	19	2.9444389791664403
karterba	74	karter	1181	8570080167	[/N][Ill]	karterbe	57	1.293103448275862	0.25704510298989114
malterba	73	malter	3492	8570080167	[/N][Ill]	malterbe	18	3.8947368421052633	1.3596261140377293
konkrétban	71	konkrét	915418	8570080167	[/Adj][Ine]	konkrétben	4	14.4	2.667228206581955
bankettra	68	bankett	10704	8570080167	[/N][Subl]	bankettre	580	0.11876075731497418	-2.130644252254652
adventra	67	advent	81081	8570080167	[/N][Subl]	adventre	1355	0.05014749262536873	-2.992786763324234
hotelnál	65	hotel	789022	8570080167	[/N][Ade]	hotelnél	1487	0.04435483870967742	-3.115533473366612
adventban	63	advent	81081	8570080167	[/N][Ine]	adventben	3184	0.020094191522762952	-3.9073244846465918
szlovénban	63	szlovén	111340	8570080167	[/Adj][Ine]	szlovénben	34	1.8285714285714285	0.6035350218702581
klozetba	62	klozet	993	8570080167	[/N][Ill]	klozetbe	17	3.5	1.252762968495368
szlovénra	61	szlovén	111340	8570080167	[/Adj][Subl]	szlovénre	45	1.3478260869565217	0.29849298855599654
trapézba	60	trapéz	13414	8570080167	[/N][Ill]	trapézbe	1	30.5	3.417726683613366
szaténba	59	szatén	10585	8570080167	[/N][Ill]	szaténbe	2	20	2.995732273553991
pufferban	58	puffer	21029	8570080167	[/N][Ine]	pufferben	860	0.06852497096399536	-2.6805570605220113
mutternak	57	mutter	2225	8570080167	[/N][Dat]	mutternek	32	1.7575757575757576	0.5639354490799391
norvégban	56	norvég	151508	8570080167	[/Adj][Ine]	norvégben	3	14.25	2.6567569067146595
arzénnak	55	arzén	14384	8570080167	[/N][Dat]	arzénnek	50	1.0980392156862746	0.09352605801082355
bunkernak	55	bunker	25691	8570080167	[/N][Dat]	bunkernek	291	0.1917808219178082	-1.6514021115331325
partnerra	53	partner	1270201	8570080167	[/N][Subl]	partnerre	11508	0.004691980189416978	-5.361900570404217
sóderban	52	sóder	8264	8570080167	[/N][Ine]	sóderben	134	0.3925925925925926	-0.9349828648863076
hardverba	49	hardver	133417	8570080167	[/N][Ill]	hardverbe	306	0.16286644951140064	-1.814824742159051
faternál	48	fater	15751	8570080167	[/N][Ade]	faternél	6	7	1.9459101490553132
noteszra	48	notesz	13921	8570080167	[/N][Subl]	noteszre	90	0.5384615384615384	-0.6190392084062235
pufferba	48	puffer	21029	8570080167	[/N][Ill]	pufferbe	604	0.08099173553719008	-2.513408159920215
kósernak	46	kóser	13540	8570080167	[/Adj][Dat]	kósernek	145	0.3219178082191781	-1.133459019998278
sparheltba	46	sparhelt	4765	8570080167	[/N][Ill]	sparheltbe	109	0.42727272727272725	-0.8503327640823577
kartellba	45	kartell	13348	8570080167	[/N][Ill]	kartellbe	286	0.1602787456445993	-1.830840819270526
sumernak	45	sumer	9716	8570080167	[/N][Dat]	sumernek	81	0.5609756097560976	-0.578077850775158
farmernál	44	farmer	82647	8570080167	[/N][Ade]	farmernél	138	0.3237410071942446	-1.127811443360372
patentnak	44	patent	16682	8570080167	[/N][Dat]	patentnek	24	1.8	0.5877866649021191
sparheltban	44	sparhelt	4765	8570080167	[/N][Ine]	sparheltben	170	0.2631578947368421	-1.3350010667323402
krapeknak	43	krapek	1655	8570080167	[/N][Dat]	krapeknek	12	3.3846153846153846	1.2192402764567245
pókerban	43	póker	22273	8570080167	[/N][Ine]	pókerben	1582	0.027795325331648767	-3.5828874259627512
afférban	42	affér	7332	8570080167	[/N][Ine]	afférben	6	6.142857142857143	1.8152899666382492
faterra	42	fater	15751	8570080167	[/N][Subl]	faterre	8	4.777777777777778	1.563975538357343
kartellban	42	kartell	13348	8570080167	[/N][Ine]	kartellben	424	0.1011764705882353	-2.2908890532308543
konkrétba	42	konkrét	915418	8570080167	[/Adj][Ill]	konkrétbe	1	21.5	3.068052935133617
klozetban	40	klozet	993	8570080167	[/N][Ine]	klozetben	23	1.7083333333333333	0.5355182363563621
zsakettban	40	zsakett	787	8570080167	[/N][Ine]	zsakettben	177	0.2303370786516854	-1.4682114835877773
bojlerban	38	bojler	25309	8570080167	[/N][Ine]	bojlerben	548	0.07103825136612021	-2.644536795379884
bojlerban	38	bojler	25309	8570080167	[/N][Ine]	boylerben	27	1.3928571428571428	0.33135713595444244
kornerra	35	korner	2850	8570080167	[/N][Subl]	kornerre	213	0.16822429906542055	-1.7824570765657415
korrektnak	35	korrekt	280874	8570080167	[/Adj][Dat]	korrektnek	6479	0.005555555555555556	-5.19295685089021
norvégnál	35	norvég	151508	8570080167	[/Adj][Ade]	norvégnél	3	9	2.1972245773362196
sóderba	34	sóder	8264	8570080167	[/N][Ill]	sóderbe	101	0.3431372549019608	-1.0696247517948574
rubelban	33	rubel	19855	8570080167	[/N][Ine]	rubelben	946	0.03590285110876452	-3.326938568569917
bohémnak	32	bohém	24956	8570080167	[/Adj][Dat]	bohémnek	18	1.736842105263158	0.5520685823000399
sparheltra	32	sparhelt	4765	8570080167	[/N][Subl]	sparheltre	74	0.44	-0.8209805520698302
szaténban	31	szatén	10585	8570080167	[/N][Ine]	szaténben	4	6.4	1.8562979903656263
bojlerba	30	bojler	25309	8570080167	[/N][Ill]	bojlerbe	246	0.12550607287449392	-2.075401132142831
bojlerba	30	bojler	25309	8570080167	[/N][Ill]	boylerbe	20	1.4761904761904763	0.3894647667617233
kofferra	30	koffer	7809	8570080167	[/N][Subl]	kofferre	36	0.8378378378378378	-0.17693070815907821
maceszba	29	macesz	2035	8570080167	[/N][Ill]	maceszbe	6	4.285714285714286	1.455287232606842
szaténra	29	szatén	10585	8570080167	[/N][Subl]	szaténre	1	15	2.70805020110221
sóderra	29	sóder	8264	8570080167	[/N][Subl]	sóderre	108	0.27522935779816515	-1.2901505005669882
bojlernak	28	bojler	25309	8570080167	[/N][Dat]	bojlernek	220	0.13122171945701358	-2.0308668715312788
bojlernak	28	bojler	25309	8570080167	[/N][Dat]	boylernek	7	3.625	1.2878542883066382
szaténnak	28	szatén	10585	8570080167	[/N][Dat]	szaténnek	2	9.666666666666666	2.268683541318364
barterban	27	barter	2631	8570080167	[/N][Ine]	barterben	228	0.1222707423580786	-2.1015174933790357
puffernak	27	puffer	21029	8570080167	[/N][Dat]	puffernek	264	0.10566037735849057	-2.247525315811018
raszterban	27	raszter	4403	8570080167	[/N][Ine]	raszterben	405	0.06896551724137931	-2.6741486494265287
trógernak	27	tróger	4410	8570080167	[/N][Dat]	trógernek	118	0.23529411764705882	-1.4469189829363254
samesznak	26	samesz	2511	8570080167	[/N][Dat]	samesznek	18	1.4210526315789473	0.3513978868378886
dózerra	25	dózer	2635	8570080167	[/N][Subl]	dózerre	70	0.36619718309859156	-1.0045833390198333
kráterba	25	kráter	30791	8570080167	[/N][Ill]	kráterbe	659	0.03939393939393939	-3.2341432969989894
ruténnak	25	rutén	5396	8570080167	[/Adj][Dat]	ruténnek	44	0.5777777777777777	-0.5485659517488378
adventnak	24	advent	81081	8570080167	[/N][Dat]	adventnek	406	0.06142506142506143	-2.789937360574394
flaszterba	24	flaszter	2419	8570080167	[/N][Ill]	flaszterbe	9	2.5	0.9162907318741551
karterban	24	karter	1181	8570080167	[/N][Ine]	karterben	59	0.4166666666666667	-0.8754687373538999
materban	24	mater	16610	8570080167	[/N][Ine]	materben	374	0.06666666666666667	-2.70805020110221
maternak	24	mater	16610	8570080167	[/N][Dat]	maternek	194	0.1282051282051282	-2.0541237336955462
projektra	24	projekt	2236203	8570080167	[/N][Subl]	projektre	22052	0.001133632612342992	-6.782328101173997
rollerra	23	roller	22986	8570080167	[/N][Subl]	rollerre	380	0.06299212598425197	-2.7647455447787554
arzénban	22	arzén	14384	8570080167	[/N][Ine]	arzénben	1	11.5	2.4423470353692043
karcerba	22	karcer	215	8570080167	[/N][Ill]	karcerbe	47	0.4791666666666667	-0.7357067949787413
makettban	22	makett	42231	8570080167	[/N][Ine]	makettben	214	0.10697674418604651	-2.235143812198513
makettra	22	makett	42231	8570080167	[/N][Subl]	makettre	279	0.08214285714285714	-2.4992953872401
materba	22	mater	16610	8570080167	[/N][Ill]	materbe	254	0.09019607843137255	-2.4057693292292766
tanévban	22	tanév	668169	8570080167	[/N][Ine]	tanévben	162184	1.4181336128495236e-4	-8.860998722036205
dzsungelnak	21	dzsungel	55832	8570080167	[/N][Dat]	dzsungelnek	701	0.03133903133903134	-3.462890950667495
macesznak	21	macesz	2035	8570080167	[/N][Dat]	macesznek	10	2	0.6931471805599453
amperra	20	amper	8498	8570080167	[/N][Subl]	amperre	204	0.1024390243902439	-2.2784875414149854
bunkerra	20	bunker	25691	8570080167	[/N][Subl]	bunkerre	216	0.0967741935483871	-2.3353749158170367
haverban	20	haver	165801	8570080167	[/N][Ine]	haverben	9	2.1	0.7419373447293773
kartellnak	20	kartell	13348	8570080167	[/N][Dat]	kartellnek	306	0.06840390879478828	-2.6823253098637743
kondérnak	20	kondér	6000	8570080167	[/N][Dat]	kondérnek	1	10.5	2.3513752571634776
kádernak	20	káder	8956	8570080167	[/N][Dat]	kádernek	164	0.12727272727272726	-2.0614230361771577
malternak	20	malter	3492	8570080167	[/N][Dat]	malternek	9	2.1	0.7419373447293773
rubelra	20	rubel	19855	8570080167	[/N][Subl]	rubelre	937	0.022388059701492536	-3.7992275112828016
sumerba	20	sumer	9716	8570080167	[/N][Ill]	sumerbe	10	1.9090909090909092	0.6466271649250525
szolfézsban	20	szolfézs	7287	8570080167	[/N][Ine]	szolfézsben	5	3.5	1.252762968495368
kráterban	19	kráter	30791	8570080167	[/N][Ine]	kráterben	1259	0.015873015873015872	-4.143134726391533
szolfézsnak	19	szolfézs	7287	8570080167	[/N][Dat]	szolfézsnek	2	6.666666666666667	1.8971199848858813
bakterban	18	bakter	4460	8570080167	[/N][Ine]	bakterben	13	1.3571428571428572	0.3053816495511819
kadétra	18	kadét	6328	8570080167	[/N][Subl]	kadétre	1	9.5	2.2512917986064953
koncertra	18	koncert	1019145	8570080167	[/N][Subl]	koncertre	50442	3.766627678766132e-4	-7.884160285749621
muternál	18	muter	2713	8570080167	[/N][Ade]	muternél	4	3.8	1.33500106673234
parkettba	18	parkett	12893	8570080167	[/N][Ill]	parkettbe	17	1.0555555555555556	0.05406722127027579
rubelba	18	rubel	19855	8570080167	[/N][Ill]	rubelbe	497	0.03815261044176707	-3.2661610978582125
malterban	17	malter	3492	8570080167	[/N][Ine]	malterben	18	0.9473684210526315	-0.05406722127027582
háttérba	16	háttér	1176278	8570080167	[/N][Ill]	háttérbe	112726	1.5080681646810435e-4	-8.799510901368867
kábelban	16	kábel	287412	8570080167	[/N][Ine]	kábelben	1021	0.016634050880626222	-4.096303426707434
kábelnak	16	kábel	287412	8570080167	[/N][Dat]	kábelnek	1840	0.009234111895708854	-4.684850837176862
malterra	16	malter	3492	8570080167	[/N][Subl]	malterre	20	0.8095238095238095	-0.2113090936672069
transzferra	16	transzfer	87598	8570080167	[/N][Subl]	transzferre	790	0.021491782553729456	-3.8400846237114377
arzénnál	15	arzén	14384	8570080167	[/N][Ade]	arzénnél	4	3.2	1.1631508098056809
bunkernál	15	bunker	25691	8570080167	[/N][Ade]	bunkernél	97	0.16326530612244897	-1.8123787564307907
jampecnak	15	jampec	1214	8570080167	[/N][Dat]	jampecnek	8	1.7777777777777777	0.5753641449035618
modellnak	15	modell	1509359	8570080167	[/N][Dat]	modellnek	20485	7.810211851996485e-4	-7.154908282756699
projektba	15	projekt	2236203	8570080167	[/N][Ill]	projektbe	20570	7.777939818190656e-4	-7.159048873712693
rulettra	15	rulett	8587	8570080167	[/N][Subl]	rulettre	200	0.07960199004975124	-2.5307161858192946
smasszernak	15	smasszer	1467	8570080167	[/N][Dat]	smasszernek	20	0.7619047619047619	-0.2719337154836418
szlovénnál	15	szlovén	111340	8570080167	[/Adj][Ade]	szlovénnél	10	1.4545454545454546	0.3746934494414107
sóletba	15	sólet	3255	8570080167	[/N][Ill]	sóletbe	116	0.13675213675213677	-1.9895852125579747
aléltnak	14	alélt	2710	8570080167	[/Adj][Dat]	aléltnek	2	5	1.6094379124341003
ampernál	14	amper	8498	8570080167	[/N][Ade]	ampernél	114	0.13043478260869565	-2.03688192726104
barterba	14	barter	2631	8570080167	[/N][Ill]	barterbe	56	0.2631578947368421	-1.3350010667323402
dzsungelra	14	dzsungel	55832	8570080167	[/N][Subl]	dzsungelre	275	0.05434782608695652	-2.91235066461494
fráternak	14	fráter	13052	8570080167	[/N][Dat]	fráternek	241	0.06198347107438017	-2.7808875250544762
maceszra	14	macesz	2035	8570080167	[/N][Subl]	maceszre	17	0.8333333333333334	-0.1823215567939546
modellra	14	modell	1509359	8570080167	[/N][Subl]	modellre	38062	3.9408349315608334e-4	-7.838947759552761
projektban	14	projekt	2236203	8570080167	[/N][Ine]	projektben	80887	1.8544159825932153e-4	-8.592770559669026
zacsekba	14	zacsek	392	8570080167	[/N][Ill]	zacsekbe	1	7.5	2.0149030205422647
kábelba	13	kábel	287412	8570080167	[/N][Ill]	kábelbe	612	0.022838499184339316	-3.7793076063209528
