base	baseline_log_odds	dat_id	record_date	part_id	part_gender	part_yob	part_edu	list_number	trial_kind	trial_index	stimulus	choice1	choice2	response	response_string	esp_response	esp_match	rt	time_elapsed	file_name	variation	column	log_odds	variant1	variant2	nsyl	suffix	sample_number	word_rank	top_20	bottom_20	reg_rate	reg_dist	picked_left	picked_v1	esp_v1	picked_majority	i
prazlik / prazozik	-0.1941560144409575	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_11h59.24.738.csv	2023-06-21T11:59:00Z	6044cde18ec25456d2bd9d99	NA	NA	NA	8	second posttest trial	6	János imád prazozni, ezért sokat prazlik. Mi ritkán...	prazozunk	prazlunk	1	prazlunk	NA	NA	4332	331569	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	-0.1941560144409575	prazlunk	prazozunk	1	ünk	3	38	FALSE	FALSE	NA	NA	FALSE	TRUE	NA	NA	1
préleglik	0.6418538861723947	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_09h11.20.328.csv	2023-06-20T09:11:00Z	5f325435f0fc671a7434cabe	NA	NA	NA	8	second posttest trial	6	Te bizony sokat préleglesz. Én is sokat...	préleglek	préleglem	0	préleglek	NA	NA	5784	193116	lakok_3_high_reversed	lakok/lakom	33	0.6418538861723947	préleglek	préleglem	2	NA	3	19	FALSE	FALSE	NA	NA	TRUE	TRUE	NA	NA	1
prilepszik / prilepedik	0.8938178760220965	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_09h17.44.350.csv	2023-06-21T09:17:00Z	60ef5b1cf52939a80af77543	NA	NA	NA	8	second posttest trial	6	János imád prilepedni, ezért sokat prilepszik. Mi ritkán...	prilepedünk	prilepszünk	1	prilepszünk	NA	NA	5919	24018	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	0.8938178760220965	prilepszünk	prilepedünk	2	ünk	3	2	TRUE	FALSE	NA	NA	FALSE	TRUE	NA	NA	1
pugoslik	0.965080896043587	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_13h06.15.947.csv	2023-06-20T13:06:00Z	612058b64e8bd208d39fbe68	NA	NA	NA	8	second posttest trial	6	Te bizony sokat pugoslasz. Én is sokat...	pugoslom	pugoslok	1	pugoslok	NA	NA	2767	76041	lakok_3_high_reversed	lakok/lakom	33	0.965080896043587	pugoslok	pugoslom	2	NA	3	10	TRUE	FALSE	NA	NA	FALSE	TRUE	NA	NA	1
spalárzik / spalározik	-0.1431008436406733	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_11h37.17.295.csv	2023-06-21T11:37:00Z	5f452661c5a1b50a817ab094	NA	NA	NA	8	second posttest trial	6	János imád spalározni, ezért sokat spalárzik. Ők ritkán...	spalároznak	spalárzanak	0	spalároznak	NA	NA	3302	33659	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	-0.1431008436406733	spalárzanak	spalároznak	2	nek	3	37	FALSE	FALSE	NA	NA	TRUE	FALSE	NA	NA	1
spélszik	0.3483066942682158	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_14h51.24.919.csv	2023-06-20T14:51:00Z	60febbf6684ed23d1eec2db6	NA	NA	NA	8	second posttest trial	6	Te bizony sokat spélszel. Én is sokat...	spélszem	spélszek	0	spélszem	NA	NA	4040	36467	lakok_3_high_reversed	lakok/lakom	33	0.3483066942682158	spélszek	spélszem	1	NA	3	25	FALSE	FALSE	NA	NA	TRUE	FALSE	NA	NA	1
spöklik / spöközik	0.5978370007556204	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_11h12.42.107.csv	2023-06-21T11:12:00Z	60fddc9ee6bb457b10b9a7ae	NA	NA	NA	8	second posttest trial	6	János imád spöközni, ezért sokat spöklik. Mi ritkán...	spöközünk	spöklünk	0	spöközünk	NA	NA	5991	136307	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	0.5978370007556204	spöklünk	spöközünk	1	ünk	3	8	TRUE	FALSE	NA	NA	TRUE	FALSE	NA	NA	1
sponylik / sponyozik	0.7419373447293773	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_08h42.05.689.csv	2023-06-21T08:42:00Z	6139181353b6c04cb2d95d8d	NA	NA	NA	8	second posttest trial	6	János imád sponyozni, ezért sokat sponylik. Ők ritkán...	sponyoznak	sponylanak	0	sponyoznak	NA	NA	3309	31170	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	0.7419373447293773	sponylanak	sponyoznak	1	nek	3	5	TRUE	FALSE	NA	NA	TRUE	FALSE	NA	NA	1
spülöklik	0.28768207245178085	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_16h31.46.693.csv	2023-06-20T16:31:00Z	60d3acd071e98de7a42743ac	NA	NA	NA	8	second posttest trial	6	Te bizony sokat spülöklesz. Én is sokat...	spülöklök	spülöklöm	0	spülöklök	NA	NA	4704	68458	lakok_3_high_reversed	lakok/lakom	33	0.28768207245178085	spülöklök	spülöklöm	2	NA	3	26	FALSE	FALSE	NA	NA	TRUE	TRUE	NA	NA	1
spüszlik	0.14310084364067324	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_09h23.38.663.csv	2023-06-20T09:23:00Z	600e8770316e2671811f49ac	NA	NA	NA	8	second posttest trial	6	Te bizony sokat spüszlesz. Én is sokat...	spüszlök	spüszlöm	1	spüszlöm	NA	NA	4906	19714	lakok_3_high_reversed	lakok/lakom	33	0.14310084364067324	spüszlök	spüszlöm	1	NA	3	28	FALSE	FALSE	NA	NA	FALSE	FALSE	NA	NA	1
sztruglik	0.4353180712578455	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_09h05.09.759.csv	2023-06-20T09:05:00Z	6107aa76ee9845023fb0cb80	NA	NA	NA	8	second posttest trial	6	Te bizony sokat sztruglasz. Én is sokat...	sztruglok	sztruglom	1	sztruglom	NA	NA	4112	55108	lakok_3_high_reversed	lakok/lakom	33	0.4353180712578455	sztruglok	sztruglom	1	NA	3	23	FALSE	FALSE	NA	NA	FALSE	FALSE	NA	NA	1
sztruglik	0.4353180712578455	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_11h36.07.341.csv	2023-06-20T11:36:00Z	5df97fcd11d8796fd29e85e3	NA	NA	NA	8	second posttest trial	6	Te bizony sokat sztruglasz. Én is sokat...	sztruglok	sztruglom	1	sztruglom	NA	NA	2773	62213	lakok_3_high_reversed	lakok/lakom	33	0.4353180712578455	sztruglok	sztruglom	1	NA	3	23	FALSE	FALSE	NA	NA	FALSE	FALSE	NA	NA	1
sztruglik	0.4353180712578455	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_13h28.37.951.csv	2023-06-20T13:28:00Z	605896a739d40fa144496f26	NA	NA	NA	8	second posttest trial	6	Te bizony sokat sztruglasz. Én is sokat...	sztruglok	sztruglom	1	sztruglom	NA	NA	3049	85367	lakok_3_high_reversed	lakok/lakom	33	0.4353180712578455	sztruglok	sztruglom	1	NA	3	23	FALSE	FALSE	NA	NA	FALSE	FALSE	NA	NA	1
sztruglik	0.4353180712578455	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_16h28.04.251.csv	2023-06-20T16:28:00Z	5ca9f1578d77140001bac8dc	NA	NA	NA	8	second posttest trial	6	Te bizony sokat sztruglasz. Én is sokat...	sztruglok	sztruglom	0	sztruglok	NA	NA	3922	38580	lakok_3_high_reversed	lakok/lakom	33	0.4353180712578455	sztruglok	sztruglom	1	NA	3	23	FALSE	FALSE	NA	NA	TRUE	TRUE	NA	NA	1
szűslik	0.8938178760220965	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_17h13.50.637.csv	2023-06-20T17:13:00Z	5ef5f78600093427dfd5e120	NA	NA	NA	8	second posttest trial	6	Te bizony sokat szűslesz. Én is sokat...	szűslök	szűslöm	0	szűslök	NA	NA	4382	90495	lakok_3_high_reversed	lakok/lakom	33	0.8938178760220965	szűslök	szűslöm	1	NA	3	13	TRUE	FALSE	NA	NA	TRUE	TRUE	NA	NA	1
trűnylik / trűnyözik	0	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_08h04.54.575.csv	2023-06-21T08:04:00Z	6151b07ac0d164fdd7e53100	NA	NA	NA	8	second posttest trial	6	János imád trűnyözni, ezért sokat trűnylik. Ők ritkán...	trűnylenek	trűnyöznek	1	trűnyöznek	NA	NA	2551	24676	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	0	trűnylenek	trűnyöznek	1	nek	3	32	FALSE	FALSE	NA	NA	FALSE	FALSE	NA	NA	1
zödlik	0.7472144018302211	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_10h28.38.451.csv	2023-06-20T10:28:00Z	6140ff9c5750f0081ca8d71f	NA	NA	NA	8	second posttest trial	6	Te bizony sokat zödlesz. Én is sokat...	zödlök	zödlöm	0	zödlök	NA	NA	3347	158021	lakok_3_high_reversed	lakok/lakom	33	0.7472144018302211	zödlök	zödlöm	1	NA	3	15	TRUE	FALSE	NA	NA	TRUE	TRUE	NA	NA	1
brilegzik / brilegezik	0.28768207245178085	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_08h12.22.832.csv	2023-06-21T08:12:00Z	5f338ba6ea047119dbd6e49e	NA	NA	NA	8	second posttest trial	7	János imád brilegezni, ezért sokat brilegzik. Mi ritkán...	brilegzünk	brilegezünk	1	brilegezünk	NA	NA	5762	65767	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	0.28768207245178085	brilegzünk	brilegezünk	2	ünk	3	19	FALSE	FALSE	NA	NA	FALSE	FALSE	NA	NA	2
briváglik / brivágozik	-0.2876820724517809	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_11h12.42.107.csv	2023-06-21T11:12:00Z	60fddc9ee6bb457b10b9a7ae	NA	NA	NA	8	second posttest trial	7	János imád brivágozni, ezért sokat briváglik. Ők ritkán...	briváglanak	brivágoznak	0	briváglanak	NA	NA	3691	140509	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	-0.2876820724517809	briváglanak	brivágoznak	2	nek	3	40	FALSE	TRUE	NA	NA	TRUE	TRUE	NA	NA	2
diránylik / dirányozik	-0.06899287148695143	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_11h37.17.295.csv	2023-06-21T11:37:00Z	5f452661c5a1b50a817ab094	NA	NA	NA	8	second posttest trial	7	János imád dirányozni, ezért sokat diránylik. Ők ritkán...	diránylanak	dirányoznak	1	dirányoznak	NA	NA	1979	36150	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	-0.06899287148695143	diránylanak	dirányoznak	2	nek	3	35	FALSE	FALSE	NA	NA	FALSE	FALSE	NA	NA	2
diránylik / dirányozik	-0.06899287148695143	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_13h14.12.882.csv	2023-06-21T13:14:00Z	61080f315a313dab03ea1cde	NA	NA	NA	8	second posttest trial	7	János imád dirányozni, ezért sokat diránylik. Ők ritkán...	dirányoznak	diránylanak	0	dirányoznak	NA	NA	2717	24000	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	-0.06899287148695143	diránylanak	dirányoznak	2	nek	3	35	FALSE	FALSE	NA	NA	TRUE	FALSE	NA	NA	2
drügzik	0.06899287148695142	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_09h23.38.663.csv	2023-06-20T09:23:00Z	600e8770316e2671811f49ac	NA	NA	NA	8	second posttest trial	7	Te bizony sokat drügzöl. Én is sokat...	drügzök	drügzöm	1	drügzöm	NA	NA	1762	21986	lakok_3_high_reversed	lakok/lakom	33	0.06899287148695142	drügzök	drügzöm	1	NA	3	29	FALSE	FALSE	NA	NA	FALSE	FALSE	NA	NA	2
fivénylik	0.7419373447293773	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_08h16.02.189.csv	2023-06-20T08:16:00Z	607cabdfb9addc46d23a0f19	NA	NA	NA	8	second posttest trial	7	Te bizony sokat fivénylesz. Én is sokat...	fivénylem	fivénylek	1	fivénylek	NA	NA	3192	58782	lakok_3_high_reversed	lakok/lakom	33	0.7419373447293773	fivénylek	fivénylem	2	NA	3	16	FALSE	FALSE	NA	NA	FALSE	TRUE	NA	NA	2
fivénylik	0.7419373447293773	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_17h13.50.637.csv	2023-06-20T17:13:00Z	5ef5f78600093427dfd5e120	NA	NA	NA	8	second posttest trial	7	Te bizony sokat fivénylesz. Én is sokat...	fivénylem	fivénylek	1	fivénylek	NA	NA	3046	94053	lakok_3_high_reversed	lakok/lakom	33	0.7419373447293773	fivénylek	fivénylem	2	NA	3	16	FALSE	FALSE	NA	NA	FALSE	TRUE	NA	NA	2
fliraklik	0	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_16h31.46.693.csv	2023-06-20T16:31:00Z	60d3acd071e98de7a42743ac	NA	NA	NA	8	second posttest trial	7	Te bizony sokat fliraklasz. Én is sokat...	fliraklom	fliraklok	0	fliraklom	NA	NA	4156	73121	lakok_3_high_reversed	lakok/lakom	33	0	fliraklok	fliraklom	2	NA	3	32	FALSE	FALSE	NA	NA	TRUE	FALSE	NA	NA	2
fröjlik / fröjözik	0.32542240043462795	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_11h03.01.204.csv	2023-06-21T11:03:00Z	5f99dc8aa866bf0bf2d60f46	NA	NA	NA	8	second posttest trial	7	János imád fröjözni, ezért sokat fröjlik. Mi ritkán...	fröjlünk	fröjözünk	0	fröjlünk	NA	NA	4561	44625	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	0.32542240043462795	fröjlünk	fröjözünk	1	ünk	3	18	FALSE	FALSE	NA	NA	TRUE	TRUE	NA	NA	2
fröjlik / fröjözik	0.32542240043462795	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_11h59.24.738.csv	2023-06-21T11:59:00Z	6044cde18ec25456d2bd9d99	NA	NA	NA	8	second posttest trial	7	János imád fröjözni, ezért sokat fröjlik. Mi ritkán...	fröjözünk	fröjlünk	0	fröjözünk	NA	NA	3772	335852	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	0.32542240043462795	fröjlünk	fröjözünk	1	ünk	3	18	FALSE	FALSE	NA	NA	TRUE	FALSE	NA	NA	2
fröjlik / fröjözik	0.32542240043462795	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_13h08.08.328.csv	2023-06-21T13:08:00Z	5e8aefb03d71b0799a8d0f48	NA	NA	NA	8	second posttest trial	7	János imád fröjözni, ezért sokat fröjlik. Mi ritkán...	fröjlünk	fröjözünk	1	fröjözünk	NA	NA	2691	57088	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	0.32542240043462795	fröjlünk	fröjözünk	1	ünk	3	18	FALSE	FALSE	NA	NA	FALSE	FALSE	NA	NA	2
gatáglik / gatágozik	-0.7985076962177716	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_09h05.41.844.csv	2023-06-21T09:05:00Z	61717173748006894b2b54ff	NA	NA	NA	8	second posttest trial	7	János imád gatágozni, ezért sokat gatáglik. Mi ritkán...	gatágozunk	gatáglunk	0	gatágozunk	NA	NA	6381	50062	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	-0.7985076962177716	gatáglunk	gatágozunk	2	ünk	3	52	FALSE	TRUE	NA	NA	TRUE	FALSE	NA	NA	1
gilárzik	-0.8938178760220964	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_12h41.55.226.csv	2023-06-20T12:41:00Z	5df2235d5a34251266ea645e	NA	NA	NA	8	second posttest trial	7	Te bizony sokat gilárzol. Én is sokat...	gilárzok	gilárzom	1	gilárzom	NA	NA	2700	38518	lakok_3_high_reversed	lakok/lakom	33	-0.8938178760220964	gilárzok	gilárzom	2	NA	3	52	FALSE	TRUE	NA	NA	FALSE	FALSE	NA	NA	1
gilárzik	-0.8938178760220964	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_13h06.15.947.csv	2023-06-20T13:06:00Z	612058b64e8bd208d39fbe68	NA	NA	NA	8	second posttest trial	7	Te bizony sokat gilárzol. Én is sokat...	gilárzok	gilárzom	1	gilárzom	NA	NA	3778	80321	lakok_3_high_reversed	lakok/lakom	33	-0.8938178760220964	gilárzok	gilárzom	2	NA	3	52	FALSE	TRUE	NA	NA	FALSE	FALSE	NA	NA	2
gyivádzik	-0.6418538861723948	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_11h36.07.341.csv	2023-06-20T11:36:00Z	5df97fcd11d8796fd29e85e3	NA	NA	NA	8	second posttest trial	7	Te bizony sokat gyivádzol. Én is sokat...	gyivádzok	gyivádzom	1	gyivádzom	NA	NA	2289	65003	lakok_3_high_reversed	lakok/lakom	33	-0.6418538861723948	gyivádzok	gyivádzom	2	NA	3	49	FALSE	TRUE	NA	NA	FALSE	FALSE	NA	NA	2
kumlik	1.6486586255873816	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_11h44.38.546.csv	2023-06-20T11:44:00Z	610032aa2ae56976d71d296d	NA	NA	NA	8	second posttest trial	7	Te bizony sokat kumlasz. Én is sokat...	kumlom	kumlok	1	kumlok	NA	NA	2802	166765	lakok_3_high_reversed	lakok/lakom	33	1.6486586255873816	kumlok	kumlom	1	NA	3	3	TRUE	FALSE	NA	NA	FALSE	TRUE	NA	NA	2
livaklik	-0.9650808960435872	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_10h48.54.386.csv	2023-06-20T10:48:00Z	608adf0cc8637f7f395352b1	NA	NA	NA	8	second posttest trial	7	Te bizony sokat livaklasz. Én is sokat...	livaklok	livaklom	0	livaklok	NA	NA	3651	102136	lakok_3_high_reversed	lakok/lakom	33	-0.9650808960435872	livaklok	livaklom	2	NA	3	53	FALSE	TRUE	NA	NA	TRUE	TRUE	NA	NA	2
livénylik / livényezik	0.4595323293784402	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_11h31.31.484.csv	2023-06-21T11:31:00Z	566f3979744e3e0005b63481	NA	NA	NA	8	second posttest trial	7	János imád livényezni, ezért sokat livénylik. Mi ritkán...	livénylünk	livényezünk	0	livénylünk	NA	NA	2555	42295	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	0.4595323293784402	livénylünk	livényezünk	2	ünk	3	12	TRUE	FALSE	NA	NA	TRUE	TRUE	NA	NA	2
péleslik	0.7419373447293773	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_12h37.10.182.csv	2023-06-20T12:37:00Z	5f632ea32e85353d93872c67	NA	NA	NA	8	second posttest trial	7	Te bizony sokat péleslesz. Én is sokat...	péleslem	péleslek	1	péleslek	NA	NA	4012	70455	lakok_3_high_reversed	lakok/lakom	33	0.7419373447293773	péleslek	péleslem	2	NA	3	17	FALSE	FALSE	NA	NA	FALSE	TRUE	NA	NA	2
plágadzik	-0.4353180712578455	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_09h05.09.759.csv	2023-06-20T09:05:00Z	6107aa76ee9845023fb0cb80	NA	NA	NA	8	second posttest trial	7	Te bizony sokat plágadzol. Én is sokat...	plágadzok	plágadzom	1	plágadzom	NA	NA	5326	60938	lakok_3_high_reversed	lakok/lakom	33	-0.4353180712578455	plágadzok	plágadzom	2	NA	3	44	FALSE	TRUE	NA	NA	FALSE	FALSE	NA	NA	2
plágadzik	-0.4353180712578455	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_14h51.24.919.csv	2023-06-20T14:51:00Z	60febbf6684ed23d1eec2db6	NA	NA	NA	8	second posttest trial	7	Te bizony sokat plágadzol. Én is sokat...	plágadzom	plágadzok	0	plágadzom	NA	NA	2274	39242	lakok_3_high_reversed	lakok/lakom	33	-0.4353180712578455	plágadzok	plágadzom	2	NA	3	44	FALSE	TRUE	NA	NA	TRUE	FALSE	NA	NA	2
préleglik	0.6418538861723947	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_13h28.37.951.csv	2023-06-20T13:28:00Z	605896a739d40fa144496f26	NA	NA	NA	8	second posttest trial	7	Te bizony sokat préleglesz. Én is sokat...	préleglem	préleglek	0	préleglem	NA	NA	826	86695	lakok_3_high_reversed	lakok/lakom	33	0.6418538861723947	préleglek	préleglem	2	NA	3	19	FALSE	FALSE	NA	NA	TRUE	FALSE	NA	NA	2
