onset	nucleus	coda	tr	word	target	keep_enough_distance	keep_no_overlap
sl	ap	é©	slapé©	slapégy	slapé©	TRUE	TRUE
h	ód	éc	hódéc	hódéc	hódéc	TRUE	TRUE
kv	íml	eg	kvímleg	kvímleg	kvímleg	TRUE	TRUE
kv	áb	e¬	kvábe¬	kvábely	kvábe¬	TRUE	TRUE
b	ájk	éz	bájkéz	bájkéz	bájkéz	TRUE	FALSE
f	ipk	e¬	fipke¬	fipkely	fipke¬	TRUE	TRUE
kl	ap	é¥	klapé¥	klapény	klapé¥	TRUE	TRUE
br	ap	el	brapel	brapel	brapel	TRUE	TRUE
¥	ovd	éΩ	¥ovdéΩ	nyovdézs	¥ovdéΩ	TRUE	TRUE
n	ádv	es	nádves	nádves	nádves	FALSE	FALSE
c	ukf	év	cukfév	cukfév	cukfév	TRUE	TRUE
v	il	ék	vilék	vilék	vilék	FALSE	TRUE
k	us	ec	kusec	kusec	kusec	FALSE	TRUE
†	av	éΩ	†avéΩ	tyavézs	†avéΩ	TRUE	TRUE
gr	imb	ek	grimbek	grimbek	grimbek	TRUE	TRUE
br	alk	éz	bralkéz	bralkéz	bralkéz	FALSE	TRUE
ßl	íb	ed	ßlíbed	szlíbed	ßlíbed	TRUE	TRUE
v	oç	ef	voçef	vocsef	voçef	TRUE	TRUE
d	amz	ér	damzér	damzér	damzér	TRUE	TRUE
dΩ	i©	éj	dΩi©éj	dzsigyéj	dΩi©éj	TRUE	FALSE
g	alv	ert	galvert	galvert	galvert	TRUE	TRUE
d	átv	ec	dátvec	dátvec	dátvec	TRUE	TRUE
c	ól	ét	cólét	cólét	cólét	FALSE	TRUE
fr	íp	ej	frípej	frípej	frípej	TRUE	TRUE
br	új	e¬	brúje¬	brújely	brúje¬	TRUE	TRUE
sk	ar	é¥	skaré¥	skarény	skaré¥	TRUE	TRUE
†	ikr	éß	†ikréß	tyikrész	†ikréß	TRUE	TRUE
kr	alf	éΩ	kralféΩ	kralfézs	kralféΩ	TRUE	TRUE
kl	íß	end	klíßend	klíszend	klíßend	TRUE	TRUE
b	ár¥	ec	bár¥ec	bárnyec	bár¥ec	TRUE	TRUE
c	iv	el	civel	civel	civel	FALSE	TRUE
d	aj	é©	dajé©	dajégy	dajé©	TRUE	TRUE
kv	óm	én	kvómén	kvómén	kvómén	TRUE	TRUE
sp	oc	é¬	spocé¬	spocély	spocé¬	TRUE	TRUE
f	akn	ég	faknég	faknég	faknég	TRUE	FALSE
k	ißt	ec	kißtec	kisztec	kißtec	FALSE	TRUE
pr	á©	ef	prá©ef	prágyef	prá©ef	TRUE	TRUE
v	óg	en	vógen	vógen	vógen	TRUE	TRUE
©	ojl	ek	©ojlek	gyojlek	©ojlek	TRUE	TRUE
†	apn	éß	†apnéß	tyapnész	†apnéß	TRUE	TRUE
ßp	ar	éj	ßparéj	szparéj	ßparéj	FALSE	TRUE
kr	ing	ec	kringec	kringec	kringec	TRUE	TRUE
g	ínt	ér	gíntér	gíntér	gíntér	FALSE	TRUE
sp	írn	ef	spírnef	spírnef	spírnef	TRUE	TRUE
fr	alß	év	fralßév	fralszév	fralßév	TRUE	TRUE
h	úsv	ég	húsvég	húsvég	húsvég	FALSE	FALSE
j	amp	en	jampen	jampen	jampen	FALSE	FALSE
NA	útß	éj	útßéj	útszéj	útßéj	FALSE	FALSE
sk	und	eb	skundeb	skundeb	skundeb	TRUE	TRUE
z	an	év	zanév	zanév	zanév	FALSE	TRUE
f	itn	él	fitnél	fitnél	fitnél	TRUE	TRUE
gr	ábf	é¥	grábfé¥	grábfény	grábfé¥	TRUE	TRUE
f	ic	ég	ficég	ficég	ficég	TRUE	TRUE
g	akn	e¬	gakne¬	gaknely	gakne¬	TRUE	TRUE
fl	id	ez	flidez	flidez	flidez	TRUE	TRUE
g	akb	é¬	gakbé¬	gakbély	gakbé¬	TRUE	TRUE
n	olf	ép	nolfép	nolfép	nolfép	TRUE	FALSE
b	ízj	et	bízjet	bízjet	bízjet	TRUE	TRUE
sp	anr	ej	spanrej	spanrej	spanrej	TRUE	TRUE
¥	okt	ed	¥okted	nyokted	¥okted	TRUE	TRUE
d	ac	ép	dacép	dacép	dacép	TRUE	FALSE
g	ußt	e¬	gußte¬	gusztely	gußte¬	TRUE	TRUE
z	a†	ec	za†ec	zatyec	za†ec	TRUE	TRUE
k	ac	é¥	kacé¥	kacény	kacé¥	FALSE	TRUE
l	ub	éd	lubéd	lubéd	lubéd	TRUE	TRUE
d	apn	est	dapnest	dapnest	dapnest	TRUE	TRUE
n	itv	éz	nitvéz	nitvéz	nitvéz	TRUE	TRUE
k	ímf	est	kímfest	kímfest	kímfest	TRUE	TRUE
c	in	ej	cinej	cinej	cinej	FALSE	FALSE
p	ís	é¥	písé¥	písény	písé¥	TRUE	TRUE
f	iß	év	fißév	fiszév	fißév	TRUE	TRUE
h	árt	enß	hártenß	hártensz	hártenß	TRUE	TRUE
©	art	eßk	©arteßk	gyarteszk	©arteßk	TRUE	TRUE
ç	igm	éd	çigméd	csigméd	çigméd	TRUE	TRUE
r	az	és	razés	razés	razés	TRUE	FALSE
ßl	unk	é©	ßlunké©	szlunkégy	ßlunké©	TRUE	TRUE
ß	imb	ej	ßimbej	szimbej	ßimbej	TRUE	TRUE
t	ín	eßk	tíneßk	tíneszk	tíneßk	TRUE	TRUE
t	i©	er	ti©er	tigyer	ti©er	TRUE	TRUE
tr	ak	el	trakel	trakel	trakel	TRUE	TRUE
ßp	án	e¬	ßpáne¬	szpánely	ßpáne¬	TRUE	TRUE
m	anr	ec	manrec	manrec	manrec	TRUE	TRUE
j	íg	ert	jígert	jígert	jígert	TRUE	TRUE
fl	ár	end	flárend	flárend	flárend	TRUE	TRUE
kl	int	éc	klintéc	klintéc	klintéc	TRUE	TRUE
d	alc	ér	dalcér	dalcér	dalcér	TRUE	FALSE
m	apß	ér	mapßér	mapszér	mapßér	TRUE	FALSE
t	ánd	ék	tándék	tándék	tándék	FALSE	FALSE
b	áln	ert	bálnert	bálnert	bálnert	TRUE	TRUE
d	alk	enc	dalkenc	dalkenc	dalkenc	TRUE	TRUE
ß	if	et	ßifet	szifet	ßifet	FALSE	TRUE
fl	ík	et	flíket	flíket	flíket	TRUE	TRUE
ß	inc	éj	ßincéj	szincéj	ßincéj	TRUE	TRUE
ß	ajr	ent	ßajrent	szajrent	ßajrent	TRUE	TRUE
z	uk	es	zukes	zukes	zukes	TRUE	TRUE
f	árv	eb	fárveb	fárveb	fárveb	TRUE	TRUE
d	its	ép	ditsép	ditsép	ditsép	TRUE	TRUE
tr	ín	el	trínel	trínel	trínel	TRUE	TRUE
p	is	et	piset	piset	piset	TRUE	TRUE
tr	am	és	tramés	tramés	tramés	TRUE	TRUE
k	ojl	end	kojlend	kojlend	kojlend	TRUE	TRUE
ßp	ind	el	ßpindel	szpindel	ßpindel	TRUE	TRUE
l	akb	ec	lakbec	lakbec	lakbec	TRUE	TRUE
†	id	én	†idén	tyidén	†idén	FALSE	TRUE
sp	ilm	ét	spilmét	spilmét	spilmét	TRUE	TRUE
fr	uß	ég	frußég	fruszég	frußég	TRUE	TRUE
Ω	ík	éd	Ωíkéd	zsíkéd	Ωíkéd	TRUE	TRUE
sr	úl	ép	srúlép	srúlép	srúlép	TRUE	TRUE
l	is	end	lisend	lisend	lisend	TRUE	TRUE
k	ogr	éj	kogréj	kogréj	kogréj	TRUE	TRUE
z	ajl	eb	zajleb	zajleb	zajleb	TRUE	FALSE
sl	ár¥	et	slár¥et	slárnyet	slár¥et	TRUE	TRUE
fr	i©	el	fri©el	frigyel	fri©el	FALSE	FALSE
v	ízj	ér	vízjér	vízjér	vízjér	FALSE	FALSE
l	uc	ens	lucens	lucens	lucens	TRUE	TRUE
Ω	oc	ép	Ωocép	zsocép	Ωocép	TRUE	TRUE
dΩ	uk	ép	dΩukép	dzsukép	dΩukép	TRUE	FALSE
ßp	ord	él	ßpordél	szpordél	ßpordél	TRUE	TRUE
br	ojl	éd	brojléd	brojléd	brojléd	TRUE	TRUE
NA	ód	ér	ódér	ódér	ódér	FALSE	TRUE
NA	ápr	év	áprév	áprév	áprév	TRUE	TRUE
b	uc	eß	buceß	bucesz	buceß	TRUE	TRUE
k	íß	éj	kíßéj	kíszéj	kíßéj	TRUE	TRUE
k	áç	er	káçer	kácser	káçer	FALSE	TRUE
ç	idr	é©	çidré©	csidrégy	çidré©	TRUE	TRUE
c	al	ek	calek	calek	calek	FALSE	TRUE
g	ázn	elt	gáznelt	gáznelt	gáznelt	TRUE	TRUE
r	alv	eb	ralveb	ralveb	ralveb	TRUE	FALSE
p	içf	er	piçfer	picsfer	piçfer	TRUE	TRUE
NA	az	éc	azéc	azéc	azéc	FALSE	TRUE
sk	ir	ed	skired	skired	skired	TRUE	TRUE
k	ób	e¬	kóbe¬	kóbely	kóbe¬	TRUE	TRUE
f	am	ern	famern	famern	famern	TRUE	TRUE
ß	olv	ép	ßolvép	szolvép	ßolvép	TRUE	FALSE
m	íg	ép	mígép	mígép	mígép	TRUE	FALSE
Ω	av	éd	Ωavéd	zsavéd	Ωavéd	TRUE	TRUE
†	ízl	éj	†ízléj	tyízléj	†ízléj	TRUE	TRUE
t	ad	és	tadés	tadés	tadés	TRUE	TRUE
sl	ort	en	slorten	slorten	slorten	TRUE	TRUE
t	akb	end	takbend	takbend	takbend	TRUE	TRUE
sm	án	ek	smánek	smánek	smánek	TRUE	TRUE
z	íl	ef	zílef	zílef	zílef	TRUE	TRUE
br	ak	elt	brakelt	brakelt	brakelt	TRUE	TRUE
t	onv	ec	tonvec	tonvec	tonvec	TRUE	TRUE
sl	amz	en	slamzen	slamzen	slamzen	TRUE	TRUE
p	órn	éc	pórnéc	pórnéc	pórnéc	FALSE	TRUE
p	ilm	ét	pilmét	pilmét	pilmét	TRUE	TRUE
NA	imb	éz	imbéz	imbéz	imbéz	TRUE	TRUE
j	orz	enc	jorzenc	jorzenc	jorzenc	TRUE	TRUE
v	ámj	éz	vámjéz	vámjéz	vámjéz	TRUE	TRUE
Ω	iv	eb	Ωiveb	zsiveb	Ωiveb	TRUE	TRUE
n	ít	erz	níterz	níterz	níterz	TRUE	TRUE
st	alf	e©	stalfe©	stalfegy	stalfe©	TRUE	TRUE
kl	anz	éd	klanzéd	klanzéd	klanzéd	TRUE	TRUE
v	ast	é¥	vasté¥	vastény	vasté¥	TRUE	FALSE
z	ot	ék	zoték	zoték	zoték	TRUE	TRUE
g	adr	éß	gadréß	gadrész	gadréß	TRUE	TRUE
c	amz	ék	camzék	camzék	camzék	TRUE	TRUE
¥	im	ég	¥imég	nyimég	¥imég	TRUE	TRUE
¥	ugß	ép	¥ugßép	nyugszép	¥ugßép	FALSE	TRUE
c	áj	ér	cájér	cájér	cájér	TRUE	TRUE
p	ábf	elv	pábfelv	pábfelv	pábfelv	TRUE	FALSE
NA	akn	ét	aknét	aknét	aknét	TRUE	TRUE
©	uc	ert	©ucert	gyucert	©ucert	TRUE	TRUE
r	i†	elv	ri†elv	rityelv	ri†elv	TRUE	TRUE
pl	orv	ed	plorved	plorved	plorved	TRUE	FALSE
g	oßt	ern	goßtern	gosztern	goßtern	TRUE	TRUE
r	ilt	é©	rilté©	riltégy	rilté©	TRUE	TRUE
pr	ij	él	prijél	prijél	prijél	TRUE	TRUE
sk	arm	el	skarmel	skarmel	skarmel	TRUE	TRUE
tr	il	ek	trilek	trilek	trilek	TRUE	TRUE
kr	ánd	él	krándél	krándél	krándél	TRUE	TRUE
t	id	er	tider	tider	tider	TRUE	TRUE
v	árt	es	vártes	vártes	vártes	TRUE	FALSE
j	úfn	eßk	júfneßk	júfneszk	júfneßk	TRUE	TRUE
z	án	él	zánél	zánél	zánél	FALSE	TRUE
kr	im	e©	krime©	krimegy	krime©	TRUE	TRUE
pr	ín	é©	príné©	prínégy	príné©	TRUE	TRUE
f	ínt	e¬	fínte¬	fíntely	fínte¬	TRUE	TRUE
†	íb	ez	†íbez	tyíbez	†íbez	TRUE	TRUE
ß	ór	ét	ßórét	szórét	ßórét	FALSE	FALSE
v	ayk	ég	vaykég	vaykég	vaykég	TRUE	TRUE
j	os	enc	josenc	josenc	josenc	TRUE	TRUE
n	ofß	e©	nofße©	nofszegy	nofße©	TRUE	FALSE
fl	ap	éz	flapéz	flapéz	flapéz	TRUE	TRUE
g	om	ek	gomek	gomek	gomek	TRUE	TRUE
s	ang	elt	sangelt	sangelt	sangelt	TRUE	TRUE
j	i†	éd	ji†éd	jityéd	ji†éd	TRUE	TRUE
r	anß	et	ranßet	ranszet	ranßet	TRUE	TRUE
k	uc	ég	kucég	kucég	kucég	TRUE	TRUE
sr	ov	enc	srovenc	srovenc	srovenc	TRUE	TRUE
†	úsl	ég	†úslég	tyúslég	†úslég	TRUE	TRUE
t	ám	ez	támez	támez	támez	TRUE	TRUE
p	árt	én	pártén	pártén	pártén	TRUE	FALSE
n	ajr	eg	najreg	najreg	najreg	TRUE	TRUE
c	ayk	elt	caykelt	caykelt	caykelt	TRUE	TRUE
kl	áj	ert	klájert	klájert	klájert	TRUE	TRUE
tr	ovj	ed	trovjed	trovjed	trovjed	TRUE	TRUE
l	íns	ék	línsék	línsék	línsék	TRUE	TRUE
h	ub	ef	hubef	hubef	hubef	TRUE	TRUE
fr	azb	en	frazben	frazben	frazben	TRUE	TRUE
fr	ot	ez	frotez	frotez	frotez	TRUE	TRUE
t	ovd	é©	tovdé©	tovdégy	tovdé©	TRUE	TRUE
kv	ajt	ed	kvajted	kvajted	kvajted	TRUE	TRUE
ß	ic	ed	ßiced	sziced	ßiced	TRUE	TRUE
l	ind	ef	lindef	lindef	lindef	TRUE	TRUE
kl	ót	én	klótén	klótén	klótén	TRUE	FALSE
s	ab	er	saber	saber	saber	FALSE	TRUE
sp	ímz	ét	spímzét	spímzét	spímzét	TRUE	TRUE
n	orz	ej	norzej	norzej	norzej	TRUE	FALSE
pr	onß	eb	pronßeb	pronszeb	pronßeb	TRUE	FALSE
b	akn	e©	bakne©	baknegy	bakne©	TRUE	FALSE
t	uß	enc	tußenc	tuszenc	tußenc	TRUE	TRUE
l	uz	év	luzév	luzév	luzév	TRUE	TRUE
j	olf	enc	jolfenc	jolfenc	jolfenc	TRUE	TRUE
c	um	ép	cumép	cumép	cumép	TRUE	TRUE
p	ist	ek	pistek	pistek	pistek	TRUE	TRUE
l	ágn	ezt	lágnezt	lágnezt	lágnezt	TRUE	TRUE
f	itv	eg	fitveg	fitveg	fitveg	TRUE	TRUE
d	áç	ez	dáçez	dácsez	dáçez	TRUE	TRUE
j	ár	ék	járék	járék	járék	FALSE	FALSE
f	ak	ér	fakér	fakér	fakér	FALSE	FALSE
d	ár¥	ég	dár¥ég	dárnyég	dár¥ég	TRUE	TRUE
Ω	áb	ép	Ωábép	zsábép	Ωábép	TRUE	TRUE
c	ízl	ef	cízlef	cízlef	cízlef	TRUE	TRUE
spr	ób	éd	spróbéd	spróbéd	spróbéd	TRUE	TRUE
c	óß	ed	cóßed	cószed	cóßed	TRUE	TRUE
¥	ovd	ék	¥ovdék	nyovdék	¥ovdék	TRUE	TRUE
k	ov	és	kovés	kovés	kovés	FALSE	TRUE
b	írl	ek	bírlek	bírlek	bírlek	TRUE	TRUE
r	uc	est	rucest	rucest	rucest	TRUE	TRUE
c	ábß	em	cábßem	cábszem	cábßem	TRUE	TRUE
z	ond	elt	zondelt	zondelt	zondelt	TRUE	TRUE
NA	ít	ez	ítez	ítez	ítez	FALSE	TRUE
ßl	ink	é©	ßlinké©	szlinkégy	ßlinké©	TRUE	TRUE
k	itv	enc	kitvenc	kitvenc	kitvenc	TRUE	TRUE
k	íb	ern	kíbern	kíbern	kíbern	TRUE	TRUE
v	ißt	é¥	vißté¥	visztény	vißté¥	TRUE	FALSE
sk	alt	ég	skaltég	skaltég	skaltég	TRUE	TRUE
ç	ovd	ét	çovdét	csovdét	çovdét	TRUE	TRUE
†	izg	er	†izger	tyizger	†izger	TRUE	TRUE
h	olv	enß	holvenß	holvensz	holvenß	TRUE	TRUE
kl	ámj	et	klámjet	klámjet	klámjet	TRUE	TRUE
v	idr	est	vidrest	vidrest	vidrest	TRUE	TRUE
skr	aj	ed	skrajed	skrajed	skrajed	TRUE	TRUE
ßp	íml	er	ßpímler	szpímler	ßpímler	TRUE	TRUE
h	íß	ek	híßek	híszek	híßek	FALSE	TRUE
z	ád	éc	zádéc	zádéc	zádéc	TRUE	TRUE
fr	its	eb	fritseb	fritseb	fritseb	TRUE	TRUE
j	ám	ef	jámef	jámef	jámef	TRUE	TRUE
NA	inz	est	inzest	inzest	inzest	FALSE	TRUE
sk	int	eg	skinteg	skinteg	skinteg	TRUE	TRUE
