onset	v1c1c2	v2c3c4	tr	word	target	keep_enough_distance	keep_no_overlap
©	esk	es	©eskesik	gyeskesik	©eskes	TRUE	FALSE
m	égz	ek	mégzekik	mégzekik	mégzek	TRUE	TRUE
c	ald	áΩl	caldáΩlik	caldázslik	caldáΩl	TRUE	TRUE
g	ap	áß	gapáßik	gapászik	gapáß	TRUE	TRUE
f	e†	erß	fe†erßik	fetyerszik	fe†erß	TRUE	TRUE
f	erz	ejl	ferzejlik	ferzejlik	ferzejl	TRUE	TRUE
j	elç	ek	jelçekik	jelcsekik	jelçek	TRUE	TRUE
¥	é¥k	eml	¥é¥kemlik	nyénykemlik	¥é¥keml	TRUE	TRUE
†	ík	et	†íketik	tyíketik	†íket	TRUE	TRUE
r	ás	asl	rásaslik	rásaslik	rásasl	TRUE	TRUE
s	u†	űdz	su†űdzik	sutyűdzik	su†űdz	TRUE	TRUE
h	ol	űz	holűzik	holűzik	holűz	TRUE	FALSE
NA	or	okl	oroklik	oroklik	orokl	TRUE	TRUE
ß	en	ez	ßenezik	szenezik	ßenez	TRUE	TRUE
z	iml	ed	zimledik	zimledik	zimled	TRUE	TRUE
br	ám	ajl	brámajlik	brámajlik	brámajl	TRUE	TRUE
ç	ilm	akl	çilmaklik	csilmaklik	çilmakl	TRUE	TRUE
v	est	ek	vestekik	vestekik	vestek	TRUE	TRUE
¥	ikr	edz	¥ikredzik	nyikredzik	¥ikredz	TRUE	TRUE
r	ík	az	ríkazik	ríkazik	ríkaz	TRUE	FALSE
pr	üt	önl	prütönlik	prütönlik	prütönl	TRUE	TRUE
ß	ar	aml	ßaramlik	szaramlik	ßaraml	TRUE	TRUE
b	őz	ökl	bőzöklik	bőzöklik	bőzökl	TRUE	TRUE
v	obr	óz	vobrózik	vobrózik	vobróz	TRUE	TRUE
pr	áç	ádz	práçádzik	prácsádzik	práçádz	TRUE	TRUE
©	int	en	©intenik	gyintenik	©inten	TRUE	TRUE
ç	ínl	ékß	çínlékßik	csínlékszik	çínlékß	TRUE	TRUE
v	ík	agl	víkaglik	víkaglik	víkagl	TRUE	TRUE
ß	ól	úd	ßólúdik	szólúdik	ßólúd	TRUE	FALSE
t	ík	ez	tíkezik	tíkezik	tíkez	TRUE	TRUE
fl	ü©k	üd	flü©küdik	flügyküdik	flü©küd	TRUE	TRUE
ç	esl	et	çesletik	csesletik	çeslet	TRUE	TRUE
m	i¥	es	mi¥esik	minyesik	mi¥es	TRUE	FALSE
dΩ	űr	onl	dΩűronlik	dzsűronlik	dΩűronl	TRUE	TRUE
ß	edv	ekß	ßedvekßik	szedvekszik	ßedvekß	TRUE	TRUE
fl	ack	ád	flackádik	flackádik	flackád	TRUE	TRUE
ßt	árm	áz	ßtármázik	sztármázik	ßtármáz	TRUE	FALSE
m	erg	éß	mergéßik	mergészik	mergéß	TRUE	FALSE
m	údb	uz	múdbuzik	múdbuzik	múdbuz	TRUE	TRUE
Ω	is	ajl	Ωisajlik	zsisajlik	Ωisajl	TRUE	TRUE
Ω	ősk	önl	Ωőskönlik	zsőskönlik	Ωőskönl	TRUE	TRUE
v	eΩg	érß	veΩgérßik	vezsgérszik	veΩgérß	TRUE	TRUE
n	ík	at	níkatik	níkatik	níkat	TRUE	TRUE
f	űn	ösl	fűnöslik	fűnöslik	fűnösl	TRUE	TRUE
dΩ	ism	at	dΩismatik	dzsismatik	dΩismat	TRUE	TRUE
¥	edv	é¥l	¥edvé¥lik	nyedvénylik	¥edvé¥l	TRUE	TRUE
g	a©	á¥z	ga©á¥zik	gagyányzik	ga©á¥z	TRUE	TRUE
m	alh	akz	malhakzik	malhakzik	malhakz	TRUE	TRUE
t	ol	okl	toloklik	toloklik	tolokl	TRUE	TRUE
sn	ír	áz	snírázik	snírázik	sníráz	TRUE	TRUE
v	esl	ez	veslezik	veslezik	veslez	TRUE	TRUE
l	eng	ed	lengedik	lengedik	lenged	TRUE	FALSE
k	ant	árz	kantárzik	kantárzik	kantárz	TRUE	TRUE
r	ölt	önl	röltönlik	röltönlik	röltönl	TRUE	TRUE
dΩ	a©	ánz	dΩa©ánzik	dzsagyánzik	dΩa©ánz	TRUE	TRUE
©	úk	ud	©úkudik	gyúkudik	©úkud	TRUE	TRUE
s	ipr	érl	siprérlik	siprérlik	siprérl	TRUE	TRUE
tr	í¥l	az	trí¥lazik	trínylazik	trí¥laz	TRUE	TRUE
h	ifj	á¬l	hifjá¬lik	hifjálylik	hifjá¬l	TRUE	TRUE
dΩ	örl	őd	dΩörlődik	dzsörlődik	dΩörlőd	TRUE	TRUE
f	arj	áΩl	farjáΩlik	farjázslik	farjáΩl	TRUE	TRUE
f	úr	onl	fúronlik	fúronlik	fúronl	TRUE	TRUE
s	op	uz	sopuzik	sopuzik	sopuz	TRUE	TRUE
b	arj	ak	barjakik	barjakik	barjak	TRUE	FALSE
sn	ölt	üd	snöltüdik	snöltüdik	snöltüd	TRUE	TRUE
v	ig	éß	vigéßik	vigészik	vigéß	TRUE	TRUE
n	an	áß	nanáßik	nanászik	nanáß	FALSE	FALSE
m	ipr	ez	miprezik	miprezik	miprez	TRUE	FALSE
ç	umç	oz	çumçozik	csumcsozik	çumçoz	TRUE	TRUE
sp	ukd	óz	spukdózik	spukdózik	spukdóz	TRUE	TRUE
z	of	os	zofosik	zofosik	zofos	TRUE	TRUE
NA	ujd	uz	ujduzik	ujduzik	ujduz	TRUE	TRUE
d	ig	akz	digakzik	digakzik	digakz	TRUE	TRUE
c	el	esl	celeslik	celeslik	celesl	TRUE	TRUE
Ω	öt	őrz	Ωötőrzik	zsötőrzik	Ωötőrz	TRUE	TRUE
b	ögl	önl	böglönlik	böglönlik	böglönl	TRUE	TRUE
NA	ag	á¥z	agá¥zik	agányzik	agá¥z	TRUE	TRUE
h	áßt	iz	háßtizik	hásztizik	háßtiz	FALSE	TRUE
d	uml	ód	dumlódik	dumlódik	dumlód	TRUE	TRUE
p	ök	üd	pöküdik	pöküdik	pöküd	TRUE	TRUE
ß	ajh	atl	ßajhatlik	szajhatlik	ßajhatl	TRUE	TRUE
ç	iç	áz	çiçázik	csicsázik	çiçáz	FALSE	TRUE
k	arj	iz	karjizik	karjizik	karjiz	TRUE	TRUE
br	öl	ökl	brölöklik	brölöklik	brölökl	TRUE	TRUE
b	árk	amz	bárkamzik	bárkamzik	bárkamz	TRUE	TRUE
¥	esl	ejl	¥eslejlik	nyeslejlik	¥eslejl	TRUE	TRUE
d	int	ek	dintekik	dintekik	dintek	TRUE	TRUE
NA	omj	osl	omjoslik	omjoslik	omjosl	TRUE	TRUE
fl	ev	érl	flevérlik	flevérlik	flevérl	TRUE	TRUE
sk	ajl	ád	skajládik	skajládik	skajlád	TRUE	TRUE
c	al	ajl	calajlik	calajlik	calajl	TRUE	TRUE
j	arj	árz	jarjárzik	jarjárzik	jarjárz	TRUE	TRUE
k	und	óz	kundózik	kundózik	kundóz	TRUE	TRUE
sm	id	agl	smidaglik	smidaglik	smidagl	TRUE	TRUE
fl	a†	áß	fla†áßik	flatyászik	fla†áß	TRUE	TRUE
pr	ör	űz	prörűzik	prörűzik	prörűz	TRUE	TRUE
m	ül	üd	mülüdik	mülüdik	mülüd	TRUE	TRUE
ßt	őr	ökl	ßtőröklik	sztőröklik	ßtőrökl	TRUE	TRUE
dΩ	o†	űz	dΩo†űzik	dzsotyűzik	dΩo†űz	TRUE	FALSE
sn	orl	űz	snorlűzik	snorlűzik	snorlűz	TRUE	TRUE
c	áts	agß	cátsagßik	cátsagszik	cátsagß	TRUE	TRUE
¥	aj	á¬l	¥ajá¬lik	nyajálylik	¥ajá¬l	TRUE	TRUE
v	űr	űz	vűrűzik	vűrűzik	vűrűz	FALSE	TRUE
¥	il	adz	¥iladzik	nyiladzik	¥iladz	FALSE	TRUE
n	ub	os	nubosik	nubosik	nubos	TRUE	TRUE
©	id	aml	©idamlik	gyidamlik	©idaml	TRUE	TRUE
s	í¥l	egz	sí¥legzik	sínylegzik	sí¥legz	TRUE	TRUE
d	ig	ak	digakik	digakik	digak	TRUE	TRUE
sp	áv	árz	spávárzik	spávárzik	spávárz	TRUE	TRUE
g	uld	úz	guldúzik	guldúzik	guldúz	TRUE	TRUE
NA	űv	üß	űvüßik	űvüszik	űvüß	TRUE	TRUE
ßt	al	áΩl	ßtaláΩlik	sztalázslik	ßtaláΩl	TRUE	TRUE
b	elh	en	belhenik	belhenik	belhen	TRUE	FALSE
bl	árh	az	blárhazik	blárhazik	blárhaz	TRUE	TRUE
r	ot	űz	rotűzik	rotűzik	rotűz	TRUE	TRUE
n	omj	os	nomjosik	nomjosik	nomjos	TRUE	FALSE
p	omj	űdz	pomjűdzik	pomjűdzik	pomjűdz	TRUE	TRUE
t	év	ékz	tévékzik	tévékzik	tévékz	FALSE	TRUE
n	erm	érß	nermérßik	nermérszik	nermérß	TRUE	TRUE
ßt	al	árz	ßtalárzik	sztalárzik	ßtalárz	TRUE	TRUE
sn	u©	uz	snu©uzik	snugyuzik	snu©uz	TRUE	TRUE
sk	ón	uz	skónuzik	skónuzik	skónuz	TRUE	TRUE
b	i©	es	bi©esik	bigyesik	bi©es	TRUE	TRUE
c	őr	űdz	cőrűdzik	cőrűdzik	cőrűdz	TRUE	TRUE
bl	ot	uz	blotuzik	blotuzik	blotuz	TRUE	TRUE
©	ámk	áß	©ámkáßik	gyámkászik	©ámkáß	TRUE	FALSE
m	omj	orz	momjorzik	momjorzik	momjorz	TRUE	TRUE
h	ag	áΩl	hagáΩlik	hagázslik	hagáΩl	TRUE	TRUE
ß	ób	űdz	ßóbűdzik	szóbűdzik	ßóbűdz	TRUE	FALSE
d	as	áz	dasázik	dasázik	dasáz	FALSE	TRUE
d	inc	érl	dincérlik	dincérlik	dincérl	TRUE	TRUE
f	ir	egß	firegßik	firegszik	firegß	TRUE	TRUE
h	ál	áΩl	háláΩlik	hálázslik	háláΩl	TRUE	TRUE
h	on	onl	hononlik	hononlik	hononl	TRUE	TRUE
b	aßt	ágz	baßtágzik	basztágzik	baßtágz	TRUE	TRUE
z	ar	ád	zarádik	zarádik	zarád	TRUE	TRUE
br	ult	ód	brultódik	brultódik	brultód	TRUE	TRUE
†	úv	ud	†úvudik	tyúvudik	†úvud	TRUE	TRUE
j	at	áß	jatáßik	jatászik	jatáß	TRUE	FALSE
f	an	agß	fanagßik	fanagszik	fanagß	TRUE	TRUE
f	ib	ed	fibedik	fibedik	fibed	TRUE	TRUE
br	úv	osl	brúvoslik	brúvoslik	brúvosl	TRUE	TRUE
dΩ	u†	orz	dΩu†orzik	dzsutyorzik	dΩu†orz	TRUE	TRUE
sm	irk	áß	smirkáßik	smirkászik	smirkáß	TRUE	TRUE
ç	uml	uz	çumluzik	csumluzik	çumluz	TRUE	TRUE
j	újh	úz	jújhúzik	jújhúzik	jújhúz	TRUE	TRUE
v	uçk	űdz	vuçkűdzik	vucskűdzik	vuçkűdz	TRUE	TRUE
t	ül	üß	tülüßik	tülüszik	tülüß	TRUE	TRUE
sp	ib	akß	spibakßik	spibakszik	spibakß	TRUE	TRUE
tr	am	á¬l	tramá¬lik	tramálylik	tramá¬l	TRUE	TRUE
Ω	a¥	iz	Ωa¥izik	zsanyizik	Ωa¥iz	TRUE	TRUE
p	erg	éß	pergéßik	pergészik	pergéß	TRUE	FALSE
©	elp	éß	©elpéßik	gyelpészik	©elpéß	TRUE	TRUE
v	as	agz	vasagzik	vasagzik	vasagz	TRUE	TRUE
m	imb	ágz	mimbágzik	mimbágzik	mimbágz	TRUE	TRUE
h	eßk	étl	heßkétlik	heszkétlik	heßkétl	TRUE	TRUE
s	ot	űz	sotűzik	sotűzik	sotűz	TRUE	TRUE
c	on	uz	conuzik	conuzik	conuz	TRUE	TRUE
†	ajr	apß	†ajrapßik	tyajrapszik	†ajrapß	TRUE	TRUE
dΩ	oh	osl	dΩohoslik	dzsohoslik	dΩohosl	TRUE	TRUE
n	at	apß	natapßik	natapszik	natapß	TRUE	TRUE
p	ipr	ékß	piprékßik	piprékszik	piprékß	TRUE	TRUE
©	u†	óz	©u†ózik	gyutyózik	©u†óz	TRUE	TRUE
c	ald	á¥z	caldá¥zik	caldányzik	caldá¥z	TRUE	TRUE
j	ív	atl	jívatlik	jívatlik	jívatl	TRUE	TRUE
NA	eml	éz	emlézik	emlézik	emléz	TRUE	TRUE
n	árk	áΩl	nárkáΩlik	nárkázslik	nárkáΩl	TRUE	TRUE
pl	it	ekß	plitekßik	plitekszik	plitekß	TRUE	TRUE
s	akl	amz	saklamzik	saklamzik	saklamz	TRUE	TRUE
m	ul	úd	mulúdik	mulúdik	mulúd	TRUE	TRUE
n	int	edz	nintedzik	nintedzik	nintedz	TRUE	FALSE
v	obr	oz	vobrozik	vobrozik	vobroz	FALSE	TRUE
tr	áv	iz	trávizik	trávizik	tráviz	TRUE	TRUE
©	érk	en	©érkenik	gyérkenik	©érken	TRUE	FALSE
ß	elç	ek	ßelçekik	szelcsekik	ßelçek	TRUE	TRUE
tr	iml	éß	trimléßik	trimlészik	trimléß	TRUE	TRUE
c	épz	én	cépzénik	cépzénik	cépzén	TRUE	FALSE
k	ac	agz	kacagzik	kacagzik	kacagz	TRUE	TRUE
s	ack	agl	sackaglik	sackaglik	sackagl	TRUE	TRUE
ß	erg	en	ßergenik	szergenik	ßergen	TRUE	FALSE
r	ókl	os	róklosik	róklosik	róklos	TRUE	FALSE
r	orn	űdz	rornűdzik	rornűdzik	rornűdz	TRUE	TRUE
ß	év	éz	ßévézik	szévézik	ßévéz	FALSE	TRUE
ßt	a†	amz	ßta†amzik	sztatyamzik	ßta†amz	TRUE	TRUE
bl	űn	űdz	blűnűdzik	blűnűdzik	blűnűdz	TRUE	TRUE
sp	ík	áß	spíkáßik	spíkászik	spíkáß	TRUE	TRUE
r	á¥	iz	rá¥izik	rányizik	rá¥iz	TRUE	TRUE
©	oßt	űdz	©oßtűdzik	gyosztűdzik	©oßtűdz	TRUE	TRUE
pl	a†	áz	pla†ázik	platyázik	pla†áz	TRUE	TRUE
pl	olg	óz	plolgózik	plolgózik	plolgóz	TRUE	TRUE
†	epr	étl	†eprétlik	tyeprétlik	†eprétl	TRUE	TRUE
c	id	egß	cidegßik	cidegszik	cidegß	FALSE	TRUE
v	oh	od	vohodik	vohodik	vohod	TRUE	TRUE
n	ip	akß	nipakßik	nipakszik	nipakß	TRUE	TRUE
c	ugl	ódz	cuglódzik	cuglódzik	cuglódz	TRUE	TRUE
c	uks	úz	cuksúzik	cuksúzik	cuksúz	TRUE	TRUE
v	áç	agz	váçagzik	vácsagzik	váçagz	TRUE	TRUE
s	ev	én	sevénik	sevénik	sevén	TRUE	FALSE
d	árh	ád	dárhádik	dárhádik	dárhád	TRUE	TRUE
sp	edv	én	spedvénik	spedvénik	spedvén	TRUE	TRUE
g	áç	az	gáçazik	gácsazik	gáçaz	TRUE	TRUE
†	oç	od	†oçodik	tyocsodik	†oçod	TRUE	TRUE
pl	ic	eml	plicemlik	plicemlik	pliceml	TRUE	TRUE
h	év	éß	hévéßik	hévészik	hévéß	TRUE	FALSE
ç	ifl	et	çifletik	csifletik	çiflet	TRUE	TRUE
v	eß	é¥l	veßé¥lik	veszénylik	veßé¥l	TRUE	TRUE
Ω	ók	úz	Ωókúzik	zsókúzik	Ωókúz	TRUE	TRUE
j	ágt	arz	jágtarzik	jágtarzik	jágtarz	TRUE	TRUE
†	áv	ágz	†ávágzik	tyávágzik	†ávágz	TRUE	TRUE
d	int	érl	dintérlik	dintérlik	dintérl	TRUE	TRUE
j	ag	agz	jagagzik	jagagzik	jagagz	TRUE	TRUE
fl	otr	úz	flotrúzik	flotrúzik	flotrúz	TRUE	TRUE
Ω	úr	ud	Ωúrudik	zsúrudik	Ωúrud	TRUE	TRUE
¥	úv	osl	¥úvoslik	nyúvoslik	¥úvosl	TRUE	TRUE
d	űt	orz	dűtorzik	dűtorzik	dűtorz	TRUE	FALSE
sm	edv	éß	smedvéßik	smedvészik	smedvéß	TRUE	TRUE
¥	oßt	óz	¥oßtózik	nyosztózik	¥oßtóz	TRUE	TRUE
t	a©l	iz	ta©lizik	tagylizik	ta©liz	TRUE	TRUE
b	esl	edz	besledzik	besledzik	besledz	TRUE	FALSE
bl	ár	ád	blárádik	blárádik	blárád	TRUE	TRUE
v	ab	aml	vabamlik	vabamlik	vabaml	TRUE	TRUE
sm	ób	ód	smóbódik	smóbódik	smóbód	TRUE	TRUE
d	at	agl	dataglik	dataglik	datagl	TRUE	TRUE
dΩ	ár	apß	dΩárapßik	dzsárapszik	dΩárapß	TRUE	TRUE
©	ág	az	©ágazik	gyágazik	©ágaz	FALSE	TRUE
d	ant	ak	dantakik	dantakik	dantak	TRUE	TRUE
t	op	uz	topuzik	topuzik	topuz	TRUE	TRUE
r	ilm	epß	rilmepßik	rilmepszik	rilmepß	TRUE	TRUE
©	e†	éß	©e†éßik	gyetyészik	©e†éß	TRUE	TRUE
v	iΩ	áΩl	viΩáΩlik	vizsázslik	viΩáΩl	TRUE	TRUE
fl	urj	úd	flurjúdik	flurjúdik	flurjúd	TRUE	TRUE
†	eß	é¥l	†eßé¥lik	tyeszénylik	†eßé¥l	TRUE	TRUE
NA	ált	ádz	áltádzik	áltádzik	áltádz	TRUE	FALSE
ç	ic	agl	çicaglik	csicaglik	çicagl	TRUE	TRUE
l	újt	ud	lújtudik	lújtudik	lújtud	TRUE	TRUE
¥	an	akz	¥anakzik	nyanakzik	¥anakz	TRUE	TRUE
¥	er	ed	¥eredik	nyeredik	¥ered	TRUE	FALSE
n	a¥	áß	na¥áßik	nanyászik	na¥áß	TRUE	FALSE
fl	el	ékß	flelékßik	flelékszik	flelékß	TRUE	TRUE
h	űgl	od	hűglodik	hűglodik	hűglod	TRUE	FALSE
j	űv	ódz	jűvódzik	jűvódzik	jűvódz	TRUE	TRUE
l	urn	osl	lurnoslik	lurnoslik	lurnosl	TRUE	TRUE
g	ír	edz	gíredzik	gíredzik	gíredz	TRUE	TRUE
NA	ík	epß	íkepßik	íkepszik	íkepß	TRUE	TRUE
l	ukd	od	lukdodik	lukdodik	lukdod	TRUE	FALSE
l	oc	úd	locúdik	locúdik	locúd	TRUE	TRUE
l	og	okl	logoklik	logoklik	logokl	TRUE	TRUE
z	orj	uz	zorjuzik	zorjuzik	zorjuz	TRUE	TRUE
z	omp	ódz	zompódzik	zompódzik	zompódz	TRUE	TRUE
sp	óg	onl	spógonlik	spógonlik	spógonl	TRUE	TRUE
sp	onz	ód	sponzódik	sponzódik	sponzód	TRUE	TRUE
v	ub	ódz	vubódzik	vubódzik	vubódz	FALSE	TRUE
c	omb	orz	comborzik	comborzik	comborz	TRUE	FALSE
f	í©	ágz	fí©ágzik	fígyágzik	fí©ágz	TRUE	TRUE
h	ack	ád	hackádik	hackádik	hackád	TRUE	FALSE
NA	úk	os	úkosik	úkosik	úkos	TRUE	TRUE
pr	ír	ékz	prírékzik	prírékzik	prírékz	TRUE	TRUE
ç	ot	onl	çotonlik	csotonlik	çotonl	TRUE	TRUE
sm	ív	arz	smívarzik	smívarzik	smívarz	TRUE	TRUE
†	am	agl	†amaglik	tyamaglik	†amagl	TRUE	TRUE
v	il	éß	viléßik	vilészik	viléß	TRUE	TRUE
d	a¥	agß	da¥agßik	danyagszik	da¥agß	TRUE	TRUE
ç	étk	étl	çétkétlik	csétkétlik	çétkétl	TRUE	TRUE
l	o¬	od	lo¬odik	lolyodik	lo¬od	TRUE	TRUE
l	e†h	es	le†hesik	letyhesik	le†hes	TRUE	FALSE
fl	ifj	én	flifjénik	flifjénik	flifjén	TRUE	TRUE
ß	úd	okl	ßúdoklik	szúdoklik	ßúdokl	TRUE	TRUE
r	i©	árz	ri©árzik	rigyárzik	ri©árz	TRUE	TRUE
©	úv	osl	©úvoslik	gyúvoslik	©úvosl	TRUE	TRUE
h	űt	orz	hűtorzik	hűtorzik	hűtorz	TRUE	FALSE
z	ug	óz	zugózik	zugózik	zugóz	FALSE	TRUE
c	űgl	ódz	cűglódzik	cűglódzik	cűglódz	TRUE	TRUE
ß	ut	os	ßutosik	szutosik	ßutos	TRUE	TRUE
n	űnh	óz	nűnhózik	nűnhózik	nűnhóz	TRUE	TRUE
pr	űnh	öz	prűnhözik	prűnhözik	prűnhöz	TRUE	TRUE
b	űt	üd	bűtüdik	bűtüdik	bűtüd	TRUE	TRUE
sn	al	á¥l	snalá¥lik	snalánylik	snalá¥l	TRUE	TRUE
†	az	akß	†azakßik	tyazakszik	†azakß	TRUE	TRUE
tr	a©	akß	tra©akßik	tragyakszik	tra©akß	TRUE	TRUE
pl	ürd	űz	plürdűzik	plürdűzik	plürdűz	TRUE	FALSE
j	ev	egl	jeveglik	jeveglik	jevegl	TRUE	TRUE
k	id	edz	kidedzik	kidedzik	kidedz	TRUE	FALSE
pr	az	arz	prazarzik	prazarzik	prazarz	TRUE	TRUE
l	uml	ódz	lumlódzik	lumlódzik	lumlódz	TRUE	TRUE
m	árk	at	márkatik	márkatik	márkat	TRUE	TRUE
h	ejt	éz	hejtézik	hejtézik	hejtéz	TRUE	TRUE
l	ürk	örl	lürkörlik	lürkörlik	lürkörl	TRUE	TRUE
p	öm	ődz	pömődzik	pömődzik	pömődz	TRUE	TRUE
Ω	ürd	üß	Ωürdüßik	zsürdüszik	Ωürdüß	TRUE	TRUE
b	őn	öd	bőnödik	bőnödik	bőnöd	TRUE	TRUE
sk	á©	agl	ská©aglik	skágyaglik	ská©agl	TRUE	TRUE
ç	or	űdz	çorűdzik	csorűdzik	çorűdz	TRUE	TRUE
g	öng	őd	göngődik	göngődik	göngőd	TRUE	TRUE
Ω	ilm	ágz	Ωilmágzik	zsilmágzik	Ωilmágz	TRUE	TRUE
k	ás	ád	kásádik	kásádik	kásád	FALSE	TRUE
pl	oc	os	plocosik	plocosik	plocos	TRUE	FALSE
f	ip	et	fipetik	fipetik	fipet	TRUE	TRUE
†	ack	á¥z	†acká¥zik	tyackányzik	†acká¥z	TRUE	TRUE
t	oh	ud	tohudik	tohudik	tohud	TRUE	TRUE
s	ált	ánz	sáltánzik	sáltánzik	sáltánz	TRUE	TRUE
n	id	érl	nidérlik	nidérlik	nidérl	TRUE	TRUE
d	í¥l	é¥l	dí¥lé¥lik	dínylénylik	dí¥lé¥l	TRUE	TRUE
z	ót	úd	zótúdik	zótúdik	zótúd	TRUE	TRUE
g	a©	arz	ga©arzik	gagyarzik	ga©arz	TRUE	TRUE
Ω	árm	iz	Ωármizik	zsármizik	Ωármiz	TRUE	TRUE
sm	e†	egl	sme†eglik	smetyeglik	sme†egl	TRUE	TRUE
v	í¥l	esl	ví¥leslik	vínyleslik	ví¥lesl	TRUE	TRUE
pr	etk	et	pretketik	pretketik	pretket	TRUE	TRUE
