form_1	freq_1	stem	xpostag	variation	lemma_freq_corrected	corpus_size	form_2	freq_2	odds	log_odds	base	derivational	nsyl	base_tr	suffix	vowel	darab
basáskodok	3	basáskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	547	8570080167	basáskodom	4	0.8	-0.2231435513142097	basáskodik	NA	3	basáskodik	NA	NA	NA
bátorkodok	131	bátorkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	9746	8570080167	bátorkodom	1686	0.07824540604623592	-2.5479051599595977	bátorkodik	NA	3	bátorkodik	NA	NA	NA
bátorodok	5	bátorodo	[/V][Prs.NDef.1Sg]	lakom/lakok	1398	8570080167	bátorodom	16	0.35294117647058826	-1.041453874828161	bátorodik	NA	3	bátorodik	NA	NA	NA
bátortalanodok	11	bátortalanodo	[/V][Prs.NDef.1Sg]	lakom/lakok	479	8570080167	bátortalanodom	1	6	1.791759469228055	bátortalanodik	NA	5	bátortalanodik	NA	NA	NA
békétlenkedek	4	békétlenkede	[/V][Prs.NDef.1Sg]	lakom/lakok	301	8570080167	békétlenkedem	2	1.6666666666666667	0.5108256237659907	békétlenkedik	NA	4	békétlenkedik	NA	NA	NA
beleszerelmesedek	28	beleszerelmesede	[/V][Prs.NDef.1Sg]	lakom/lakok	2629	8570080167	beleszerelmesedem	8	3.2222222222222223	1.1700712526502546	beleszerelmesedik	NA	6	beleßerelmesedik	NA	NA	NA
berzenkedek	77	berzenkede	[/V][Prs.NDef.1Sg]	lakom/lakok	3632	8570080167	berzenkedem	98	0.7878787878787878	-0.23841102344499823	berzenkedik	NA	3	berzenkedik	NA	NA	NA
betaknyosodok	1	betaknyosodo	[/V][Prs.NDef.1Sg]	lakom/lakok	83	8570080167	betaknyosodom	1	1	0	betaknyosodik	NA	4	betak¥osodik	NA	NA	NA
betegeskedek	66	betegeskede	[/V][Prs.NDef.1Sg]	lakom/lakok	9158	8570080167	betegeskedem	88	0.7528089887640449	-0.28394375034117386	betegeskedik	NA	4	betegeskedik	NA	NA	NA
betegszek	15	betegsze	[/V][Prs.NDef.1Sg]	lakom/lakok	9223	8570080167	betegszem	129	0.12307692307692308	-2.094945728215801	betegszik	szik	2	betegßik	NA	NA	NA
betyárkodok	7	betyárkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	246	8570080167	betyárkodom	1	4	1.3862943611198906	betyárkodik	NA	3	be†árkodik	NA	NA	NA
bíbelődök	210	bíbelődö	[/V][Prs.NDef.1Sg]	lakom/lakok	14471	8570080167	bíbelődöm	239	0.8791666666666667	-0.12878078986592484	bíbelődik	NA	3	bíbelődik	NA	NA	NA
bíráskodok	8	bíráskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	3616	8570080167	bíráskodom	40	0.2195121951219512	-1.5163474893680884	bíráskodik	NA	3	bíráskodik	NA	NA	NA
birkózok	329	birkózo	[/V][Prs.NDef.1Sg]	lakom/lakok	38668	8570080167	birkózom	762	0.4325032765399738	-0.8381653768239311	birkózik	zik	2	birkózik	NA	NA	NA
bizakodok	448	bizakodo	[/V][Prs.NDef.1Sg]	lakom/lakok	30323	8570080167	bizakodom	1122	0.39982190560997327	-0.9167360669961888	bizakodik	NA	3	bizakodik	NA	NA	NA
bizalmaskodok	2	bizalmaskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	700	8570080167	bizalmaskodom	9	0.3	-1.203972804325936	bizalmaskodik	NA	4	bizalmaskodik	NA	NA	NA
bizalmatlankodok	3	bizalmatlankodo	[/V][Prs.NDef.1Sg]	lakom/lakok	284	8570080167	bizalmatlankodom	1	2	0.6931471805599453	bizalmatlankodik	NA	5	bizalmatlankodik	NA	NA	NA
bízok	14694	bízo	[/V][Prs.NDef.1Sg]	lakom/lakok	1037991	8570080167	bízom	139717	0.10517614051160194	-2.252118805622328	bízik	zik	1	bízik	NA	NA	NA
bizonyosodok	39	bizonyosodo	[/V][Prs.NDef.1Sg]	lakom/lakok	29527	8570080167	bizonyosodom	46	0.851063829787234	-0.16126814759612226	bizonyosodik	NA	4	bizo¥osodik	NA	NA	NA
bizonytalankodok	48	bizonytalankodo	[/V][Prs.NDef.1Sg]	lakom/lakok	4183	8570080167	bizonytalankodom	101	0.4803921568627451	-0.7331525151736444	bizonytalankodik	NA	5	bizo¥talankodik	NA	NA	NA
bocsátkozok	71	bocsátkozo	[/V][Prs.NDef.1Sg]	lakom/lakok	24331	8570080167	bocsátkozom	1019	0.07058823529411765	-2.6508917872622613	bocsátkozik	zik	3	boçátkozik	NA	NA	NA
bogarászok	186	bogarászo	[/V][Prs.NDef.1Sg]	lakom/lakok	9264	8570080167	bogarászom	156	1.1910828025477709	0.17486281150627853	bogarászik	szik	3	bogaráßik	NA	NA	NA
bohóckodok	164	bohóckodo	[/V][Prs.NDef.1Sg]	lakom/lakok	10687	8570080167	bohóckodom	119	1.375	0.3184537311185346	bohóckodik	NA	3	bohóckodik	NA	NA	NA
bóklászok	207	bóklászo	[/V][Prs.NDef.1Sg]	lakom/lakok	13080	8570080167	bóklászom	195	1.0612244897959184	0.0594234204708008	bóklászik	szik	2	bókláßik	NA	NA	NA
bölcselkedek	15	bölcselkede	[/V][Prs.NDef.1Sg]	lakom/lakok	1698	8570080167	bölcselkedem	29	0.5333333333333333	-0.6286086594223742	bölcselkedik	NA	3	bölçelkedik	NA	NA	NA
böngészök	1	böngészö	[/V][Prs.NDef.1Sg]	lakom/lakok	122712	8570080167	böngészöm	4	0.4	-0.916290731874155	böngészik	szik	2	böngéßik	NA	NA	NA
bonyolódok	161	bonyolódo	[/V][Prs.NDef.1Sg]	lakom/lakok	34776	8570080167	bonyolódom	205	0.7864077669902912	-0.24027983355719704	bonyolódik	NA	3	bo¥olódik	NA	NA	NA
borotválkozok	56	borotválkozo	[/V][Prs.NDef.1Sg]	lakom/lakok	7593	8570080167	borotválkozom	341	0.16666666666666666	-1.791759469228055	borotválkozik	zik	4	borotválkozik	NA	NA	NA
bosszankodok	459	bosszankodo	[/V][Prs.NDef.1Sg]	lakom/lakok	28274	8570080167	bosszankodom	994	0.4623115577889447	-0.7715162476754521	bosszankodik	NA	3	bosßankodik	NA	NA	NA
botladozok	128	botladozo	[/V][Prs.NDef.1Sg]	lakom/lakok	8796	8570080167	botladozom	187	0.6861702127659575	-0.37662955846827706	botladozik	zik	3	botladozik	NA	NA	NA
botlok	1692	botlo	[/V][Prs.NDef.1Sg]	lakom/lakok	41912	8570080167	botlom	197	8.55050505050505	2.1459903514386	botlik	lik	1	botlik	NA	NA	NA
botránkozok	24	botránkozo	[/V][Prs.NDef.1Sg]	lakom/lakok	3482	8570080167	botránkozom	65	0.3787878787878788	-0.9707789171582248	botránkozik	zik	3	botránkozik	NA	NA	NA
bővelkedek	41	bővelkede	[/V][Prs.NDef.1Sg]	lakom/lakok	38446	8570080167	bővelkedem	118	0.35294117647058826	-1.041453874828161	bővelkedik	NA	3	bővelkedik	NA	NA	NA
búcsúzkodok	15	búcsúzkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	3282	8570080167	búcsúzkodom	105	0.1509433962264151	-1.890850371872286	búcsúzkodik	NA	3	búçúzkodik	NA	NA	NA
búcsúzok	402	búcsúzo	[/V][Prs.NDef.1Sg]	lakom/lakok	154036	8570080167	búcsúzom	2888	0.13949463482173763	-1.9697291385195523	búcsúzik	zik	2	búçúzik	NA	NA	NA
büdösödök	4	büdösödö	[/V][Prs.NDef.1Sg]	lakom/lakok	1381	8570080167	büdösödöm	2	1.6666666666666667	0.5108256237659907	büdösödik	NA	3	büdösödik	NA	NA	NA
bujdosok	49	bujdoso	[/V][Prs.NDef.1Sg]	lakom/lakok	4942	8570080167	bujdosom	12	3.8461538461538463	1.3470736479666094	bujdosik	NA	2	bujdosik	NA	NA	NA
bújócskázok	24	bújócskázo	[/V][Prs.NDef.1Sg]	lakom/lakok	3783	8570080167	bújócskázom	13	1.7857142857142858	0.5798184952529422	bújócskázik	zik	3	bújóçkázik	NA	NA	NA
bukfencezek	27	bukfenceze	[/V][Prs.NDef.1Sg]	lakom/lakok	3043	8570080167	bukfencezem	8	3.111111111111111	1.1349799328389845	bukfencezik	zik	3	bukfencezik	NA	NA	NA
bűnhődök	33	bűnhődö	[/V][Prs.NDef.1Sg]	lakom/lakok	9169	8570080167	bűnhődöm	85	0.3953488372093023	-0.9279867716373464	bűnhődik	NA	2	bűnhődik	NA	NA	NA
bűnözök	1253	bűnözö	[/V][Prs.NDef.1Sg]	lakom/lakok	6131	8570080167	bűnözöm	1	627	6.440946540632921	bűnözik	zik	2	bűnözik	NA	NA	NA
burkolódzok	1	burkolódzo	[/V][Prs.NDef.1Sg]	lakom/lakok	13652	8570080167	burkolódzom	21	0.09090909090909093	-2.3978952727983707	burkolódzik	zik	3	burkolódzik	NA	NA	NA
búslakodok	31	búslakodo	[/V][Prs.NDef.1Sg]	lakom/lakok	8087	8570080167	búslakodom	70	0.4507042253521127	-0.7969439742415888	búslakodik	NA	3	búslakodik	NA	NA	NA
büszkélkedek	66	büszkélkede	[/V][Prs.NDef.1Sg]	lakom/lakok	84413	8570080167	büszkélkedem	122	0.5447154471544715	-0.6074917359814515	büszkélkedik	NA	3	büßkélkedik	NA	NA	NA
butáskodok	1	butáskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	585	8570080167	butáskodom	5	0.3333333333333333	-1.0986122886681098	butáskodik	NA	3	butáskodik	NA	NA	NA
búvárkodok	51	búvárkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	10030	8570080167	búvárkodom	96	0.5360824742268041	-0.6234672599219555	búvárkodik	NA	3	búvárkodik	NA	NA	NA
bűvészkedek	49	bűvészkede	[/V][Prs.NDef.1Sg]	lakom/lakok	3597	8570080167	bűvészkedem	34	1.4285714285714286	0.3566749439387324	bűvészkedik	NA	3	bűvéßkedik	NA	NA	NA
buzgólkodok	1	buzgólkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	2888	8570080167	buzgólkodom	43	0.04545454545454545	-3.0910424533583156	buzgólkodik	NA	3	buzgólkodik	NA	NA	NA
cangázok	26	cangázo	[/V][Prs.NDef.1Sg]	lakom/lakok	163	8570080167	cangázom	6	3.857142857142857	1.349926716949016	cangázik	zik	2	cangázik	NA	NA	NA
cicózok	12	cicózo	[/V][Prs.NDef.1Sg]	lakom/lakok	1046	8570080167	cicózom	3	3.25	1.1786549963416462	cicózik	zik	2	cicózik	NA	NA	NA
cigánykodok	5	cigánykodo	[/V][Prs.NDef.1Sg]	lakom/lakok	325	8570080167	cigánykodom	6	0.8571428571428571	-0.15415067982725836	cigánykodik	NA	3	cigá¥kodik	NA	NA	NA
cigarettázok	54	cigarettázo	[/V][Prs.NDef.1Sg]	lakom/lakok	7767	8570080167	cigarettázom	136	0.40145985401459855	-0.912647740595654	cigarettázik	zik	4	cigarettázik	NA	NA	NA
cikkezek	50	cikkeze	[/V][Prs.NDef.1Sg]	lakom/lakok	14162	8570080167	cikkezem	8	5.666666666666667	1.7346010553881064	cikkezik	zik	2	cikkezik	NA	NA	NA
cipekedek	109	cipekede	[/V][Prs.NDef.1Sg]	lakom/lakok	4233	8570080167	cipekedem	23	4.583333333333333	1.5224265354444706	cipekedik	NA	3	cipekedik	NA	NA	NA
cipekszek	3	cipeksze	[/V][Prs.NDef.1Sg]	lakom/lakok	4233	8570080167	cipekszem	4	0.8	-0.2231435513142097	cipekszik	szik	2	cipekßik	NA	NA	NA
citerázok	12	citerázo	[/V][Prs.NDef.1Sg]	lakom/lakok	1464	8570080167	citerázom	13	0.9285714285714286	-0.07410797215372185	citerázik	zik	3	citerázik	NA	NA	NA
civódok	4	civódo	[/V][Prs.NDef.1Sg]	lakom/lakok	735	8570080167	civódom	4	1	0	civódik	NA	2	civódik	NA	NA	NA
csalatkozok	7	csalatkozo	[/V][Prs.NDef.1Sg]	lakom/lakok	4769	8570080167	csalatkozom	122	0.06504065040650407	-2.7327428136925813	csalatkozik	zik	3	çalatkozik	NA	NA	NA
csalódok	1342	csalódo	[/V][Prs.NDef.1Sg]	lakom/lakok	170163	8570080167	csalódom	923	1.4534632034632036	0.37394912488155346	csalódik	NA	2	çalódik	NA	NA	NA
csapódok	141	csapódo	[/V][Prs.NDef.1Sg]	lakom/lakok	59286	8570080167	csapódom	80	1.7530864197530864	0.561377902928822	csapódik	NA	2	çapódik	NA	NA	NA
csatlakozok	1779	csatlakozo	[/V][Prs.NDef.1Sg]	lakom/lakok	869608	8570080167	csatlakozom	3253	0.547019053472649	-0.6032716444928523	csatlakozik	zik	3	çatlakozik	NA	NA	NA
csavarodok	33	csavarodo	[/V][Prs.NDef.1Sg]	lakom/lakok	9265	8570080167	csavarodom	11	2.8333333333333335	1.0414538748281612	csavarodik	NA	3	çavarodik	NA	NA	NA
cselekszek	301	cseleksze	[/V][Prs.NDef.1Sg]	lakom/lakok	280658	8570080167	cselekszem	3938	0.07666920538207667	-2.5682551455960363	cselekszik	szik	2	çelekßik	NA	NA	NA
csellózok	17	csellózo	[/V][Prs.NDef.1Sg]	lakom/lakok	1782	8570080167	csellózom	39	0.45	-0.7985076962177716	csellózik	zik	2	çellózik	NA	NA	NA
csendesedek	12	csendesede	[/V][Prs.NDef.1Sg]	lakom/lakok	6494	8570080167	csendesedem	2	4.333333333333333	1.466337068793427	csendesedik	NA	3	çendesedik	NA	NA	NA
csigázok	48	csigázo	[/V][Prs.NDef.1Sg]	lakom/lakok	4081	8570080167	csigázom	44	1.0888888888888888	0.08515780834030677	csigázik	zik	2	çigázik	NA	NA	NA
csimpaszkodok	23	csimpaszkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	4352	8570080167	csimpaszkodom	64	0.3692307692307693	-0.9963334395476916	csimpaszkodik	NA	3	çimpaßkodik	NA	NA	NA
csinosodok	3	csinosodo	[/V][Prs.NDef.1Sg]	lakom/lakok	521	8570080167	csinosodom	2	1.3333333333333333	0.28768207245178085	csinosodik	NA	3	çinosodik	NA	NA	NA
csintalankodok	4	csintalankodo	[/V][Prs.NDef.1Sg]	lakom/lakok	492	8570080167	csintalankodom	3	1.25	0.22314355131420976	csintalankodik	NA	4	çintalankodik	NA	NA	NA
csiszolódok	8	csiszolódo	[/V][Prs.NDef.1Sg]	lakom/lakok	6459	8570080167	csiszolódom	12	0.6923076923076923	-0.3677247801253174	csiszolódik	NA	3	çißolódik	NA	NA	NA
csodálkozok	1955	csodálkozo	[/V][Prs.NDef.1Sg]	lakom/lakok	200735	8570080167	csodálkozom	17802	0.10986912318148628	-2.2084654108101	csodálkozik	zik	3	çodálkozik	NA	NA	NA
csókolózok	40	csókolózo	[/V][Prs.NDef.1Sg]	lakom/lakok	18284	8570080167	csókolózom	99	0.41	-0.8915981192837836	csókolózik	zik	3	çókolózik	NA	NA	NA
csónakázok	13	csónakázo	[/V][Prs.NDef.1Sg]	lakom/lakok	6485	8570080167	csónakázom	2	4.666666666666667	1.540445040947149	csónakázik	zik	3	çónakázik	NA	NA	NA
csuklok	107	csuklo	[/V][Prs.NDef.1Sg]	lakom/lakok	6520	8570080167	csuklom	25	4.153846153846154	1.4240346891027378	csuklik	lik	1	çuklik	NA	NA	NA
