lemma	xpostag	corpus_size	lemma_freq	v1	v2	vh
szombat	[/N][Nom]	8570080167	1133181	o	a	back
csoda	[/N][Nom]	8570080167	872383	o	a	back
erő	[/N][Nom]	8570080167	2647886	e	ő	front
halál	[/N][Nom]	8570080167	1609828	a	á	back
szülő	[/N][Nom]	8570080167	2164804	ü	ő	front
hétfő	[/N][Nom]	8570080167	1036830	é	ő	front
gyártó	[/N][Nom]	8570080167	964988	á	ó	back
siker	[/N][Nom]	8570080167	2073384	i	e	front
kórház	[/N][Nom]	8570080167	951427	ó	á	back
helyszín	[/N][Nom]	8570080167	1899474	e	í	front
felnőtt	[/N][Nom]	8570080167	1136966	e	ő	front
forma	[/N][Nom]	8570080167	3427199	o	a	back
típus	[/N][Nom]	8570080167	1329172	í	u	mixed
konyha	[/N][Nom]	8570080167	819854	o	a	back
kötet	[/N][Nom]	8570080167	893896	ö	e	front
molnár	[/N][Nom]	8570080167	356859	o	á	back
vita	[/N][Nom]	8570080167	892074	i	a	mixed
tanév	[/N][Nom]	8570080167	668169	a	é	mixed
szerda	[/N][Nom]	8570080167	910502	e	a	mixed
pálya	[/N][Nom]	8570080167	1588379	á	a	back
levél	[/N][Nom]	8570080167	1860585	e	é	front
farkas	[/N][Nom]	8570080167	424959	a	a	back
pápa	[/N][Nom]	8570080167	448104	á	a	back
számla	[/N][Nom]	8570080167	1174174	á	a	back
válság	[/N][Nom]	8570080167	574823	á	á	back
költség	[/N][Nom]	8570080167	2272973	ö	é	front
hatás	[/N][Nom]	8570080167	4353447	a	á	back
állat	[/N][Nom]	8570080167	1256261	á	a	back
eső	[/N][Nom]	8570080167	755142	e	ő	front
jármű	[/N][Nom]	8570080167	906738	á	ű	mixed
mozgás	[/N][Nom]	8570080167	915317	o	á	back
művész	[/N][Nom]	8570080167	694114	ű	é	front
mester	[/N][Nom]	8570080167	654164	e	e	front
szakma	[/N][Nom]	8570080167	757757	a	a	back
ülés	[/N][Nom]	8570080167	1733776	ü	é	front
szempont	[/N][Nom]	8570080167	2759025	e	o	mixed
kártya	[/N][Nom]	8570080167	796526	á	a	back
szokás	[/N][Nom]	8570080167	1002005	o	á	back
márka	[/N][Nom]	8570080167	616735	á	a	back
papír	[/N][Nom]	8570080167	819561	a	í	mixed
vevő	[/N][Nom]	8570080167	1024311	e	ő	front
írás	[/N][Nom]	8570080167	1786021	í	á	mixed
sziget	[/N][Nom]	8570080167	808649	i	e	front
öröm	[/N][Nom]	8570080167	1480843	ö	ö	front
hitel	[/N][Nom]	8570080167	844987	i	e	front
szoftver	[/N][Nom]	8570080167	653676	o	e	mixed
elem	[/N][Nom]	8570080167	2111491	e	e	front
étel	[/N][Nom]	8570080167	1366728	é	e	front
vendég	[/N][Nom]	8570080167	1804855	e	é	front
baba	[/N][Nom]	8570080167	626886	a	a	back
tanszék	[/N][Nom]	8570080167	470398	a	é	mixed
sajtó	[/N][Nom]	8570080167	474614	a	ó	back
szezon	[/N][Nom]	8570080167	721069	e	o	mixed
növény	[/N][Nom]	8570080167	1009224	ö	é	front
olaj	[/N][Nom]	8570080167	748524	o	a	back
mátyás	[/N][Nom]	8570080167	299569	á	á	back
lakos	[/N][Nom]	8570080167	633444	a	o	back
térség	[/N][Nom]	8570080167	819626	é	é	front
ajtó	[/N][Nom]	8570080167	999877	a	ó	back
gyógyszer	[/N][Nom]	8570080167	941383	ó	e	mixed
roma	[/N][Nom]	8570080167	391723	o	a	back
jelen	[/N][Nom]	8570080167	2768159	e	e	front
apa	[/N][Nom]	8570080167	1082098	a	a	back
hajó	[/N][Nom]	8570080167	774762	a	ó	back
arány	[/N][Nom]	8570080167	1591880	a	á	back
kávé	[/N][Nom]	8570080167	519215	á	é	mixed
atya	[/N][Nom]	8570080167	659585	a	a	back
költő	[/N][Nom]	8570080167	445747	ö	ő	front
fórum	[/N][Nom]	8570080167	775334	ó	u	back
edzés	[/N][Nom]	8570080167	699948	e	é	front
béke	[/N][Nom]	8570080167	566494	é	e	front
üveg	[/N][Nom]	8570080167	559628	ü	e	front
koncert	[/N][Nom]	8570080167	1019145	o	e	mixed
erdő	[/N][Nom]	8570080167	739926	e	ő	front
design	[/N][Nom]	8570080167	292887	e	i	front
minta	[/N][Nom]	8570080167	875097	i	a	mixed
lemez	[/N][Nom]	8570080167	871146	e	e	front
bíró	[/N][Nom]	8570080167	534609	í	ó	mixed
háttér	[/N][Nom]	8570080167	1176278	á	é	mixed
stílus	[/N][Nom]	8570080167	996632	í	u	mixed
diák	[/N][Nom]	8570080167	1359209	i	á	mixed
dollár	[/N][Nom]	8570080167	658377	o	á	back
regény	[/N][Nom]	8570080167	757875	e	é	front
színész	[/N][Nom]	8570080167	551930	í	é	front
tábor	[/N][Nom]	8570080167	713998	á	o	back
tömeg	[/N][Nom]	8570080167	758262	ö	e	front
határ	[/N][Nom]	8570080167	1681397	a	á	back
ablak	[/N][Nom]	8570080167	955963	a	a	back
szállás	[/N][Nom]	8570080167	556756	á	á	back
keret	[/N][Nom]	8570080167	3302278	e	e	front
meleg	[/N][Nom]	8570080167	1304947	e	e	front
szünet	[/N][Nom]	8570080167	493144	ü	e	front
dátum	[/N][Nom]	8570080167	667736	á	u	back
réteg	[/N][Nom]	8570080167	723205	é	e	front
tantárgy	[/N][Nom]	8570080167	460149	a	á	back
jegyző	[/N][Nom]	8570080167	344065	e	ő	front
zsűri	[/N][Nom]	8570080167	298150	ű	i	front
üzlet	[/N][Nom]	8570080167	906573	ü	e	front
doktor	[/N][Nom]	8570080167	314539	o	o	back
hála	[/N][Nom]	8570080167	375534	á	a	back
vagyon	[/N][Nom]	8570080167	648684	a	o	back
nyomás	[/N][Nom]	8570080167	526505	o	á	back
esély	[/N][Nom]	8570080167	1216024	e	é	front
recept	[/N][Nom]	8570080167	749726	e	e	front
méret	[/N][Nom]	8570080167	1382402	é	e	front
adag	[/N][Nom]	8570080167	476620	a	a	back
bajnok	[/N][Nom]	8570080167	443402	a	o	back
cukor	[/N][Nom]	8570080167	584203	u	o	back
partner	[/N][Nom]	8570080167	1270201	a	e	mixed
áru	[/N][Nom]	8570080167	585491	á	u	back
tenger	[/N][Nom]	8570080167	531829	e	e	front
egyén	[/N][Nom]	8570080167	501556	e	é	front
tészta	[/N][Nom]	8570080167	655426	é	a	mixed
liter	[/N][Nom]	8570080167	296263	i	e	front
tavasz	[/N][Nom]	8570080167	808263	a	a	back
virág	[/N][Nom]	8570080167	811270	i	á	mixed
túra	[/N][Nom]	8570080167	516673	ú	a	back
műsor	[/N][Nom]	8570080167	1003222	ű	o	mixed
ezüst	[/N][Nom]	8570080167	274338	e	ü	front
többség	[/N][Nom]	8570080167	1319626	ö	é	front
vonal	[/N][Nom]	8570080167	844004	o	a	back
szabály	[/N][Nom]	8570080167	2465801	a	á	back
tőke	[/N][Nom]	8570080167	387584	ő	e	front
kampány	[/N][Nom]	8570080167	561956	a	á	back
csillag	[/N][Nom]	8570080167	600756	i	a	mixed
irány	[/N][Nom]	8570080167	1756532	i	á	mixed
bácsi	[/N][Nom]	8570080167	291348	á	i	mixed
tétel	[/N][Nom]	8570080167	851006	é	e	front
kupa	[/N][Nom]	8570080167	362627	u	a	back
fehér	[/N][Nom]	8570080167	1464764	e	é	front
mini	[/N][Nom]	8570080167	232256	i	i	front
vallás	[/N][Nom]	8570080167	472491	a	á	back
átlag	[/N][Nom]	8570080167	739902	á	a	back
néni	[/N][Nom]	8570080167	308608	é	i	front
püspök	[/N][Nom]	8570080167	329607	ü	ö	front
tábla	[/N][Nom]	8570080167	562006	á	a	back
hideg	[/N][Nom]	8570080167	1008241	i	e	front
ünnep	[/N][Nom]	8570080167	844750	ü	e	front
posta	[/N][Nom]	8570080167	366785	o	a	back
mondat	[/N][Nom]	8570080167	735536	o	a	back
állás	[/N][Nom]	8570080167	845846	á	á	back
kislány	[/N][Nom]	8570080167	488902	i	á	mixed
gyümölcs	[/N][Nom]	8570080167	827949	ü	ö	front
ebéd	[/N][Nom]	8570080167	406094	e	é	front
divat	[/N][Nom]	8570080167	359190	i	a	mixed
környék	[/N][Nom]	8570080167	1248003	ö	é	front
doboz	[/N][Nom]	8570080167	634864	o	o	back
kocsi	[/N][Nom]	8570080167	724326	o	i	mixed
mese	[/N][Nom]	8570080167	605077	e	e	front
beszéd	[/N][Nom]	8570080167	746810	e	é	front
korszak	[/N][Nom]	8570080167	519259	o	a	back
tea	[/N][Nom]	8570080167	414631	e	a	mixed
hiány	[/N][Nom]	8570080167	1357518	i	á	mixed
fűtés	[/N][Nom]	8570080167	335966	ű	é	front
talaj	[/N][Nom]	8570080167	542009	a	a	back
ruha	[/N][Nom]	8570080167	1042319	u	a	back
néző	[/N][Nom]	8570080167	633947	é	ő	front
rendőr	[/N][Nom]	8570080167	604858	e	ő	front
tojás	[/N][Nom]	8570080167	552647	o	á	back
szellem	[/N][Nom]	8570080167	601243	e	e	front
séta	[/N][Nom]	8570080167	481626	é	a	mixed
pohár	[/N][Nom]	8570080167	350073	o	á	back
panasz	[/N][Nom]	8570080167	778480	a	a	back
kapu	[/N][Nom]	8570080167	827699	a	u	back
látvány	[/N][Nom]	8570080167	454713	á	á	back
modul	[/N][Nom]	8570080167	371038	o	u	back
csere	[/N][Nom]	8570080167	764605	e	e	front
térkép	[/N][Nom]	8570080167	617259	é	é	front
szektor	[/N][Nom]	8570080167	383243	e	o	mixed
kelet	[/N][Nom]	8570080167	344111	e	e	front
mérleg	[/N][Nom]	8570080167	376267	é	e	front
évad	[/N][Nom]	8570080167	532761	é	a	mixed
portál	[/N][Nom]	8570080167	439537	o	á	back
félév	[/N][Nom]	8570080167	457361	é	é	front
edző	[/N][Nom]	8570080167	500591	e	ő	front
császár	[/N][Nom]	8570080167	253403	á	á	back
ipar	[/N][Nom]	8570080167	288984	i	a	mixed
közép	[/N][Nom]	8570080167	1405813	ö	é	front
reklám	[/N][Nom]	8570080167	453820	e	á	mixed
műtét	[/N][Nom]	8570080167	370512	ű	é	front
kenyér	[/N][Nom]	8570080167	498080	e	é	front
tonna	[/N][Nom]	8570080167	237399	o	a	back
asztal	[/N][Nom]	8570080167	819477	a	a	back
album	[/N][Nom]	8570080167	528517	a	u	back
ügyvéd	[/N][Nom]	8570080167	327370	ü	é	front
lámpa	[/N][Nom]	8570080167	449369	á	a	back
mérés	[/N][Nom]	8570080167	626494	é	é	front
süti	[/N][Nom]	8570080167	945417	ü	i	front
herceg	[/N][Nom]	8570080167	254645	e	e	front
álom	[/N][Nom]	8570080167	865443	á	o	back
martin	[/N][Nom]	8570080167	184890	a	i	mixed
szülés	[/N][Nom]	8570080167	275059	ü	é	front
létszám	[/N][Nom]	8570080167	501492	é	á	mixed
titok	[/N][Nom]	8570080167	845219	i	o	mixed
török	[/N][Nom]	8570080167	739016	ö	ö	front
részlet	[/N][Nom]	8570080167	1477845	é	e	front
békés	[/N][Nom]	8570080167	478840	é	é	front
német	[/N][Nom]	8570080167	2174110	é	e	front
rózsa	[/N][Nom]	8570080167	265848	ó	a	back
menü	[/N][Nom]	8570080167	426118	e	ü	front
tudat	[/N][Nom]	8570080167	1175925	u	a	back
tagság	[/N][Nom]	8570080167	346907	a	á	back
székhely	[/N][Nom]	8570080167	695602	é	e	front
viszony	[/N][Nom]	8570080167	1070214	i	o	mixed
kastély	[/N][Nom]	8570080167	320792	a	é	mixed
vonat	[/N][Nom]	8570080167	474445	o	a	back
torna	[/N][Nom]	8570080167	317207	o	a	back
alma	[/N][Nom]	8570080167	284019	a	a	back
nyugdíj	[/N][Nom]	8570080167	461153	u	í	mixed
futás	[/N][Nom]	8570080167	325964	u	á	back
telek	[/N][Nom]	8570080167	407879	e	e	front
műfaj	[/N][Nom]	8570080167	443185	ű	a	mixed
szerep	[/N][Nom]	8570080167	2988751	e	e	front
kamat	[/N][Nom]	8570080167	420189	a	a	back
szépség	[/N][Nom]	8570080167	520844	é	é	front
jövő	[/N][Nom]	8570080167	2474743	ö	ő	front
honvéd	[/N][Nom]	8570080167	186978	o	é	mixed
nyugat	[/N][Nom]	8570080167	383604	u	a	back
fürdő	[/N][Nom]	8570080167	326708	ü	ő	front
center	[/N][Nom]	8570080167	205964	e	e	front
masszázs	[/N][Nom]	8570080167	220004	a	á	back
laptop	[/N][Nom]	8570080167	334709	a	o	back
este	[/N][Nom]	8570080167	2004488	e	e	front
terem	[/N][Nom]	8570080167	684922	e	e	front
alvás	[/N][Nom]	8570080167	257771	a	á	back
veszély	[/N][Nom]	8570080167	904739	e	é	front
remény	[/N][Nom]	8570080167	650813	e	é	front
készlet	[/N][Nom]	8570080167	439925	é	e	front
docens	[/N][Nom]	8570080167	185029	o	e	mixed
műhely	[/N][Nom]	8570080167	376614	ű	e	front
szabvány	[/N][Nom]	8570080167	355855	a	á	back
gumi	[/N][Nom]	8570080167	328846	u	i	mixed
címzett	[/N][Nom]	8570080167	399772	í	e	front
kölcsön	[/N][Nom]	8570080167	393993	ö	ö	front
buli	[/N][Nom]	8570080167	388430	u	i	mixed
takács	[/N][Nom]	8570080167	147459	a	á	back
otthon	[/N][Nom]	8570080167	2447685	o	o	back
ciklus	[/N][Nom]	8570080167	369107	i	u	mixed
labda	[/N][Nom]	8570080167	473317	a	a	back
vádlott	[/N][Nom]	8570080167	259314	á	o	back
menet	[/N][Nom]	8570080167	485346	e	e	front
sztori	[/N][Nom]	8570080167	325173	o	i	mixed
áram	[/N][Nom]	8570080167	269137	á	a	back
madár	[/N][Nom]	8570080167	477836	a	á	back
barát	[/N][Nom]	8570080167	1898561	a	á	back
liga	[/N][Nom]	8570080167	295773	i	a	mixed
utas	[/N][Nom]	8570080167	525082	u	a	back
székely	[/N][Nom]	8570080167	265012	é	e	front
vidék	[/N][Nom]	8570080167	607686	i	é	front
szándék	[/N][Nom]	8570080167	734342	á	é	mixed
tárca	[/N][Nom]	8570080167	189334	á	a	back
válás	[/N][Nom]	8570080167	341812	á	á	back
vírus	[/N][Nom]	8570080167	301564	í	u	mixed
jóga	[/N][Nom]	8570080167	171736	ó	a	back
adós	[/N][Nom]	8570080167	248484	a	ó	back
jelzés	[/N][Nom]	8570080167	472760	e	é	front
csata	[/N][Nom]	8570080167	391540	a	a	back
udvar	[/N][Nom]	8570080167	583425	u	a	back
kereszt	[/N][Nom]	8570080167	359912	e	e	front
újság	[/N][Nom]	8570080167	353894	ú	á	back
metró	[/N][Nom]	8570080167	203184	e	ó	mixed
banda	[/N][Nom]	8570080167	267162	a	a	back
szerver	[/N][Nom]	8570080167	385018	e	e	front
japán	[/N][Nom]	8570080167	749545	a	á	back
mozi	[/N][Nom]	8570080167	430777	o	i	mixed
dráma	[/N][Nom]	8570080167	271352	á	a	back
team	[/N][Nom]	8570080167	145232	e	a	mixed
macska	[/N][Nom]	8570080167	315895	a	a	back
heves	[/N][Nom]	8570080167	304989	e	e	front
példány	[/N][Nom]	8570080167	565858	é	á	mixed
pannon	[/N][Nom]	8570080167	128578	a	o	back
jelölt	[/N][Nom]	8570080167	612244	e	ö	front
tucat	[/N][Nom]	8570080167	166157	u	a	back
gazda	[/N][Nom]	8570080167	540428	a	a	back
lengyel	[/N][Nom]	8570080167	562895	e	e	front
tükör	[/N][Nom]	8570080167	468625	ü	ö	front
kontroll	[/N][Nom]	8570080167	214700	o	o	back
üzem	[/N][Nom]	8570080167	573543	ü	e	front
ital	[/N][Nom]	8570080167	465757	i	a	mixed
fegyver	[/N][Nom]	8570080167	595733	e	e	front
előny	[/N][Nom]	8570080167	1491417	e	ő	front
angyal	[/N][Nom]	8570080167	353660	a	a	back
felszín	[/N][Nom]	8570080167	470484	e	í	front
étrend	[/N][Nom]	8570080167	321518	é	e	front
gyártás	[/N][Nom]	8570080167	468863	á	á	back
szobor	[/N][Nom]	8570080167	424811	o	o	back
húsvét	[/N][Nom]	8570080167	195283	ú	é	mixed
vihar	[/N][Nom]	8570080167	244868	i	a	mixed
törlés	[/N][Nom]	8570080167	529072	ö	é	front
napló	[/N][Nom]	8570080167	313510	a	ó	back
mérnök	[/N][Nom]	8570080167	277020	é	ö	front
pénztár	[/N][Nom]	8570080167	249815	é	á	mixed
zenész	[/N][Nom]	8570080167	315533	e	é	front
tudós	[/N][Nom]	8570080167	418188	u	ó	back
mail	[/N][Nom]	8570080167	145469	a	i	mixed
fodor	[/N][Nom]	8570080167	128201	o	o	back
bolygó	[/N][Nom]	8570080167	371540	o	ó	back
klíma	[/N][Nom]	8570080167	194928	í	a	mixed
szilárd	[/N][Nom]	8570080167	418608	i	á	mixed
bírság	[/N][Nom]	8570080167	269803	í	á	mixed
mező	[/N][Nom]	8570080167	537117	e	ő	front
cipő	[/N][Nom]	8570080167	431797	i	ő	front
gárda	[/N][Nom]	8570080167	198999	á	a	back
testvér	[/N][Nom]	8570080167	735894	e	é	front
lelkész	[/N][Nom]	8570080167	206474	e	é	front
kábel	[/N][Nom]	8570080167	287412	á	e	mixed
torony	[/N][Nom]	8570080167	288279	o	o	back
ízlés	[/N][Nom]	8570080167	289642	í	é	front
acél	[/N][Nom]	8570080167	172196	a	é	mixed
tréning	[/N][Nom]	8570080167	262201	é	i	front
polgár	[/N][Nom]	8570080167	406296	o	á	back
jelszó	[/N][Nom]	8570080167	372787	e	ó	mixed
illat	[/N][Nom]	8570080167	547735	i	a	mixed
terasz	[/N][Nom]	8570080167	309745	e	a	mixed
vörös	[/N][Nom]	8570080167	567663	ö	ö	front
páros	[/N][Nom]	8570080167	343323	á	o	back
alak	[/N][Nom]	8570080167	790309	a	a	back
tető	[/N][Nom]	8570080167	903257	e	ő	front
színpad	[/N][Nom]	8570080167	664423	í	a	mixed
tartás	[/N][Nom]	8570080167	627820	a	á	back
kurzus	[/N][Nom]	8570080167	267119	u	u	back
puskás	[/N][Nom]	8570080167	113789	u	á	back
zöldség	[/N][Nom]	8570080167	491174	ö	é	front
váltás	[/N][Nom]	8570080167	220999	á	á	back
mezőny	[/N][Nom]	8570080167	290608	e	ő	front
ige	[/N][Nom]	8570080167	316559	i	e	front
gomba	[/N][Nom]	8570080167	263264	o	a	back
profil	[/N][Nom]	8570080167	350103	o	i	mixed
beton	[/N][Nom]	8570080167	164256	e	o	mixed
szerviz	[/N][Nom]	8570080167	212164	e	i	front
narancs	[/N][Nom]	8570080167	145043	a	a	back
szőlő	[/N][Nom]	8570080167	222617	ő	ő	front
járás	[/N][Nom]	8570080167	251053	á	á	back
foci	[/N][Nom]	8570080167	170818	o	i	mixed
túlzás	[/N][Nom]	8570080167	232000	ú	á	back
patak	[/N][Nom]	8570080167	186709	a	a	back
emlék	[/N][Nom]	8570080167	1069899	e	é	front
főzés	[/N][Nom]	8570080167	185519	ő	é	front
szemle	[/N][Nom]	8570080167	144437	e	e	front
ének	[/N][Nom]	8570080167	251596	é	e	front
platform	[/N][Nom]	8570080167	277135	a	o	back
hangsúly	[/N][Nom]	8570080167	448937	a	ú	back
kosár	[/N][Nom]	8570080167	334375	o	á	back
kiló	[/N][Nom]	8570080167	259164	i	ó	mixed
csalás	[/N][Nom]	8570080167	194037	a	á	back
halott	[/N][Nom]	8570080167	454984	a	o	back
villa	[/N][Nom]	8570080167	231440	i	a	mixed
kaland	[/N][Nom]	8570080167	399689	a	a	back
elme	[/N][Nom]	8570080167	290026	e	e	front
sofőr	[/N][Nom]	8570080167	208214	o	ő	mixed
futam	[/N][Nom]	8570080167	328753	u	a	back
festő	[/N][Nom]	8570080167	168286	e	ő	front
vezér	[/N][Nom]	8570080167	204887	e	é	front
panel	[/N][Nom]	8570080167	223571	a	e	mixed
vasút	[/N][Nom]	8570080167	184943	a	ú	back
more	[/N][Nom]	8570080167	95873	o	e	mixed
hajrá	[/N][Nom]	8570080167	166111	a	á	back
áfa	[/N][Nom]	8570080167	161271	á	a	back
sátán	[/N][Nom]	8570080167	125924	á	á	back
torta	[/N][Nom]	8570080167	274871	o	a	back
fénykép	[/N][Nom]	8570080167	397012	é	é	front
kádár	[/N][Nom]	8570080167	105660	á	á	back
citrom	[/N][Nom]	8570080167	136893	i	o	mixed
napfény	[/N][Nom]	8570080167	173388	a	é	mixed
mínusz	[/N][Nom]	8570080167	134812	í	u	mixed
haza	[/N][Nom]	8570080167	1855267	a	a	back
leány	[/N][Nom]	8570080167	278145	e	á	mixed
mentés	[/N][Nom]	8570080167	242076	e	é	front
ügyész	[/N][Nom]	8570080167	136019	ü	é	front
kezdet	[/N][Nom]	8570080167	1440557	e	e	front
pontszám	[/N][Nom]	8570080167	211826	o	á	back
vásár	[/N][Nom]	8570080167	235633	á	á	back
légkör	[/N][Nom]	8570080167	248772	é	ö	front
robot	[/N][Nom]	8570080167	232164	o	o	back
körzet	[/N][Nom]	8570080167	293807	ö	e	front
hajnal	[/N][Nom]	8570080167	346808	a	a	back
vétel	[/N][Nom]	8570080167	477277	é	e	front
kertész	[/N][Nom]	8570080167	117778	e	é	front
tünde	[/N][Nom]	8570080167	118959	ü	e	front
munkás	[/N][Nom]	8570080167	297210	u	á	back
fajta	[/N][Nom]	8570080167	997534	a	a	back
tévé	[/N][Nom]	8570080167	273224	é	é	front
egri	[/N][Nom]	8570080167	249774	e	i	front
egér	[/N][Nom]	8570080167	217217	e	é	front
ördög	[/N][Nom]	8570080167	168923	ö	ö	front
iszlám	[/N][Nom]	8570080167	245346	i	á	mixed
telep	[/N][Nom]	8570080167	237627	e	e	front
halász	[/N][Nom]	8570080167	135310	a	á	back
pásztor	[/N][Nom]	8570080167	155749	á	o	back
főnök	[/N][Nom]	8570080167	266038	ő	ö	front
futball	[/N][Nom]	8570080167	134657	u	a	back
pince	[/N][Nom]	8570080167	254704	i	e	front
sütő	[/N][Nom]	8570080167	396110	ü	ő	front
vasas	[/N][Nom]	8570080167	109705	a	a	back
váltó	[/N][Nom]	8570080167	210591	á	ó	back
győztes	[/N][Nom]	8570080167	412036	ő	e	front
