form_1	freq_1	stem	xpostag	variation	lemma_freq_corrected	corpus_size	form_2	freq_2	odds	log_odds	base	derivational	nsyl	base_tr
ajánlkozok	7	ajánlkozo	[/V][Prs.NDef.1Sg]	lakom/lakok	4605	8570080167	ajánlkozom	71	0.1111111111111111	-2.1972245773362196	ajánlkozik	zik	3	ajánlkozik
ájtatoskodok	2	ájtatoskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	525	8570080167	ájtatoskodom	1	1.5	0.4054651081081644	ájtatoskodik	NA	4	ájtatoskodik
akadékoskodok	102	akadékoskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	3726	8570080167	akadékoskodom	88	1.1573033707865168	0.14609261849749589	akadékoskodik	NA	5	akadékoskodik
akaratoskodok	1	akaratoskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	199	8570080167	akaratoskodom	4	0.4	-0.916290731874155	akaratoskodik	NA	5	akaratoskodik
akaszkodok	11	akaszkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	2721	8570080167	akaszkodom	29	0.4	-0.916290731874155	akaszkodik	NA	3	akaßkodik
akklimatizálódok	6	akklimatizálódo	[/V][Prs.NDef.1Sg]	lakom/lakok	2558	8570080167	akklimatizálódom	21	0.3181818181818182	-1.1451323043030026	akklimatizálódik	NA	6	akklimatizálódik
aktiválódok	4	aktiválódo	[/V][Prs.NDef.1Sg]	lakom/lakok	26386	8570080167	aktiválódom	1	2.5	0.9162907318741552	aktiválódik	NA	4	aktiválódik
alacsonyodok	52	alacsonyodo	[/V][Prs.NDef.1Sg]	lakom/lakok	1870	8570080167	alacsonyodom	31	1.65625	0.5045560107523953	alacsonyodik	NA	4	alaço¥odik
alakoskodok	17	alakoskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	1461	8570080167	alakoskodom	16	1.0588235294117647	0.05715841383994862	alakoskodik	NA	4	alakoskodik
alázkodok	24	alázkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	1842	8570080167	alázkodom	46	0.5319148936170213	-0.6312717768418579	alázkodik	NA	3	alázkodik
aljaskodok	4	aljaskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	150	8570080167	aljaskodom	1	2.5	0.9162907318741552	aljaskodik	NA	3	aljaskodik
aljasodok	5	aljasodo	[/V][Prs.NDef.1Sg]	lakom/lakok	367	8570080167	aljasodom	1	3	1.0986122886681098	aljasodik	NA	3	aljasodik
alkalmatlankodok	8	alkalmatlankodo	[/V][Prs.NDef.1Sg]	lakom/lakok	918	8570080167	alkalmatlankodom	71	0.125	-2.0794415416798357	alkalmatlankodik	NA	5	alkalmatlankodik
alkalmazkodok	406	alkalmazkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	223170	8570080167	alkalmazkodom	1271	0.3199685534591195	-1.1395325584574725	alkalmazkodik	NA	4	alkalmazkodik
alkudok	28	alkudo	[/V][Prs.NDef.1Sg]	lakom/lakok	17918	8570080167	alkudom	2	9.666666666666666	2.268683541318364	alkudik	NA	2	alkudik
alkudozok	131	alkudozo	[/V][Prs.NDef.1Sg]	lakom/lakok	14494	8570080167	alkudozom	234	0.5617021276595745	-0.576783591557788	alkudozik	zik	3	alkudozik
alkuszok	2	alkuszo	[/V][Prs.NDef.1Sg]	lakom/lakok	17918	8570080167	alkuszom	229	0.01304347826086956	-4.339467020255086	alkuszik	szik	2	alkußik
állomásozok	10	állomásozo	[/V][Prs.NDef.1Sg]	lakom/lakok	17398	8570080167	állomásozom	33	0.3235294117647059	-1.128465251817791	állomásozik	zik	4	állomásozik
álmélkodok	19	álmélkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	5761	8570080167	álmélkodom	81	0.24390243902439024	-1.410986973710262	álmélkodik	NA	3	álmélkodik
álmodok	3404	álmodo	[/V][Prs.NDef.1Sg]	lakom/lakok	223489	8570080167	álmodom	12045	0.28266644529304336	-1.2634877150200536	álmodik	NA	2	álmodik
álmodozok	532	álmodozo	[/V][Prs.NDef.1Sg]	lakom/lakok	59984	8570080167	álmodozom	2628	0.20273868391023203	-1.5958374005640366	álmodozik	zik	3	álmodozik
álmosodok	29	álmosodo	[/V][Prs.NDef.1Sg]	lakom/lakok	1357	8570080167	álmosodom	53	0.5555555555555556	-0.587786664902119	álmosodik	NA	3	álmosodik
álszenteskedek	18	álszenteskede	[/V][Prs.NDef.1Sg]	lakom/lakok	511	8570080167	álszenteskedem	4	3.8	1.33500106673234	álszenteskedik	NA	4	álßenteskedik
alszok	4196	alszo	[/V][Prs.NDef.1Sg]	lakom/lakok	668614	8570080167	alszom	31548	0.13303115788139086	-2.0171719084123705	alszik	szik	1	alßik
aluszok	12	aluszo	[/V][Prs.NDef.1Sg]	lakom/lakok	668614	8570080167	aluszom	80	0.16049382716049382	-1.8294997972109024	aluszik	szik	2	alußik
amerikanizálódok	1	amerikanizálódo	[/V][Prs.NDef.1Sg]	lakom/lakok	270	8570080167	amerikanizálódom	1	1	0	amerikanizálódik	NA	7	amerikanizálódik
amortizálódok	2	amortizálódo	[/V][Prs.NDef.1Sg]	lakom/lakok	3122	8570080167	amortizálódom	1	1.5	0.4054651081081644	amortizálódik	NA	5	amortizálódik
ámuldozok	55	ámuldozo	[/V][Prs.NDef.1Sg]	lakom/lakok	3333	8570080167	ámuldozom	47	1.1666666666666667	0.15415067982725836	ámuldozik	zik	3	ámuldozik
andalodok	8	andalodo	[/V][Prs.NDef.1Sg]	lakom/lakok	304	8570080167	andalodom	1	4.5	1.5040773967762742	andalodik	NA	3	andalodik
anekdotázok	16	anekdotázo	[/V][Prs.NDef.1Sg]	lakom/lakok	1972	8570080167	anekdotázom	10	1.5454545454545454	0.4353180712578455	anekdotázik	zik	4	anekdotázik
anyáskodok	7	anyáskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	1025	8570080167	anyáskodom	12	0.6153846153846154	-0.4855078157817008	anyáskodik	NA	3	a¥áskodik
apostolkodok	2	apostolkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	686	8570080167	apostolkodom	1	1.5	0.4054651081081644	apostolkodik	NA	4	apostolkodik
ármánykodok	2	ármánykodo	[/V][Prs.NDef.1Sg]	lakom/lakok	992	8570080167	ármánykodom	1	1.5	0.4054651081081644	ármánykodik	NA	3	ármá¥kodik
árulkodok	29	árulkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	62655	8570080167	árulkodom	25	1.1538461538461535	0.14310084364067324	árulkodik	NA	3	árulkodik
ásítozok	129	ásítozo	[/V][Prs.NDef.1Sg]	lakom/lakok	3555	8570080167	ásítozom	113	1.1403508771929824	0.13133600206108695	ásítozik	zik	3	ásítozik
áskálódok	13	áskálódo	[/V][Prs.NDef.1Sg]	lakom/lakok	1964	8570080167	áskálódom	12	1.0769230769230769	0.074107972153721835	áskálódik	NA	3	áskálódik
asszimilálódok	12	asszimilálódo	[/V][Prs.NDef.1Sg]	lakom/lakok	5757	8570080167	asszimilálódom	6	1.8571428571428572	0.6190392084062235	asszimilálódik	NA	5	asßimilálódik
aszalódok	26	aszalódo	[/V][Prs.NDef.1Sg]	lakom/lakok	2207	8570080167	aszalódom	21	1.2272727272727273	0.2047944126460132	aszalódik	NA	3	aßalódik
aszok	147	aszo	[/V][Prs.NDef.1Sg]	lakom/lakok	5633	8570080167	aszom	21	6.7272727272727275	1.9061698204057993	aszik	szik	1	aßik
átkozódok	13	átkozódo	[/V][Prs.NDef.1Sg]	lakom/lakok	3739	8570080167	átkozódom	60	0.22950819672131148	-1.4718165345580525	átkozódik	NA	3	átkozódik
autókázok	29	autókázo	[/V][Prs.NDef.1Sg]	lakom/lakok	2943	8570080167	autókázom	18	1.5789473684210529	0.4567584024957149	autókázik	zik	4	autókázik
autózok	544	autózo	[/V][Prs.NDef.1Sg]	lakom/lakok	53397	8570080167	autózom	1088	0.5004591368227732	-0.6922293282697164	autózik	zik	3	autózik
avatkozok	139	avatkozo	[/V][Prs.NDef.1Sg]	lakom/lakok	45734	8570080167	avatkozom	448	0.311804008908686	-1.16538046513295	avatkozik	zik	3	avatkozik
bábáskodok	12	bábáskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	5536	8570080167	bábáskodom	32	0.3939393939393939	-0.9315582040049436	bábáskodik	NA	3	bábáskodik
bajlódok	373	bajlódo	[/V][Prs.NDef.1Sg]	lakom/lakok	39724	8570080167	bajlódom	377	0.9894179894179894	-0.01063839820505575	bajlódik	NA	2	bajlódik
bajoskodok	1	bajoskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	101	8570080167	bajoskodom	3	0.5	-0.6931471805599453	bajoskodik	NA	3	bajoskodik
bakizok	24	bakizo	[/V][Prs.NDef.1Sg]	lakom/lakok	1995	8570080167	bakizom	13	1.7857142857142858	0.5798184952529422	bakizik	zik	2	bakizik
balhézok	112	balhézo	[/V][Prs.NDef.1Sg]	lakom/lakok	6131	8570080167	balhézom	5	18.833333333333332	2.9356283494842854	balhézik	zik	2	balhézik
bámészkodok	110	bámészkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	6070	8570080167	bámészkodom	134	0.8222222222222222	-0.19574457712609536	bámészkodik	NA	3	báméßkodik
bánkódok	143	bánkódo	[/V][Prs.NDef.1Sg]	lakom/lakok	14891	8570080167	bánkódom	467	0.3076923076923077	-1.1786549963416462	bánkódik	NA	2	bánkódik
bántódok	10	bántódo	[/V][Prs.NDef.1Sg]	lakom/lakok	1216	8570080167	bántódom	7	1.375	0.3184537311185346	bántódik	NA	2	bántódik
barátkozok	287	barátkozo	[/V][Prs.NDef.1Sg]	lakom/lakok	50745	8570080167	barátkozom	2017	0.1427155599603568	-1.9469017207776085	barátkozik	zik	3	barátkozik
basáskodok	3	basáskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	547	8570080167	basáskodom	4	0.8	-0.2231435513142097	basáskodik	NA	3	basáskodik
bátorkodok	131	bátorkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	9746	8570080167	bátorkodom	1686	0.07824540604623592	-2.5479051599595977	bátorkodik	NA	3	bátorkodik
bátorodok	5	bátorodo	[/V][Prs.NDef.1Sg]	lakom/lakok	1398	8570080167	bátorodom	16	0.35294117647058826	-1.041453874828161	bátorodik	NA	3	bátorodik
bátortalanodok	11	bátortalanodo	[/V][Prs.NDef.1Sg]	lakom/lakok	479	8570080167	bátortalanodom	1	6	1.791759469228055	bátortalanodik	NA	5	bátortalanodik
békétlenkedek	4	békétlenkede	[/V][Prs.NDef.1Sg]	lakom/lakok	301	8570080167	békétlenkedem	2	1.6666666666666667	0.5108256237659907	békétlenkedik	NA	4	békétlenkedik
beleszerelmesedek	28	beleszerelmesede	[/V][Prs.NDef.1Sg]	lakom/lakok	2629	8570080167	beleszerelmesedem	8	3.2222222222222223	1.1700712526502546	beleszerelmesedik	NA	6	beleßerelmesedik
berzenkedek	77	berzenkede	[/V][Prs.NDef.1Sg]	lakom/lakok	3632	8570080167	berzenkedem	98	0.7878787878787878	-0.23841102344499823	berzenkedik	NA	3	berzenkedik
betaknyosodok	1	betaknyosodo	[/V][Prs.NDef.1Sg]	lakom/lakok	83	8570080167	betaknyosodom	1	1	0	betaknyosodik	NA	4	betak¥osodik
betegeskedek	66	betegeskede	[/V][Prs.NDef.1Sg]	lakom/lakok	9158	8570080167	betegeskedem	88	0.7528089887640449	-0.28394375034117386	betegeskedik	NA	4	betegeskedik
betegszek	15	betegsze	[/V][Prs.NDef.1Sg]	lakom/lakok	9223	8570080167	betegszem	129	0.12307692307692308	-2.094945728215801	betegszik	szik	2	betegßik
betyárkodok	7	betyárkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	246	8570080167	betyárkodom	1	4	1.3862943611198906	betyárkodik	NA	3	be†árkodik
bíbelődök	210	bíbelődö	[/V][Prs.NDef.1Sg]	lakom/lakok	14471	8570080167	bíbelődöm	239	0.8791666666666667	-0.12878078986592484	bíbelődik	NA	3	bíbelődik
bíráskodok	8	bíráskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	3616	8570080167	bíráskodom	40	0.2195121951219512	-1.5163474893680884	bíráskodik	NA	3	bíráskodik
birkózok	329	birkózo	[/V][Prs.NDef.1Sg]	lakom/lakok	38668	8570080167	birkózom	762	0.4325032765399738	-0.8381653768239311	birkózik	zik	2	birkózik
bizakodok	448	bizakodo	[/V][Prs.NDef.1Sg]	lakom/lakok	30323	8570080167	bizakodom	1122	0.39982190560997327	-0.9167360669961888	bizakodik	NA	3	bizakodik
bizalmaskodok	2	bizalmaskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	700	8570080167	bizalmaskodom	9	0.3	-1.203972804325936	bizalmaskodik	NA	4	bizalmaskodik
bizalmatlankodok	3	bizalmatlankodo	[/V][Prs.NDef.1Sg]	lakom/lakok	284	8570080167	bizalmatlankodom	1	2	0.6931471805599453	bizalmatlankodik	NA	5	bizalmatlankodik
bízok	14694	bízo	[/V][Prs.NDef.1Sg]	lakom/lakok	1037991	8570080167	bízom	139717	0.10517614051160194	-2.252118805622328	bízik	zik	1	bízik
bizonyosodok	39	bizonyosodo	[/V][Prs.NDef.1Sg]	lakom/lakok	29527	8570080167	bizonyosodom	46	0.851063829787234	-0.16126814759612226	bizonyosodik	NA	4	bizo¥osodik
bizonytalankodok	48	bizonytalankodo	[/V][Prs.NDef.1Sg]	lakom/lakok	4183	8570080167	bizonytalankodom	101	0.4803921568627451	-0.7331525151736444	bizonytalankodik	NA	5	bizo¥talankodik
bocsátkozok	71	bocsátkozo	[/V][Prs.NDef.1Sg]	lakom/lakok	24331	8570080167	bocsátkozom	1019	0.07058823529411765	-2.6508917872622613	bocsátkozik	zik	3	boçátkozik
bogarászok	186	bogarászo	[/V][Prs.NDef.1Sg]	lakom/lakok	9264	8570080167	bogarászom	156	1.1910828025477709	0.17486281150627853	bogarászik	szik	3	bogaráßik
bohóckodok	164	bohóckodo	[/V][Prs.NDef.1Sg]	lakom/lakok	10687	8570080167	bohóckodom	119	1.375	0.3184537311185346	bohóckodik	NA	3	bohóckodik
bóklászok	207	bóklászo	[/V][Prs.NDef.1Sg]	lakom/lakok	13080	8570080167	bóklászom	195	1.0612244897959184	0.0594234204708008	bóklászik	szik	2	bókláßik
bölcselkedek	15	bölcselkede	[/V][Prs.NDef.1Sg]	lakom/lakok	1698	8570080167	bölcselkedem	29	0.5333333333333333	-0.6286086594223742	bölcselkedik	NA	3	bölçelkedik
böngészök	1	böngészö	[/V][Prs.NDef.1Sg]	lakom/lakok	122712	8570080167	böngészöm	4	0.4	-0.916290731874155	böngészik	szik	2	böngéßik
bonyolódok	161	bonyolódo	[/V][Prs.NDef.1Sg]	lakom/lakok	34776	8570080167	bonyolódom	205	0.7864077669902912	-0.24027983355719704	bonyolódik	NA	3	bo¥olódik
borotválkozok	56	borotválkozo	[/V][Prs.NDef.1Sg]	lakom/lakok	7593	8570080167	borotválkozom	341	0.16666666666666666	-1.791759469228055	borotválkozik	zik	4	borotválkozik
bosszankodok	459	bosszankodo	[/V][Prs.NDef.1Sg]	lakom/lakok	28274	8570080167	bosszankodom	994	0.4623115577889447	-0.7715162476754521	bosszankodik	NA	3	bosßankodik
botladozok	128	botladozo	[/V][Prs.NDef.1Sg]	lakom/lakok	8796	8570080167	botladozom	187	0.6861702127659575	-0.37662955846827706	botladozik	zik	3	botladozik
botlok	1692	botlo	[/V][Prs.NDef.1Sg]	lakom/lakok	41912	8570080167	botlom	197	8.55050505050505	2.1459903514386	botlik	lik	1	botlik
botránkozok	24	botránkozo	[/V][Prs.NDef.1Sg]	lakom/lakok	3482	8570080167	botránkozom	65	0.3787878787878788	-0.9707789171582248	botránkozik	zik	3	botránkozik
bővelkedek	41	bővelkede	[/V][Prs.NDef.1Sg]	lakom/lakok	38446	8570080167	bővelkedem	118	0.35294117647058826	-1.041453874828161	bővelkedik	NA	3	bővelkedik
búcsúzkodok	15	búcsúzkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	3282	8570080167	búcsúzkodom	105	0.1509433962264151	-1.890850371872286	búcsúzkodik	NA	3	búçúzkodik
búcsúzok	402	búcsúzo	[/V][Prs.NDef.1Sg]	lakom/lakok	154036	8570080167	búcsúzom	2888	0.13949463482173763	-1.9697291385195523	búcsúzik	zik	2	búçúzik
büdösödök	4	büdösödö	[/V][Prs.NDef.1Sg]	lakom/lakok	1381	8570080167	büdösödöm	2	1.6666666666666667	0.5108256237659907	büdösödik	NA	3	büdösödik
bujdosok	49	bujdoso	[/V][Prs.NDef.1Sg]	lakom/lakok	4942	8570080167	bujdosom	12	3.8461538461538463	1.3470736479666094	bujdosik	NA	2	bujdosik
bújócskázok	24	bújócskázo	[/V][Prs.NDef.1Sg]	lakom/lakok	3783	8570080167	bújócskázom	13	1.7857142857142858	0.5798184952529422	bújócskázik	zik	3	bújóçkázik
bukfencezek	27	bukfenceze	[/V][Prs.NDef.1Sg]	lakom/lakok	3043	8570080167	bukfencezem	8	3.111111111111111	1.1349799328389845	bukfencezik	zik	3	bukfencezik
bűnhődök	33	bűnhődö	[/V][Prs.NDef.1Sg]	lakom/lakok	9169	8570080167	bűnhődöm	85	0.3953488372093023	-0.9279867716373464	bűnhődik	NA	2	bűnhődik
bűnözök	1253	bűnözö	[/V][Prs.NDef.1Sg]	lakom/lakok	6131	8570080167	bűnözöm	1	627	6.440946540632921	bűnözik	zik	2	bűnözik
burkolódzok	1	burkolódzo	[/V][Prs.NDef.1Sg]	lakom/lakok	13652	8570080167	burkolódzom	21	0.09090909090909093	-2.3978952727983707	burkolódzik	zik	3	burkolódzik
búslakodok	31	búslakodo	[/V][Prs.NDef.1Sg]	lakom/lakok	8087	8570080167	búslakodom	70	0.4507042253521127	-0.7969439742415888	búslakodik	NA	3	búslakodik
büszkélkedek	66	büszkélkede	[/V][Prs.NDef.1Sg]	lakom/lakok	84413	8570080167	büszkélkedem	122	0.5447154471544715	-0.6074917359814515	büszkélkedik	NA	3	büßkélkedik
butáskodok	1	butáskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	585	8570080167	butáskodom	5	0.3333333333333333	-1.0986122886681098	butáskodik	NA	3	butáskodik
búvárkodok	51	búvárkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	10030	8570080167	búvárkodom	96	0.5360824742268041	-0.6234672599219555	búvárkodik	NA	3	búvárkodik
bűvészkedek	49	bűvészkede	[/V][Prs.NDef.1Sg]	lakom/lakok	3597	8570080167	bűvészkedem	34	1.4285714285714286	0.3566749439387324	bűvészkedik	NA	3	bűvéßkedik
buzgólkodok	1	buzgólkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	2888	8570080167	buzgólkodom	43	0.04545454545454545	-3.0910424533583156	buzgólkodik	NA	3	buzgólkodik
cangázok	26	cangázo	[/V][Prs.NDef.1Sg]	lakom/lakok	163	8570080167	cangázom	6	3.857142857142857	1.349926716949016	cangázik	zik	2	cangázik
cicózok	12	cicózo	[/V][Prs.NDef.1Sg]	lakom/lakok	1046	8570080167	cicózom	3	3.25	1.1786549963416462	cicózik	zik	2	cicózik
cigánykodok	5	cigánykodo	[/V][Prs.NDef.1Sg]	lakom/lakok	325	8570080167	cigánykodom	6	0.8571428571428571	-0.15415067982725836	cigánykodik	NA	3	cigá¥kodik
cigarettázok	54	cigarettázo	[/V][Prs.NDef.1Sg]	lakom/lakok	7767	8570080167	cigarettázom	136	0.40145985401459855	-0.912647740595654	cigarettázik	zik	4	cigarettázik
cikkezek	50	cikkeze	[/V][Prs.NDef.1Sg]	lakom/lakok	14162	8570080167	cikkezem	8	5.666666666666667	1.7346010553881064	cikkezik	zik	2	cikkezik
cipekedek	109	cipekede	[/V][Prs.NDef.1Sg]	lakom/lakok	4233	8570080167	cipekedem	23	4.583333333333333	1.5224265354444706	cipekedik	NA	3	cipekedik
cipekszek	3	cipeksze	[/V][Prs.NDef.1Sg]	lakom/lakok	4233	8570080167	cipekszem	4	0.8	-0.2231435513142097	cipekszik	szik	2	cipekßik
citerázok	12	citerázo	[/V][Prs.NDef.1Sg]	lakom/lakok	1464	8570080167	citerázom	13	0.9285714285714286	-0.07410797215372185	citerázik	zik	3	citerázik
civódok	4	civódo	[/V][Prs.NDef.1Sg]	lakom/lakok	735	8570080167	civódom	4	1	0	civódik	NA	2	civódik
csalatkozok	7	csalatkozo	[/V][Prs.NDef.1Sg]	lakom/lakok	4769	8570080167	csalatkozom	122	0.06504065040650407	-2.7327428136925813	csalatkozik	zik	3	çalatkozik
csalódok	1342	csalódo	[/V][Prs.NDef.1Sg]	lakom/lakok	170163	8570080167	csalódom	923	1.4534632034632036	0.37394912488155346	csalódik	NA	2	çalódik
csapódok	141	csapódo	[/V][Prs.NDef.1Sg]	lakom/lakok	59286	8570080167	csapódom	80	1.7530864197530864	0.561377902928822	csapódik	NA	2	çapódik
csatlakozok	1779	csatlakozo	[/V][Prs.NDef.1Sg]	lakom/lakok	869608	8570080167	csatlakozom	3253	0.547019053472649	-0.6032716444928523	csatlakozik	zik	3	çatlakozik
csavarodok	33	csavarodo	[/V][Prs.NDef.1Sg]	lakom/lakok	9265	8570080167	csavarodom	11	2.8333333333333335	1.0414538748281612	csavarodik	NA	3	çavarodik
cselekszek	301	cseleksze	[/V][Prs.NDef.1Sg]	lakom/lakok	280658	8570080167	cselekszem	3938	0.07666920538207667	-2.5682551455960363	cselekszik	szik	2	çelekßik
csellózok	17	csellózo	[/V][Prs.NDef.1Sg]	lakom/lakok	1782	8570080167	csellózom	39	0.45	-0.7985076962177716	csellózik	zik	2	çellózik
csendesedek	12	csendesede	[/V][Prs.NDef.1Sg]	lakom/lakok	6494	8570080167	csendesedem	2	4.333333333333333	1.466337068793427	csendesedik	NA	3	çendesedik
csigázok	48	csigázo	[/V][Prs.NDef.1Sg]	lakom/lakok	4081	8570080167	csigázom	44	1.0888888888888888	0.08515780834030677	csigázik	zik	2	çigázik
csimpaszkodok	23	csimpaszkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	4352	8570080167	csimpaszkodom	64	0.3692307692307693	-0.9963334395476916	csimpaszkodik	NA	3	çimpaßkodik
csinosodok	3	csinosodo	[/V][Prs.NDef.1Sg]	lakom/lakok	521	8570080167	csinosodom	2	1.3333333333333333	0.28768207245178085	csinosodik	NA	3	çinosodik
csintalankodok	4	csintalankodo	[/V][Prs.NDef.1Sg]	lakom/lakok	492	8570080167	csintalankodom	3	1.25	0.22314355131420976	csintalankodik	NA	4	çintalankodik
csiszolódok	8	csiszolódo	[/V][Prs.NDef.1Sg]	lakom/lakok	6459	8570080167	csiszolódom	12	0.6923076923076923	-0.3677247801253174	csiszolódik	NA	3	çißolódik
csodálkozok	1955	csodálkozo	[/V][Prs.NDef.1Sg]	lakom/lakok	200735	8570080167	csodálkozom	17802	0.10986912318148628	-2.2084654108101	csodálkozik	zik	3	çodálkozik
csókolózok	40	csókolózo	[/V][Prs.NDef.1Sg]	lakom/lakok	18284	8570080167	csókolózom	99	0.41	-0.8915981192837836	csókolózik	zik	3	çókolózik
csónakázok	13	csónakázo	[/V][Prs.NDef.1Sg]	lakom/lakok	6485	8570080167	csónakázom	2	4.666666666666667	1.540445040947149	csónakázik	zik	3	çónakázik
csuklok	107	csuklo	[/V][Prs.NDef.1Sg]	lakom/lakok	6520	8570080167	csuklom	25	4.153846153846154	1.4240346891027378	csuklik	lik	1	çuklik
csúszok	1288	csúszo	[/V][Prs.NDef.1Sg]	lakom/lakok	191096	8570080167	csúszom	509	2.5274509803921568	0.927211277220816	csúszik	szik	1	çúßik
dacoskodok	5	dacoskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	237	8570080167	dacoskodom	6	0.8571428571428571	-0.15415067982725836	dacoskodik	NA	3	dacoskodik
deformálódok	2	deformálódo	[/V][Prs.NDef.1Sg]	lakom/lakok	11452	8570080167	deformálódom	1	1.5	0.4054651081081644	deformálódik	NA	4	deformálódik
degradálódok	1	degradálódo	[/V][Prs.NDef.1Sg]	lakom/lakok	3616	8570080167	degradálódom	1	1	0	degradálódik	NA	4	degradálódik
deresedek	1	deresede	[/V][Prs.NDef.1Sg]	lakom/lakok	388	8570080167	deresedem	3	0.5	-0.6931471805599453	deresedik	NA	3	deresedik
dévánkozok	1	dévánkozo	[/V][Prs.NDef.1Sg]	lakom/lakok	18	8570080167	dévánkozom	2	0.6666666666666666	-0.4054651081081645	dévánkozik	zik	3	dévánkozik
diadalmaskodok	1	diadalmaskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	35682	8570080167	diadalmaskodom	12	0.15384615384615383	-1.8718021769015911	diadalmaskodik	NA	5	diadalmaskodik
dicsekszek	41	dicseksze	[/V][Prs.NDef.1Sg]	lakom/lakok	46395	8570080167	dicsekszem	1420	0.02955665024630541	-3.521446509813732	dicsekszik	szik	2	diçekßik
diétázok	496	diétázo	[/V][Prs.NDef.1Sg]	lakom/lakok	18417	8570080167	diétázom	1699	0.2923529411764706	-1.2297935039476786	diétázik	zik	3	diétázik
dobálódzok	18	dobálódzo	[/V][Prs.NDef.1Sg]	lakom/lakok	12200	8570080167	dobálódzom	9	1.9	0.6418538861723947	dobálódzik	zik	3	dobálódzik
döglődök	36	döglődö	[/V][Prs.NDef.1Sg]	lakom/lakok	2107	8570080167	döglődöm	28	1.2758620689655171	0.2436220826577505	döglődik	NA	2	döglődik
dohányzok	1261	dohányzo	[/V][Prs.NDef.1Sg]	lakom/lakok	67978	8570080167	dohányzom	14148	0.08919358258534173	-2.4169461860947936	dohányzik	zik	2	dohá¥zik
dolgozok	24294	dolgozo	[/V][Prs.NDef.1Sg]	lakom/lakok	3627092	8570080167	dolgozom	175459	0.13846460731790722	-1.9771405288423716	dolgozik	zik	2	dolgozik
dörgölődzök	1	dörgölődzö	[/V][Prs.NDef.1Sg]	lakom/lakok	2068	8570080167	dörgölődzöm	7	0.25	-1.3862943611198906	dörgölődzik	zik	3	dörgölődzik
