form_1	freq_1	stem	xpostag	variation	lemma_freq_corrected	corpus_size	form_2	freq_2	odds	log_odds	suffix	vowel	base	base_tr
honvédban	2305	honvéd	[/N][Ine]	hotelban/hotelben	186978	8570080167	honvédben	125	18.3015873015873	2.9069877938775264	ban	é	honvéd	honvéd
honvédnak	2175	honvéd	[/N][Dat]	hotelban/hotelben	186978	8570080167	honvédnek	750	2.8974700399467377	1.0638379562116984	nak	é	honvéd	honvéd
poénra	2084	poén	[/N][Subl]	hotelban/hotelben	131624	8570080167	poénre	14	139	4.9344739331306915	NA	é	poén	poén
páncélban	2025	páncél	[/N][Ine]	hotelban/hotelben	48853	8570080167	páncélben	2	675.3333333333334	6.515206396140519	ban	é	páncél	páncél
koleszban	1733	kolesz	[/N][Ine]	hotelban/hotelben	5077	8570080167	koleszben	173	9.96551724137931	2.299130858125958	ban	e	kolesz	koleß
árnyékra	1715	árnyék	[/N][Subl]	hotelban/hotelben	251729	8570080167	árnyékre	1	858	6.754604099487962	NA	é	árnyék	ár¥ék
acélra	1651	acél	[/N][Subl]	hotelban/hotelben	172196	8570080167	acélre	2	550.6666666666666	6.311129665412814	NA	é	acél	acél
hotelba	1640	hotel	[/N][Ill]	hotelban/hotelben	789022	8570080167	hotelbe	10613	0.1546071226681741	-1.866868072297749	NA	e	hotel	hotel
honvédnál	1592	honvéd	[/N][Ade]	hotelban/hotelben	186978	8570080167	honvédnél	116	13.615384615384617	2.6112003751122925	nál	é	honvéd	honvéd
szomszédnál	1446	szomszéd	[/N][Ade]	hotelban/hotelben	463192	8570080167	szomszédnél	1	723.5	6.5841005460715385	nál	é	szomszéd	ßomßéd
panelba	1393	panel	[/N][Ill]	hotelban/hotelben	223571	8570080167	panelbe	1112	1.252470799640611	0.2251182400449244	NA	e	panel	panel
szomszédra	1383	szomszéd	[/N][Subl]	hotelban/hotelben	463192	8570080167	szomszédre	1	692	6.539585955617669	NA	é	szomszéd	ßomßéd
húsvétnak	1284	húsvét	[/N][Dat]	hotelban/hotelben	195283	8570080167	húsvétnek	5	214.16666666666663	5.366754528101265	nak	é	húsvét	húsvét
kornélnak	1163	kornél	[/N][Dat]	hotelban/hotelben	65113	8570080167	kornélnek	1	582	6.366470447731438	nak	é	kornél	kornél
jatekban	1080	jatek	[/N][Ine]	hotelban/hotelben	17393	8570080167	jatekben	11	90.08333333333331	4.500735167851208	ban	e	jatek	jatek
jonesnak	1065	jones	[/N][Dat]	hotelban/hotelben	74236	8570080167	jonesnek	10	96.9090909090909	4.573773331927419	nak	e	jones	jones
acélnál	1041	acél	[/N][Ade]	hotelban/hotelben	172196	8570080167	acélnél	2	347.3333333333333	5.850284933645202	nál	é	acél	acél
pótléknak	1036	pótlék	[/N][Dat]	hotelban/hotelben	138201	8570080167	pótléknek	3	259.25	5.557792847109637	nak	é	pótlék	pótlék
panelra	994	panel	[/N][Subl]	hotelban/hotelben	223571	8570080167	panelre	2955	0.3366035182679296	-1.0888495449094997	NA	e	panel	panel
árnyéknak	946	árnyék	[/N][Dat]	hotelban/hotelben	251729	8570080167	árnyéknek	3	236.75	5.467004732066187	nak	é	árnyék	ár¥ék
acélnak	903	acél	[/N][Dat]	hotelban/hotelben	172196	8570080167	acélnek	3	226	5.420534999272286	nak	é	acél	acél
baleknak	860	balek	[/N][Dat]	hotelban/hotelben	13062	8570080167	baleknek	143	5.979166666666667	1.7882812048517305	nak	e	balek	balek
havernál	844	haver	[/N][Ade]	hotelban/hotelben	165801	8570080167	havernél	26	31.296296296296298	3.443499761352845	nál	e	haver	haver
athénnak	837	athén	[/N][Dat]	hotelban/hotelben	51859	8570080167	athénnek	287	2.9097222222222223	1.0680576203461372	nak	é	athén	athén
hóhérnak	820	hóhér	[/N][Dat]	hotelban/hotelben	21404	8570080167	hóhérnek	3	205.25	5.324228748332538	nak	é	hóhér	hóhér
koktélra	812	koktél	[/N][Subl]	hotelban/hotelben	70915	8570080167	koktélre	3	203.25	5.31443674842792	NA	é	koktél	koktél
bluesban	797	blues	[/N][Ine]	hotelban/hotelben	77971	8570080167	bluesben	2	266	5.583496308781699	ban	e	blues	blues
honvédba	789	honvéd	[/N][Ill]	hotelban/hotelben	186978	8570080167	honvédbe	37	20.789473684210527	3.0344467857346813	NA	é	honvéd	honvéd
matekra	755	matek	[/N][Subl]	hotelban/hotelben	47606	8570080167	matekre	18	39.78947368421053	3.6836023970130927	NA	e	matek	matek
adélnak	722	adél	[/N][Dat]	hotelban/hotelben	28203	8570080167	adélnek	33	21.264705882352946	3.0570486975426032	nak	é	adél	adél
faternak	718	fater	[/N][Dat]	hotelban/hotelben	15751	8570080167	faternek	80	8.876543209876543	2.183412203048608	nak	e	fater	fater
matekban	672	matek	[/N][Ine]	hotelban/hotelben	47606	8570080167	matekben	18	35.421052631578945	3.567306350478287	ban	e	matek	matek
konkrétnak	654	konkrét	[/Adj][Dat]	hotelban/hotelben	915418	8570080167	konkrétnek	13	46.785714285714285	3.8455779060199937	nak	é	konkrét	konkrét
koktélnak	651	koktél	[/N][Dat]	hotelban/hotelben	70915	8570080167	koktélnek	7	81.5	4.400603020246817	nak	é	koktél	koktél
koleszba	646	kolesz	[/N][Ill]	hotelban/hotelben	5077	8570080167	koleszbe	72	8.863013698630137	2.1818868533525095	NA	e	kolesz	koleß
balettra	564	balett	[/N][Subl]	hotelban/hotelben	87544	8570080167	balettre	638	0.8841940532081377	-0.12307872323109388	NA	e	balett	balett
karéjban	563	karéj	[/N][Ine]	hotelban/hotelben	6812	8570080167	karéjben	1	282	5.641907070938114	ban	é	karéj	karéj
skanzenban	563	skanzen	[/N][Ine]	hotelban/hotelben	26458	8570080167	skanzenben	6571	0.08581862446743761	-2.4555192276591	ban	e	skanzen	skanzen
skanzenban	563	skanzen	[/N][Ine]	hotelban/hotelben	26458	8570080167	skanzen	1	282	5.641907070938114	ban	e	skanzen	skanzen
forbesnak	545	forbes	[/N][Dat]	hotelban/hotelben	20035	8570080167	forbesnek	9	54.6	4.000033882750859	nak	e	forbes	forbes
malévnál	545	malév	[/N][Ade]	hotelban/hotelben	33530	8570080167	malévnél	305	1.7843137254901962	0.5790338737925244	nál	é	malév	malév
malévnak	532	malév	[/N][Dat]	hotelban/hotelben	33530	8570080167	malévnek	275	1.931159420289855	0.6581205584486945	nak	é	malév	malév
manézsban	528	manézs	[/N][Ine]	hotelban/hotelben	1722	8570080167	manézsben	5	88.16666666666667	4.479228962630245	ban	é	manézs	manéΩ
gluténra	525	glutén	[/N][Subl]	hotelban/hotelben	33858	8570080167	gluténre	277	1.892086330935252	0.6376800990470728	NA	é	glutén	glutén
bunkerban	497	bunker	[/N][Ine]	hotelban/hotelben	25691	8570080167	bunkerben	2292	0.2171827300479721	-1.5270162058332517	ban	e	bunker	bunker
maszekban	493	maszek	[/N][Ine]	hotelban/hotelben	9770	8570080167	maszekben	23	20.583333333333332	3.0244816868399766	ban	e	maszek	maßek
holmesnak	486	holmes	[/N][Dat]	hotelban/hotelben	22382	8570080167	holmesnek	7	60.875	4.1088225814027535	nak	e	holmes	holmes
cannesban	440	cannes	[/N][Ine]	hotelban/hotelben	6650	8570080167	cannesben	32	13.363636363636363	2.592537313980366	ban	e	cannes	cannes
borbélynál	429	borbély	[/N][Ade]	hotelban/hotelben	59299	8570080167	borbélynél	1	215	5.3706380281276624	nál	é	borbély	borbé¬
szolfézsra	416	szolfézs	[/N][Subl]	hotelban/hotelben	7287	8570080167	szolfézsre	72	5.712328767123288	1.7426267806504103	NA	é	szolfézs	ßolféΩ
koktélba	397	koktél	[/N][Ill]	hotelban/hotelben	70915	8570080167	koktélbe	3	99.5	4.600157644164547	NA	é	koktél	koktél
bluesnak	386	blues	[/N][Dat]	hotelban/hotelben	77971	8570080167	bluesnek	4	77.4	4.3489867805956814	nak	e	blues	blues
páncélra	377	páncél	[/N][Subl]	hotelban/hotelben	48853	8570080167	páncélre	1	189	5.241747015059643	NA	é	páncél	páncél
trapézra	374	trapéz	[/N][Subl]	hotelban/hotelben	13414	8570080167	trapézre	13	26.785714285714285	3.287868696355152	NA	é	trapéz	trapéz
motelban	367	motel	[/N][Ine]	hotelban/hotelben	13960	8570080167	motelben	1420	0.258972554539057	-1.3510331899281698	ban	e	motel	motel
farmerba	363	farmer	[/N][Ill]	hotelban/hotelben	82647	8570080167	farmerbe	344	1.055072463768116	0.05360945060538088	NA	e	farmer	farmer
bunkerba	336	bunker	[/N][Ill]	hotelban/hotelben	25691	8570080167	bunkerbe	978	0.3442288049029622	-1.0664487121781487	NA	e	bunker	bunker
kázmérnak	334	kázmér	[/N][Dat]	hotelban/hotelben	16367	8570080167	kázmérnek	4	67	4.204692619390966	nak	é	kázmér	kázmér
jatekba	329	jatek	[/N][Ill]	hotelban/hotelben	17393	8570080167	jatekbe	1	165	5.10594547390058	NA	e	jatek	jatek
alfrédnak	327	alfréd	[/N][Dat]	hotelban/hotelben	24985	8570080167	alfrédnek	74	4.373333333333333	1.4755254948478331	nak	é	alfréd	alfréd
bázelban	323	bázel	[/N][Ine]	hotelban/hotelben	7195	8570080167	bázelben	2500	0.1295481807277089	-2.04370241508529	ban	e	bázel	bázel
karesznak	322	karesz	[/N][Dat]	hotelban/hotelben	10644	8570080167	karesznek	263	1.2234848484848484	0.2017032200763403	nak	e	karesz	kareß
húsvétban	321	húsvét	[/N][Ine]	hotelban/hotelben	195283	8570080167	húsvétben	1	161	5.081404364984463	ban	é	húsvét	húsvét
jateknak	314	jatek	[/N][Dat]	hotelban/hotelben	17393	8570080167	jatek	2597	0.12124711316397228	-2.109924558404912	nak	e	jatek	jatek
jateknak	314	jatek	[/N][Dat]	hotelban/hotelben	17393	8570080167	jateknek	1	157.5	5.059425458265688	nak	e	jatek	jatek
honvédra	313	honvéd	[/N][Subl]	hotelban/hotelben	186978	8570080167	honvédre	71	4.361111111111111	1.472726866892198	NA	é	honvéd	honvéd
jonesra	311	jones	[/N][Subl]	hotelban/hotelben	74236	8570080167	jonesre	2	104	4.6443908991413725	NA	e	jones	jones
szomszedban	307	szomszed	[/N][Ine]	hotelban/hotelben	4225	8570080167	szomszedben	1	154	5.0369526024136295	ban	e	szomszed	ßomßed
puzsérnak	305	puzsér	[/N][Dat]	hotelban/hotelben	15570	8570080167	puzsérnek	13	21.857142857142858	3.0845277723371223	nak	é	puzsér	puΩér
lágerban	274	láger	[/N][Ine]	hotelban/hotelben	14977	8570080167	lágerben	2375	0.11574074074074074	-2.1564025828159643	ban	e	láger	láger
forbesban	269	forbes	[/N][Ine]	hotelban/hotelben	20035	8570080167	forbesben	3	67.5	4.212127597878484	ban	e	forbes	forbes
maszekba	267	maszek	[/N][Ill]	hotelban/hotelben	9770	8570080167	maszekbe	5	44.666666666666664	3.7992275112828016	NA	e	maszek	maßek
ankétra	261	ankét	[/N][Subl]	hotelban/hotelben	10005	8570080167	ankétre	15	16.375	2.795755781521315	NA	é	ankét	ankét
dzsungelban	258	dzsungel	[/N][Ine]	hotelban/hotelben	55832	8570080167	dzsungelben	10604	0.02442244224422442	-3.712252805299245	ban	e	dzsungel	dΩungel
baselban	257	basel	[/N][Ine]	hotelban/hotelben	13182	8570080167	baselben	1398	0.18441744102930663	-1.6905533897438636	ban	e	basel	basel
balettban	254	balett	[/N][Ine]	hotelban/hotelben	87544	8570080167	balettben	984	0.25888324873096447	-1.3513780960136628	ban	e	balett	balett
jatekra	246	jatek	[/N][Subl]	hotelban/hotelben	17393	8570080167	jatekre	1	123.5	4.816241156068032	NA	e	jatek	jatek
norvégnak	244	norvég	[/Adj][Dat]	hotelban/hotelben	151508	8570080167	norvégnek	23	10.208333333333334	2.323204380196781	nak	é	norvég	norvég
fotelra	242	fotel	[/N][Subl]	hotelban/hotelben	70961	8570080167	fotelre	505	0.4802371541501976	-0.733475225946917	NA	e	fotel	fotel
panelnak	236	panel	[/N][Dat]	hotelban/hotelben	223571	8570080167	panelnek	1375	0.17223837209302326	-1.758875877358158	nak	e	panel	panel
balettba	231	balett	[/N][Ill]	hotelban/hotelben	87544	8570080167	balettbe	311	0.7435897435897436	-0.2962658161431724	NA	e	balett	balett
farmerra	228	farmer	[/N][Subl]	hotelban/hotelben	82647	8570080167	farmerre	448	0.5100222717149221	-0.6733008841880146	NA	e	farmer	farmer
lágerba	228	láger	[/N][Ill]	hotelban/hotelben	14977	8570080167	lágerbe	1397	0.16380543633762518	-1.809075919239516	NA	e	láger	láger
sóllerban	223	sóller	[/N][Ine]	hotelban/hotelben	367	8570080167	sóllerben	10	20.363636363636363	3.0137507790566693	ban	e	sóller	sóller
haverra	214	haver	[/N][Subl]	hotelban/hotelben	165801	8570080167	haverre	5	35.833333333333336	3.578878558899608	NA	e	haver	haver
athénra	213	athén	[/N][Subl]	hotelban/hotelben	51859	8570080167	athénre	78	2.7088607594936707	0.99652816255483	NA	é	athén	athén
hotelnak	210	hotel	[/N][Dat]	hotelban/hotelben	789022	8570080167	hotelnek	6212	0.03396104941252213	-3.3825410165876275	nak	e	hotel	hotel
parkettra	209	parkett	[/N][Subl]	hotelban/hotelben	12893	8570080167	parkettre	3069	0.06840390879478828	-2.6823253098637743	NA	e	parkett	parkett
mateknak	206	matek	[/N][Dat]	hotelban/hotelben	47606	8570080167	mateknek	8	23	3.1354942159291497	nak	e	matek	matek
kofferban	191	koffer	[/N][Ine]	hotelban/hotelben	7809	8570080167	kofferben	714	0.26853146853146853	-1.3147871706662262	ban	e	koffer	koffer
orchestra	189	orchest	[/N][Subl]	hotelban/hotelben	20000	8570080167	orchestre	129	1.4615384615384617	0.3794896217049037	NA	e	orchest	orchest
noteszba	188	notesz	[/N][Ill]	hotelban/hotelben	13921	8570080167	noteszbe	429	0.43953488372093025	-0.8220381936279657	NA	e	notesz	noteß
partnernak	188	partner	[/N][Dat]	hotelban/hotelben	1270201	8570080167	partnernek	19802	0.00954400848356309	-4.651841705297238	nak	e	partner	partner
skanzenba	181	skanzen	[/N][Ill]	hotelban/hotelben	26458	8570080167	skanzenbe	1043	0.1743295019157088	-1.7468080813657887	NA	e	skanzen	skanzen
maszeknál	177	maszek	[/N][Ade]	hotelban/hotelben	9770	8570080167	maszeknél	9	17.8	2.8791984572980396	nál	e	maszek	maßek
afférba	167	affér	[/N][Ill]	hotelban/hotelben	7332	8570080167	afférbe	7	21	3.044522437723423	NA	é	affér	affér
maszeknak	161	maszek	[/N][Dat]	hotelban/hotelben	9770	8570080167	maszeknek	13	11.571428571428571	2.4485390056171252	nak	e	maszek	maßek
anettnak	158	anett	[/N][Dat]	hotelban/hotelben	41553	8570080167	anettnek	657	0.24164133738601823	-1.4203007291050858	nak	e	anett	anett
szomszednak	152	szomszed	[/N][Dat]	hotelban/hotelben	4225	8570080167	szomszednek	1	76.5	4.33729074083249	nak	e	szomszed	ßomßed
obszcénnak	151	obszcén	[/Adj][Dat]	hotelban/hotelben	12289	8570080167	obszcénnek	370	0.40970350404312667	-0.8923215417611589	nak	é	obszcén	obßcén
balettnál	150	balett	[/N][Ade]	hotelban/hotelben	87544	8570080167	balettnél	568	0.26537785588752194	-1.3266005973114068	nál	e	balett	balett
norvégra	149	norvég	[/Adj][Subl]	hotelban/hotelben	151508	8570080167	norvégre	9	15	2.70805020110221	NA	é	norvég	norvég
adélra	144	adél	[/N][Subl]	hotelban/hotelben	28203	8570080167	adélre	3	36.25	3.590439381300684	NA	é	adél	adél
trapézban	143	trapéz	[/N][Ine]	hotelban/hotelben	13414	8570080167	trapézben	8	16	2.772588722239781	ban	é	trapéz	trapéz
arnyekban	142	arnyek	[/N][Ine]	hotelban/hotelben	450	8570080167	arnyekben	1	71.5	4.269697449699962	ban	e	arnyek	ar¥ek
mateknál	141	matek	[/N][Ade]	hotelban/hotelben	47606	8570080167	mateknél	3	35.5	3.56953269648137	nál	e	matek	matek
moyesnak	141	moyes	[/N][Dat]	hotelban/hotelben	4820	8570080167	moyesnek	10	12.909090909090908	2.55793178480289	nak	e	moyes	moyes
motelba	140	motel	[/N][Ill]	hotelban/hotelben	13960	8570080167	motelbe	439	0.32045454545454544	-1.1380148365341387	NA	e	motel	motel
sumérban	139	sumér	[/Adj][Ine]	hotelban/hotelben	13314	8570080167	sumérben	37	3.6842105263157894	1.3040562628829184	ban	é	sumér	sumér
barneynak	138	barney	[/N][Dat]	hotelban/hotelben	6884	8570080167	barneynek	1	69.5	4.241326752570746	nak	e	barney	barney
albertnak	137	albert	[/N][Dat]	hotelban/hotelben	206291	8570080167	albertnek	2269	0.06079295154185022	-2.800281425318244	nak	e	albert	albert
dzsungelba	136	dzsungel	[/N][Ill]	hotelban/hotelben	55832	8570080167	dzsungelbe	3050	0.04490331039003605	-3.103243758888545	NA	e	dzsungel	dΩungel
muternak	136	muter	[/N][Dat]	hotelban/hotelben	2713	8570080167	muternek	42	3.186046511627907	1.1587808101345625	nak	e	muter	muter
farmernak	134	farmer	[/N][Dat]	hotelban/hotelben	82647	8570080167	farmernek	619	0.21774193548387097	-1.5244446996007075	nak	e	farmer	farmer
marcellnak	133	marcell	[/N][Dat]	hotelban/hotelben	48428	8570080167	marcellnek	587	0.22789115646258504	-1.4788871479477157	nak	e	marcell	marcell
mózesnak	132	mózes	[/N][Dat]	hotelban/hotelben	115650	8570080167	mózesnek	9581	0.01388019202671676	-4.277292489221313	nak	e	mózes	mózes
kasselban	131	kassel	[/N][Ine]	hotelban/hotelben	1750	8570080167	kasselben	465	0.2832618025751073	-1.261383711539275	ban	e	kassel	kassel
gluténnak	126	glutén	[/N][Dat]	hotelban/hotelben	33858	8570080167	gluténnek	342	0.37026239067055394	-0.9935433607073486	nak	é	glutén	glutén
matekba	126	matek	[/N][Ill]	hotelban/hotelben	47606	8570080167	matekbe	1	63.5	4.151039905898646	NA	e	matek	matek
pacekba	125	pacek	[/N][Ill]	hotelban/hotelben	253	8570080167	pacekbe	2	42	3.737669618283368	NA	e	pacek	pacek
hostelban	123	hostel	[/N][Ine]	hotelban/hotelben	18348	8570080167	hostelben	1986	0.06240563663814796	-2.77409967694678	ban	e	hostel	hostel
alexnak	121	alex	[/N][Dat]	hotelban/hotelben	80586	8570080167	alexnek	1801	0.06770255271920089	-2.6926313934350268	nak	e	alex	alex
balettnak	117	balett	[/N][Dat]	hotelban/hotelben	87544	8570080167	balettnek	872	0.13516609392898052	-2.0012509313739377	nak	e	balett	balett
malévban	116	malév	[/N][Ine]	hotelban/hotelben	33530	8570080167	malévben	57	2.0172413793103448	0.7017309242513368	ban	é	malév	malév
patentra	115	patent	[/N][Subl]	hotelban/hotelben	16682	8570080167	patentre	29	3.8666666666666663	1.3523928094442093	NA	e	patent	patent
flaszterra	113	flaszter	[/N][Subl]	hotelban/hotelben	2419	8570080167	flaszterre	129	0.8769230769230769	-0.13133600206108698	NA	e	flaszter	flaßter
holmesra	113	holmes	[/N][Subl]	hotelban/hotelben	22382	8570080167	holmesre	5	19	2.9444389791664403	NA	e	holmes	holmes
szkanderban	113	szkander	[/N][Ine]	hotelban/hotelben	3569	8570080167	szkanderben	259	0.43846153846153846	-0.8244831826210323	ban	e	szkander	ßkander
charlesnak	112	charles	[/N][Dat]	hotelban/hotelben	76740	8570080167	charlesnek	6	16.142857142857142	2.7814776696570274	nak	e	charles	charles
panelnál	111	panel	[/N][Ade]	hotelban/hotelben	223571	8570080167	panelnél	580	0.1927710843373494	-1.646251885556817	nál	e	panel	panel
kofferba	109	koffer	[/N][Ill]	hotelban/hotelben	7809	8570080167	kofferbe	216	0.5069124423963134	-0.6794169877480433	NA	e	koffer	koffer
koktélnál	109	koktél	[/N][Ade]	hotelban/hotelben	70915	8570080167	koktélnél	1	55	4.007333185232471	nál	é	koktél	koktél
kornélnál	108	kornél	[/N][Ade]	hotelban/hotelben	65113	8570080167	kornélnél	2	36.333333333333336	3.592735593561034	nál	é	kornél	kornél
balekra	106	balek	[/N][Subl]	hotelban/hotelben	13062	8570080167	balekre	14	7.133333333333334	1.964778633359696	NA	e	balek	balek
romneynak	106	romney	[/N][Dat]	hotelban/hotelben	4748	8570080167	romneynek	7	13.375	2.59338729278207	nak	e	romney	romney
kadétnak	105	kadét	[/N][Dat]	hotelban/hotelben	6328	8570080167	kadétnek	8	11.77777777777778	2.466214516775848	nak	é	kadét	kadét
okésnak	105	okés	[/Adj][Dat]	hotelban/hotelben	15031	8570080167	okésnek	1	53	3.970291913552122	nak	é	okés	okés
ágyéknál	105	ágyék	[/N][Ade]	hotelban/hotelben	11658	8570080167	ágyéknél	6	15.142857142857142	2.717528945056754	nál	é	ágyék	á©ék
burgerba	103	burger	[/N][Ill]	hotelban/hotelben	33527	8570080167	burgerbe	400	0.2593516209476309	-1.3495705281651966	NA	e	burger	burger
karesznál	103	karesz	[/N][Ade]	hotelban/hotelben	10644	8570080167	karesznél	29	3.466666666666667	1.2431935174792172	nál	e	karesz	kareß
malévra	103	malév	[/N][Subl]	hotelban/hotelben	33530	8570080167	malévre	87	1.181818181818182	0.16705408466316624	NA	é	malév	malév
suszternak	103	suszter	[/N][Dat]	hotelban/hotelben	6878	8570080167	suszternek	203	0.5098039215686274	-0.6737290947028438	nak	e	suszter	sußter
hotelra	102	hotel	[/N][Subl]	hotelban/hotelben	789022	8570080167	hotelre	1314	0.07832699619771863	-2.54686295638223	NA	e	hotel	hotel
szlovénnak	102	szlovén	[/Adj][Dat]	hotelban/hotelben	111340	8570080167	szlovénnek	80	1.271604938271605	0.2402798335571971	nak	é	szlovén	ßlovén
babérnak	101	babér	[/N][Dat]	hotelban/hotelben	32310	8570080167	babérnek	2	34	3.5263605246161616	nak	é	babér	babér
arzénra	100	arzén	[/N][Subl]	hotelban/hotelben	14384	8570080167	arzénre	60	1.6557377049180328	0.5042466526679482	NA	é	arzén	arzén
noteszban	100	notesz	[/N][Ine]	hotelban/hotelben	13921	8570080167	noteszben	305	0.3300653594771242	-1.1084645851111214	ban	e	notesz	noteß
annecyban	98	annecy	[/N][Ine]	hotelban/hotelben	1251	8570080167	annecyben	90	1.0879120879120878	0.0842603436177398	ban	e	annecy	annecy
bakternak	96	bakter	[/N][Dat]	hotelban/hotelben	4460	8570080167	bakternek	86	1.1149425287356325	0.10880285984879916	nak	e	bakter	bakter
kóterban	96	kóter	[/N][Ine]	hotelban/hotelben	752	8570080167	kóterben	90	1.065934065934066	0.06385147198653277	ban	e	kóter	kóter
afférnak	95	affér	[/N][Dat]	hotelban/hotelben	7332	8570080167	afférnek	6	13.714285714285714	2.618438042412523	nak	é	affér	affér
allélra	95	allél	[/N][Subl]	hotelban/hotelben	9437	8570080167	allélre	43	2.1818181818181817	0.780158557549575	NA	é	allél	allél
kóterba	95	kóter	[/N][Ill]	hotelban/hotelben	752	8570080167	kóterbe	83	1.1428571428571428	0.13353139262452257	NA	e	kóter	kóter
